learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.050589933,2.4935641312102478E-9,1.0,100.0,?,1.0,190528.0,10.0,0.0,1.1,0.3144660377352201,7118.4,1898.1912513407774,0.6,0.1632993161855452,0.6,0.1632993161855452,0.6,0.1632993161855452,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.092852949,4.934527459740639E-9,2.0,50.0,0.0,2.0,223256.0,10.0,0.0,1.7000000000000002,0.334995854037363,10391.200000000003,1765.838578252396,0.8,0.13333333333333333,0.8,0.13333333333333333,0.8,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.11242425,6.142990450840444E-9,3.0,33.33333333333333,0.0,3.0,238680.0,10.0,0.0,2.1,0.3785938897200182,11933.6,1405.9814065468845,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.125582981,6.9682164820056E-9,4.0,50.0,0.0,4.0,242416.0,10.0,0.0,2.8,0.6110100926607787,12307.2,1451.2592907157868,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.8999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.14279119,8.117273282493568E-9,5.0,40.0,0.0,5.0,258112.0,10.0,0.0,4.1,0.8749603165604457,13876.8,560.1513446282967,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.156832722,9.062841715351161E-9,6.0,33.33333333333333,0.0,6.0,260304.0,10.0,0.0,4.9,1.0588253449512395,13928.000000000002,573.4275891514114,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.169762525,9.946791392705507E-9,7.0,28.57142857142857,0.0,7.0,264264.0,10.0,0.0,5.6000000000000005,1.0456258094238748,14324.0,505.75672676363547,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.181574666,1.0766603918255617E-8,8.0,37.5,0.0,8.0,268280.0,10.0,0.0,7.1,1.3370780746754385,14725.6,463.4111972943444,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.193523991,1.1599127813890162E-8,9.0,33.33333333333333,0.0,9.0,269312.0,10.0,0.0,9.5,1.2315302134607442,14828.8,445.6895980138843,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.205267374,1.2427827188567155E-8,10.0,40.0,0.0,10.0,272776.0,10.0,0.0,10.4,1.3432961119739923,15175.199999999999,349.99519996708517,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,0.217054397,1.3260874635728283E-8,11.0,36.36363636363637,0.0,11.0,273192.0,10.0,0.0,11.100000000000001,1.6292465879799913,15216.8,356.50540902862434,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.228846295,1.409543804316678E-8,12.0,41.66666666666667,0.0,12.0,273576.0,10.0,0.0,11.799999999999999,1.6586473739499636,15255.2,359.45726990685387,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,0.240573339,1.493490116343523E-8,13.0,46.15384615384615,0.0,13.0,276704.0,10.0,0.0,12.700000000000001,1.5351438586225934,15568.0,93.31809399396596,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.25249951,1.578938365245031E-8,14.0,42.857142857142854,0.0,14.0,276952.0,10.0,0.0,13.3,1.5567059238447487,15592.800000000001,84.22150688643744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.26422804,1.6630336731502582E-8,15.0,46.666666666666664,0.0,15.0,277160.0,10.0,0.0,13.7,1.5423647068345698,15613.6,76.02619431631591,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.27617248,1.7493741998651793E-8,16.0,43.75,0.0,16.0,279416.0,10.0,0.0,14.8,1.6316317667360556,15671.2,69.19421941173994,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,0.28804612,1.835352847832359E-8,17.0,47.05882352941176,8.383233532934126,17.0,279904.0,10.0,0.0,15.4,1.54344492037203,15720.0,60.76256157280476,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.300091046,1.9229731458947065E-8,18.0,44.44444444444444,-2.272727272727273,18.0,281192.0,10.0,0.0,16.6,1.4391355429948602,15848.800000000001,37.946394939294215,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,0.31178206,2.008018926278171E-8,19.0,47.368421052631575,5.000000000000002,19.0,281192.0,10.0,0.0,16.6,1.4391355429948602,15848.800000000001,37.946394939294215,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.323011649,2.0897615441609593E-8,20.0,50.0,10.714285714285705,20.0,281376.0,10.0,0.0,17.2,1.3888444437333103,15867.2,35.76118317704582,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.33477642,2.1755776116792117E-8,21.0,47.61904761904761,2.531645569620256,21.0,281960.0,10.0,0.0,18.099999999999998,1.2948616399703352,15925.599999999999,27.14373265087578,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,0.346473378,2.26090144992061E-8,22.0,50.0,7.633587786259538,22.0,281968.0,10.0,0.0,18.2,1.2978614889287856,15926.400000000001,27.058455240460482,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,0.358233732,2.3467656180802734E-8,23.0,47.82608695652174,5.479452054794523,23.0,282224.0,10.0,0.0,19.400000000000002,1.5577761927397227,15952.0,21.299973917563587,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,0.369976959,2.432514460897073E-8,24.0,50.0,9.433962264150942,24.0,282256.0,10.0,0.0,19.8,1.540562667772179,15955.199999999999,21.505968163899603,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,0.381686237,2.518044489002683E-8,25.0,52.0,11.764705882352951,25.0,282352.0,10.0,0.0,20.0,1.6261747890200622,15964.800000000001,26.804974662675416,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,0.393498624,2.6043496756230793E-8,26.0,53.84615384615385,15.217391304347816,26.0,282424.0,10.0,0.0,20.2,1.5972198067614585,15972.0,26.912202932251173,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,0.405365655,2.6910688453347735E-8,27.0,55.55555555555556,18.181818181818194,27.0,282472.0,10.0,0.0,20.6,1.6206994374857624,15976.8,27.25876005984124,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.417329429,2.7785964885823843E-8,28.0,57.14285714285714,20.379146919431268,28.0,282800.0,10.0,0.0,22.2,1.8306040290327974,16009.599999999999,23.81558779921717,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29.0,0.428922129,2.8634093335823467E-8,29.0,58.620689655172406,23.00884955752212,29.0,282800.0,10.0,0.0,22.499999999999996,1.93362066830309,16009.599999999999,23.81558779921717,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.440612501,2.948953688548464E-8,30.0,60.0,24.999999999999993,30.0,282856.0,10.0,0.0,22.6,1.9390719429665315,16015.2,24.82865727787598,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,0.452103358,3.033059494903725E-8,31.0,61.29032258064516,26.77165354330709,31.0,282928.0,10.0,0.0,23.099999999999998,1.917463602435954,16022.400000000001,23.484841446724243,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,0.4636569,3.117645635965591E-8,32.0,62.5,29.15129151291513,32.0,283000.0,10.0,0.0,23.5,1.9046726169548869,16029.599999999999,22.439647452172167,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,0.475167964,3.2019612855280024E-8,33.0,63.63636363636363,31.25,33.0,283136.0,10.0,0.0,25.5,1.8393839548428526,16043.199999999999,21.60493770723098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34.0,0.486638333,3.285995471846312E-8,34.0,64.70588235294117,32.89473684210527,34.0,283192.0,10.0,0.0,25.799999999999997,1.8785337071473829,16048.8,22.57865265146604,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.498168076,3.370500436835819E-8,35.0,62.857142857142854,30.107526881720432,35.0,283312.0,10.0,0.0,28.599999999999998,2.124983660067897,16060.800000000001,24.15358266501176,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,0.509670654,3.455325267811616E-8,36.0,63.888888888888886,31.976744186046506,36.0,285056.0,10.0,0.0,29.7,2.4223496398698883,16067.199999999999,24.821496060202858,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37.0,0.521195332,3.540427560839388E-8,37.0,64.86486486486487,33.471645919778695,37.0,285440.0,10.0,0.0,32.8,2.9242282932615073,16105.599999999999,20.055035388760665,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.0,0.532966842,3.6274207632160846E-8,38.0,65.78947368421053,34.828496042216365,38.0,285664.0,10.0,0.0,33.699999999999996,3.0259984578096972,16128.0,16.220700080795307,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,0.544440493,3.712217492653678E-8,39.0,66.66666666666666,36.54568210262828,39.0,285680.0,10.0,0.0,34.1,3.001666203960726,16129.599999999999,15.676734353812364,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.555972747,3.7974521046417456E-8,40.0,67.5,38.0952380952381,40.0,285696.0,10.0,0.0,35.300000000000004,3.0877895725655344,16131.2,15.28165203402071,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41.0,0.567404637,3.881966222273807E-8,41.0,68.29268292682927,39.5005675368899,41.0,285768.0,10.0,0.0,35.49999999999999,3.023059524536176,16138.400000000001,14.313319360340971,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.578889022,3.966880311042485E-8,42.0,69.04761904761905,40.78091106290672,42.0,285808.0,10.0,0.0,36.1,3.219558285783246,16142.4,14.885638119416393,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.0,0.590467765,4.0525543758426285E-8,43.0,67.44186046511628,37.029288702928866,43.0,286016.0,10.0,0.0,38.3,3.4158129014595895,16163.199999999999,12.405016906253898,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44.0,0.60195352,4.137542775875372E-8,44.0,68.18181818181817,38.399999999999984,44.0,286024.0,10.0,0.0,38.5,3.387066905483596,16164.0,12.17648006061962,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,0.6134254,4.2224356310626294E-8,45.0,68.88888888888889,39.65517241379311,45.0,286048.0,10.0,0.0,40.9,4.0151103485596895,16166.4,11.672569935060977,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46.0,0.624811748,4.306697898942771E-8,46.0,69.56521739130434,40.808823529411754,46.0,286056.0,10.0,0.0,41.0,4.005551702879948,16167.199999999999,11.528515371315898,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47.0,0.636674612,4.394493888456168E-8,47.0,70.2127659574468,41.872791519434635,47.0,286080.0,10.0,0.0,41.5,3.8965796967768194,16169.599999999999,11.301130720222497,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,0.647780634,4.4768379614616026E-8,48.0,68.75,38.56655290102389,48.0,286600.0,10.0,0.0,46.800000000000004,4.7323942730456805,16221.6,6.9589271203732785,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.659227749,4.561711021614158E-8,49.0,69.38775510204081,39.60558751027114,49.0,286600.0,10.0,0.0,47.199999999999996,4.762818959864467,16221.6,6.9589271203732785,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.670684971,4.6466708746945696E-8,50.0,68.0,37.205651491365785,50.0,286640.0,10.0,0.0,48.400000000000006,4.619283253685335,16225.599999999999,6.618492611195157,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,0.682202185,4.7320875103357767E-8,51.0,68.62745098039215,38.18181818181818,51.0,286680.0,10.0,0.0,48.699999999999996,4.604466430663938,16229.6,5.471542540982256,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,0.693635833,4.816884384411905E-8,52.0,69.23076923076923,39.0922401171303,52.0,286680.0,10.0,0.0,48.9,4.643872904759083,16229.6,5.471542540982256,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53.0,0.705060778,4.901633264871521E-8,53.0,69.81132075471697,40.44943820224717,53.0,286736.0,10.0,0.0,50.1,4.660591283422214,16235.2,5.359933664597917,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,0.716447637,4.986101984552832E-8,54.0,70.37037037037037,41.70040485829959,54.0,286744.0,10.0,0.0,50.60000000000001,4.853864439804638,16236.0,5.497474167490214,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,0.740569131,5.165042336798997E-8,55.0,70.9090909090909,42.55874673629243,55.0,286752.0,10.0,0.0,51.39999999999999,4.9220591896752595,16236.800000000001,5.619015334854805,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.762174947,5.3253206481509325E-8,56.0,71.42857142857143,43.36283185840708,56.0,286752.0,10.0,0.0,51.8,4.882622246293481,16236.800000000001,5.619015334854805,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57.0,0.772353625,5.400831188281584E-8,57.0,71.9298245614035,44.525547445255484,57.0,286760.0,10.0,0.0,52.7,5.070722061227793,16237.6,5.339995838533536,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58.0,0.782869349,5.4788529864402695E-8,58.0,72.41379310344827,45.60375146541618,58.0,286800.0,10.0,0.0,54.099999999999994,5.447629453869514,16241.599999999999,6.725077446889841,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
