learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.006172239,1.8756212715680402E-10,1.0,100.0,?,1.0,117464.0,10.0,0.0
2.0,0.0296238,1.0625598475026587E-9,2.0,50.0,0.0,2.0,144224.0,10.0,9.0
3.0,0.044432017,1.6557051878070666E-9,3.0,66.66666666666666,40.0,3.0,154832.0,10.0,5.0
4.0,0.057694453,2.1990935095792846E-9,4.0,50.0,0.0,4.0,158376.0,10.0,7.0
5.0,0.067081767,2.6073931722156706E-9,5.0,40.0,-15.384615384615378,5.0,168128.0,10.0,6.0
6.0,0.075161119,2.967514924090356E-9,6.0,50.0,0.0,6.0,172296.0,10.0,6.0
7.0,0.082703915,3.3054378800818493E-9,7.0,57.14285714285714,8.69565217391303,7.0,173176.0,10.0,6.0
8.0,0.09013835,3.646722491934068E-9,8.0,50.0,-6.666666666666667,8.0,177448.0,10.0,4.0
9.0,0.097706241,3.995245565933486E-9,9.0,44.44444444444444,-15.384615384615383,9.0,178016.0,10.0,4.0
10.0,0.10487316,4.331799451038242E-9,10.0,40.0,-25.0,10.0,181520.0,10.0,4.0
11.0,0.112949412,4.712358769501249E-9,11.0,36.36363636363637,-30.508474576271173,11.0,182144.0,10.0,5.0
12.0,0.119568721,5.02515625131006E-9,12.0,33.33333333333333,-37.14285714285717,12.0,182664.0,10.0,4.0
13.0,0.125972341,5.329033568097899E-9,13.0,38.46153846153847,-23.809523809523807,13.0,183432.0,10.0,4.0
14.0,0.132243934,5.626853352598845E-9,14.0,35.714285714285715,-28.57142857142857,14.0,183560.0,10.0,2.0
15.0,0.138585083,5.928684828680836E-9,15.0,40.0,-19.46902654867256,15.0,183992.0,10.0,2.0
16.0,0.145295434,6.248673186600208E-9,16.0,37.5,-23.076923076923077,16.0,184328.0,10.0,6.0
17.0,0.151616224,6.550555957816541E-9,17.0,41.17647058823529,-16.43835616438357,17.0,184616.0,10.0,5.0
18.0,0.157832765,6.848630553214914E-9,18.0,38.88888888888889,-22.22222222222222,18.0,185344.0,10.0,7.0
19.0,0.163898932,7.139758568077038E-9,19.0,36.84210526315789,-25.274725274725263,19.0,185512.0,10.0,4.0
20.0,0.170138486,7.439466055273596E-9,20.0,40.0,-19.999999999999996,20.0,185672.0,10.0,4.0
21.0,0.176713028,7.755713203017497E-9,21.0,42.857142857142854,-13.513513513513518,21.0,185936.0,10.0,4.0
22.0,0.182826308,8.049785481358154E-9,22.0,45.45454545454545,-9.090909090909093,22.0,185944.0,10.0,4.0
23.0,0.188997229,8.346770998581001E-9,23.0,47.82608695652174,-5.343511450381686,23.0,186032.0,10.0,4.0
24.0,0.195146794,8.642792359764377E-9,24.0,50.0,-2.1276595744680775,24.0,186072.0,10.0,3.0
25.0,0.20139228,8.943702505802114E-9,25.0,52.0,3.2258064516129057,25.0,186240.0,10.0,3.0
26.0,0.208195132,9.27155125580728E-9,26.0,53.84615384615385,6.024096385542155,26.0,186288.0,10.0,3.0
27.0,0.214678443,9.584107761080894E-9,27.0,55.55555555555556,8.474576271186447,27.0,186352.0,10.0,3.0
28.0,0.220844275,9.881716099178625E-9,28.0,57.14285714285714,12.953367875647656,28.0,186576.0,10.0,3.0
29.0,0.226889518,1.017350392645432E-8,29.0,58.620689655172406,15.121951219512189,29.0,186576.0,10.0,3.0
30.0,0.23279519,1.0458603921822377E-8,30.0,60.0,18.918918918918905,30.0,186608.0,10.0,3.0
31.0,0.239214155,1.0768669442749688E-8,31.0,58.06451612903226,14.79915433403807,31.0,186720.0,10.0,4.0
32.0,0.245131213,1.1054539531949495E-8,32.0,59.375,16.8,32.0,186752.0,10.0,4.0
33.0,0.251202226,1.1347885323777383E-8,33.0,60.60606060606061,18.59582542694497,33.0,186776.0,10.0,3.0
34.0,0.257241541,1.1640061968281454E-8,34.0,61.76470588235294,21.90812720848056,34.0,187008.0,10.0,3.0
35.0,0.263128308,1.1924907210475458E-8,35.0,60.0,18.604651162790695,35.0,187040.0,10.0,2.0
36.0,0.269522305,1.2234401848744603E-8,36.0,61.111111111111114,20.253164556962027,36.0,187104.0,10.0,2.0
37.0,0.275590316,1.2528494232390078E-8,37.0,62.16216216216216,23.145400593471795,37.0,187344.0,10.0,2.0
38.0,0.281516335,1.2816097292691059E-8,38.0,63.1578947368421,25.69832402234637,38.0,187600.0,10.0,2.0
39.0,0.28753753,1.310834438181379E-8,39.0,64.1025641025641,27.200000000000006,39.0,187616.0,10.0,2.0
40.0,0.293540068,1.3399685927445279E-8,40.0,62.5,24.242424242424242,40.0,187616.0,10.0,4.0
41.0,0.300181606,1.3722069719175087E-8,41.0,63.41463414634146,25.6348246674728,41.0,187632.0,10.0,4.0
42.0,0.308241864,1.4113385661523792E-8,42.0,64.28571428571429,27.917620137299785,42.0,187664.0,10.0,4.0
43.0,0.314983927,1.4440830384650167E-8,43.0,62.7906976744186,24.72647702407002,43.0,187736.0,10.0,4.0
44.0,0.321787345,1.4771269043294923E-8,44.0,63.63636363636363,26.05042016806723,44.0,187744.0,10.0,3.0
45.0,0.328473826,1.5096083483008877E-8,45.0,64.44444444444444,27.272727272727288,45.0,187776.0,10.0,3.0
46.0,0.335714493,1.544783403667932E-8,46.0,65.21739130434783,28.404669260700388,46.0,187784.0,10.0,3.0
47.0,0.343222517,1.5812588293318535E-8,47.0,65.95744680851064,29.455909943714808,47.0,187792.0,10.0,3.0
48.0,0.350306714,1.6157148078911837E-8,48.0,64.58333333333334,26.618705035971225,48.0,188008.0,10.0,4.0
49.0,0.3575317,1.650855553230064E-8,49.0,63.26530612244898,24.096385542168687,49.0,188008.0,10.0,3.0
50.0,0.364734064,1.685889251339353E-8,50.0,62.0,21.746293245469523,50.0,188024.0,10.0,2.0
51.0,0.372598536,1.7241435714260574E-8,51.0,62.745098039215684,22.78884462151394,51.0,188024.0,10.0,2.0
52.0,0.379781495,1.7590828798444325E-8,52.0,63.46153846153846,23.765432098765427,52.0,188024.0,10.0,2.0
53.0,0.386844678,1.7934556543274477E-8,53.0,64.15094339622641,25.901398086828543,53.0,188112.0,10.0,2.0
54.0,0.393842311,1.8275137763458E-8,54.0,64.81481481481481,27.848101265822777,54.0,188136.0,10.0,2.0
55.0,0.400853726,1.8616389766229942E-8,55.0,65.45454545454545,28.76618950238583,55.0,188136.0,10.0,2.0
56.0,0.40850823,1.8988941500826435E-8,56.0,66.07142857142857,29.629629629629633,56.0,188136.0,10.0,2.0
57.0,0.415513331,1.932997318220636E-8,57.0,66.66666666666666,31.412286257124762,57.0,188184.0,10.0,2.0
58.0,0.422556196,1.9672930796785908E-8,58.0,67.24137931034483,33.049817739975694,58.0,188232.0,10.0,2.0
59.0,0.429589432,2.001550685611244E-8,59.0,67.79661016949152,34.55925277291302,59.0,188280.0,10.0,2.0
