learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.058114234,2.9992615457582806E-9,1.0,100.0,?,1.0,199496.0,10.0,0.0
2.0,0.098313121,5.4142705787676906E-9,2.0,50.0,0.0,2.0,232224.0,10.0,9.0
3.0,0.114880184,6.455026929982835E-9,3.0,66.66666666666666,40.0,3.0,242832.0,10.0,5.0
4.0,0.12616164,7.174080394680302E-9,4.0,50.0,0.0,4.0,246376.0,10.0,7.0
5.0,0.142495741,8.268995361851735E-9,5.0,40.0,-15.384615384615378,5.0,259112.0,10.0,6.0
6.0,0.154263292,9.070491783583743E-9,6.0,50.0,0.0,6.0,263280.0,10.0,6.0
7.0,0.165857409,9.862814967555717E-9,7.0,42.857142857142854,-7.69230769230769,7.0,264160.0,10.0,4.0
8.0,0.176796264,1.0622447895790554E-8,8.0,37.5,-25.0,8.0,268432.0,10.0,4.0
9.0,0.186197218,1.127666491350159E-8,9.0,33.33333333333333,-28.571428571428566,9.0,269000.0,10.0,4.0
10.0,0.195421988,1.1926983336808367E-8,10.0,40.0,-15.384615384615378,10.0,272504.0,10.0,4.0
11.0,0.204850931,1.2593217447110348E-8,11.0,36.36363636363637,-18.461538461538463,11.0,273128.0,10.0,5.0
12.0,0.214666226,1.3288070971415274E-8,12.0,41.66666666666667,-10.526315789473678,12.0,273648.0,10.0,5.0
13.0,0.224061641,1.3955066660129361E-8,13.0,46.15384615384615,-4.59770114942529,13.0,274416.0,10.0,4.0
14.0,0.233587398,1.4631630970964001E-8,14.0,50.0,3.921568627450974,14.0,274544.0,10.0,5.0
15.0,0.243186373,1.5314468339470527E-8,15.0,53.333333333333336,8.695652173913047,15.0,274976.0,10.0,3.0
16.0,0.252579629,1.5983488074959155E-8,16.0,56.25,15.151515151515152,16.0,275312.0,10.0,5.0
17.0,0.261976441,1.6653461197949947E-8,17.0,58.82352941176471,20.13422818791947,17.0,275600.0,10.0,5.0
18.0,0.271355249,1.7323917022798626E-8,18.0,55.55555555555556,12.195121951219521,18.0,276328.0,10.0,6.0
19.0,0.280678568,1.7990811354534496E-8,19.0,52.63157894736842,7.567567567567561,19.0,276496.0,10.0,5.0
20.0,0.290045891,1.8661241013064155E-8,20.0,55.00000000000001,11.76470588235294,20.0,276656.0,10.0,5.0
21.0,0.29940706,1.9331869562667693E-8,21.0,57.14285714285714,16.000000000000004,21.0,276920.0,10.0,4.0
22.0,0.308625324,1.9992279561693886E-8,22.0,59.09090909090909,19.51219512195122,22.0,276928.0,10.0,4.0
23.0,0.318005205,2.0664481579653094E-8,23.0,56.52173913043478,15.44117647058822,23.0,277016.0,10.0,4.0
24.0,0.328032567,2.1383188593081307E-8,24.0,58.333333333333336,18.36734693877552,24.0,277056.0,10.0,4.0
25.0,0.337314578,2.2048876294814467E-8,25.0,60.0,21.874999999999986,25.0,277224.0,10.0,4.0
26.0,0.346782928,2.272804544022721E-8,26.0,61.53846153846154,24.4186046511628,26.0,277272.0,10.0,4.0
27.0,0.35646872,2.3422972167508887E-8,27.0,62.96296296296296,26.63043478260871,27.0,277336.0,10.0,4.0
28.0,0.365700001,2.408582402741744E-8,28.0,64.28571428571429,29.648241206030164,28.0,277560.0,10.0,4.0
29.0,0.374998528,2.4753504484372424E-8,29.0,65.51724137931035,31.603773584905653,29.0,277560.0,10.0,4.0
30.0,0.384150919,2.5410767417521115E-8,30.0,66.66666666666666,34.21052631578947,30.0,277592.0,10.0,4.0
31.0,0.393306074,2.606849410834619E-8,31.0,64.51612903225806,29.399585921325038,31.0,277704.0,10.0,3.0
32.0,0.402450085,2.6725495887423556E-8,32.0,65.625,31.25,32.0,277736.0,10.0,3.0
33.0,0.411556437,2.7379848388127155E-8,33.0,66.66666666666666,32.90203327171902,33.0,277760.0,10.0,3.0
34.0,0.420722522,2.803904324100456E-8,34.0,67.64705882352942,35.29411764705883,34.0,277992.0,10.0,3.0
35.0,0.430268956,2.8725670579338652E-8,35.0,65.71428571428571,31.818181818181824,35.0,278024.0,10.0,4.0
36.0,0.439260124,2.9372509271765333E-8,36.0,66.66666666666666,33.33333333333333,36.0,278088.0,10.0,4.0
37.0,0.448454026,3.003450379789082E-8,37.0,67.56756756756756,35.46511627906977,37.0,278328.0,10.0,4.0
38.0,0.457535519,3.0689005908941225E-8,38.0,68.42105263157895,37.36263736263737,38.0,278584.0,10.0,4.0
39.0,0.466670049,3.134736819997015E-8,39.0,69.23076923076923,38.7434554973822,39.0,278600.0,10.0,4.0
40.0,0.475890662,3.201193483879789E-8,40.0,67.5,35.643564356435654,40.0,278600.0,10.0,4.0
41.0,0.485069754,3.267354688647513E-8,41.0,68.29268292682927,36.923076923076934,41.0,278616.0,10.0,4.0
42.0,0.494144232,3.332769367204978E-8,42.0,69.04761904761905,38.651685393258425,42.0,278648.0,10.0,4.0
43.0,0.503112966,3.39743848051317E-8,43.0,67.44186046511628,35.12931034482757,43.0,278720.0,10.0,4.0
44.0,0.512186315,3.4628637987669135E-8,44.0,68.18181818181817,36.36363636363635,44.0,278728.0,10.0,3.0
45.0,0.521164844,3.527612829992133E-8,45.0,66.66666666666666,33.62831858407079,45.0,278760.0,10.0,3.0
46.0,0.530167763,3.592539613954929E-8,46.0,67.3913043478261,34.78260869565217,46.0,278768.0,10.0,3.0
47.0,0.540187662,3.664802675221115E-8,47.0,68.08510638297872,35.85077343039127,47.0,278776.0,10.0,3.0
48.0,0.549289442,3.730495163681192E-8,48.0,66.66666666666666,32.74956217162871,48.0,278992.0,10.0,5.0
49.0,0.558428048,3.796453445379518E-8,49.0,65.3061224489796,30.292887029288696,49.0,278992.0,10.0,3.0
50.0,0.567475916,3.861760566765649E-8,50.0,64.0,28.000000000000004,50.0,279008.0,10.0,3.0
51.0,0.576572899,3.9274221981056025E-8,51.0,64.70588235294117,29.057187017001556,51.0,279008.0,10.0,3.0
52.0,0.58558512,3.9924720209816254E-8,52.0,65.38461538461539,30.04484304932736,52.0,279008.0,10.0,3.0
53.0,0.594569169,4.057338952358604E-8,53.0,66.0377358490566,31.75965665236051,53.0,279096.0,10.0,3.0
54.0,0.603540444,4.122119222573728E-8,54.0,66.66666666666666,33.33333333333333,54.0,279120.0,10.0,3.0
55.0,0.612509459,4.186883173657994E-8,55.0,67.27272727272727,34.26294820717131,55.0,279120.0,10.0,3.0
56.0,0.621503641,4.251828851983985E-8,56.0,67.85714285714286,35.135135135135144,56.0,279120.0,10.0,3.0
57.0,0.630497991,4.3167869122684405E-8,57.0,68.42105263157895,36.588380716934495,57.0,279168.0,10.0,3.0
58.0,0.640030205,4.385641314818005E-8,58.0,68.96551724137932,37.93103448275863,58.0,279216.0,10.0,3.0
59.0,0.649037023,4.450711788871428E-8,59.0,69.49152542372882,39.17525773195877,59.0,279264.0,10.0,3.0
60.0,0.658037553,4.5157368347679976E-8,60.0,70.0,39.99999999999999,60.0,279264.0,10.0,3.0
61.0,0.667199794,4.5819377595552544E-8,61.0,68.85245901639344,37.52021563342317,61.0,279296.0,10.0,2.0
62.0,0.67626808,4.6474598211813706E-8,62.0,69.35483870967742,38.32460732984294,62.0,279296.0,10.0,2.0
63.0,0.685344516,4.7130407698785664E-8,63.0,69.84126984126983,39.083969465648856,63.0,279296.0,10.0,2.0
64.0,0.694418681,4.7786053096753426E-8,64.0,70.3125,40.27504911591356,64.0,279296.0,10.0,2.0
65.0,0.703649684,4.845322172469354E-8,65.0,70.76923076923077,41.38585666824871,65.0,279376.0,10.0,2.0
66.0,0.712787889,4.9113683398434254E-8,66.0,71.21212121212122,42.10526315789474,66.0,279376.0,10.0,2.0
67.0,0.721823756,4.9766748616660206E-8,67.0,71.64179104477611,42.786516853932575,67.0,279376.0,10.0,2.0
68.0,0.730842931,5.041862609054478E-8,68.0,72.05882352941177,43.826086956521735,68.0,279384.0,10.0,2.0
69.0,0.742898322,5.128995166431077E-8,69.0,72.46376811594203,44.79999999999999,69.0,279384.0,10.0,2.0
70.0,0.761264352,5.261739028721012E-8,70.0,72.85714285714285,45.447087776866276,70.0,279384.0,10.0,2.0
71.0,0.779375729,5.392702313036967E-8,71.0,73.23943661971832,46.36182902584493,71.0,279512.0,10.0,2.0
72.0,0.787600857,5.4521781760152E-8,72.0,73.61111111111111,46.976744186046524,72.0,279512.0,10.0,2.0
73.0,0.796183187,5.51423696502298E-8,73.0,73.97260273972603,47.837532907107935,73.0,279512.0,10.0,2.0
74.0,0.804396166,5.5736249786377355E-8,74.0,74.32432432432432,48.42259721203228,74.0,279512.0,10.0,2.0
75.0,0.813085763,5.63647739887196E-8,75.0,74.66666666666667,49.234057712860704,75.0,279592.0,10.0,2.0
76.0,0.820895646,5.69296679053145E-8,76.0,75.0,50.0,76.0,279592.0,10.0,2.0
77.0,0.82822106,5.745953502478077E-8,77.0,75.32467532467533,50.557620817843876,77.0,279600.0,10.0,2.0
78.0,0.836502123,5.805852683574581E-8,78.0,75.64102564102564,51.08910891089108,78.0,279600.0,10.0,2.0
79.0,0.844756934,5.8655619768146413E-8,79.0,75.9493670886076,51.59625927120285,79.0,279600.0,10.0,2.0
80.0,0.853606031,5.929569902336224E-8,80.0,76.25,52.08070617906683,80.0,279600.0,10.0,2.0
81.0,0.861930685,5.989789557617778E-8,81.0,76.5432098765432,52.80588776448941,81.0,279624.0,10.0,2.0
82.0,0.870726087,6.053414553503816E-8,82.0,76.82926829268293,53.269346130773854,82.0,279624.0,10.0,2.0
83.0,0.877962988,6.105765520105759E-8,83.0,77.10843373493977,53.71294393894923,83.0,279624.0,10.0,2.0
84.0,0.885204395,6.15814908262901E-8,84.0,77.38095238095238,54.400000000000006,84.0,279624.0,10.0,2.0
85.0,0.89247409,6.21073727751399E-8,85.0,77.64705882352942,55.05148900640135,85.0,279624.0,10.0,2.0
86.0,0.89971353,6.26310661096995E-8,86.0,77.90697674418605,55.47683923705723,86.0,279624.0,10.0,2.0
87.0,0.906967337,6.315579873764887E-8,87.0,78.16091954022988,55.88470776621298,87.0,279624.0,10.0,2.0
88.0,0.914258479,6.368323213950419E-8,88.0,78.4090909090909,56.503642039542136,88.0,279624.0,10.0,2.0
89.0,0.921579379,6.421281820320213E-8,89.0,78.65168539325843,56.89523323986745,89.0,279624.0,10.0,2.0
90.0,0.928932854,6.474476070750504E-8,90.0,78.88888888888889,57.48383888612631,90.0,279624.0,10.0,2.0
91.0,0.936256707,6.527456038805966E-8,91.0,79.12087912087912,57.8601023641238,91.0,279624.0,10.0,2.0
92.0,0.943503796,6.57988370403192E-8,92.0,78.26086956521739,56.085918854415276,92.0,279640.0,10.0,2.0
93.0,0.950726104,6.632133590634083E-8,93.0,78.49462365591397,56.46067415730337,93.0,279648.0,10.0,2.0
94.0,0.958105153,6.685517422157442E-8,94.0,78.72340425531915,57.03839122486289,94.0,279648.0,10.0,2.0
95.0,0.965365317,6.738041178512489E-8,95.0,77.89473684210526,55.339153794492944,95.0,279648.0,10.0,2.0
96.0,0.97260604,6.790425787229711E-8,96.0,78.125,55.90551181102362,96.0,279656.0,10.0,2.0
97.0,0.979895765,6.84316642041732E-8,97.0,78.35051546391753,56.278171281390854,97.0,279664.0,10.0,2.0
98.0,0.987236179,6.89627530403042E-8,98.0,78.57142857142857,56.63716814159292,98.0,279672.0,10.0,2.0
99.0,0.99448781,6.948741830684658E-8,99.0,78.78787878787878,57.17816683831101,99.0,279672.0,10.0,2.0
100.0,1.001980791,7.002954557084581E-8,100.0,79.0,57.524271844660205,100.0,279672.0,10.0,2.0
101.0,1.009354526,7.056304522619064E-8,101.0,79.20792079207921,58.04154302670624,101.0,279672.0,10.0,2.0
102.0,1.016613321,7.108822881777873E-8,102.0,79.41176470588235,58.53658536585365,102.0,279672.0,10.0,2.0
103.0,1.023941967,7.161846622326514E-8,103.0,79.6116504854369,59.01080159181353,103.0,279672.0,10.0,2.0
104.0,1.031261348,7.214803329352702E-8,104.0,79.8076923076923,59.46547884187082,104.0,279672.0,10.0,2.0
105.0,1.038623563,7.268069946136117E-8,105.0,79.04761904761905,57.969432314410476,105.0,279672.0,10.0,2.0
106.0,1.045910829,7.3207942968133E-8,106.0,79.24528301886792,58.312477654629966,106.0,279672.0,10.0,2.0
107.0,1.053102383,7.372833600124343E-8,107.0,79.43925233644859,58.759635599159076,107.0,279712.0,10.0,2.0
108.0,1.060339098,7.425199696083656E-8,108.0,79.62962962962963,59.1892820336654,108.0,279712.0,10.0,2.0
109.0,1.067554527,7.477411762940179E-8,109.0,79.81651376146789,59.52059419311275,109.0,279712.0,10.0,2.0
110.0,1.074773865,7.529652115983059E-8,110.0,80.0,59.84069034185199,110.0,279712.0,10.0,2.0
111.0,1.082033852,7.582186612077677E-8,111.0,80.18018018018019,60.15013054830288,111.0,279712.0,10.0,2.0
112.0,1.089341878,7.635068726516223E-8,112.0,80.35714285714286,60.449438202247194,112.0,279712.0,10.0,2.0
113.0,1.09656923,7.68736707022103E-8,113.0,79.64601769911505,59.05152040334016,113.0,279712.0,10.0,2.0
114.0,1.104152972,7.74224431235405E-8,114.0,79.82456140350878,59.34883720930234,114.0,279712.0,10.0,2.0
115.0,1.111457729,7.795102771754685E-8,115.0,80.0,59.63680756905235,115.0,279712.0,10.0,2.0
116.0,1.118675875,7.847334499283589E-8,116.0,80.17241379310344,60.05988023952096,116.0,279712.0,10.0,2.0
117.0,1.125990745,7.900266138065811E-8,117.0,80.34188034188034,60.467166152490094,117.0,279712.0,10.0,2.0
118.0,1.133206612,7.952481374364551E-8,118.0,80.50847457627118,60.74631183106739,118.0,279712.0,10.0,2.0
119.0,1.140425802,8.004720656454354E-8,119.0,80.67226890756302,61.016949152542374,119.0,279712.0,10.0,2.0
120.0,1.14767169,8.057153129795978E-8,120.0,80.83333333333333,61.40939597315437,120.0,279712.0,10.0,2.0
121.0,1.154909515,8.109527257903374E-8,121.0,80.99173553719008,61.67194601294587,121.0,279712.0,10.0,2.0
122.0,1.162113756,8.161658366496155E-8,122.0,81.14754098360656,62.050311063024076,122.0,279712.0,10.0,2.0
