learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.346331942,1.8784406292757227E-8,1.0,100.0,?,1.0,209656.0,10.0,0.0
2.0,0.55248157,3.171100101772696E-8,2.0,50.0,0.0,2.0,242384.0,10.0,0.0
3.0,0.589036464,3.4103490000371307E-8,3.0,33.33333333333333,0.0,3.0,252992.0,10.0,0.0
4.0,0.623331129,3.637949133819383E-8,4.0,50.0,0.0,4.0,256536.0,10.0,0.0
5.0,0.690528638,4.1060527536148825E-8,5.0,60.0,28.57142857142856,5.0,269272.0,10.0,0.0
6.0,0.723496016,4.339261096181969E-8,6.0,66.66666666666666,40.0,6.0,273440.0,10.0,0.0
7.0,0.753995412,4.555705489354829E-8,7.0,71.42857142857143,46.15384615384616,7.0,274320.0,10.0,0.0
8.0,0.7838482,4.7708603526925045E-8,8.0,62.5,25.0,8.0,278592.0,10.0,0.0
9.0,0.814228126,4.9902608110966776E-8,9.0,66.66666666666666,30.769230769230766,9.0,279160.0,10.0,0.0
10.0,0.844659663,5.212792578621664E-8,10.0,60.0,16.66666666666666,10.0,282664.0,10.0,0.0
11.0,0.875260407,5.437055664250213E-8,11.0,54.54545454545454,6.779661016949152,11.0,283288.0,10.0,0.0
12.0,0.905841761,5.6615880405015E-8,12.0,58.333333333333336,16.666666666666675,12.0,283808.0,10.0,0.0
13.0,0.93683218,5.889739550798925E-8,13.0,61.53846153846154,23.52941176470589,13.0,284576.0,10.0,0.0
14.0,0.966858386,6.110891951423346E-8,14.0,57.14285714285714,16.000000000000004,14.0,284704.0,10.0,0.0
15.0,0.997037744,6.333509645048736E-8,15.0,60.0,21.05263157894737,15.0,285136.0,10.0,0.0
16.0,1.027102682,6.555544655620017E-8,16.0,56.25,15.151515151515152,16.0,285472.0,10.0,0.0
17.0,1.057103208,6.777327493246024E-8,17.0,58.82352941176471,20.13422818791947,17.0,285760.0,10.0,0.0
18.0,1.087270134,7.000908610924457E-8,18.0,55.55555555555556,12.195121951219521,18.0,286488.0,10.0,0.0
19.0,1.117027316,7.221582255099589E-8,19.0,57.89473684210527,16.4835164835165,19.0,286656.0,10.0,0.0
20.0,1.147213014,7.445558638022385E-8,20.0,60.0,19.999999999999996,20.0,286816.0,10.0,0.0
21.0,1.178351912,7.676820386994009E-8,21.0,57.14285714285714,13.698630136986296,21.0,287080.0,10.0,0.0
22.0,1.208270214,7.899023229753598E-8,22.0,59.09090909090909,16.80672268907564,22.0,287088.0,10.0,0.0
