learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
1.0,0.005301162,1.6472332648932934E-10,1.0,100.0,?,1.0,120112.0,10.0,0.0,0.0,0.0
2.0,0.025908775,9.477279528458086E-10,2.0,50.0,0.0,2.0,146872.0,10.0,0.0,0.0,0.0
3.0,0.040244988,1.53178797463576E-9,3.0,33.33333333333333,0.0,3.0,157480.0,10.0,0.0,0.0,0.0
4.0,0.054997532,2.146335053510136E-9,4.0,50.0,0.0,4.0,161024.0,10.0,0.0,0.0,0.0
5.0,0.06854076,2.744673151084118E-9,5.0,60.0,28.57142857142856,5.0,170776.0,10.0,0.0,0.0,0.0
6.0,0.082694518,3.3913973493542934E-9,6.0,66.66666666666666,40.0,6.0,176624.0,10.0,0.0,0.0,0.0
7.0,0.096932149,4.0451952271577384E-9,7.0,71.42857142857143,46.15384615384616,7.0,177504.0,10.0,0.0,0.0,0.0
8.0,0.104937055,4.42163058426645E-9,8.0,75.0,52.94117647058824,8.0,181776.0,10.0,0.0,0.0,0.0
9.0,0.112571362,4.781760108394341E-9,9.0,66.66666666666666,40.0,9.0,182344.0,10.0,0.0,0.0,0.0
10.0,0.120808276,5.17778278319579E-9,10.0,70.0,44.44444444444444,10.0,185848.0,10.0,0.0,0.0,0.0
11.0,0.127381837,5.494894256620771E-9,11.0,63.63636363636363,35.294117647058826,11.0,186472.0,10.0,0.0,0.0,0.0
12.0,0.13408186,5.819007628924316E-9,12.0,66.66666666666666,38.46153846153845,12.0,186992.0,10.0,0.0,0.0,0.0
13.0,0.140453557,6.128504185208843E-9,13.0,69.23076923076923,40.90909090909091,13.0,187760.0,10.0,0.0,0.0,0.0
14.0,0.147338626,6.463165081482794E-9,14.0,64.28571428571429,33.96226415094341,14.0,187888.0,10.0,0.0,0.0,0.0
15.0,0.153725357,6.774317155016793E-9,15.0,66.66666666666666,35.897435897435884,15.0,188320.0,10.0,0.0,0.0,0.0
16.0,0.160129262,7.089645817114247E-9,16.0,62.5,30.434782608695656,16.0,190336.0,10.0,0.0,0.0,0.0
17.0,0.166667843,7.412093095688356E-9,17.0,64.70588235294117,35.443037974683556,17.0,190624.0,10.0,0.0,0.0,0.0
18.0,0.173621722,7.756330267217838E-9,18.0,61.111111111111114,25.882352941176478,18.0,191352.0,10.0,0.0,0.0,0.0
19.0,0.179937251,8.069241746765457E-9,19.0,63.1578947368421,30.36649214659686,19.0,191520.0,10.0,0.0,0.0,0.0
