learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.040033127,1.704944685527848E-9,1.0,100.0,?,1.0,164624.0,10.0,0.0
2.0,0.065706257,2.8606461527364124E-9,2.0,50.0,0.0,2.0,174008.0,10.0,0.0
3.0,0.092822403,4.24944113339401E-9,3.0,33.33333333333333,0.0,3.0,197976.0,10.0,0.0
4.0,0.117915957,5.781850676106083E-9,4.0,50.0,0.0,4.0,236056.0,10.0,0.0
5.0,0.129434027,6.516080711959966E-9,5.0,60.0,28.57142857142856,5.0,246408.0,10.0,0.0
6.0,0.140746741,7.24951188972013E-9,6.0,66.66666666666666,40.0,6.0,250608.0,10.0,0.0
7.0,0.156439648,8.31823723918862E-9,7.0,57.14285714285714,27.58620689655172,7.0,263248.0,10.0,0.0
8.0,0.167767657,9.110989976007907E-9,8.0,50.0,5.88235294117647,8.0,270512.0,10.0,0.0
9.0,0.178789309,9.884265045900315E-9,9.0,44.44444444444444,0.0,9.0,271200.0,10.0,0.0
10.0,0.188305061,1.0553541006822555E-8,10.0,50.0,7.407407407407414,10.0,271872.0,10.0,0.0
11.0,0.197753855,1.1219711111341087E-8,11.0,45.45454545454545,2.941176470588235,11.0,272528.0,10.0,0.0
12.0,0.207011013,1.1872715122836333E-8,12.0,41.66666666666667,-10.526315789473678,12.0,272672.0,10.0,0.0
13.0,0.216922905,1.2573463401533664E-8,13.0,46.15384615384615,-4.59770114942529,13.0,273280.0,10.0,0.0
14.0,0.226402539,1.324396592590958E-8,14.0,50.0,3.921568627450974,14.0,273408.0,10.0,0.0
15.0,0.235733132,1.3904235624774464E-8,15.0,53.333333333333336,8.695652173913047,15.0,273536.0,10.0,0.0
16.0,0.245138685,1.4570997202957258E-8,16.0,50.0,4.477611940298507,16.0,274024.0,10.0,0.0
17.0,0.25455436,1.52394116950656E-8,17.0,52.94117647058824,10.526315789473687,17.0,274408.0,10.0,0.0
18.0,0.263949144,1.5908598590422838E-8,18.0,50.0,2.4096385542168672,18.0,275336.0,10.0,0.0
19.0,0.273111861,1.6561558852913895E-8,19.0,52.63157894736842,7.567567567567561,19.0,275464.0,10.0,0.0
20.0,0.282551969,1.7234657965126554E-8,20.0,55.00000000000001,11.76470588235294,20.0,275616.0,10.0,0.0
21.0,0.291915955,1.7903511587507613E-8,21.0,57.14285714285714,16.000000000000004,21.0,276104.0,10.0,0.0
22.0,0.300939607,1.854807440546859E-8,22.0,59.09090909090909,19.51219512195122,22.0,276112.0,10.0,0.0
