learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1.0,0.095963483,7.527189134102728E-11,1.0,100.0,?,1.0,3032.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.100992409,7.921648317534062E-11,2.0,100.0,?,2.0,3032.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3.0,0.102648529,8.066289468564921E-11,3.0,66.66666666666666,0.0,3.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.103722086,8.160051104302208E-11,4.0,75.0,0.0,4.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5.0,0.104582368,8.235185864278011E-11,5.0,60.0,0.0,5.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.105421279,8.308454137502445E-11,6.0,66.66666666666666,0.0,6.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7.0,0.106218914,8.37811747379601E-11,7.0,57.14285714285714,0.0,7.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.107042014,8.450004855998688E-11,8.0,50.0,0.0,8.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.107923608,8.527000949821539E-11,9.0,55.55555555555556,0.0,9.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.108685921,8.59357935583426E-11,10.0,60.0,19.999999999999996,10.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11.0,0.109472199,8.66225080171393E-11,11.0,63.63636363636363,31.24999999999999,11.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.110788473,8.777210699808267E-11,12.0,66.66666666666666,33.33333333333333,12.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13.0,0.112029464,8.885595579321186E-11,13.0,69.23076923076923,40.90909090909091,13.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.11321515,8.989150266059572E-11,14.0,71.42857142857143,46.15384615384616,14.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.113875734,9.046843929630188E-11,15.0,73.33333333333333,48.27586206896551,15.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.114503494,9.101670831648841E-11,16.0,75.0,50.0,16.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17.0,0.115207399,9.163148037054474E-11,17.0,76.47058823529412,54.05405405405405,17.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.116048876,9.236640417948367E-11,18.0,77.77777777777779,57.14285714285714,18.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19.0,0.117012899,9.320835643137496E-11,19.0,78.94736842105263,59.57446808510639,19.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.117761041,9.386176391401226E-11,20.0,75.0,52.83018867924528,20.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.118652055,9.463995203168857E-11,21.0,76.19047619047619,54.935622317596554,21.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.119711751,9.5565462557392E-11,22.0,72.72727272727273,47.199999999999996,22.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23.0,0.120539183,9.628811983391644E-11,23.0,73.91304347826086,49.26470588235292,23.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.121231286,9.689258433257542E-11,24.0,75.0,51.35135135135135,24.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25.0,0.128294533,9.787199947155185E-11,25.0,76.0,53.124999999999986,25.0,536.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
26.0,0.136304898,1.0490119749887123E-10,26.0,76.92307692307693,54.65116279069768,26.0,3392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
27.0,0.146197771,1.206459700047142E-10,27.0,77.77777777777779,56.451612903225815,27.0,6152.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
28.0,0.147226639,1.2228344100010066E-10,28.0,78.57142857142857,57.99999999999999,28.0,6152.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
29.0,0.148246819,1.2390708481065105E-10,29.0,75.86206896551724,53.11778290993071,29.0,6152.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
30.0,0.149394748,1.2580531739112406E-10,30.0,73.33333333333333,47.59825327510915,30.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
31.0,0.150926522,1.283382818102837E-10,31.0,70.96774193548387,43.40770791075051,31.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
32.0,0.152358592,1.3070637420233757E-10,32.0,71.875,45.038167938931295,32.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
33.0,0.153825733,1.3313246052505246E-10,33.0,69.6969696969697,40.217391304347835,33.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
34.0,0.155073049,1.3519504093668533E-10,34.0,70.58823529411765,41.780821917808225,34.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
35.0,0.155840377,1.364639060054389E-10,35.0,71.42857142857143,43.548387096774206,35.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
36.0,0.157193324,1.3870115942011283E-10,36.0,72.22222222222221,44.95412844036697,36.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
37.0,0.157945377,1.3994476552017867E-10,37.0,72.97297297297297,46.53179190751444,37.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
38.0,0.158704374,1.4119985432260573E-10,38.0,73.68421052631578,47.94520547945204,38.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
39.0,0.159530479,1.4256591391853167E-10,39.0,71.7948717948718,44.5019404915912,39.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
40.0,0.160303989,1.4384500163503824E-10,40.0,72.5,45.812807881773395,40.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
41.0,0.161170911,1.452785568332507E-10,41.0,73.17073170731707,47.003525264394824,41.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
42.0,0.162682616,1.4777833485354985E-10,42.0,73.80952380952381,48.322147651006716,42.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
43.0,0.163918333,1.4982173498512975E-10,43.0,74.4186046511628,49.41176470588235,43.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
44.0,0.165085706,1.5175212045510614E-10,44.0,75.0,50.409836065573764,44.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
45.0,0.165791258,1.5291883180538818E-10,45.0,73.33333333333333,46.8503937007874,45.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
46.0,0.166922092,1.5478879583792558E-10,46.0,73.91304347826086,48.12030075187969,46.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
47.0,0.16775533,1.5616665066944232E-10,47.0,74.46808510638297,49.09747292418771,47.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
48.0,0.169006349,1.5823535441731418E-10,48.0,75.0,50.0,48.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
49.0,0.170112702,1.600648363017374E-10,49.0,75.51020408163265,51.16279069767441,49.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
50.0,0.170764942,1.6114339013066562E-10,50.0,76.0,52.22929936305732,50.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
51.0,0.171447765,1.622725164662633E-10,51.0,76.47058823529412,53.21100917431192,51.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
52.0,0.172813691,1.6453123214965069E-10,52.0,76.92307692307693,54.05007363770251,52.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
53.0,0.173599829,1.6583120171601576E-10,53.0,77.35849056603774,54.95750708215298,53.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
54.0,0.174570847,1.6743689161828823E-10,54.0,77.77777777777779,55.73770491803279,54.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
55.0,0.17531023,1.6865954641666677E-10,55.0,78.18181818181819,56.464379947229574,55.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
56.0,0.176397894,1.7045812389089002E-10,56.0,78.57142857142857,57.14285714285714,56.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
57.0,0.177565063,1.7238817202341225E-10,57.0,78.94736842105263,57.777777777777786,57.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
58.0,0.178744794,1.7433899286720489E-10,58.0,79.3103448275862,58.62068965517242,58.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
59.0,0.180592888,1.7739502877410917E-10,59.0,79.66101694915254,59.40366972477064,59.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
60.0,0.181781636,1.7936076026409867E-10,60.0,80.0,60.00000000000001,60.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
61.0,0.182975508,1.8133496487720147E-10,61.0,80.32786885245902,60.72961373390557,61.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
62.0,0.183862103,1.8280105164274575E-10,62.0,80.64516129032258,61.410788381742734,62.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
63.0,0.18493909,1.8458197346991964E-10,63.0,80.95238095238095,61.9718309859155,63.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
64.0,0.185698943,1.858384777667622E-10,64.0,81.25,62.5,64.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
65.0,0.186695694,1.8748672014309303E-10,65.0,81.53846153846153,62.99810246679317,65.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
66.0,0.187830221,1.893627909757197E-10,66.0,81.81818181818183,63.46863468634687,66.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
67.0,0.188990018,1.9128064865867298E-10,67.0,82.08955223880598,64.10714285714286,67.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
68.0,0.190697475,1.9410412511684829E-10,68.0,82.35294117647058,64.70588235294117,68.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
69.0,0.191903857,1.9609901645324297E-10,69.0,82.6086956521739,65.26845637583892,69.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
70.0,0.192808197,1.9759444661645426E-10,70.0,82.85714285714286,65.71428571428572,70.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
71.0,0.193765237,1.991770222886569E-10,71.0,83.09859154929578,66.13672496025437,71.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
72.0,0.194412379,2.0024714598846106E-10,72.0,83.33333333333334,66.66666666666667,72.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
73.0,0.195981943,2.0284260051738885E-10,73.0,83.56164383561644,67.06766917293233,73.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
74.0,0.197033393,2.045812939790388E-10,74.0,83.78378378378379,67.56756756756756,74.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
75.0,0.198203262,2.0651580687198374E-10,75.0,84.0,67.94871794871793,75.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
76.0,0.199302927,2.0833422937947844E-10,76.0,84.21052631578947,68.42105263157893,76.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
77.0,0.200428949,2.101962362167736E-10,77.0,84.4155844155844,68.86792452830188,77.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
78.0,0.201624389,2.1217303369815152E-10,78.0,84.61538461538461,69.29133858267717,78.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
79.0,0.202871765,2.1423571332668265E-10,79.0,84.81012658227847,69.69309462915602,79.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
80.0,0.203600918,2.1544145164390406E-10,80.0,85.0,70.05614472863381,80.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
81.0,0.204266063,2.1654134537403784E-10,81.0,85.18518518518519,70.40194884287455,81.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
82.0,0.204973095,2.177105040744775E-10,82.0,85.36585365853658,70.73170731707317,82.0,6392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
