learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.042191783,4.170507498629805E-9,1.0,100.0,?,1.0,382088.0,50.0,0.0
2.0,0.114920382,1.2065858641864939E-8,2.0,100.0,?,2.0,419632.0,50.0,0.0
3.0,0.14473207,1.5456311319406247E-8,3.0,66.66666666666666,0.0,3.0,439616.0,50.0,0.0
4.0,0.170872269,1.850895258196319E-8,4.0,75.0,0.0,4.0,451408.0,50.0,0.0
5.0,0.192344378,2.103365410569641E-8,5.0,60.0,0.0,5.0,454504.0,50.0,0.0
6.0,0.213013818,2.348070343736145E-8,6.0,66.66666666666666,0.0,6.0,457632.0,50.0,0.0
7.0,0.230366995,2.553668561423611E-8,7.0,57.14285714285714,0.0,7.0,457976.0,50.0,0.0
8.0,0.24708176,2.7522979546731542E-8,8.0,50.0,0.0,8.0,459352.0,50.0,0.0
9.0,0.265588191,2.972333458502466E-8,9.0,55.55555555555556,0.0,9.0,459592.0,50.0,0.0
10.0,0.282083614,3.168605522733802E-8,10.0,60.0,19.999999999999996,10.0,459936.0,50.0,0.0
11.0,0.29882263,3.367775997084255E-8,11.0,63.63636363636363,31.24999999999999,11.0,459936.0,50.0,0.0
12.0,0.315261536,3.563375589427228E-8,12.0,66.66666666666666,33.33333333333333,12.0,459936.0,50.0,0.0
13.0,0.340661083,3.865594060589249E-8,13.0,69.23076923076923,40.90909090909091,13.0,459936.0,50.0,0.0
14.0,0.35733524,4.0639928051202244E-8,14.0,71.42857142857143,46.15384615384616,14.0,459936.0,50.0,0.0
15.0,0.373085744,4.2514013931124155E-8,15.0,73.33333333333333,48.27586206896551,15.0,459936.0,50.0,0.0
16.0,0.389622359,4.4481635835363216E-8,16.0,75.0,50.0,16.0,459936.0,50.0,0.0
17.0,0.406509465,4.64909611818629E-8,17.0,76.47058823529412,54.05405405405405,17.0,459936.0,50.0,0.0
18.0,0.423118057,4.8467147325022765E-8,18.0,77.77777777777779,57.14285714285714,18.0,459936.0,50.0,0.0
19.0,0.440232471,5.050351908941443E-8,19.0,78.94736842105263,59.57446808510639,19.0,459936.0,50.0,0.0
20.0,0.456479387,5.243667093445237E-8,20.0,75.0,52.83018867924528,20.0,459936.0,50.0,0.0
21.0,0.472486246,5.4341259411989404E-8,21.0,76.19047619047619,54.935622317596554,21.0,459936.0,50.0,0.0
22.0,0.489590251,5.637639265347893E-8,22.0,77.27272727272727,56.69291338582677,22.0,459936.0,50.0,0.0
23.0,0.506167802,5.834888535928602E-8,23.0,73.91304347826086,51.06382978723403,23.0,459936.0,50.0,0.0
24.0,0.523550123,6.041713424493248E-8,24.0,75.0,52.63157894736842,24.0,459936.0,50.0,0.0
25.0,0.540208887,6.239929014225179E-8,25.0,76.0,54.545454545454554,25.0,459936.0,50.0,0.0
26.0,0.556948826,6.4391104709624E-8,26.0,76.92307692307693,56.17977528089888,26.0,459936.0,50.0,0.0
27.0,0.573917993,6.641019414757068E-8,27.0,77.77777777777779,57.59162303664922,27.0,459936.0,50.0,0.0
28.0,0.589873256,6.830864343520874E-8,28.0,78.57142857142857,58.823529411764696,28.0,459936.0,50.0,0.0
29.0,0.606650158,7.030485607367629E-8,29.0,79.3103448275862,60.27397260273973,29.0,459936.0,50.0,0.0
30.0,0.622600271,7.220269258458787E-8,30.0,76.66666666666667,54.545454545454554,30.0,459936.0,50.0,0.0
31.0,0.638312555,7.407223082829887E-8,31.0,77.41935483870968,55.98377281947261,31.0,459936.0,50.0,0.0
32.0,0.65394184,7.593189337190861E-8,32.0,78.125,57.25190839694656,32.0,459936.0,50.0,0.0
33.0,0.668976094,7.772075569254035E-8,33.0,78.78787878787878,58.52782764811488,33.0,459936.0,50.0,0.0
34.0,0.684210711,7.953345835943395E-8,34.0,79.41176470588235,59.66101694915253,34.0,459936.0,50.0,0.0
35.0,0.700163324,8.143159233477588E-8,35.0,80.0,60.80000000000001,35.0,459936.0,50.0,0.0
36.0,0.715340653,8.323747854475553E-8,36.0,80.55555555555556,61.81818181818181,36.0,459936.0,50.0,0.0
37.0,0.730961838,8.5096177303611E-8,37.0,81.08108108108108,62.84074605451938,37.0,459936.0,50.0,0.0
38.0,0.745933157,8.687755125467356E-8,38.0,81.57894736842105,63.76021798365122,38.0,459936.0,50.0,0.0
39.0,0.761099086,8.868208102685091E-8,39.0,82.05128205128204,64.68305304010349,39.0,459936.0,50.0,0.0
40.0,0.77658476,9.052465590473887E-8,40.0,82.5,65.51724137931033,40.0,459936.0,50.0,0.0
41.0,0.791655282,9.231783360135433E-8,41.0,82.92682926829268,66.2749706227967,41.0,459936.0,50.0,0.0
42.0,0.806785915,9.411816365171847E-8,42.0,83.33333333333334,67.11409395973155,42.0,459936.0,50.0,0.0
43.0,0.821409963,9.585821729470668E-8,43.0,83.72093023255815,67.80748663101606,43.0,459936.0,50.0,0.0
44.0,0.83833069,9.787154306185125E-8,44.0,84.0909090909091,68.44262295081968,44.0,459936.0,50.0,0.0
45.0,0.853818621,9.971438649062692E-8,45.0,84.44444444444444,69.02654867256636,45.0,459936.0,50.0,0.0
46.0,0.867962871,1.0139735099811732E-7,46.0,84.78260869565217,69.7936210131332,46.0,459936.0,50.0,0.0
47.0,0.883156606,1.0320518928867459E-7,47.0,85.1063829787234,70.3336339044184,47.0,459936.0,50.0,0.0
48.0,0.897536801,1.0491622789417087E-7,48.0,85.41666666666666,70.83333333333333,48.0,459936.0,50.0,0.0
49.0,0.91404074,1.0687996181931972E-7,49.0,85.71428571428571,71.53526970954356,49.0,459936.0,50.0,0.0
50.0,0.945156376,1.1058227979418516E-7,50.0,86.0,72.17806041335453,50.0,459936.0,50.0,0.0
51.0,0.966303452,1.1309848096039771E-7,51.0,86.27450980392157,72.76887871853548,51.0,459936.0,50.0,0.0
52.0,0.979880623,1.1471397113521277E-7,52.0,86.53846153846155,73.23529411764707,52.0,459936.0,50.0,0.0
53.0,0.994476541,1.1645067770843088E-7,53.0,86.79245283018868,73.7809187279152,53.0,459936.0,50.0,0.0
54.0,1.011025776,1.1841980121311425E-7,54.0,87.03703703703704,74.21555252387448,54.0,459936.0,50.0,0.0
55.0,1.024525056,1.2002602346715211E-7,55.0,87.27272727272727,74.62096242584047,55.0,459936.0,50.0,0.0
56.0,1.0390645,1.217560104378748E-7,56.0,87.5,75.0,56.0,459936.0,50.0,0.0
57.0,1.053045633,1.2341956634317219E-7,57.0,87.71929824561403,75.35515750463247,57.0,459936.0,50.0,0.0
58.0,1.066893067,1.250672139697212E-7,58.0,87.93103448275862,75.86206896551724,58.0,459936.0,50.0,0.0
59.0,1.07922267,1.26534261302768E-7,59.0,88.13559322033898,76.3323782234957,59.0,459936.0,50.0,0.0
60.0,1.092146238,1.280719820199597E-7,60.0,88.33333333333333,76.66666666666666,60.0,459936.0,50.0,0.0
61.0,1.104951481,1.2959562374566378E-7,61.0,88.52459016393442,77.10455764075067,61.0,459936.0,50.0,0.0
62.0,1.117198863,1.3105288794954004E-7,62.0,88.70967741935483,77.51295336787565,62.0,459936.0,50.0,0.0
63.0,1.129474023,1.3251345734019462E-7,63.0,88.88888888888889,77.82805429864253,63.0,459936.0,50.0,0.0
64.0,1.142416583,1.3405343783517066E-7,64.0,89.0625,78.125,64.0,459936.0,50.0,0.0
65.0,1.155016234,1.355526170380104E-7,65.0,89.23076923076924,78.40531561461795,65.0,459936.0,50.0,0.0
66.0,1.167310797,1.3701549510960165E-7,66.0,89.39393939393939,78.67036011080332,66.0,459936.0,50.0,0.0
67.0,1.182005811,1.3876399269689504E-7,67.0,89.55223880597015,79.05314872711033,67.0,459936.0,50.0,0.0
68.0,1.196508791,1.4048964097042267E-7,68.0,89.70588235294117,79.41176470588236,68.0,459936.0,50.0,0.0
69.0,1.208987194,1.4197439338636285E-7,69.0,89.85507246376811,79.74842767295598,69.0,459936.0,50.0,0.0
70.0,1.220493898,1.4334352744650727E-7,70.0,90.0,80.0,70.0,459936.0,50.0,0.0
71.0,1.232291644,1.447472913637448E-7,71.0,90.14084507042254,80.23856858846918,71.0,459936.0,50.0,0.0
72.0,1.244198873,1.4616408220027273E-7,72.0,90.27777777777779,80.55555555555556,72.0,459936.0,50.0,0.0
73.0,1.255558589,1.4751572677974287E-7,73.0,90.41095890410958,80.7822489657766,73.0,459936.0,50.0,0.0
74.0,1.26777144,1.4896888228592162E-7,74.0,90.54054054054053,81.08108108108108,74.0,459936.0,50.0,0.0
75.0,1.279253768,1.5033511594888453E-7,75.0,90.66666666666666,81.29675810473815,75.0,459936.0,50.0,0.0
76.0,1.290855246,1.5171552676659707E-7,76.0,90.78947368421053,81.57894736842107,76.0,459936.0,50.0,0.0
77.0,1.302700071,1.5312489241500082E-7,77.0,90.9090909090909,81.8457393061637,77.0,459936.0,50.0,0.0
78.0,1.31393279,1.5446142615836743E-7,78.0,91.02564102564102,82.09836065573771,78.0,459936.0,50.0,0.0
79.0,1.32521651,1.5580402829509858E-7,79.0,91.13924050632912,82.33791121047588,79.0,459936.0,50.0,0.0
80.0,1.336897171,1.5719386076320593E-7,80.0,91.25,82.54364089775561,80.0,459936.0,50.0,0.0
81.0,1.348473154,1.5857123803865794E-7,81.0,91.35802469135803,82.73972602739725,81.0,459936.0,50.0,0.0
82.0,1.360016393,1.5994471924398724E-7,82.0,91.46341463414635,82.92682926829269,82.0,459936.0,50.0,0.0
83.0,1.371419371,1.6130151138593142E-7,83.0,91.56626506024097,83.10555394009886,83.0,459936.0,50.0,0.0
84.0,1.383514476,1.627406567933846E-7,84.0,91.66666666666666,83.27645051194538,84.0,459936.0,50.0,0.0
85.0,1.395796649,1.6420206063125912E-7,85.0,91.76470588235294,83.44002226551628,85.0,459936.0,50.0,0.0
86.0,1.408178798,1.656753601906884E-7,86.0,91.86046511627907,83.5967302452316,86.0,459936.0,50.0,0.0
87.0,1.420499252,1.6714131892290597E-7,87.0,91.95402298850574,83.82470119521912,87.0,459936.0,50.0,0.0
88.0,1.43262841,1.685845161528576E-7,88.0,92.04545454545455,84.04145077720206,88.0,459936.0,50.0,0.0
89.0,1.444890447,1.7004352409322445E-7,89.0,92.13483146067416,84.24778761061947,89.0,459936.0,50.0,0.0
90.0,1.457054946,1.7149092639934902E-7,90.0,92.22222222222223,84.44444444444446,90.0,459936.0,50.0,0.0
91.0,1.468892581,1.7289943654005115E-7,91.0,92.3076923076923,84.63208685162847,91.0,459936.0,50.0,0.0
92.0,1.482586081,1.7452876821075264E-7,92.0,92.3913043478261,84.81132075471697,92.0,459936.0,50.0,0.0
93.0,1.494615759,1.7596012873609247E-7,93.0,92.47311827956989,84.96188496188495,93.0,459936.0,50.0,0.0
94.0,1.50630018,1.7735040859070302E-7,94.0,92.5531914893617,85.10638297872339,94.0,459936.0,50.0,0.0
95.0,1.517816626,1.7872070181023956E-7,95.0,92.63157894736842,85.27783927385433,95.0,459936.0,50.0,0.0
96.0,1.529281909,1.8008490736071647E-7,96.0,92.70833333333334,85.41666666666667,96.0,459936.0,50.0,0.0
97.0,1.540657962,1.8143849581074596E-7,97.0,92.78350515463917,85.55011704618003,97.0,459936.0,50.0,0.0
