learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.084942835,1.570088681148158E-8,1.0,100.0,?,1.0,714496.0,100.0,0.0
2.0,0.249269982,4.828514000109086E-8,2.0,100.0,?,2.0,766480.0,100.0,0.0
3.0,0.318298409,6.359533489231848E-8,3.0,66.66666666666666,0.0,3.0,857344.0,100.0,0.0
4.0,0.404221337,8.310184413020396E-8,4.0,75.0,0.0,4.0,877552.0,100.0,0.0
5.0,0.467080221,9.763012183197257E-8,5.0,60.0,0.0,5.0,893408.0,100.0,0.0
6.0,0.510345141,1.0771587770618912E-7,6.0,66.66666666666666,0.0,6.0,901104.0,100.0,0.0
7.0,0.548443462,1.166311202565208E-7,7.0,57.14285714285714,0.0,7.0,904544.0,100.0,0.0
8.0,0.587383465,1.2574332159619776E-7,8.0,62.5,25.0,8.0,904544.0,100.0,0.0
9.0,0.626093396,1.348088949526184E-7,9.0,55.55555555555556,5.263157894736842,9.0,905264.0,100.0,0.0
10.0,0.664785673,1.4387377721921643E-7,10.0,60.0,19.999999999999996,10.0,905608.0,100.0,0.0
11.0,0.703474262,1.5293779545587383E-7,11.0,63.63636363636363,29.032258064516135,11.0,905608.0,100.0,0.0
12.0,0.744390446,1.6253639990605E-7,12.0,58.333333333333336,16.666666666666675,12.0,906808.0,100.0,0.0
13.0,0.781419399,1.7122638685455754E-7,13.0,61.53846153846154,23.52941176470589,13.0,907152.0,100.0,0.0
14.0,0.818114829,1.7983810233487024E-7,14.0,64.28571428571429,28.57142857142858,14.0,907152.0,100.0,0.0
15.0,0.853599663,1.881657140912695E-7,15.0,66.66666666666666,33.62831858407079,15.0,907152.0,100.0,0.0
16.0,0.888199989,1.9628789701065256E-7,16.0,68.75,37.5,16.0,907392.0,100.0,0.0
17.0,0.922503206,2.0434033568412894E-7,17.0,70.58823529411765,41.379310344827594,17.0,907392.0,100.0,0.0
18.0,0.95657954,2.123425477275211E-7,18.0,72.22222222222221,44.44444444444444,18.0,907736.0,100.0,0.0
19.0,0.989465177,2.200651460697026E-7,19.0,73.68421052631578,46.927374301675975,19.0,907736.0,100.0,0.0
20.0,1.022428033,2.2780587790041542E-7,20.0,70.0,39.99999999999999,20.0,907736.0,100.0,0.0
21.0,1.054597205,2.3536022736783037E-7,21.0,71.42857142857143,42.20183486238532,21.0,907736.0,100.0,0.0
22.0,1.08596579,2.427265734269801E-7,22.0,68.18181818181817,35.29411764705881,22.0,907736.0,100.0,0.0
23.0,1.120186883,2.507627795089678E-7,23.0,69.56521739130434,37.354085603112836,23.0,907736.0,100.0,0.0
