learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.046751038,4.621173619226449E-9,1.0,100.0,?,1.0,382088.0,50.0,0.0
2.0,0.139836048,1.4726398389492596E-8,2.0,100.0,?,2.0,419632.0,50.0,0.0
3.0,0.170281535,1.818893237677299E-8,3.0,66.66666666666666,0.0,3.0,439616.0,50.0,0.0
4.0,0.19594788,2.1186237171813842E-8,4.0,75.0,0.0,4.0,451408.0,50.0,0.0
5.0,0.220934204,2.4104129405228625E-8,5.0,80.0,0.0,5.0,451408.0,50.0,0.0
6.0,0.242353436,2.6643005132286083E-8,6.0,66.66666666666666,0.0,6.0,458184.0,50.0,0.0
7.0,0.260849778,2.8837720125288597E-8,7.0,71.42857142857143,0.0,7.0,458664.0,50.0,0.0
8.0,0.278814088,3.097042132547332E-8,8.0,75.0,0.0,8.0,458904.0,50.0,0.0
9.0,0.297207199,3.3155666121786664E-8,9.0,66.66666666666666,0.0,9.0,459248.0,50.0,0.0
10.0,0.315158574,3.5291624337008425E-8,10.0,70.0,28.571428571428548,10.0,459936.0,50.0,0.0
11.0,0.334566175,3.7600852727240154E-8,11.0,63.63636363636363,21.428571428571427,11.0,459936.0,50.0,0.0
12.0,0.352685919,3.975684445793016E-8,12.0,66.66666666666666,33.33333333333333,12.0,459936.0,50.0,0.0
13.0,0.371014022,4.193762794511599E-8,13.0,69.23076923076923,34.99999999999999,13.0,459936.0,50.0,0.0
14.0,0.389976052,4.41938397258727E-8,14.0,71.42857142857143,36.363636363636374,14.0,459936.0,50.0,0.0
15.0,0.407942084,4.633154191555662E-8,15.0,73.33333333333333,44.44444444444443,15.0,459936.0,50.0,0.0
16.0,0.425943654,4.847347262161059E-8,16.0,75.0,50.0,16.0,459936.0,50.0,0.0
17.0,0.44450032,5.0681451853832435E-8,17.0,76.47058823529412,51.42857142857141,17.0,459936.0,50.0,0.0
18.0,0.462242649,5.279253656933291E-8,18.0,77.77777777777779,52.63157894736842,18.0,459936.0,50.0,0.0
19.0,0.481470426,5.5080368462076615E-8,19.0,78.94736842105263,56.81818181818182,19.0,459936.0,50.0,0.0
20.0,0.499622231,5.724017499560697E-8,20.0,80.0,60.00000000000001,20.0,459936.0,50.0,0.0
21.0,0.517881769,5.9412800223326516E-8,21.0,80.95238095238095,62.500000000000014,21.0,459936.0,50.0,0.0
22.0,0.536560775,6.16353361749111E-8,22.0,81.81818181818183,64.51612903225808,22.0,459936.0,50.0,0.0
23.0,0.5548457,6.381098209442778E-8,23.0,82.6086956521739,65.67164179104478,23.0,459936.0,50.0,0.0
24.0,0.57401421,6.609176205741449E-8,24.0,83.33333333333334,66.66666666666667,24.0,459936.0,50.0,0.0
25.0,0.592859211,6.833404905224426E-8,25.0,84.0,68.35443037974683,25.0,459936.0,50.0,0.0
26.0,0.611615741,7.056580925682768E-8,26.0,84.61538461538461,69.23076923076923,26.0,459936.0,50.0,0.0
27.0,0.6308007,7.284854641678019E-8,27.0,85.18518518518519,70.0,27.0,459936.0,50.0,0.0
28.0,0.649832942,7.51131124265699E-8,28.0,85.71428571428571,71.42857142857142,28.0,459936.0,50.0,0.0
29.0,0.668857954,7.737681816922708E-8,29.0,86.20689655172413,72.64150943396226,29.0,459936.0,50.0,0.0
30.0,0.686911147,7.952489127779587E-8,30.0,86.66666666666667,73.33333333333334,30.0,459936.0,50.0,0.0
31.0,0.705013249,8.167878386149391E-8,31.0,87.09677419354838,73.94957983193278,31.0,459936.0,50.0,0.0
32.0,0.723706505,8.390301536033138E-8,32.0,87.5,75.0,32.0,459936.0,50.0,0.0
33.0,0.741446081,8.601377250800118E-8,33.0,87.87878787878788,75.91240875912409,33.0,459936.0,50.0,0.0
34.0,0.75879415,8.807794589298054E-8,34.0,88.23529411764706,76.47058823529412,34.0,459936.0,50.0,0.0
35.0,0.77604991,9.01311358203201E-8,35.0,88.57142857142857,76.97368421052632,35.0,459936.0,50.0,0.0
36.0,0.793291454,9.218263424592301E-8,36.0,88.88888888888889,77.4294670846395,36.0,459936.0,50.0,0.0
37.0,0.810604688,9.424266276153013E-8,37.0,89.1891891891892,78.23529411764706,37.0,459936.0,50.0,0.0
38.0,0.830321438,9.658867548423097E-8,38.0,89.47368421052632,78.65168539325843,38.0,459936.0,50.0,0.0
39.0,0.850361374,9.897314274268433E-8,39.0,89.74358974358975,79.03225806451614,39.0,459936.0,50.0,0.0
40.0,0.867089846,1.0096359290020748E-7,40.0,90.0,79.38144329896907,40.0,459936.0,50.0,0.0
41.0,0.882764137,1.0282861051747784E-7,41.0,90.2439024390244,79.70297029702971,41.0,459936.0,50.0,0.0
42.0,0.898929113,1.047520126683472E-7,42.0,90.47619047619048,80.41958041958041,42.0,459936.0,50.0,0.0
43.0,0.914971665,1.0666084810504898E-7,43.0,90.69767441860465,81.05726872246694,43.0,459936.0,50.0,0.0
44.0,0.930611274,1.0852173905777022E-7,44.0,90.9090909090909,81.35593220338983,44.0,459936.0,50.0,0.0
