learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
1.0,0.004750411,8.160126561092007E-12,1.0,100.0,?,1.0,6640.0
2.0,0.012167547,2.0901080655554933E-11,2.0,100.0,?,2.0,6640.0
3.0,0.013507112,2.3321360877404612E-11,3.0,66.66666666666666,0.0,3.0,6984.0
4.0,0.014549942,2.5205510451147956E-11,4.0,75.0,0.0,4.0,6984.0
5.0,0.015563536,2.703683742011587E-11,5.0,80.0,0.0,5.0,6984.0
6.0,0.016576128,2.886635400975744E-11,6.0,66.66666666666666,0.0,6.0,6984.0
7.0,0.017524348,3.05795654716591E-11,7.0,71.42857142857143,0.0,7.0,6984.0
8.0,0.018467856,3.228426345313589E-11,8.0,75.0,0.0,8.0,6984.0
9.0,0.019418866,3.4002515791604915E-11,9.0,66.66666666666666,0.0,9.0,6984.0
10.0,0.021681635,3.8090809422234695E-11,10.0,60.0,0.0,10.0,6984.0
11.0,0.022743443,4.000924779723088E-11,11.0,54.54545454545454,0.0,11.0,6984.0
12.0,0.023679478,4.1700443817923466E-11,12.0,50.0,0.0,12.0,6984.0
13.0,0.024570788,4.331083223844568E-11,13.0,53.84615384615385,0.0,13.0,6984.0
14.0,0.025340124,4.470084220791857E-11,14.0,57.14285714285714,0.0,14.0,6984.0
15.0,0.026036262,4.5958600534747045E-11,15.0,53.333333333333336,0.0,15.0,6984.0
16.0,0.026755043,4.725726945946614E-11,16.0,50.0,0.0,16.0,6984.0
17.0,0.027448144,4.850954063857595E-11,17.0,52.94117647058824,0.0,17.0,6984.0
18.0,0.028173171,4.981949462244908E-11,18.0,55.55555555555556,0.0,18.0,6984.0
19.0,0.028868883,5.1076483267049E-11,19.0,52.63157894736842,0.0,19.0,6984.0
20.0,0.029606882,5.240987461681168E-11,20.0,50.0,0.0,20.0,6984.0
21.0,0.030284649,5.3634440849224734E-11,21.0,47.61904761904761,0.0,21.0,6984.0
22.0,0.03151469,5.5856836854169775E-11,22.0,50.0,7.633587786259547,22.0,6984.0
23.0,0.032187751,5.707290044675272E-11,23.0,47.82608695652174,-0.7299270072992662,23.0,6984.0
24.0,0.032850688,5.827067234242957E-11,24.0,45.83333333333333,-8.333333333333337,24.0,6984.0
25.0,0.033519513,5.947908247510593E-11,25.0,44.0,-8.695652173913045,25.0,6984.0
26.0,0.034190849,6.069202939669292E-11,26.0,42.30769230769231,-15.384615384615385,26.0,6984.0
27.0,0.034847816,6.187901490057509E-11,27.0,44.44444444444444,-14.084507042253533,27.0,6984.0
28.0,0.035525236,6.310295418525737E-11,28.0,42.857142857142854,-14.28571428571429,28.0,6984.0
29.0,0.036193548,6.431043744708102E-11,29.0,41.37931034482759,-14.385150812064959,29.0,6984.0
30.0,0.036860919,6.551622054229182E-11,30.0,40.0,-19.999999999999996,30.0,6984.0
31.0,0.037541499,6.674586920688551E-11,31.0,41.935483870967744,-18.72340425531914,31.0,6984.0
32.0,0.038204622,6.794397716100019E-11,32.0,40.625,-18.75,32.0,6984.0
33.0,0.0388718,6.914941155041259E-11,33.0,39.39393939393939,-18.70503597122303,33.0,6984.0
34.0,0.040200642,7.155031782264513E-11,34.0,38.23529411764706,-23.529411764705888,34.0,6984.0
35.0,0.040802882,7.263842445487779E-11,35.0,40.0,-22.296173044925123,35.0,6984.0
36.0,0.04141486,7.374412537241977E-11,36.0,41.66666666666667,-21.153846153846143,36.0,6984.0
37.0,0.042016642,7.483140450591845E-11,37.0,40.54054054054054,-21.13095238095238,37.0,6984.0
38.0,0.042627225,7.593458498517675E-11,38.0,42.10526315789473,-20.11494252873562,38.0,6984.0
39.0,0.043261324,7.708025336886449E-11,39.0,43.58974358974359,-19.16666666666667,39.0,6984.0
40.0,0.043857824,7.815798916543527E-11,40.0,45.0,-18.279569892473123,40.0,6984.0
41.0,0.044475476,7.927394167209669E-11,41.0,46.34146341463415,-17.447916666666664,41.0,6984.0
