learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
325.0,0.430640335,7.520861234303771E-8,325.0,76.61538461538461,9.351145038167976,325.0,675080.0,50.0,323.94000000000005,2.3959847364169193,7678.24,150.23999999999998,1.04,0.04,1.02,0.02,1.02,0.02,0.019999999999999997,0.02,0.0,0.0,0.0,0.0,1.0,0.0
650.0,0.798759138,1.459572900334249E-7,650.0,80.92307692307692,28.996793403573072,650.0,742904.0,50.0,646.5399999999998,4.005222101411191,9030.400000000001,429.2571428571428,1.4,0.11428571428571427,1.2000000000000004,0.057142857142857134,1.2000000000000004,0.057142857142857134,0.2,0.057142857142857134,0.0,0.0,0.0,0.0,1.0,0.0
975.0,1.070732096,2.0384635349419798E-7,975.0,81.23076923076923,34.1801896850019,975.0,822760.0,50.0,972.0400000000002,4.0238026486275436,10621.920000000002,601.7778638504478,1.9199999999999997,0.17341703891992588,1.4600000000000002,0.08670851945996295,1.4600000000000002,0.08670851945996295,0.4599999999999999,0.08670851945996294,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,1.303809956,2.620777321422556E-7,1300.0,81.8,42.15905623919452,1300.0,965736.0,50.0,1293.8,4.463548510560003,13472.639999999998,870.9978091117974,2.5999999999999996,0.23560603574958058,1.7999999999999998,0.11780301787479029,1.7999999999999998,0.11780301787479029,0.8000000000000003,0.1178030178747903,0.0,0.0,0.0,0.0,1.0,0.0
1625.0,1.464961314,3.043130085357031E-7,1625.0,79.5,38.070207238233365,1625.0,1013080.0,50.0,1620.28,5.12815676795617,14416.639999999996,906.3682856277777,2.8399999999999994,0.24135670950791854,1.9199999999999997,0.12067835475395927,1.9199999999999997,0.12067835475395927,0.9199999999999999,0.12067835475395929,0.0,0.0,0.0,0.0,1.0,0.0
1950.0,1.642502261,3.551258854632308E-7,1950.0,78.8,36.05212355212355,1950.0,1106312.0,50.0,1944.5399999999997,4.86421418030053,16274.400000000003,894.2767174353468,3.52,0.2342857142857143,2.260000000000001,0.11714285714285715,2.260000000000001,0.11714285714285715,1.24,0.11270333099037726,0.0,0.0,0.0,0.0,1.0,0.0
2275.0,1.854279633,4.2556657258025274E-7,2275.0,78.8,33.107413086966666,2275.0,1285720.0,50.0,2269.24,5.317246487053391,19851.039999999997,969.4084512079876,4.400000000000002,0.2571428571428572,2.700000000000001,0.1285714285714286,2.700000000000001,0.1285714285714286,1.6799999999999997,0.1226909174490508,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,2.044409296,4.933296841044683E-7,2600.0,79.80000000000001,34.69208286992732,2600.0,1377672.0,50.0,2600.34,5.845815527680754,21684.479999999996,1068.766885958977,4.840000000000002,0.2904746291917448,2.920000000000001,0.1452373145958724,2.920000000000001,0.1452373145958724,1.9000000000000001,0.1406979685970872,0.0,0.0,0.0,0.0,1.0,0.0
2925.0,2.232294263,5.621510790020435E-7,2925.0,81.10000000000001,35.12199810515042,2925.0,1415904.0,50.0,2925.9199999999996,6.033095120640312,22446.72000000001,1168.8459750976776,5.039999999999998,0.3155300043949376,3.019999999999999,0.1577650021974688,3.019999999999999,0.1577650021974688,1.96,0.1427428113919634,0.0,0.0,0.0,0.0,1.0,0.0
3250.0,2.383542667,6.187499891790707E-7,3250.0,81.6,37.60893006096691,3250.0,1446504.0,50.0,3253.84,6.529766067629006,23056.8,1227.4863141512296,5.200000000000001,0.3295017884191656,3.1000000000000005,0.1647508942095828,3.1000000000000005,0.1647508942095828,2.0000000000000004,0.14568627181693672,0.0,0.0,0.0,0.0,1.0,0.0
