learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
325.0,1.238897162,4.927550268528362E-7,325.0,81.53846153846153,37.96526054590568,325.0,1537440.0,100.0,323.27,1.8699567866232591,9677.119999999997,401.99532267242245,1.7599999999999998,0.12318992481431905,1.3800000000000008,0.061594962407159504,1.3800000000000008,0.061594962407159504,0.38000000000000006,0.06159496240715952,0.0,0.0,0.0,0.0,1.0,0.0
650.0,1.90863775,8.07184643790995E-7,650.0,81.07692307692308,40.93091983745844,650.0,1814760.0,100.0,646.8999999999996,2.223497109046782,12441.920000000002,636.953528216204,2.42,0.17591320173726177,1.71,0.08795660086863089,1.71,0.08795660086863089,0.7099999999999997,0.08795660086863089,0.0,0.0,0.0,0.0,1.0,0.0
975.0,2.586198609,1.1980418135437513E-6,975.0,80.92307692307692,41.71434081121036,975.0,2229832.0,100.0,972.2699999999998,2.6191160124875523,16579.199999999997,726.1066643963601,3.5000000000000004,0.1935839545901144,2.2500000000000004,0.0967919772950572,2.2500000000000004,0.0967919772950572,1.2500000000000002,0.0967919772950572,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,3.042306389,1.475795454343555E-6,1300.0,81.0,43.35797758168379,1300.0,2353936.0,100.0,1300.17,3.039938031000503,17816.32,734.3014649242497,3.8000000000000003,0.1989873352652364,2.4000000000000004,0.09949366763261822,2.4000000000000004,0.09949366763261822,1.4000000000000001,0.0994936676326182,0.0,0.0,0.0,0.0,1.0,0.0
1625.0,3.50962165,1.7855443537311376E-6,1625.0,81.89999999999999,43.525741029641175,1625.0,2562136.0,100.0,1626.9199999999996,3.485835117249016,19891.039999999997,817.2101209615678,4.459999999999999,0.2199265258391465,2.7299999999999995,0.10996326291957326,2.7299999999999995,0.10996326291957326,1.7100000000000002,0.10569156575009693,0.0,0.0,0.0,0.0,1.0,0.0
1950.0,4.006139808,2.144397605019737E-6,1950.0,83.0,45.736483596458186,1950.0,2793728.0,100.0,1951.0,3.720242199131939,22199.68,911.1921065984236,5.04,0.24941142837901514,3.02,0.12470571418950757,3.02,0.12470571418950757,1.98,0.11718930554164633,0.0,0.0,0.0,0.0,1.0,0.0
2275.0,4.48691034,2.513635170124922E-6,2275.0,83.3,47.27536780955988,2275.0,2968728.0,100.0,2272.9000000000005,4.158804703957204,23944.160000000007,952.8542740735344,5.5399999999999965,0.26795898977645854,3.2699999999999982,0.13397949488822927,3.2699999999999982,0.13397949488822927,2.170000000000001,0.1198104563656505,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,4.968200783,2.89867444067705E-6,2600.0,83.6,47.40386773996985,2600.0,3092432.0,100.0,2597.3900000000003,4.479400550623853,25177.76,1014.6907564057896,5.760000000000001,0.27381332577823414,3.3800000000000003,0.13690666288911707,3.3800000000000003,0.13690666288911707,2.2399999999999998,0.12070499977091657,0.0,0.0,0.0,0.0,1.0,0.0
2925.0,5.452703646,3.301189273314834E-6,2925.0,82.69999999999999,42.78570767134523,2925.0,3211352.0,100.0,2919.75,4.4558297983562145,26362.63999999999,1084.1922737077944,6.2,0.30351476425573115,3.6,0.15175738212786558,3.6,0.15175738212786558,2.4,0.1294900643589182,0.0,0.0,0.0,0.0,1.0,0.0
3250.0,5.940201356,3.7241127421453325E-6,3250.0,83.3,41.59613905015036,3250.0,3353448.0,100.0,3245.13,4.943512328437562,27779.039999999997,1131.887664226571,6.580000000000002,0.2998922365373161,3.790000000000001,0.14994611826865806,3.790000000000001,0.14994611826865806,2.5499999999999994,0.12175069742400793,0.0,0.0,0.0,0.0,1.0,0.0
