learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
325.0,0.089767917,1.399363710705191E-8,325.0,76.0,0.0,325.0,602576.0,100.0,323.27,1.8699567866232591,9928.0,0.0
650.0,0.202881843,3.162660983379931E-8,650.0,75.38461538461539,0.0,650.0,602576.0,100.0,646.8999999999996,2.223497109046782,9928.0,0.0
975.0,0.290322389,4.5315892912894496E-8,975.0,74.87179487179488,0.0,975.0,605160.0,100.0,972.2699999999998,2.6191160124875523,9953.84,5.738382554643279
1300.0,0.390567523,6.133697930798763E-8,1300.0,74.9,3.974168668798897,1300.0,617776.0,100.0,1300.17,3.039938031000503,10080.0,0.0
1625.0,0.446803516,7.032456470407132E-8,1625.0,77.10000000000001,12.092130518234194,1625.0,617776.0,100.0,1626.9199999999996,3.485835117249016,10080.0,0.0
1950.0,0.503898394,7.944941632185959E-8,1950.0,78.2,16.690232885193026,1950.0,617776.0,100.0,1951.0,3.720242199131939,10080.0,0.0
2275.0,0.571841335,9.030799552928242E-8,2275.0,77.5,16.876015959804956,2275.0,617776.0,100.0,2272.9000000000005,4.158804703957204,10080.0,0.0
2600.0,0.627705796,9.923620301809989E-8,2600.0,77.5,12.184841152134894,2600.0,617776.0,100.0,2597.3900000000003,4.479400550623853,10080.0,0.0
2925.0,0.684111104,1.082508481839175E-7,2925.0,77.3,9.479527219944856,2925.0,617776.0,100.0,2919.75,4.4558297983562145,10080.0,0.0
3250.0,0.753010025,1.1926221124788125E-7,3250.0,79.0,8.165407220822848,3250.0,617776.0,100.0,3245.13,4.943512328437562,10080.0,0.0
3575.0,0.806977915,1.2788731047963931E-7,3575.0,78.5,6.724511930585712,3575.0,617776.0,100.0,3569.910000000001,5.181456739122103,10080.0,0.0
3900.0,0.865417662,1.372270978412322E-7,3900.0,78.9,11.063528459670913,3900.0,617776.0,100.0,3892.0699999999993,5.4970562369987945,10080.0,0.0
4225.0,0.933696628,1.4813938025938555E-7,4225.0,78.2,11.203076120959324,4225.0,617776.0,100.0,4217.959999999999,5.771103915546861,10080.0,0.0
4550.0,0.9880414,1.5682471243055745E-7,4550.0,78.60000000000001,14.596769044122324,4550.0,617776.0,100.0,4541.6,6.049843474058315,10080.0,0.0
4875.0,1.04246133,1.655220562851222E-7,4875.0,80.4,12.61547241145633,4875.0,617776.0,100.0,4866.730000000001,6.309810463144524,10080.0,0.0
5200.0,1.142709673,1.8154365553968484E-7,5200.0,80.5,13.282459042638353,5200.0,617776.0,100.0,5190.949999999999,6.400242656384686,10080.0,0.0
5525.0,1.194443349,1.8981168471636046E-7,5525.0,79.80000000000001,12.204450625869304,5525.0,617776.0,100.0,5514.1799999999985,6.62521019296823,10080.0,0.0
5850.0,1.246026145,1.980556003882819E-7,5850.0,78.4,13.436568240838707,5850.0,617776.0,100.0,5839.609999999998,6.772551478974044,10080.0,0.0
