learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
325.0,0.51978369,9.099423675493648E-8,325.0,71.07692307692308,21.404682274247527,325.0,676696.0,50.0,20.0
650.0,0.969303405,1.8092258770655218E-7,650.0,69.38461538461539,18.365414957399835,650.0,773304.0,50.0,23.0
975.0,1.270178047,2.4997102225929707E-7,975.0,70.87179487179486,24.030837608713522,975.0,887096.0,50.0,19.0
1300.0,1.465860499,2.9886370940161456E-7,1300.0,71.8,26.53188828678615,1300.0,965816.0,50.0,23.0
1625.0,1.642129539,3.452362037920559E-7,1625.0,75.1,33.33333333333334,1625.0,1016920.0,50.0,21.0
1950.0,1.829803924,3.99206436957063E-7,1950.0,76.8,36.945213000157636,1950.0,1111608.0,50.0,20.0
2275.0,2.011982859,4.5305998648149065E-7,2275.0,77.60000000000001,40.89241892498088,2275.0,1142664.0,50.0,23.0
2600.0,2.209952549,5.138254414904924E-7,2600.0,77.10000000000001,38.85833288834304,2600.0,1186480.0,50.0,24.0
2925.0,2.407065216,5.748463378311652E-7,2925.0,77.10000000000001,38.18896362595955,2925.0,1196648.0,50.0,22.0
3250.0,2.585009125,6.31281709366865E-7,3250.0,78.10000000000001,38.674014583823386,3250.0,1225944.0,50.0,20.0
3575.0,2.812979699,7.162248230731218E-7,3575.0,79.0,41.2669556705356,3575.0,1440296.0,50.0,17.0
3900.0,2.99416773,7.874980015067238E-7,3900.0,78.7,40.86487206823028,3900.0,1520544.0,50.0,20.0
4225.0,3.13788852,8.444025725458914E-7,4225.0,78.3,40.087025665945134,4225.0,1530488.0,50.0,25.0
4550.0,3.287998568,9.059935573120436E-7,4550.0,78.0,39.520563008577106,4550.0,1586024.0,50.0,19.0
4875.0,3.454804034,9.783689093748127E-7,4875.0,79.0,38.206214689265536,4875.0,1677192.0,50.0,23.0
5200.0,3.604016465,1.0437728965084461E-6,5200.0,77.7,34.928508899912444,5200.0,1694344.0,50.0,24.0
5525.0,3.7671708,1.116206122131716E-6,5525.0,76.2,32.41708314402545,5525.0,1716096.0,50.0,22.0
5850.0,3.921770185,1.1860181447224153E-6,5850.0,73.5,28.28611944014463,5850.0,1745520.0,50.0,27.0
6175.0,4.087335139,1.2647857734433768E-6,6175.0,75.5,34.581535438116816,6175.0,1839000.0,50.0,21.0
6500.0,4.239347059,1.3382903393494047E-6,6500.0,75.6,35.9459005376344,6500.0,1869128.0,50.0,24.0
6825.0,4.408726172,1.4236010982814472E-6,6825.0,76.4,39.84993067449638,6825.0,1946912.0,50.0,16.0
7150.0,4.586875358,1.5192359780547436E-6,7150.0,75.6,35.452126111731324,7150.0,2075080.0,50.0,19.0
7475.0,4.772598292,1.6236075363698809E-6,7475.0,74.2,30.264239069324926,7475.0,2172296.0,50.0,18.0
7800.0,4.93650016,1.7184441562668442E-6,7800.0,74.2,28.66306848345425,7800.0,2236632.0,50.0,29.0
8125.0,5.117238931,1.8286809175461553E-6,8125.0,73.9,30.676554332582555,8125.0,2357640.0,50.0,22.0
8450.0,5.301412397,1.9456925406163748E-6,8450.0,76.7,35.10327770226608,8450.0,2455864.0,50.0,20.0
8775.0,5.482762132,2.0669738615040234E-6,8775.0,78.2,39.90914704066332,8775.0,2585112.0,50.0,22.0
9100.0,5.650306508,2.181994569090928E-6,9100.0,79.80000000000001,40.5697070263082,9100.0,2653680.0,50.0,25.0
9425.0,5.825040958,2.304755416580795E-6,9425.0,79.0,41.06983505166213,9425.0,2715712.0,50.0,26.0
9750.0,5.998556259,2.4298999766769324E-6,9750.0,75.3,33.32613507531176,9750.0,2787896.0,50.0,24.0
10075.0,6.203744219,2.58531552660273E-6,10075.0,73.9,31.21804669793918,10075.0,2927824.0,50.0,25.0
10400.0,6.407209307,2.7436488370017854E-6,10400.0,72.89999999999999,30.189904069078523,10400.0,3008048.0,50.0,15.0
10725.0,6.586814175,2.8858618488827496E-6,10725.0,76.2,38.908881827189155,10725.0,3060720.0,50.0,20.0
11050.0,6.766318131,3.032577068365827E-6,11050.0,78.9,41.917440183221586,11050.0,3159392.0,50.0,21.0
