learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
325.0,0.483708866,8.46789153258461E-8,325.0,70.76923076923077,20.91242091242093,325.0,676696.0,50.0,0.0
650.0,0.719576725,1.2646289978446645E-7,650.0,68.46153846153847,14.479173352159687,650.0,684768.0,50.0,0.0
975.0,0.979528312,1.7540612740536735E-7,975.0,69.02564102564102,17.007243721638133,975.0,727784.0,50.0,0.0
1300.0,1.193483324,2.2046482592521645E-7,1300.0,68.0,14.91534076406025,1300.0,814064.0,50.0,0.0
1625.0,1.319992487,2.4832997809092616E-7,1625.0,70.0,17.808219178082176,1625.0,851416.0,50.0,0.0
1950.0,1.441721897,2.753884700950525E-7,1950.0,69.39999999999999,15.437376679507622,1950.0,859232.0,50.0,0.0
2275.0,1.582415179,3.086813656449939E-7,2275.0,72.7,25.952045133991536,2275.0,914704.0,50.0,0.0
2600.0,1.711000194,3.3938579162537226E-7,2600.0,74.7,28.968499073502173,2600.0,923024.0,50.0,0.0
2925.0,1.84500639,3.716631743346072E-7,2925.0,75.0,28.85438484655312,2925.0,931056.0,50.0,0.0
3250.0,2.003592393,4.1244070316846587E-7,3250.0,74.1,21.614914351431494,3250.0,993936.0,50.0,0.0
3575.0,2.2320046,4.839807429432248E-7,3575.0,72.6,16.98227541281622,3575.0,1210688.0,50.0,0.0
3900.0,2.474255222,5.752138177849146E-7,3900.0,73.8,20.931916948334106,3900.0,1455760.0,50.0,0.0
4225.0,2.638717691,6.400367329681768E-7,4225.0,74.9,25.485679000617473,4225.0,1523576.0,50.0,0.0
4550.0,2.786547744,6.994145762671903E-7,4550.0,76.6,31.52929609775511,4550.0,1552616.0,50.0,0.0
4875.0,2.964717451,7.740555073334131E-7,4875.0,77.9,30.898630479644808,4875.0,1619368.0,50.0,0.0
5200.0,3.142570916,8.523430992095027E-7,5200.0,76.6,28.245510744774798,5200.0,1701504.0,50.0,0.0
5525.0,3.317139883,9.313125502908395E-7,5525.0,75.8,27.35350624399613,5525.0,1748616.0,50.0,0.0
5850.0,3.504898186,1.019018276257513E-6,5850.0,73.6,25.930913743182288,5850.0,1805640.0,50.0,0.0
6175.0,3.674517772,1.099583256522266E-6,6175.0,73.8,27.393653872800307,6175.0,1836000.0,50.0,0.0
6500.0,3.8317688,1.1757100128004266E-6,6500.0,72.2,24.705321546195172,6500.0,1871312.0,50.0,0.0
6825.0,3.988574213,1.2527020365515352E-6,6825.0,72.2,26.176920462270566,6825.0,1897960.0,50.0,0.0
