learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
325.0,0.024251113,6.961386595128311E-11,325.0,76.0,0.0,325.0,11096.0
650.0,0.039639439,1.1378671951798929E-10,650.0,75.38461538461539,0.0,650.0,11096.0
975.0,0.045237555,1.2985635297372938E-10,975.0,74.87179487179488,0.0,975.0,11096.0
1300.0,0.055751723,1.6045116921472882E-10,1300.0,74.9,3.974168668798897,1300.0,11248.0
1625.0,0.061184517,1.7625986982757848E-10,1625.0,77.10000000000001,12.092130518234194,1625.0,11248.0
1950.0,0.069383412,2.0011755270883442E-10,1950.0,78.2,16.690232885193026,1950.0,11248.0
2275.0,0.078009158,2.2521731465020115E-10,2275.0,77.5,16.876015959804956,2275.0,11248.0
2600.0,0.085248328,2.4628232672603593E-10,2600.0,77.5,12.184841152134894,2600.0,11248.0
2925.0,0.092264073,2.6669720207030575E-10,2925.0,77.3,9.479527219944856,2925.0,11248.0
3250.0,0.098962766,2.86189498692337E-10,3250.0,79.0,8.165407220822848,3250.0,11248.0
3575.0,0.103092929,2.9820771811116076E-10,3575.0,78.5,6.724511930585712,3575.0,11248.0
3900.0,0.10659053,3.0838526709833083E-10,3900.0,78.9,11.063528459670913,3900.0,11248.0
4225.0,0.111232033,3.2189141721568176E-10,4225.0,78.2,11.203076120959324,4225.0,11248.0
4550.0,0.114732032,3.320759440606667E-10,4550.0,78.60000000000001,14.596769044122324,4550.0,11248.0
4875.0,0.118675159,3.435499138488538E-10,4875.0,80.4,12.61547241145633,4875.0,11248.0
5200.0,0.123121862,3.564892221387062E-10,5200.0,80.5,13.282459042638353,5200.0,11248.0
5525.0,0.126121393,3.6521745434444814E-10,5525.0,79.80000000000001,12.204450625869304,5525.0,11248.0
5850.0,0.129448586,3.7489913894691405E-10,5850.0,78.4,13.436568240838707,5850.0,11248.0
6175.0,0.133056544,3.8539781197698586E-10,6175.0,77.7,13.94745778408914,6175.0,11248.0
6500.0,0.135812392,3.9341695939294174E-10,6500.0,77.2,15.450338198647252,6500.0,11248.0
6825.0,0.138962993,4.025847850015595E-10,6825.0,76.1,15.084418168381575,6825.0,11248.0
7150.0,0.141871383,4.1104780914261944E-10,7150.0,77.4,13.259079010999967,7150.0,11248.0
7475.0,0.144951282,4.200099014304579E-10,7475.0,77.5,10.277064425055475,7475.0,11248.0
7800.0,0.148399821,4.300446865893901E-10,7800.0,78.2,11.203076120959324,7800.0,11248.0
8125.0,0.153071139,4.4363759435092416E-10,8125.0,77.2,13.604947253546722,8125.0,11248.0
8450.0,0.156232918,4.528379464377132E-10,8450.0,79.10000000000001,16.9738765651815,8450.0,11248.0
8775.0,0.159202846,4.614800378907886E-10,8775.0,78.4,16.38795986622075,8775.0,11248.0
9100.0,0.161991379,4.695942942653265E-10,9100.0,79.9,14.536455941629717,9100.0,11248.0
9425.0,0.164945149,4.781893681093222E-10,9425.0,78.5,11.381135310701852,9425.0,11248.0
9750.0,0.167366349,4.852347348071634E-10,9750.0,77.5,12.533043072617028,9750.0,11248.0
10075.0,0.170766765,4.951294885016977E-10,10075.0,77.2,15.614937636478018,10075.0,11248.0
10400.0,0.173692856,5.036440201745265E-10,10400.0,77.4,17.94469617752996,10400.0,11248.0
10725.0,0.176075362,5.105767925311293E-10,10725.0,77.10000000000001,17.117873584851033,10725.0,11248.0
11050.0,0.179392101,5.202280573981503E-10,11050.0,79.0,14.899824936782776,11050.0,11248.0
11375.0,0.182323206,5.287571791373193E-10,11375.0,78.9,12.723362011912688,11375.0,11248.0
11700.0,0.184737504,5.357824619424839E-10,11700.0,79.80000000000001,12.629757785467174,11700.0,11248.0
12025.0,0.187999912,5.452756308991876E-10,12025.0,78.8,13.421327757449037,12025.0,11248.0
12350.0,0.190347796,5.521076578874555E-10,12350.0,78.7,14.887155552714008,12350.0,11248.0
12675.0,0.193228952,5.604914347475602E-10,12675.0,78.9,14.163439320467328,12675.0,11248.0
13000.0,0.196429631,5.698049806079103E-10,13000.0,78.60000000000001,12.371936088840103,13000.0,11248.0
13325.0,0.198771599,5.766197928310269E-10,13325.0,78.10000000000001,9.892858906206268,13325.0,11248.0
13650.0,0.201622978,5.84916922621843E-10,13650.0,77.5,12.683752192607981,13650.0,11248.0
13975.0,0.204497044,5.9328006853453E-10,13975.0,78.3,15.834057341442218,13975.0,11248.0
14300.0,0.20711142,6.008875514380634E-10,14300.0,78.60000000000001,17.94793144434647,14300.0,11248.0
14625.0,0.209956393,6.091660406295624E-10,14625.0,78.3,17.68579492003763,14625.0,11248.0
14950.0,0.212280676,6.159293918787606E-10,14950.0,77.5,16.12864747193108,14950.0,11248.0
15275.0,0.215592337,6.255658804480401E-10,15275.0,78.5,14.37674233373159,15275.0,11248.0
15600.0,0.218562749,6.342093802760873E-10,15600.0,77.7,13.799768071124879,15600.0,11248.0
15925.0,0.220840077,6.4083609878396E-10,15925.0,77.60000000000001,16.958301204104636,15925.0,11248.0
16250.0,0.223998598,6.500269705284801E-10,16250.0,77.10000000000001,14.925550569144349,16250.0,11248.0
16575.0,0.227414079,6.59965561348945E-10,16575.0,77.60000000000001,14.828897338403092,16575.0,11248.0
16900.0,0.230079276,6.677209265343846E-10,16900.0,78.60000000000001,11.441435476395464,16900.0,11248.0
17225.0,0.233249485,6.769458087885547E-10,17225.0,79.10000000000001,13.400182315405667,17225.0,11248.0
17550.0,0.235625666,6.838601762449577E-10,17550.0,79.9,18.17959781812266,17550.0,11248.0
17875.0,0.238497517,6.922168768052426E-10,17875.0,79.4,17.234507585497575,17875.0,11248.0
18200.0,0.241634044,7.013437489647833E-10,18200.0,78.4,17.772549736186935,18200.0,11248.0
18525.0,0.24391099,7.079693559039799E-10,18525.0,78.0,16.066414357221355,18525.0,11248.0
18850.0,0.246701622,7.160897200865052E-10,18850.0,79.7,20.229487582521212,18850.0,11248.0
19175.0,0.249798537,7.25101326648146E-10,19175.0,80.80000000000001,19.300605245460652,19175.0,11248.0
19500.0,0.252114238,7.318397054303852E-10,19500.0,78.4,17.503723790245594,19500.0,11248.0
19825.0,0.255064136,7.404235122746064E-10,19825.0,77.3,13.523809523809554,19825.0,11248.0
20150.0,0.258221062,7.49609742783424E-10,20150.0,77.60000000000001,11.894273127753321,20150.0,11248.0
20475.0,0.261023853,7.577654880223176E-10,20475.0,80.10000000000001,11.208281277886861,20475.0,11248.0
20800.0,0.26383521,7.659461591703197E-10,20800.0,79.10000000000001,10.02238677458239,20800.0,11248.0
21125.0,0.266420331,7.734685139544309E-10,21125.0,79.0,9.967845659163986,21125.0,11248.0
21450.0,0.269238866,7.816700721180274E-10,21450.0,78.8,12.504436685403903,21450.0,11248.0
21775.0,0.272049809,7.898495385816529E-10,21775.0,79.3,15.506065603213267,21775.0,11248.0
22100.0,0.274603964,7.972817864662244E-10,22100.0,77.3,15.383124338348248,22100.0,11248.0
22425.0,0.27739908,8.054151984862984E-10,22425.0,75.8,13.876551645598495,22425.0,11248.0
22750.0,0.280571986,8.14647928648111E-10,22750.0,76.2,11.087866108786587,22750.0,11248.0
23075.0,0.284058392,8.247929016893938E-10,23075.0,77.0,13.938260056127225,23075.0,11248.0
23400.0,0.286842604,8.32894584534483E-10,23400.0,78.5,13.505945963342592,23400.0,11248.0
23725.0,0.289092938,8.394427541291549E-10,23725.0,79.7,15.310805173133069,23725.0,11248.0
24050.0,0.29210489,8.48207129776064E-10,24050.0,80.5,14.87095309607799,24050.0,11248.0
24375.0,0.294886207,8.563003885601131E-10,24375.0,81.3,16.131462810806887,24375.0,11248.0
24700.0,0.297138184,8.628533390640386E-10,24700.0,80.2,17.95942720763725,24700.0,11248.0
25025.0,0.300127374,8.715514803491534E-10,25025.0,80.2,18.462818221501127,25025.0,11248.0
25350.0,0.302354607,8.780324291375778E-10,25350.0,79.3,17.146974063400574,25350.0,11248.0
25675.0,0.305113051,8.860591305647461E-10,25675.0,79.10000000000001,16.346461735510726,25675.0,11248.0
26000.0,0.308226618,8.951191922090949E-10,26000.0,78.0,14.50068399452805,26000.0,11248.0
26325.0,0.310486944,9.016964371812842E-10,26325.0,78.4,11.70699803793329,26325.0,11248.0
26650.0,0.313247957,9.097306140532926E-10,26650.0,78.0,11.61748045541102,26650.0,11248.0
26975.0,0.315495464,9.162705574577883E-10,26975.0,78.2,13.804692504171417,26975.0,11248.0
27300.0,0.318624312,9.253750847590468E-10,27300.0,78.9,14.823187469723914,27300.0,11248.0
27625.0,0.321414699,9.334947360244892E-10,27625.0,78.7,15.525802306581838,27625.0,11248.0
27950.0,0.323673819,9.400684716987116E-10,27950.0,80.7,16.021234009224642,27950.0,11248.0
28275.0,0.326729151,9.48959077317268E-10,28275.0,79.80000000000001,15.78069626850113,28275.0,11248.0
28600.0,0.329523823,9.57091197356996E-10,28600.0,79.5,15.149006622516549,28600.0,11248.0
28925.0,0.331761852,9.636035610549156E-10,28925.0,78.4,17.317409278824055,28925.0,11248.0
29250.0,0.334746377,9.722881278168E-10,29250.0,76.2,15.578887627695789,29250.0,11248.0
29575.0,0.336999171,9.788434556809569E-10,29575.0,76.8,18.110903250855944,29575.0,11248.0
29900.0,0.33979006,9.869645676989527E-10,29900.0,75.7,15.218756541762609,29900.0,11248.0
30225.0,0.342770298,9.956366598668203E-10,30225.0,76.5,15.800788247939815,30225.0,11248.0
30550.0,0.345010835,1.0021563215077756E-9,30550.0,76.3,13.919600180151392,30550.0,11248.0
30875.0,0.347808583,1.0102973922942252E-9,30875.0,78.60000000000001,16.552283503868246,30875.0,11248.0
31200.0,0.350833624,1.0190998551725517E-9,31200.0,78.5,14.522438853726069,31200.0,11248.0
31525.0,0.353041651,1.0255249170814127E-9,31525.0,78.10000000000001,12.203335471456072,31525.0,11248.0
31850.0,0.355871022,1.0337580065491303E-9,31850.0,78.60000000000001,13.05407711372039,31850.0,11248.0
32175.0,0.358371355,1.0410336396449974E-9,32175.0,77.8,12.01648700063416,32175.0,11248.0
32500.0,0.36119917,1.0492622013617726E-9,32500.0,76.7,12.333508917149533,32500.0,11248.0
32560.0,0.362142094,1.0520059835145048E-9,32560.0,76.9,12.456228114057069,32560.0,11248.0
