learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
45.0,0.389989267,1.438964913465931E-7,45.0,84.44444444444444,-3.9603960396039355,45.0,1426264.0,100.0,50.16,1.0963410219286864,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.671523457,2.4777571460507606E-7,90.0,77.77777777777779,-3.0927835051546597,90.0,1426264.0,100.0,111.73999999999998,2.119349051959211,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135.0,0.863737121,3.1869785061984224E-7,135.0,79.25925925925927,5.970149253731394,135.0,1426264.0,100.0,155.60000000000002,2.7179166115005637,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,1.030624669,3.802752698943992E-7,180.0,80.55555555555556,7.732864674868171,180.0,1426264.0,100.0,201.23000000000002,2.986090819757227,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
225.0,1.131686578,4.1756463999875305E-7,225.0,80.0,3.98293029871975,225.0,1426264.0,100.0,246.99000000000007,3.351661580997604,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270.0,1.219471266,4.49955040622664E-7,270.0,80.37037037037037,5.017921146953402,270.0,1426264.0,100.0,292.9099999999999,3.780361133943463,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
315.0,1.304444962,4.813082540205908E-7,315.0,80.31746031746032,3.125000000000043,315.0,1426264.0,100.0,334.9700000000001,4.176351290422071,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,1.391806396,5.135424842811045E-7,360.0,80.0,6.896551724137942,360.0,1426264.0,100.0,386.61999999999983,4.417361980717321,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
405.0,1.481623382,5.46682753109903E-7,405.0,79.75308641975309,9.61789679947744,405.0,1426264.0,100.0,428.9299999999999,4.849039371698565,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
450.0,1.569221803,5.79004425771222E-7,450.0,80.44444444444444,11.674175848686225,450.0,1426264.0,100.0,472.75999999999993,5.13673873663873,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
