learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
45.0,0.118286573,2.616982214504646E-10,45.0,82.22222222222221,23.076923076923038,45.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.12821377,2.8366123663468493E-10,90.0,83.33333333333334,13.127413127413137,90.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
135.0,0.133078283,2.944235266227689E-10,135.0,84.44444444444444,9.914204003813108,135.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
180.0,0.136882942,3.0284098659538563E-10,180.0,85.55555555555556,8.450704225352032,180.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
225.0,0.149983619,3.318250359574126E-10,225.0,85.77777777777777,6.976744186046472,225.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
270.0,0.153587614,3.3979854518754613E-10,270.0,85.92592592592592,5.940594059405977,270.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
315.0,0.155919931,3.449585831806891E-10,315.0,86.03174603174604,5.172413793103533,315.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
360.0,0.159526242,3.5293721634894606E-10,360.0,86.11111111111111,4.580152671755755,360.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
405.0,0.166013145,3.6728889578953383E-10,405.0,85.67901234567901,3.879204517554625,405.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
450.0,0.170251308,3.766654437035322E-10,450.0,86.0,3.630430348766077,450.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
495.0,0.172294283,3.811853389917976E-10,495.0,86.66666666666667,3.5771205950062375,495.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
540.0,0.174092049,3.851627318002283E-10,540.0,86.85185185185185,3.3575317604355344,540.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
585.0,0.175738958,3.888063672971394E-10,585.0,86.66666666666667,3.034553104679388,585.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
630.0,0.179874615,3.979561300637821E-10,630.0,86.66666666666667,2.8206258263551742,630.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
675.0,0.181990116,4.026364824920892E-10,675.0,86.51851851851852,2.588134544935484,675.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
720.0,0.183620435,4.062434141317175E-10,720.0,86.66666666666667,2.4720623095157017,720.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
765.0,0.186599626,4.1283460167133143E-10,765.0,86.27450980392157,2.2203556951392667,765.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
810.0,0.19080557,4.221398679953482E-10,810.0,86.41975308641975,2.135231316725887,810.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
855.0,0.194191792,4.2963157438569595E-10,855.0,86.4327485380117,2.027027027026986,855.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
900.0,0.197088595,4.3604048601248196E-10,900.0,86.44444444444444,1.9292604501607211,900.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
