learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
45.0,0.118505169,2.6218184510245916E-10,45.0,82.22222222222221,23.076923076923038,45.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.131130364,2.9011393403841386E-10,90.0,83.33333333333334,13.127413127413137,90.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
135.0,0.138313971,3.0600700734183187E-10,135.0,84.44444444444444,9.914204003813108,135.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
180.0,0.143315125,3.1707160304197E-10,180.0,85.55555555555556,8.450704225352032,180.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
225.0,0.149629433,3.310414318347142E-10,225.0,85.77777777777777,6.976744186046472,225.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
270.0,0.153471837,3.395423991667727E-10,270.0,85.92592592592592,5.940594059405977,270.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
315.0,0.157650182,3.4878660522815246E-10,315.0,86.03174603174604,5.172413793103533,315.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
360.0,0.161028379,3.5626055704015817E-10,360.0,86.11111111111111,4.580152671755755,360.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
405.0,0.164982708,3.6500914819538586E-10,405.0,85.67901234567901,3.879204517554625,405.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
450.0,0.169013554,3.739270262130432E-10,450.0,86.0,3.630430348766077,450.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
495.0,0.171807523,3.8010842702248023E-10,495.0,86.66666666666667,3.5771205950062375,495.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
540.0,0.17406508,3.8510306535495643E-10,540.0,86.85185185185185,3.3575317604355344,540.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
585.0,0.176832333,3.912253594584762E-10,585.0,86.66666666666667,3.034553104679388,585.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
630.0,0.180059032,3.983641358051034E-10,630.0,86.66666666666667,2.8206258263551742,630.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
