learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
45.0,0.277569278,5.175760390287472E-8,45.0,73.33333333333333,9.090909090909074,45.0,720784.0,50.0,18.0
90.0,0.406267759,7.575566683871465E-8,90.0,74.44444444444444,5.479452054794528,90.0,720784.0,50.0,17.0
135.0,0.471885809,8.799128983435117E-8,135.0,71.85185185185186,0.465657741559942,135.0,720784.0,50.0,17.0
180.0,0.533726094,9.952248305333156E-8,180.0,75.55555555555556,1.1235955056179292,180.0,720784.0,50.0,17.0
225.0,0.591133108,1.1022701603791779E-7,225.0,76.0,-0.997506234413959,225.0,720784.0,50.0,19.0
270.0,0.631678735,1.177874511025639E-7,270.0,79.25925925925927,0.7483261126427874,270.0,720784.0,50.0,19.0
315.0,0.671723196,1.2525443507815402E-7,315.0,78.73015873015873,5.082077805261944,315.0,720784.0,50.0,25.0
360.0,0.711062262,1.325898859270662E-7,360.0,77.77777777777779,5.511811023622044,360.0,720784.0,50.0,20.0
405.0,0.757082137,1.411710894344292E-7,405.0,78.2716049382716,4.486251808972466,405.0,720784.0,50.0,19.0
450.0,0.81922058,1.527578793814613E-7,450.0,78.66666666666666,3.5800374966520545,450.0,720784.0,50.0,19.0
495.0,0.866281429,1.6153319053774495E-7,495.0,78.3838383838384,4.6277122535338275,495.0,720784.0,50.0,25.0
540.0,0.904359769,1.6863355716765342E-7,540.0,78.51851851851852,3.6307692307692743,540.0,720784.0,50.0,19.0
585.0,0.947477394,1.7667358584828676E-7,585.0,79.14529914529915,4.52684806164217,585.0,720784.0,50.0,19.0
630.0,0.988345362,1.842941269805779E-7,630.0,79.68253968253968,4.239401496259353,630.0,720784.0,50.0,19.0
675.0,1.02465183,1.9106409735841056E-7,675.0,79.25925925925927,3.8402832895781573,675.0,720784.0,50.0,19.0
720.0,1.059740044,1.9760690315794615E-7,720.0,79.72222222222223,4.561301568855311,720.0,720784.0,50.0,19.0
765.0,1.094095006,2.0401298141021697E-7,765.0,79.6078431372549,3.629051795145102,765.0,720784.0,50.0,19.0
810.0,1.132361508,2.110690791424364E-7,810.0,80.37037037037037,3.8780171062648443,810.0,712768.0,50.0,25.0
855.0,1.192792292,2.225853310349501E-7,855.0,80.35087719298247,3.190585951716645,855.0,736640.0,50.0,19.0
900.0,1.233768621,2.3049830150652264E-7,900.0,80.0,2.1561877151658484,900.0,746464.0,50.0,19.0
945.0,1.271274903,2.3774116852773563E-7,945.0,80.42328042328042,2.9089818563502967,945.0,746464.0,50.0,25.0
990.0,1.310037427,2.452266294096907E-7,990.0,80.2020202020202,2.8488459420216588,990.0,746464.0,50.0,20.0
1035.0,1.359306762,2.5474106866092316E-7,1035.0,79.9,3.082086097824389,1035.0,746464.0,50.0,20.0
1080.0,1.400163983,2.627120449829557E-7,1080.0,80.10000000000001,2.603758809710255,1080.0,754128.0,50.0,20.0
1125.0,1.435875695,2.696791661870935E-7,1125.0,80.9,2.838539017194033,1125.0,754128.0,50.0,25.0
1170.0,1.508379651,2.838410194296928E-7,1170.0,80.80000000000001,2.7148633447845927,1170.0,755024.0,50.0,19.0
1215.0,1.549962723,2.919632433127653E-7,1215.0,80.60000000000001,3.964199437646042,1215.0,755024.0,50.0,20.0
1260.0,1.589962303,2.997761712270106E-7,1260.0,80.5,3.836670283065449,1260.0,755024.0,50.0,19.0
1305.0,1.619998744,3.0564304653753835E-7,1305.0,80.0,1.7440432326209498,1305.0,755024.0,50.0,21.0
1350.0,1.645772491,3.106773100820804E-7,1350.0,80.30000000000001,2.1049911546642384,1350.0,755024.0,50.0,25.0
1395.0,1.674342459,3.162577461890669E-7,1395.0,80.80000000000001,2.7148633447845927,1395.0,755024.0,50.0,16.0
1440.0,1.706168435,3.225446407962135E-7,1440.0,80.4,2.9741396380341443,1440.0,763584.0,50.0,20.0
1485.0,1.733705918,3.2798438766735707E-7,1485.0,80.0,2.480886253705718,1485.0,763584.0,50.0,19.0
1530.0,1.760304203,3.3323860562208207E-7,1530.0,80.2,1.228162943600266,1530.0,763584.0,50.0,21.0
1575.0,1.78970102,3.390408993177778E-7,1575.0,79.9,0.11727523902290092,1575.0,762960.0,50.0,26.0
1620.0,1.826581419,3.464810362142738E-7,1620.0,80.10000000000001,0.34453747846641863,1620.0,779808.0,50.0,20.0
1665.0,1.856149713,3.524412786210742E-7,1665.0,80.80000000000001,0.3487792725460918,1665.0,779184.0,50.0,23.0
1710.0,1.88381065,3.5808917618111187E-7,1710.0,80.0,0.23046761979824737,1710.0,789264.0,50.0,26.0
1755.0,1.913499507,3.642100044282484E-7,1755.0,79.4,-0.44468715868311365,1755.0,796928.0,50.0,27.0
1800.0,1.943658537,3.7042988847677487E-7,1800.0,79.10000000000001,-0.04020754753105219,1800.0,797200.0,50.0,16.0
1845.0,1.972464985,3.763708211397255E-7,1845.0,79.4,0.3010328038641201,1845.0,797200.0,50.0,29.0
1890.0,2.000760772,3.822736651821931E-7,1890.0,79.3,0.9171150127324038,1890.0,806384.0,50.0,26.0
1935.0,2.027663439,3.8788588751152566E-7,1935.0,78.5,2.713171279118224,1935.0,806384.0,50.0,27.0
1980.0,2.055912144,3.9377890967827697E-7,1980.0,78.5,1.3761467889908774,1980.0,806384.0,50.0,19.0
2025.0,2.095173048,4.0220159812859354E-7,2025.0,79.10000000000001,2.0967228166163534,2025.0,829264.0,50.0,23.0
2070.0,2.126214872,4.0893684588404156E-7,2070.0,79.10000000000001,3.4624196290000513,2070.0,838704.0,50.0,23.0
2115.0,2.154484542,4.1508465186674554E-7,2115.0,79.4,3.158171851935428,2115.0,840624.0,50.0,26.0
2160.0,2.182383541,4.2115184801596315E-7,2160.0,78.7,2.293577981651428,2160.0,840624.0,50.0,26.0
2205.0,2.21280916,4.2776850829235375E-7,2205.0,78.8,1.0427849921114616,2205.0,840624.0,50.0,22.0
2250.0,2.255605772,4.373399651170273E-7,2250.0,78.8,2.415672411253562,2250.0,864512.0,50.0,20.0
2295.0,2.293133335,4.457416985367569E-7,2295.0,79.2,2.9089958549609842,2295.0,865408.0,50.0,14.0
2340.0,2.326725227,4.5327009382713164E-7,2340.0,80.0,3.9163688074099414,2340.0,866304.0,50.0,22.0
2385.0,2.365583614,4.6197878155696713E-7,2385.0,80.10000000000001,4.044592744035365,2385.0,866304.0,50.0,16.0
2430.0,2.407180657,4.715322170406103E-7,2430.0,80.4,4.432200497342651,2430.0,887768.0,50.0,18.0
2475.0,2.44669134,4.80805109176737E-7,2475.0,81.0,4.481333641674335,2475.0,907200.0,50.0,19.0
2520.0,2.479649944,4.88618578933943E-7,2520.0,81.0,5.219889855535174,2520.0,916384.0,50.0,19.0
2565.0,2.51346693,4.966411436481132E-7,2565.0,81.0,5.945250235136911,2565.0,917024.0,50.0,16.0
2610.0,2.546705501,5.045319914748375E-7,2610.0,80.9,5.811109357740265,2610.0,917664.0,50.0,15.0
2655.0,2.579267415,5.122622007043763E-7,2655.0,80.7,5.5403288958496475,2655.0,917664.0,50.0,26.0
2700.0,2.615842548,5.210261442930976E-7,2700.0,80.9,7.216695165552613,2700.0,926224.0,50.0,22.0
2745.0,2.650117529,5.292389373945879E-7,2745.0,81.5,6.62978963943954,2745.0,926224.0,50.0,17.0
2790.0,2.686530316,5.38036175464758E-7,2790.0,81.69999999999999,6.908129006002609,2790.0,933888.0,50.0,18.0
2835.0,2.724051375,5.470977525051041E-7,2835.0,81.69999999999999,9.754413650261373,2835.0,933536.0,50.0,19.0
2880.0,2.759236434,5.557542076545311E-7,2880.0,82.0,10.207420857818377,2880.0,951008.0,50.0,16.0
2925.0,2.795661794,5.647242529025362E-7,2925.0,82.1,8.214542098246296,2925.0,951904.0,50.0,24.0
2970.0,2.82808707,5.727092444825523E-7,2970.0,82.0,8.070397646602169,2970.0,951904.0,50.0,14.0
3015.0,2.870025687,5.832188999847177E-7,3015.0,81.6,8.915400227711483,3015.0,968672.0,50.0,17.0
3060.0,2.904977756,5.921195340558575E-7,3060.0,81.89999999999999,7.925526503204766,3060.0,984352.0,50.0,17.0
3105.0,2.939305602,6.009372264019916E-7,3105.0,81.5,6.631674573533777,3105.0,992912.0,50.0,20.0
3150.0,2.976799216,6.106562504076481E-7,3150.0,82.69999999999999,9.098551882132872,3150.0,1002000.0,50.0,21.0
3195.0,3.012529498,6.200089944612752E-7,3195.0,82.6,9.692018642889009,3195.0,1011824.0,50.0,17.0
