learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
45.0,0.594383633,2.207436607267252E-7,45.0,75.55555555555556,1.1976047904191545,45.0,1435568.0,100.0,0.0
90.0,0.907417034,3.397502210761337E-7,90.0,73.33333333333333,-7.892107892107891,90.0,1469544.0,100.0,0.0
135.0,1.07852989,4.073307300470831E-7,135.0,72.5925925925926,-10.876803551609283,135.0,1526656.0,100.0,0.0
180.0,1.231483562,4.687500800589782E-7,180.0,75.0,-6.299212598425206,180.0,1552200.0,100.0,0.0
225.0,1.353358958,5.177745358090413E-7,225.0,74.66666666666667,-8.09102402022756,225.0,1554888.0,100.0,0.0
270.0,1.471284349,5.651717822562551E-7,270.0,74.81481481481481,-8.974358974359019,270.0,1553632.0,100.0,0.0
315.0,1.610732676,6.217682844343658E-7,315.0,74.28571428571429,-10.154125113327328,315.0,1568840.0,100.0,0.0
360.0,1.811877236,7.047327864717651E-7,360.0,75.0,-8.173076923076954,360.0,1594360.0,100.0,0.0
405.0,1.99968469,7.834520870597454E-7,405.0,74.32098765432099,-7.756856324191576,405.0,1620208.0,100.0,0.0
450.0,2.20261535,8.701650104730122E-7,450.0,75.1111111111111,-6.199165577984808,450.0,1651728.0,100.0,0.0
495.0,2.394043424,9.521102211062156E-7,495.0,76.76767676767676,-3.875841681721124,495.0,1654704.0,100.0,0.0
540.0,2.569436679,1.0282803415828365E-6,540.0,77.03703703703704,-3.0185544170590393,540.0,1678704.0,100.0,0.0
585.0,2.758708517,1.1105344789273996E-6,585.0,76.92307692307693,-2.651589003704441,585.0,1679864.0,100.0,0.0
630.0,2.957017819,1.198938160681832E-6,630.0,76.82539682539684,-2.3455581271140646,630.0,1723176.0,100.0,0.0
675.0,3.142576302,1.2825098638271705E-6,675.0,76.5925925925926,-2.245273612762236,675.0,1740928.0,100.0,0.0
720.0,3.307287554,1.3566924052787572E-6,720.0,76.94444444444444,-1.5566582829175217,720.0,1740928.0,100.0,0.0
765.0,3.409578403,1.4027857987499982E-6,765.0,76.73202614379086,-0.6772442959172943,765.0,1741824.0,100.0,0.0
810.0,3.509132176,1.4477022895083452E-6,810.0,76.79012345679013,-1.2203876525484139,810.0,1744016.0,100.0,0.0
855.0,3.593801608,1.4859348321088776E-6,855.0,76.7251461988304,-1.8423746161719903,855.0,1745456.0,100.0,0.0
900.0,3.706603905,1.5373120223970008E-6,900.0,76.55555555555556,-1.801222257960797,900.0,1760576.0,100.0,0.0
945.0,3.805919935,1.583722033345985E-6,945.0,76.4021164021164,-2.4482374732010985,945.0,1806320.0,100.0,0.0
990.0,3.927662162,1.642796454003091E-6,990.0,76.16161616161617,-1.2050697831567359,990.0,1875688.0,100.0,0.0
1035.0,4.039628216,1.6978815651201188E-6,1035.0,76.4,-1.041238525825451,1035.0,1901736.0,100.0,0.0
1080.0,4.191724556,1.7736452026966195E-6,1080.0,76.2,-0.6427604871447757,1080.0,1925504.0,100.0,0.0
1125.0,4.302010738,1.8293361115395342E-6,1125.0,77.2,0.5105380285378168,1125.0,1951936.0,100.0,0.0
1170.0,4.408392466,1.882834570287994E-6,1170.0,77.4,0.09636722099923589,1170.0,1943912.0,100.0,0.0
1215.0,4.535320404,1.946896709746373E-6,1215.0,78.4,1.2652673151466862,1215.0,1950952.0,100.0,0.0
1260.0,4.679271245,2.021024043820004E-6,1260.0,78.5,1.3815753261288437,1260.0,1990520.0,100.0,0.0
1305.0,4.807028126,2.0880235608242703E-6,1305.0,78.60000000000001,2.1794778029694033,1305.0,2027168.0,100.0,0.0
1350.0,4.969877159,2.173433863214913E-6,1350.0,78.60000000000001,2.844742266169133,1350.0,2027344.0,100.0,0.0
1395.0,5.105505117,2.2449216218204262E-6,1395.0,78.9,2.5494180676149876,1395.0,2037440.0,100.0,0.0
1440.0,5.270932471,2.332887276066786E-6,1440.0,78.2,2.997294603445854,1440.0,2055456.0,100.0,0.0
1485.0,5.381859747,2.391898797891931E-6,1485.0,77.3,1.89298988676638,1485.0,2056368.0,100.0,0.0
1530.0,5.477254322,2.4426696802165567E-6,1530.0,77.7,2.3813692873402683,1530.0,2057280.0,100.0,0.0
1575.0,5.583917669,2.5001347165906638E-6,1575.0,77.2,1.7690193273762609,1575.0,2082528.0,100.0,0.0
1620.0,5.684154159,2.554137274225226E-6,1620.0,77.8,1.8706460624491734,1620.0,2082528.0,100.0,0.0
1665.0,5.778967916,2.605218326414323E-6,1665.0,78.10000000000001,1.5783418422377045,1665.0,2082528.0,100.0,0.0
1710.0,5.888683719,2.664509305679548E-6,1710.0,78.2,1.7017323942391558,1710.0,2088920.0,100.0,0.0
1755.0,6.015011881,2.7338203489906365E-6,1755.0,78.3,-0.2216885276187124,1755.0,2120824.0,100.0,0.0
1800.0,6.121640258,2.7925692115861675E-6,1800.0,78.3,0.46967306351600524,1800.0,2129752.0,100.0,0.0
1845.0,6.22912118,2.8519757639526823E-6,1845.0,78.7,0.9357617249270385,1845.0,2136512.0,100.0,0.0
1890.0,6.322009504,2.903338267796321E-6,1890.0,80.0,1.7594875774871919,1890.0,2137408.0,100.0,0.0
1935.0,6.434677723,2.9656643935726973E-6,1935.0,79.9,3.0914315468729305,1935.0,2138312.0,100.0,0.0
1980.0,6.54002271,3.0239394330465417E-6,1980.0,80.30000000000001,2.1108284305931138,1980.0,2138312.0,100.0,0.0
2025.0,6.647230532,3.0834823702592645E-6,2025.0,81.2,1.6273350426455697,2025.0,2146872.0,100.0,0.0
2070.0,6.7553282,3.143302741311142E-6,2070.0,81.2,0.8104001350666798,2070.0,2139120.0,100.0,0.0
2115.0,6.862583265,3.203689897599923E-6,2115.0,81.6,1.274842254367421,2115.0,2176352.0,100.0,0.0
2160.0,6.971446494,3.265389838087889E-6,2160.0,81.2,1.6273350426455697,2160.0,2190816.0,100.0,0.0
2205.0,7.084754828,3.3309786123573936E-6,2205.0,80.9,1.2756631587652874,2205.0,2237536.0,100.0,0.0
2250.0,7.192504499,3.3938621949967775E-6,2250.0,81.0,1.3909072036537347,2250.0,2255920.0,100.0,0.0
2295.0,7.292495283,3.4524088421459695E-6,2295.0,81.5,1.1604299788429635,2295.0,2263312.0,100.0,0.0
2340.0,7.417548135,3.526402390346224E-6,2340.0,81.69999999999999,0.5434782608695655,2340.0,2287192.0,100.0,0.0
2385.0,7.537764926,3.598178347843717E-6,2385.0,81.2,0.8104001350666798,2385.0,2307896.0,100.0,0.0
2430.0,7.648457643,3.664294031862326E-6,2430.0,81.8,1.5098219600627518,2430.0,2308808.0,100.0,0.0
2475.0,7.767406521,3.7361583491673766E-6,2475.0,81.5,1.1562052531469427,2475.0,2335368.0,100.0,0.0
2520.0,7.869448187,3.7978316349111737E-6,2520.0,82.0,-0.8934677084851316,2520.0,2336264.0,100.0,0.0
2565.0,7.999405617,3.876395307009256E-6,2565.0,82.8,-0.9768927296637225,2565.0,2336808.0,100.0,0.0
2610.0,8.13902941,3.961401361206568E-6,2610.0,82.89999999999999,-0.8730533270410787,2610.0,2353384.0,100.0,0.0
2655.0,8.268806472,4.04066068243468E-6,2655.0,83.1,-0.6599480618492826,2655.0,2360776.0,100.0,0.0
2700.0,8.40867851,4.126085353172508E-6,2700.0,83.39999999999999,-0.33485245941277186,2700.0,2360776.0,100.0,0.0
2745.0,8.556375524,4.216625553960564E-6,2745.0,83.8,1.1037311974994637,2745.0,2369584.0,100.0,0.0
