learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.128425219,2.6337619873277014E-8,7.0,85.71428571428571,0.0,7.0,792736.0,100.0,6.920000000000002,0.2676798932540979,2258.1599999999994,11.257488820578708,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.280308208,5.7704770539121495E-8,14.0,85.71428571428571,0.0,14.0,798304.0,100.0,13.93,0.3657716348883397,2313.8399999999997,7.841545920559445,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.375693438,7.745542539438853E-8,21.0,85.71428571428571,0.0,21.0,800392.0,100.0,20.89000000000001,0.4933691633180282,2334.7200000000003,4.569156145152831,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.44812368,9.246166923734049E-8,28.0,85.71428571428571,0.0,28.0,800856.0,100.0,28.02,0.5699512649731066,2339.359999999999,3.2643628239619167,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.501681928,1.035579752429078E-7,35.0,88.57142857142857,0.0,35.0,800856.0,100.0,35.07999999999999,0.6198207626223712,2339.359999999999,3.2643628239619167,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.553578374,1.1431621525389039E-7,42.0,78.57142857142857,11.267605633802827,42.0,801320.0,100.0,42.260000000000005,0.7066237837188696,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.604865911,1.2494822717659797E-7,49.0,75.51020408163265,5.161290322580606,49.0,801320.0,100.0,49.530000000000015,0.7465009285752002,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.650973835,1.345064946695231E-7,56.0,73.21428571428571,0.9433962264150444,56.0,801320.0,100.0,56.63999999999999,0.7728368312113286,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.698250858,1.4430711879007933E-7,63.0,73.01587301587301,0.5571030640668755,63.0,801320.0,100.0,63.760000000000005,0.7710834565529837,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.745815345,1.5416733478917223E-7,70.0,74.28571428571429,0.9433962264150633,70.0,801320.0,100.0,70.96000000000001,0.8203128252765108,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.805424263,1.6652438611093287E-7,77.0,76.62337662337663,1.8413597733711076,77.0,801320.0,100.0,77.86999999999999,0.8972072269441481,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,0.842420271,1.7419373467311055E-7,84.0,77.38095238095238,1.9656019656019523,84.0,801320.0,100.0,84.68999999999998,0.9031588783796348,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91.0,0.881269505,1.8224726079732386E-7,91.0,78.02197802197803,2.0452099031215676,91.0,801320.0,100.0,91.64999999999999,0.9426349272441614,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,0.918967508,1.9006213436706197E-7,98.0,76.53061224489795,1.2269938650307155,98.0,801320.0,100.0,98.80999999999999,0.9512028535947884,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105.0,0.956305579,1.978023932927909E-7,105.0,77.14285714285715,1.3312451057165444,105.0,801320.0,100.0,105.85999999999999,0.973903942331526,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,0.992842728,2.0537661944035855E-7,112.0,76.78571428571429,1.0869565217391202,112.0,801320.0,100.0,112.50000000000004,0.9539392014169457,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119.0,1.028370232,2.1274154410250486E-7,119.0,77.31092436974791,1.1688711165795154,119.0,801320.0,100.0,119.57,0.966118444335294,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,1.063203695,2.1996259263765275E-7,126.0,76.98412698412699,0.9756097560975779,126.0,801320.0,100.0,126.18000000000002,0.9995332243936002,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133.0,1.098493228,2.2727818542197349E-7,133.0,76.69172932330827,0.8178975222515863,133.0,801320.0,100.0,133.26,1.0596950199720372,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,1.133251785,2.3448370578923368E-7,140.0,75.0,0.3254678600488682,140.0,801320.0,100.0,139.94999999999993,1.1156711980786373,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
147.0,1.167297364,2.415414243504405E-7,147.0,75.51020408163265,0.41400075272868514,147.0,801320.0,100.0,146.80000000000004,1.1324417170098608,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154.0,1.201888753,2.487122904474226E-7,154.0,74.67532467532467,0.19940179461612326,154.0,801320.0,100.0,153.70000000000005,1.1555312740261618,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
161.0,1.236660178,2.559204783775533E-7,161.0,75.15527950310559,0.2787240631774388,161.0,801320.0,100.0,160.51,1.1928655761770826,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,1.272275647,2.633036383651507E-7,168.0,75.0,0.22624434389139558,168.0,801320.0,100.0,167.33000000000004,1.2106476270028683,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,1.327693901,2.747919564191769E-7,175.0,75.42857142857143,0.2915065588976111,175.0,801320.0,100.0,174.47,1.2825523007037198,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,1.364607348,2.8244418991621996E-7,182.0,75.27472527472527,0.24360535931792718,182.0,801320.0,100.0,181.68000000000004,1.3601752709400234,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189.0,1.393900224,2.885166633688327E-7,189.0,75.66137566137566,0.29816513761471486,189.0,801320.0,100.0,188.77000000000004,1.4203325119296695,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196.0,1.421851819,2.943110865110221E-7,196.0,75.51020408163265,0.2544529262086148,196.0,801320.0,100.0,195.43000000000004,1.454651542848359,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203.0,1.452320715,3.00627351328803E-7,203.0,75.86206896551724,0.3006915906585108,203.0,801320.0,100.0,202.2,1.4553280722846647,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,1.478700045,3.060958407022162E-7,210.0,75.71428571428571,0.26075619295954544,210.0,801320.0,100.0,209.63000000000002,1.4750213146893427,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
217.0,1.50884002,3.1234391952008006E-7,217.0,76.036866359447,0.300406432231876,217.0,801320.0,100.0,216.08999999999995,1.4815426712952573,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224.0,1.539592554,3.1871898307872727E-7,224.0,75.44642857142857,0.1944264419961124,224.0,801320.0,100.0,223.27000000000007,1.5256629623699574,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,1.569411555,3.2490052332612166E-7,231.0,75.75757575757575,0.23137436372048722,231.0,801320.0,100.0,230.47000000000003,1.5635013155211488,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238.0,1.59968062,3.3117536276653405E-7,238.0,76.05042016806722,0.2646669607410301,238.0,801320.0,100.0,237.14000000000004,1.5766618617391066,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
245.0,1.629566494,3.373707659243916E-7,245.0,75.51020408163265,0.17655846801567723,245.0,801320.0,100.0,244.23999999999995,1.595898784162996,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
252.0,1.660581238,3.43800186155426E-7,252.0,76.19047619047619,2.690178916205415,252.0,801320.0,100.0,250.79999999999995,1.6230038244383198,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
259.0,1.690726188,3.500492963010238E-7,259.0,76.83397683397683,2.7899411985486804,259.0,801320.0,100.0,258.11000000000007,1.6367555366849031,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,1.722079035,3.565488059794633E-7,266.0,76.69172932330827,2.679098312286106,266.0,801320.0,100.0,264.9600000000001,1.6752457983378104,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
273.0,1.752710821,3.628988382293221E-7,273.0,76.92307692307693,2.6710429517288783,273.0,801320.0,100.0,271.53,1.7112494696784413,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,1.783757599,3.69334899174453E-7,280.0,77.14285714285715,2.0550940096196366,280.0,801320.0,100.0,278.39,1.7358312420883846,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
287.0,1.814392322,3.7568554027045346E-7,287.0,77.35191637630662,2.058066887173829,287.0,801320.0,100.0,285.8200000000001,1.7793075488895542,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
294.0,1.845969174,3.822314866461894E-7,294.0,76.87074829931973,3.420289855072485,294.0,801320.0,100.0,292.69000000000005,1.7965002452861316,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
301.0,1.877938897,3.8885887598839274E-7,301.0,76.74418604651163,3.295391958876459,301.0,801320.0,100.0,299.55999999999995,1.8369562000244,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308.0,1.909344868,3.9536939838131265E-7,308.0,76.62337662337663,3.1784841075794774,308.0,801320.0,100.0,306.4599999999998,1.835696548501908,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
315.0,1.940115117,4.01748134295901E-7,315.0,76.82539682539684,3.1748705208640247,315.0,801320.0,100.0,313.5000000000002,1.8452505236280234,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322.0,1.971827594,4.0832219601312855E-7,322.0,76.70807453416148,3.066548928313436,322.0,801320.0,100.0,320.23,1.8483875036464528,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
329.0,2.003411819,4.1486967082693135E-7,329.0,76.89969604863222,3.062727766147099,329.0,801320.0,100.0,326.9200000000001,1.8824913644884902,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
336.0,2.034426554,4.212990891922472E-7,336.0,77.38095238095238,3.1553398058252387,336.0,801320.0,100.0,334.16999999999985,1.8778913061132574,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
343.0,2.065345694,4.277086905174164E-7,343.0,76.96793002915452,2.9581348708949737,343.0,801320.0,100.0,340.84000000000015,1.8579732631188874,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350.0,2.09700311,4.3427133797607896E-7,350.0,76.57142857142857,2.777777777777756,350.0,801320.0,100.0,348.0999999999999,1.8392741212036054,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
357.0,2.128307534,4.407608094670085E-7,357.0,76.47058823529412,2.693231228502796,357.0,801320.0,100.0,355.0999999999999,1.853770386661909,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
364.0,2.157922396,4.4690003127977246E-7,364.0,76.64835164835165,2.2371081900909995,364.0,801320.0,100.0,361.86,1.8532537589195641,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
