learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.108008918,2.1925963336945407E-8,7.0,85.71428571428571,0.0,7.0,784696.0,100.0,3.9199999999999995,0.20433681839926782,2160.800000000001,31.063987399097886,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.295660823,6.07287211636102E-8,14.0,85.71428571428571,0.0,14.0,799304.0,100.0,10.31,0.3765057312399981,2306.879999999999,8.54810842091732,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.366288302,7.539669214607733E-8,21.0,80.95238095238095,-7.692307692307635,21.0,802784.0,100.0,19.670000000000005,0.5592301707154076,2341.68,2.3199999999999945,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.424558596,8.750181042415607E-8,28.0,78.57142857142857,-10.526315789473696,28.0,803016.0,100.0,30.240000000000002,0.7614605848119927,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.479524393,9.892044980726723E-8,35.0,82.85714285714286,-8.247422680412253,35.0,803016.0,100.0,30.409999999999993,0.7599966772920455,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.536467726,1.1074990412773151E-7,42.0,78.57142857142857,27.58620689655172,42.0,803016.0,100.0,49.89999999999999,1.0734161458736413,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.589413454,1.217488927334692E-7,49.0,71.42857142857143,17.942583732057415,49.0,803016.0,100.0,57.72000000000001,1.0636396443012512,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.645227601,1.3334376903570775E-7,56.0,62.5,2.6490066225165307,56.0,803016.0,100.0,64.65,1.0940957245805571,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.700705852,1.4486886602965702E-7,63.0,61.904761904761905,-0.39840637450195004,63.0,803016.0,100.0,70.24999999999997,1.0784739498968254,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.759093062,1.5699827253268618E-7,70.0,62.857142857142854,-0.8869179600887329,70.0,803016.0,100.0,74.28999999999998,1.0973149046650192,2344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
