learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
7.0,0.011847026,8.440553108230233E-10,7.0,85.71428571428571,0.0,7.0,275400.0,100.0,4.160000000000001,0.22052279480884293,6659.840000000001,19.200161615481424
14.0,0.073966884,5.511814427160554E-9,14.0,78.57142857142857,-10.526315789473696,14.0,290456.0,100.0,12.009999999999994,0.3838915566572508,6810.079999999999,5.537451552561854
21.0,0.117871292,8.826653706332048E-9,21.0,80.95238095238095,-7.692307692307635,21.0,291848.0,100.0,19.59000000000001,0.5185634780893087,6824.0,0.0
28.0,0.146424938,1.0982490708492698E-8,28.0,82.14285714285714,-6.060606060605997,28.0,291848.0,100.0,28.16999999999999,0.6463659094420814,6824.0,0.0
35.0,0.168101418,1.2619092831408814E-8,35.0,85.71428571428571,-4.790419161676705,35.0,291848.0,100.0,31.379999999999995,0.6946810909919877,6824.0,0.0
42.0,0.190457928,1.4307038094061946E-8,42.0,78.57142857142857,27.58620689655172,42.0,291848.0,100.0,44.749999999999986,0.8775971556909056,6824.0,0.0
49.0,0.208572316,1.5674697688983547E-8,49.0,75.51020408163265,29.66507177033491,49.0,291848.0,100.0,49.44,0.8790858429026823,6824.0,0.0
56.0,0.226937474,1.706129074147592E-8,56.0,75.0,25.897920604914937,56.0,291848.0,100.0,58.99,0.9256714734546359,6824.0,0.0
63.0,0.24404316,1.8352792037882737E-8,63.0,74.60317460317461,22.935779816513776,63.0,291848.0,100.0,66.70000000000002,0.969692234836925,6824.0,0.0
70.0,0.261533828,1.967335997050007E-8,70.0,75.71428571428571,22.626788036410915,70.0,291848.0,100.0,72.02000000000004,1.0361135618894834,6824.0,0.0
77.0,0.278457238,2.09510991944414E-8,77.0,77.92207792207793,24.203821656050987,77.0,291848.0,100.0,74.18999999999998,1.0730580298164376,6824.0,0.0
84.0,0.29576431,2.2257805392895303E-8,84.0,78.57142857142857,23.559150657229516,84.0,291848.0,100.0,84.66999999999996,1.1259164617270145,6824.0,0.0
91.0,0.312928814,2.3553747523960965E-8,91.0,79.12087912087912,22.9157378510923,91.0,291848.0,100.0,94.17000000000002,1.166887857819796,6824.0,0.0
98.0,0.32975691,2.4824290418297878E-8,98.0,77.55102040816327,19.37172774869108,98.0,291848.0,100.0,102.11,1.1953525324219947,6824.0,0.0
105.0,0.346696137,2.6103223846084952E-8,105.0,78.0952380952381,18.986917141898697,105.0,291848.0,100.0,106.83000000000001,1.2441422342280237,6824.0,0.0
112.0,0.363659069,2.7383947031864273E-8,112.0,77.67857142857143,17.452830188679258,112.0,291848.0,100.0,114.76,1.216064192882975,6824.0,0.0
119.0,0.380690453,2.8669838431694854E-8,119.0,78.15126050420169,17.139796464916966,119.0,291848.0,100.0,121.26000000000003,1.2635224132910696,6824.0,0.0
126.0,0.397625938,2.994848933366852E-8,126.0,77.77777777777779,15.879828326180295,126.0,291848.0,100.0,130.94000000000005,1.2993253882867308,6824.0,0.0
133.0,0.414159844,3.119682050458259E-8,133.0,77.44360902255639,14.780008543357587,133.0,291848.0,100.0,136.87000000000003,1.340258907597311,6824.0,0.0
140.0,0.431346059,3.249440184407557E-8,140.0,75.71428571428571,12.403386087596656,140.0,291848.0,100.0,144.46,1.4304354073307375,6824.0,0.0
147.0,0.448327149,3.377649598221191E-8,147.0,76.19047619047619,12.306118970513054,147.0,291848.0,100.0,150.04,1.4774343035181363,6824.0,0.0
154.0,0.464782295,3.501888067181532E-8,154.0,75.32467532467533,11.036789297658874,154.0,291848.0,100.0,158.39000000000001,1.5074826832849664,6824.0,0.0
161.0,0.482628873,3.636632026724724E-8,161.0,75.77639751552795,10.974053594215228,161.0,291848.0,100.0,164.20000000000005,1.5305640341476285,6824.0,0.0
168.0,0.498876731,3.7593054446211704E-8,168.0,75.59523809523809,10.405827263267426,168.0,291848.0,100.0,171.59,1.5639948203174454,6824.0,0.0
175.0,0.515682175,3.8861887085410866E-8,175.0,76.0,10.343986338131232,175.0,291848.0,100.0,177.77000000000004,1.5881413442426742,6824.0,0.0
182.0,0.53271583,4.0147949948662684E-8,182.0,75.82417582417582,9.840126097725767,182.0,291848.0,100.0,185.93,1.6643775188497727,6824.0,0.0
189.0,0.548980742,4.137597172656407E-8,189.0,76.19047619047619,9.780417948445939,189.0,291848.0,100.0,191.79000000000002,1.6823081186455127,6824.0,0.0
196.0,0.56609121,4.2667834070122075E-8,196.0,76.0204081632653,9.330708661417342,196.0,291848.0,100.0,200.30000000000004,1.7559422921421226,6824.0,0.0
203.0,0.582933431,4.3939443420128275E-8,203.0,76.35467980295566,9.273743016759786,203.0,291848.0,100.0,206.39999999999992,1.8045397297825396,6824.0,0.0
210.0,0.600035317,4.523065781164707E-8,210.0,76.19047619047619,8.869987849331675,210.0,291848.0,100.0,214.2699999999999,1.8077752944300123,6824.0,0.0
217.0,0.617154101,4.6523148023902125E-8,217.0,76.49769585253456,8.816017137678191,217.0,291848.0,100.0,220.46999999999997,1.8463425489547731,6824.0,0.0
224.0,0.633581753,4.7763456881139426E-8,224.0,75.89285714285714,8.154897494305246,224.0,291848.0,100.0,228.84000000000006,1.9062745941450374,6824.0,0.0
231.0,0.650060686,4.900763751984056E-8,231.0,76.19047619047619,8.114558472553709,231.0,291848.0,100.0,235.0,1.9518445044872224,6824.0,0.0
238.0,0.666886721,5.0278024806026365E-8,238.0,76.47058823529412,8.07007863153533,238.0,291848.0,100.0,241.54999999999998,2.0005744124620763,6824.0,0.0
245.0,0.68366641,5.1544912909596324E-8,245.0,75.91836734693878,7.511677010685217,245.0,291848.0,100.0,250.08999999999997,2.076520740045326,6824.0,0.0
252.0,0.701963049,5.2926332689451256E-8,252.0,76.19047619047619,7.477664912495372,252.0,291848.0,100.0,255.53000000000003,2.125765696867789,6824.0,0.0
259.0,0.719965169,5.4285515905960144E-8,259.0,76.83397683397683,7.675855513307997,259.0,291848.0,100.0,258.7700000000001,2.12953520797854,6824.0,0.0
266.0,0.738087289,5.565375927682758E-8,266.0,76.69172932330827,7.400336889387939,266.0,291848.0,100.0,269.31000000000006,2.1182561438383902,6824.0,0.0
273.0,0.756909793,5.707488254061382E-8,273.0,76.92307692307693,7.357931591704797,273.0,291848.0,100.0,275.34999999999974,2.140724648384754,6824.0,0.0
280.0,0.814871892,6.145109557299149E-8,280.0,77.5,7.527783602432366,280.0,291848.0,100.0,279.2200000000001,2.153483435991768,6824.0,0.0
287.0,0.840812779,6.34096659098048E-8,287.0,77.70034843205575,7.4753173483780095,287.0,291848.0,100.0,289.0100000000001,2.243441395028916,6824.0,0.0
294.0,0.863034145,6.508740762661933E-8,294.0,77.21088435374149,7.023506088926659,294.0,291848.0,100.0,298.51,2.2570426256810956,6824.0,0.0
301.0,0.879950543,6.636461743554098E-8,301.0,77.0764119601329,6.794417268769946,301.0,291848.0,100.0,305.15000000000003,2.2933974180616223,6824.0,0.0
308.0,0.896600287,6.762169452445993E-8,308.0,76.94805194805194,6.578947368421064,308.0,291848.0,100.0,312.0299999999999,2.327588382160316,6824.0,0.0
315.0,0.914183666,6.894926225683339E-8,315.0,77.14285714285715,6.543596505686494,315.0,291848.0,100.0,318.43999999999994,2.4111827015392304,6824.0,0.0
322.0,0.930932015,7.021378415009004E-8,322.0,77.01863354037268,6.343840893011578,322.0,291848.0,100.0,325.15999999999997,2.4169318558783575,6824.0,0.0
329.0,0.945905906,7.134433218182372E-8,329.0,77.20364741641338,6.310513725936882,329.0,291848.0,100.0,330.54999999999995,2.451978174800292,6824.0,0.0
336.0,0.960581964,7.245239343894849E-8,336.0,77.67857142857143,6.431011436209695,336.0,291848.0,100.0,334.4299999999999,2.4683964041621858,6824.0,0.0
343.0,0.975197498,7.355588505621997E-8,343.0,77.25947521865889,6.093366093366096,343.0,291848.0,100.0,346.2999999999999,2.4474889213645112,6824.0,0.0
350.0,0.989888346,7.466506297736943E-8,350.0,76.85714285714286,5.7826520438684,350.0,291848.0,100.0,354.2800000000001,2.4336064603876286,6824.0,0.0
357.0,1.005616564,7.585256366790994E-8,357.0,76.75070028011206,5.624741217313722,357.0,291848.0,100.0,361.02,2.4623213158778157,6824.0,0.0
364.0,1.020233086,7.69561298804523E-8,364.0,77.1978021978022,5.7289066400399085,364.0,291848.0,100.0,365.3499999999999,2.475633782743851,6824.0,0.0
371.0,1.034863683,7.806075877359962E-8,371.0,76.81940700808624,5.45249807384579,371.0,291848.0,100.0,374.26,2.5134635445733027,6824.0,0.0
378.0,1.049524374,7.91676598024575E-8,378.0,76.45502645502646,5.196415487797976,378.0,291848.0,100.0,382.09,2.5309835593653665,6824.0,0.0
385.0,1.064247438,8.027927007304709E-8,385.0,76.62337662337663,5.17760385310054,385.0,291848.0,100.0,387.86999999999995,2.5635224740086584,6824.0,0.0
392.0,1.078949824,8.138931912803813E-8,392.0,77.04081632653062,5.268245529241197,392.0,291848.0,100.0,392.0899999999999,2.579996672145689,6824.0,0.0
399.0,1.093545645,8.249132238845235E-8,399.0,77.19298245614034,5.245439599154484,399.0,291848.0,100.0,399.82000000000005,2.5854050344035437,6824.0,0.0
