learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.106716767,2.1963364087765418E-8,7.0,71.42857142857143,-16.666666666666636,7.0,795552.0,100.0,0.0
14.0,0.240912072,4.977538358057538E-8,14.0,64.28571428571429,-20.68965517241378,14.0,801120.0,100.0,37.0
21.0,0.301476082,6.236000853333621E-8,21.0,66.66666666666666,-19.512195121951244,21.0,803208.0,100.0,7.0
28.0,0.355546325,7.360178093486982E-8,28.0,71.42857142857143,-16.666666666666636,28.0,803672.0,100.0,43.0
35.0,0.408322585,8.457452065649753E-8,35.0,77.14285714285715,-12.903225806451605,35.0,803672.0,100.0,37.0
42.0,0.464503902,9.626195139774018E-8,42.0,71.42857142857143,15.151515151515166,42.0,804136.0,100.0,57.0
49.0,0.521771785,1.0817542107058689E-7,49.0,71.42857142857143,22.92134831460674,49.0,804136.0,100.0,35.0
56.0,0.577796416,1.1983025633577258E-7,56.0,67.85714285714286,14.431239388794593,56.0,804136.0,100.0,42.0
63.0,0.633944823,1.3151084079134174E-7,63.0,68.25396825396825,16.33466135458171,63.0,804136.0,100.0,37.0
70.0,0.690589814,1.4329472989367115E-7,70.0,71.42857142857143,22.394678492239443,70.0,804136.0,100.0,38.0
77.0,0.748205156,1.552804816562724E-7,77.0,72.72727272727273,22.520364159080025,77.0,804136.0,100.0,31.0
84.0,0.818765236,1.699591344919925E-7,84.0,73.80952380952381,22.287636669470125,84.0,804136.0,100.0,41.0
91.0,0.868573015,1.8032067456478254E-7,91.0,72.52747252747253,18.546365914786946,91.0,804136.0,100.0,37.0
98.0,0.904250122,1.87742603052333E-7,98.0,70.40816326530613,16.46090534979426,98.0,804136.0,100.0,40.0
105.0,0.937891476,1.9474103270674332E-7,105.0,69.52380952380952,13.757700205338821,105.0,804136.0,100.0,38.0
112.0,0.971241434,2.016788430885888E-7,112.0,66.96428571428571,8.802816901408413,112.0,804136.0,100.0,39.0
119.0,1.007403368,2.092016304076256E-7,119.0,68.0672268907563,9.123794212218678,119.0,804136.0,100.0,53.0
126.0,1.058412566,2.1981310234573154E-7,126.0,66.66666666666666,6.070287539936098,126.0,804136.0,100.0,51.0
133.0,1.095852694,2.2760179307619733E-7,133.0,67.66917293233082,10.738255033557051,133.0,804136.0,100.0,38.0
140.0,1.132434286,2.35211882083267E-7,140.0,66.42857142857143,11.463939720129188,140.0,804136.0,100.0,39.0
147.0,1.168088806,2.4262911178459725E-7,147.0,66.66666666666666,10.842926104715938,147.0,804136.0,100.0,38.0
154.0,1.204414355,2.501859360234295E-7,154.0,66.23376623376623,10.804188015148151,154.0,804136.0,100.0,55.0
161.0,1.23953739,2.5749260060348447E-7,161.0,65.83850931677019,9.393226235546894,161.0,804136.0,100.0,36.0
168.0,1.277054118,2.652972264747156E-7,168.0,66.07142857142857,10.33707865168539,168.0,804136.0,100.0,37.0
175.0,1.318817776,2.7398534356488535E-7,175.0,66.85714285714286,10.651408450704249,175.0,804136.0,100.0,46.0
182.0,1.357120472,2.819534747979583E-7,182.0,65.38461538461539,7.785105356281171,182.0,804136.0,100.0,39.0
189.0,1.393004666,2.8941848370973437E-7,189.0,66.13756613756614,8.113035551504089,189.0,804136.0,100.0,48.0
196.0,1.431086421,2.973406524632271E-7,196.0,65.3061224489796,6.246482836240827,196.0,804136.0,100.0,49.0
203.0,1.471099902,3.0566467925497225E-7,203.0,65.51724137931035,7.2333202767985645,203.0,804136.0,100.0,37.0
210.0,1.527327419,3.173617210080081E-7,210.0,65.71428571428571,8.085106382978697,210.0,804136.0,100.0,40.0
217.0,1.556352212,3.233997649001868E-7,217.0,65.89861751152074,7.723250201126315,217.0,804136.0,100.0,40.0
224.0,1.584813672,3.2932061831386965E-7,224.0,65.17857142857143,7.231602421153218,224.0,804136.0,100.0,49.0
231.0,1.612410841,3.350616727882934E-7,231.0,65.36796536796537,6.920519794499809,231.0,804136.0,100.0,42.0
238.0,1.640238521,3.4085068059474023E-7,238.0,65.54621848739495,6.613073021341746,238.0,804136.0,100.0,40.0
245.0,1.665986324,3.462070104276927E-7,245.0,64.89795918367346,6.213834238404712,245.0,804136.0,100.0,43.0
252.0,1.690312028,3.512675002117248E-7,252.0,65.87301587301587,8.083806938671614,252.0,804136.0,100.0,43.0
259.0,1.71711493,3.568433228787035E-7,259.0,66.79536679536679,8.884889143418134,259.0,804136.0,100.0,43.0
266.0,1.746385591,3.62932514828189E-7,266.0,66.54135338345864,7.990672366886933,266.0,804136.0,100.0,39.0
273.0,1.77684906,3.692698472918529E-7,273.0,66.66666666666666,7.6777286409751095,273.0,804136.0,100.0,39.0
280.0,1.804064513,3.749314931736866E-7,280.0,67.14285714285714,7.894736842105235,280.0,804136.0,100.0,38.0
287.0,1.831620677,3.8066401735506746E-7,287.0,67.24738675958189,7.577937649880114,287.0,804136.0,100.0,39.0
294.0,1.859878604,3.865425296851289E-7,294.0,67.00680272108843,8.683957732949102,294.0,804136.0,100.0,34.0
301.0,1.887548891,3.9229879493791403E-7,301.0,66.77740863787376,7.889099700104045,301.0,804136.0,100.0,55.0
308.0,1.914366585,3.97877694792911E-7,308.0,66.88311688311688,8.482871125611727,308.0,804136.0,100.0,42.0
315.0,1.941954307,4.036167840026505E-7,315.0,66.98412698412697,8.199293840721861,315.0,804136.0,100.0,41.0
322.0,1.967080631,4.0884382721226456E-7,322.0,66.77018633540372,7.466294247193428,322.0,804136.0,100.0,50.0
329.0,1.995089773,4.1467058465988064E-7,329.0,67.17325227963525,8.484005563282327,329.0,804136.0,100.0,42.0
336.0,2.022156007,4.203011884298362E-7,336.0,67.85714285714286,9.061748195669649,336.0,804136.0,100.0,41.0
343.0,2.050451935,4.261876061291434E-7,343.0,67.3469387755102,8.746258729630844,343.0,804136.0,100.0,41.0
350.0,2.074391346,4.3116773516472017E-7,350.0,67.42857142857143,10.013531799729321,350.0,804136.0,100.0,41.0
357.0,2.09864004,4.36212204515458E-7,357.0,66.94677871148458,8.932508971421154,357.0,804136.0,100.0,40.0
364.0,2.122311361,4.4113656263866153E-7,364.0,67.3076923076923,9.091672263263947,364.0,804136.0,100.0,39.0
371.0,2.145534121,4.459676063666058E-7,371.0,66.84636118598382,8.783257041197725,371.0,804136.0,100.0,40.0
378.0,2.169786025,4.510127434954358E-7,378.0,66.66666666666666,8.84942203169256,378.0,804136.0,100.0,40.0
