learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
2.0,0.189611613,4.783733118643985E-8,2.0,50.0,0.0,2.0,975224.0,100.0,2.0500000000000007,0.15464197817585437,4073.0399999999972,160.66188973157642,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.369072954,9.582813372109086E-8,4.0,75.0,0.0,4.0,1033688.0,100.0,4.019999999999999,0.20791412368639808,4657.679999999999,69.08012458096188,0.9800000000000001,0.014070529413628971,0.9800000000000001,0.014070529413628971,0.9800000000000001,0.014070529413628971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.451056659,1.1794835624726903E-7,6.0,83.33333333333334,0.0,6.0,1042952.0,100.0,5.849999999999998,0.25,4750.320000000001,24.382221043832388,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.518899961,1.362596407029012E-7,8.0,87.5,0.0,8.0,1043312.0,100.0,8.050000000000004,0.3062892935006565,4753.920000000001,24.376075702759596,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.585622659,1.544540604343576E-7,10.0,80.0,0.0,10.0,1054064.0,100.0,9.999999999999998,0.35675303400633784,4861.4400000000005,17.305480652269114,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.653513773,1.7303003966028287E-7,12.0,83.33333333333334,42.85714285714286,12.0,1057648.0,100.0,12.040000000000001,0.3631845678205922,4897.280000000001,12.220582736688238,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.723888862,1.9232295601597472E-7,14.0,78.57142857142857,43.24324324324325,14.0,1059696.0,100.0,13.93,0.3657716348883397,4917.759999999999,7.204111059778029,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.813570069,2.1690853096748187E-7,16.0,81.25,45.45454545454545,16.0,1059696.0,100.0,15.95,0.3993365710396394,4917.759999999999,7.204111059778029,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.871271672,2.3272708574427708E-7,18.0,83.33333333333334,47.05882352941179,18.0,1059696.0,100.0,17.949999999999985,0.43978300434315437,4917.759999999999,7.204111059778029,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.92688707,2.479884527507528E-7,20.0,80.0,38.46153846153849,20.0,1060720.0,100.0,20.0,0.4701171141429559,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,0.978386566,2.62120379112307E-7,22.0,81.81818181818183,39.72602739726031,22.0,1060720.0,100.0,21.95000000000001,0.5192019906266799,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.029579525,2.7616818895530166E-7,24.0,83.33333333333334,40.740740740740776,24.0,1060720.0,100.0,24.210000000000008,0.5322517441887056,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,1.080506271,2.9014294754916394E-7,26.0,80.76923076923077,32.98969072164947,26.0,1060720.0,100.0,26.12000000000001,0.5433305447037565,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.131102083,3.040268948675424E-7,28.0,82.14285714285714,33.96226415094342,28.0,1060720.0,100.0,28.02,0.5699512649731066,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,1.181276094,3.1779509618578074E-7,30.0,80.0,28.57142857142859,30.0,1060720.0,100.0,30.089999999999996,0.5968088538894242,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,1.231158199,3.3148319586386915E-7,32.0,81.25,29.411764705882355,32.0,1060720.0,100.0,32.17000000000001,0.6088663086574768,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
