learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
2.0,0.011939634,1.1975863778963684E-9,2.0,50.0,0.0,2.0,387720.0,100.0,2.0500000000000007,0.15464197817585437,7791.919999999999,92.20670638858273
4.0,0.078686497,8.492605243244518E-9,4.0,50.0,-33.33333333333333,4.0,422472.0,100.0,4.019999999999999,0.20791412368639808,8137.519999999999,43.87290293702039
6.0,0.112360068,1.2219192899059918E-8,6.0,66.66666666666666,-20.000000000000057,6.0,427784.0,100.0,5.849999999999998,0.25,8190.319999999996,24.38222104383238
8.0,0.140755113,1.5364260993007983E-8,8.0,75.0,-14.285714285714285,8.0,428144.0,100.0,8.050000000000004,0.3062892935006565,8193.919999999996,24.376075702759586
10.0,0.167503418,1.8401336006157925E-8,10.0,70.0,-15.384615384615447,10.0,438896.0,100.0,9.999999999999998,0.35675303400633784,8301.440000000004,17.305480652269125
12.0,0.195278684,2.15807677179161E-8,12.0,66.66666666666666,-14.285714285714313,12.0,442480.0,100.0,12.040000000000001,0.3631845678205922,8337.28,12.220582736688225
14.0,0.221988409,2.4652378387521533E-8,14.0,64.28571428571429,-12.903225806451632,14.0,444528.0,100.0,13.93,0.3657716348883397,8357.76,7.204111059778029
16.0,0.249082075,2.776814216136518E-8,16.0,68.75,-11.11111111111111,16.0,444528.0,100.0,15.95,0.3993365710396394,8357.76,7.204111059778029
18.0,0.276593859,3.093198938458744E-8,18.0,72.22222222222221,-9.75609756097561,18.0,444528.0,100.0,17.949999999999985,0.43978300434315437,8357.76,7.204111059778029
20.0,0.303656222,3.4051322400387784E-8,20.0,70.0,-9.090909090909054,20.0,445552.0,100.0,20.0,0.4701171141429559,8368.0,0.0
22.0,0.331523107,3.7263388339641186E-8,22.0,72.72727272727273,-8.196721311475429,22.0,445552.0,100.0,21.95000000000001,0.5192019906266799,8368.0,0.0
24.0,0.358203905,4.0338740410312174E-8,24.0,75.0,-7.462686567164202,24.0,445552.0,100.0,24.210000000000008,0.5322517441887056,8368.0,0.0
26.0,0.385245738,4.345570704344245E-8,26.0,76.92307692307693,-6.849315068493135,26.0,445552.0,100.0,26.12000000000001,0.5433305447037565,8368.0,0.0
28.0,0.412485081,4.65954395918755E-8,28.0,78.57142857142857,-6.329113924050625,28.0,445552.0,100.0,28.02,0.5699512649731066,8368.0,0.0
30.0,0.441580335,4.994909301841838E-8,30.0,76.66666666666667,-6.060606060606103,30.0,445552.0,100.0,30.089999999999996,0.5968088538894242,8368.0,0.0
32.0,0.469130972,5.3124706751795276E-8,32.0,78.125,-5.660377358490567,32.0,445552.0,100.0,32.17000000000001,0.6088663086574768,8368.0,0.0
34.0,0.496098124,5.623306530776123E-8,34.0,79.41176470588235,-5.309734513274301,34.0,445552.0,100.0,34.13000000000001,0.6083019917206527,8368.0,0.0
36.0,0.523309675,5.936959442184617E-8,36.0,80.55555555555556,-5.000000000000024,36.0,445552.0,100.0,36.040000000000006,0.6232725622620386,8368.0,0.0
38.0,0.54979605,6.242253639909956E-8,38.0,78.94736842105263,-4.827586206896561,38.0,445552.0,100.0,38.199999999999996,0.6587407638361193,8368.0,0.0
40.0,0.576387928,6.548763913966715E-8,40.0,80.0,-4.57516339869277,40.0,445552.0,100.0,40.04000000000001,0.679560166726994,8368.0,0.0
42.0,0.603823726,6.865001599922776E-8,42.0,80.95238095238095,-4.3478260869565055,42.0,445552.0,100.0,42.260000000000005,0.7066237837188696,8368.0,0.0
44.0,0.629976685,7.166452690759052E-8,44.0,81.81818181818183,-4.14201183431953,44.0,445552.0,100.0,44.43,0.7196035665067906,8368.0,0.0
46.0,0.656432953,7.471399861289808E-8,46.0,78.26086956521739,-4.072398190045234,46.0,445552.0,100.0,46.399999999999984,0.7296048466966435,8368.0,0.0
48.0,0.683349148,7.78164836295694E-8,48.0,79.16666666666666,-3.896103896103895,48.0,445552.0,100.0,48.69999999999999,0.7432524755587717,8368.0,0.0
50.0,0.709784041,8.086349155360211E-8,50.0,80.0,-3.7344398340248883,50.0,445552.0,100.0,50.550000000000004,0.7569709707148948,8368.0,0.0
52.0,0.736696011,8.396548957724951E-8,52.0,80.76923076923077,-3.5856573705179007,52.0,445552.0,100.0,52.58000000000002,0.7834371304538339,8368.0,0.0
54.0,0.788874381,8.997980962208989E-8,54.0,79.62962962962963,-3.4843205574912917,54.0,445552.0,100.0,54.62000000000002,0.7757407668633494,8368.0,0.0
56.0,0.813975859,9.287312197145073E-8,56.0,78.57142857142857,-3.3846153846153637,56.0,445552.0,100.0,56.63999999999999,0.7728368312113286,8368.0,0.0
58.0,0.83811167,9.56551270800001E-8,58.0,77.58620689655173,-3.2876712328767224,58.0,445552.0,100.0,58.32999999999999,0.7740820565696058,8368.0,0.0
60.0,0.863182088,9.854485931023126E-8,60.0,76.66666666666667,-3.1941031941031524,60.0,445552.0,100.0,60.54,0.7691553809211766,8368.0,0.0
62.0,0.886742363,1.0126052547984237E-7,62.0,75.80645161290323,-3.1042128603104153,62.0,445552.0,100.0,62.61999999999999,0.7698589664885567,8368.0,0.0
64.0,0.908380799,1.0375467160540734E-7,64.0,76.5625,-3.004291845493562,64.0,445552.0,100.0,64.87,0.7834983707511437,8368.0,0.0
66.0,0.929868628,1.0623145807219046E-7,66.0,77.27272727272727,-2.910602910602958,66.0,445552.0,100.0,66.88000000000002,0.7977594888311899,8368.0,0.0
68.0,0.950620887,1.0862345934167089E-7,68.0,77.94117647058823,-2.8225806451612554,68.0,445552.0,100.0,68.95999999999998,0.807780348182036,8368.0,0.0
70.0,0.970594369,1.1092569517536708E-7,70.0,78.57142857142857,-2.7397260273973485,70.0,445552.0,100.0,70.96000000000001,0.8203128252765108,8368.0,0.0
72.0,0.990575148,1.1322877209500305E-7,72.0,79.16666666666666,-2.661596958175001,72.0,445552.0,100.0,72.97000000000001,0.8373183505704509,8368.0,0.0
74.0,1.010758468,1.1555519482625026E-7,74.0,79.72972972972973,-2.587800369685847,74.0,445552.0,100.0,75.00000000000004,0.8767478934601826,8368.0,0.0
76.0,1.03075356,1.1785992152840725E-7,76.0,78.94736842105263,-2.52951096121421,76.0,445552.0,100.0,76.89000000000001,0.8922670026625459,8368.0,0.0
78.0,1.050857441,1.201771877534232E-7,78.0,79.48717948717949,-2.4630541871921303,78.0,445552.0,100.0,78.83000000000003,0.8996132726922387,8368.0,0.0
80.0,1.071134081,1.225143669791064E-7,80.0,80.0,-2.3999999999999773,80.0,445552.0,100.0,80.89999999999998,0.9010095348098053,8368.0,0.0
82.0,1.090978112,1.248016816923436E-7,82.0,79.26829268292683,-2.3494860499266306,82.0,445552.0,100.0,82.71999999999997,0.8917217485110909,8368.0,0.0
84.0,1.111225492,1.27135488275215E-7,84.0,78.57142857142857,-2.3004059539919424,84.0,445552.0,100.0,84.68999999999998,0.9031588783796348,8368.0,0.0
86.0,1.131411899,1.2946226682834738E-7,86.0,79.06976744186046,-2.2457067371201918,86.0,445552.0,100.0,86.54000000000006,0.9022329202729426,8368.0,0.0
88.0,1.151862268,1.3181947086138026E-7,88.0,79.54545454545455,-2.1935483870967345,88.0,445552.0,100.0,88.49000000000001,0.9210769936779597,8368.0,0.0
