learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
2.0,0.170199402,4.022117024778078E-8,2.0,50.0,0.0,2.0,913480.0,100.0,1.3599999999999997,0.12103927069552697,3438.6399999999994,202.09169012149317,0.7299999999999996,0.04461960433384736,0.7299999999999996,0.04461960433384736,0.7299999999999996,0.04461960433384736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.364106156,8.926412588078115E-8,4.0,75.0,0.0,4.0,977656.0,100.0,2.43,0.17071152346114257,4080.400000000001,161.1430433001698,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.478813447,1.1947028275932289E-7,6.0,83.33333333333334,0.0,6.0,1017904.0,100.0,3.3499999999999996,0.20269646910061997,4482.879999999998,102.9047232966868,0.9499999999999997,0.021904291355759033,0.9499999999999997,0.021904291355759033,0.9499999999999997,0.021904291355759033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.577180873,1.4574556618183023E-7,8.0,87.5,0.0,8.0,1032520.0,100.0,4.579999999999999,0.23405947616757242,4629.039999999998,69.04018727223921,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.675031773,1.72517756025816E-7,10.0,80.0,0.0,10.0,1057600.0,100.0,7.520000000000002,0.33978008336349713,4879.839999999997,14.64879572393637,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.774588971,1.9982272633114622E-7,12.0,75.0,0.0,12.0,1060160.0,100.0,9.25,0.38569758394709475,4905.440000000001,10.023893878371243,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.887065269,2.3070679098410737E-7,14.0,71.42857142857143,0.0,14.0,1061392.0,100.0,14.060000000000006,0.4118987813293528,4917.76,7.204111059778032,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.976725242,2.553258836476546E-7,16.0,75.0,0.0,16.0,1061392.0,100.0,14.87,0.4213146812135326,4917.76,7.204111059778032,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,1.057486527,2.775015490255836E-7,18.0,77.77777777777779,0.0,18.0,1061392.0,100.0,14.91,0.4202200001009572,4917.76,7.204111059778032,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,1.157488852,3.0498696594757754E-7,20.0,75.0,0.0,20.0,1062416.0,100.0,18.189999999999998,0.5155550113198102,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,1.246328366,3.2940430905872335E-7,22.0,77.27272727272727,0.0,22.0,1062416.0,100.0,19.599999999999998,0.5660424369285755,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.329859582,3.5236267825425085E-7,24.0,79.16666666666666,0.0,24.0,1062416.0,100.0,20.45,0.5732020639012095,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,1.409976323,3.7438258657954635E-7,26.0,76.92307692307693,-6.849315068493135,26.0,1062416.0,100.0,23.719999999999995,0.5952811066711222,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.463329922,3.8904670476683726E-7,28.0,78.57142857142857,-6.329113924050625,28.0,1062416.0,100.0,23.750000000000007,0.5963483152749851,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,1.51995661,4.0461042419627725E-7,30.0,76.66666666666667,-6.060606060606103,30.0,1062416.0,100.0,29.499999999999996,0.7098868881303513,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,1.57018377,4.184152475682108E-7,32.0,78.125,-5.660377358490567,32.0,1062416.0,100.0,30.030000000000012,0.7575152097016223,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34.0,1.648878832,4.4004441057789243E-7,34.0,76.47058823529412,-9.677419354838756,34.0,1062416.0,100.0,32.96,0.7411320851756235,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,1.690487863,4.514805603349623E-7,36.0,77.77777777777779,-9.090909090909136,36.0,1062416.0,100.0,33.15999999999998,0.765509007395759,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.0,1.732623377,4.630614127752682E-7,38.0,78.94736842105263,10.059171597633137,38.0,1062416.0,100.0,37.30000000000001,0.8574686730444008,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,1.77206335,4.7390140175849617E-7,40.0,80.0,10.614525139664826,40.0,1062416.0,100.0,37.37000000000001,0.8712762031768243,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
