learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.17122908,4.332432145749529E-8,2.0,50.0,0.0,2.0,978040.0,100.0,99.0
4.0,0.3430961,8.940948771035506E-8,4.0,50.0,-33.33333333333333,4.0,1036504.0,100.0,0.0
6.0,0.42571121,1.117602563607403E-7,6.0,66.66666666666666,-20.000000000000057,6.0,1045768.0,100.0,0.0
8.0,0.493829715,1.3019544404993456E-7,8.0,75.0,-14.285714285714285,8.0,1046128.0,100.0,0.0
10.0,0.560901615,1.4853394862636924E-7,10.0,70.0,-15.384615384615447,10.0,1056880.0,100.0,99.0
12.0,0.629941525,1.6747455051702758E-7,12.0,58.333333333333336,-24.999999999999975,12.0,1060464.0,100.0,59.0
14.0,0.700745991,1.869367591889865E-7,14.0,57.14285714285714,-5.000000000000005,14.0,1062512.0,100.0,37.0
16.0,0.769187761,2.0574952743468185E-7,16.0,56.25,-7.6923076923076925,16.0,1062512.0,100.0,37.0
18.0,0.843348771,2.26134358130859E-7,18.0,61.111111111111114,-3.2786885245901796,18.0,1062512.0,100.0,37.0
20.0,0.908344565,2.440171399500883E-7,20.0,60.0,-6.666666666666672,20.0,1063536.0,100.0,62.0
22.0,0.970568341,2.611372356008407E-7,22.0,59.09090909090909,-8.791208791208792,22.0,1063536.0,100.0,15.0
24.0,1.014108085,2.73116652952325E-7,24.0,62.5,-5.882352941176482,24.0,1063536.0,100.0,28.0
26.0,1.057306831,2.8500224895846513E-7,26.0,65.38461538461539,-3.5398230088495763,26.0,1063536.0,100.0,22.0
28.0,1.099942505,2.9673292272879847E-7,28.0,67.85714285714286,-1.6129032258064002,28.0,1063536.0,100.0,22.0
30.0,1.141381431,3.0813432621778717E-7,30.0,63.33333333333333,-7.843137254901979,30.0,1063536.0,100.0,64.0
32.0,1.183834412,3.198147342884831E-7,32.0,62.5,-9.090909090909092,32.0,1063536.0,100.0,31.0
34.0,1.22567316,3.3132614381251654E-7,34.0,64.70588235294117,-7.36842105263152,34.0,1063536.0,100.0,29.0
36.0,1.268332461,3.430633182571249E-7,36.0,66.66666666666666,-5.88235294117646,36.0,1063536.0,100.0,29.0
38.0,1.308846874,3.542103535285634E-7,38.0,65.78947368421053,-7.860262008733583,38.0,1063536.0,100.0,47.0
40.0,1.350256274,3.65603633307024E-7,40.0,67.5,-6.557377049180335,40.0,1063536.0,100.0,44.0
42.0,1.41044926,3.8216498242579816E-7,42.0,69.04761904761905,-5.405405405405425,42.0,1063536.0,100.0,44.0
44.0,1.44650439,3.9208510161464827E-7,44.0,70.45454545454545,-4.379562043795647,44.0,1063536.0,100.0,44.0
46.0,1.480369465,4.0140265449379054E-7,46.0,69.56521739130434,3.3033033033032995,46.0,1063536.0,100.0,69.0
48.0,1.516526625,4.11350845964195E-7,48.0,68.75,1.6393442622950936,48.0,1063536.0,100.0,36.0
50.0,1.548351312,4.201070115414055E-7,50.0,70.0,2.597402597402564,50.0,1063536.0,100.0,36.0
52.0,1.580595489,4.2897859455847905E-7,52.0,71.15384615384616,3.4653465346535004,52.0,1063536.0,100.0,36.0
54.0,1.61254771,4.377698495246511E-7,54.0,68.51851851851852,-0.43763676148795116,54.0,1063536.0,100.0,43.0
56.0,1.644422706,4.4653985699554697E-7,56.0,67.85714285714286,-1.8181818181818272,56.0,1063536.0,100.0,46.0
58.0,1.676575141,4.553861983459112E-7,58.0,65.51724137931035,-5.072463768115982,58.0,1063536.0,100.0,44.0
60.0,1.709056879,4.643231433082786E-7,60.0,65.0,-6.060606060606067,60.0,1063536.0,100.0,69.0
62.0,1.741468628,4.7324083167049203E-7,62.0,62.903225806451616,-8.854961832061067,62.0,1063536.0,100.0,66.0
64.0,1.773664173,4.820990341995077E-7,64.0,62.5,-9.714285714285714,64.0,1063536.0,100.0,45.0
66.0,1.807928695,4.915264899371233E-7,66.0,62.121212121212125,-10.441767068273066,66.0,1063536.0,100.0,36.0
68.0,1.839919875,5.003284639860855E-7,68.0,63.23529411764706,-9.5360824742268,68.0,1063536.0,100.0,38.0
70.0,1.871471072,5.090093822019092E-7,70.0,64.28571428571429,-8.695652173913011,70.0,1063536.0,100.0,36.0
72.0,1.903008684,5.176865626744719E-7,72.0,65.27777777777779,-7.9136690647482215,72.0,1063536.0,100.0,36.0
74.0,1.934316309,5.263004650933461E-7,74.0,66.21621621621621,-7.184241019698721,74.0,1063536.0,100.0,36.0
76.0,1.968137505,5.356059452130812E-7,76.0,65.78947368421053,-7.978142076502754,76.0,1063536.0,100.0,64.0
78.0,1.999820693,5.4432317910581E-7,78.0,65.38461538461539,-8.668730650154771,78.0,1063536.0,100.0,41.0
80.0,2.035134298,5.540392769423169E-7,80.0,66.25,-8.000000000000007,80.0,1063536.0,100.0,41.0
82.0,2.066885763,5.62775296399759E-7,82.0,64.63414634146342,-9.990749306197973,82.0,1063536.0,100.0,40.0
84.0,2.098268561,5.714098817317106E-7,84.0,63.095238095238095,-11.855670103092816,84.0,1063536.0,100.0,38.0
86.0,2.131040355,5.804266319836843E-7,86.0,63.95348837209303,-11.175979983319397,86.0,1063536.0,100.0,37.0
88.0,2.162787713,5.891615214513161E-7,88.0,64.77272727272727,-10.534846029173375,88.0,1063536.0,100.0,36.0
90.0,2.198103692,5.988782724643045E-7,90.0,65.55555555555556,-9.929078014184428,90.0,1063536.0,100.0,36.0
92.0,2.229534488,6.075260638471239E-7,92.0,66.30434782608695,-9.355828220858934,92.0,1063536.0,100.0,36.0
94.0,2.261800306,6.164036011153502E-7,94.0,67.02127659574468,-8.812546676624294,94.0,1063536.0,100.0,36.0
96.0,2.295651471,6.257173268315362E-7,96.0,66.66666666666666,-9.401709401709414,96.0,1063536.0,100.0,60.0
98.0,2.326928563,6.343228284763959E-7,98.0,66.3265306122449,-9.92522093813733,98.0,1063536.0,100.0,38.0
100.0,2.358179959,6.429212601874438E-7,100.0,67.0,-9.416445623342169,100.0,1063536.0,100.0,38.0
102.0,2.389549689,6.515522500222342E-7,102.0,65.68627450980392,-10.938471100062127,102.0,1063536.0,100.0,36.0
104.0,2.421124183,6.602395781169501E-7,104.0,64.42307692307693,-12.383177570093462,104.0,1063536.0,100.0,36.0
106.0,2.45260377,6.689007937346937E-7,106.0,64.15094339622641,-12.829131652661077,106.0,1063536.0,100.0,59.0
108.0,2.483744611,6.774688076167968E-7,108.0,63.888888888888886,-13.225806451612943,108.0,1063536.0,100.0,37.0
110.0,2.515012748,6.860718454051308E-7,110.0,64.54545454545455,-12.716763005780363,110.0,1063536.0,100.0,37.0
112.0,2.546064728,6.946154102917306E-7,112.0,65.17857142857143,-12.230215827338101,112.0,1063536.0,100.0,37.0
114.0,2.577395864,7.032357814689272E-7,114.0,64.03508771929825,-13.501699854298177,114.0,1063536.0,100.0,37.0
116.0,2.608616396,7.118257213354402E-7,116.0,63.793103448275865,-10.326086956521758,116.0,1063536.0,100.0,60.0
118.0,2.63974637,7.203907452980721E-7,118.0,63.559322033898304,-10.737669140113498,118.0,1063536.0,100.0,37.0
120.0,2.672345136,7.29359889054576E-7,120.0,63.33333333333333,-8.019639934533561,120.0,1063536.0,100.0,61.0
122.0,2.703808994,7.380167770342076E-7,122.0,63.934426229508205,-1.9756838905774767,122.0,1063536.0,100.0,63.0
124.0,2.735021359,7.466044698525636E-7,124.0,62.903225806451616,-3.5208711433757,124.0,1063536.0,100.0,50.0
126.0,2.76943749,7.560736389150265E-7,126.0,62.698412698412696,-4.00421496311907,126.0,1063536.0,100.0,35.0
128.0,2.802561616,7.651873289210393E-7,128.0,61.71875,-5.447209145931406,128.0,1063536.0,100.0,35.0
