learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.174440524,4.1118726715818046E-8,2.0,50.0,0.0,2.0,911160.0,100.0,0.0
4.0,0.381603451,9.533489141387864E-8,4.0,75.0,0.0,4.0,1011624.0,100.0,0.0
6.0,0.470972304,1.1907798703453813E-7,6.0,83.33333333333334,0.0,6.0,1026960.0,100.0,0.0
8.0,0.546849366,1.3932757082986956E-7,8.0,87.5,0.0,8.0,1031592.0,100.0,0.0
10.0,0.623939783,1.6036397174875356E-7,10.0,80.0,0.0,10.0,1054808.0,100.0,0.0
12.0,0.703116637,1.82123260111399E-7,12.0,75.0,0.0,12.0,1062304.0,100.0,0.0
14.0,0.791366939,2.0640422967916977E-7,14.0,71.42857142857143,17.647058823529402,14.0,1063536.0,100.0,0.0
16.0,0.857902697,2.2471071338011575E-7,16.0,75.0,20.0,16.0,1063536.0,100.0,0.0
18.0,0.923754355,2.4282897550102327E-7,18.0,77.77777777777779,21.739130434782624,18.0,1063536.0,100.0,0.0
20.0,0.977929766,2.57734663934956E-7,20.0,75.0,16.66666666666665,20.0,1063536.0,100.0,0.0
22.0,1.020969234,2.6957643658657873E-7,22.0,72.72727272727273,9.58904109589045,22.0,1063536.0,100.0,0.0
24.0,1.062588651,2.8102749992237743E-7,24.0,75.0,11.111111111111146,24.0,1063536.0,100.0,0.0
26.0,1.104809375,2.9264400537720577E-7,26.0,73.07692307692307,6.185567010309234,26.0,1063536.0,100.0,0.0
28.0,1.146200663,3.040323018648352E-7,28.0,75.0,7.5471698113208,28.0,1063536.0,100.0,0.0
30.0,1.187112092,3.152885711354266E-7,30.0,70.0,-3.700743415417189E-14,30.0,1063536.0,100.0,0.0
32.0,1.227733538,3.2646505520145106E-7,32.0,71.875,1.36986301369863,32.0,1063536.0,100.0,0.0
34.0,1.271853128,3.3860400994556655E-7,34.0,73.52941176470588,2.547770700636981,34.0,1063536.0,100.0,0.0
36.0,1.312707195,3.498444967775172E-7,36.0,75.0,3.5714285714285454,36.0,1063536.0,100.0,0.0
38.0,1.356760107,3.6196510590182003E-7,38.0,73.68421052631578,1.5544041450776644,38.0,1063536.0,100.0,0.0
40.0,1.399605081,3.737533659558868E-7,40.0,75.0,2.439024390243936,40.0,1063536.0,100.0,0.0
42.0,1.470157118,3.931648787158231E-7,42.0,76.19047619047619,3.2258064516128475,42.0,1063536.0,100.0,0.0
44.0,1.506749463,4.032328059095269E-7,44.0,77.27272727272727,3.930131004366788,44.0,1063536.0,100.0,0.0
46.0,1.542341764,4.130255834733695E-7,46.0,76.08695652173914,13.058419243986261,46.0,1063536.0,100.0,0.0
48.0,1.578906121,4.2308581011805686E-7,48.0,75.0,10.280373831775712,48.0,1063536.0,100.0,0.0
50.0,1.610478655,4.317725989432261E-7,50.0,76.0,10.979228486646909,50.0,1063536.0,100.0,0.0
52.0,1.642903958,4.406940165194373E-7,52.0,76.92307692307693,11.614730878186995,52.0,1063536.0,100.0,0.0
54.0,1.675208564,4.495822258219372E-7,54.0,74.07407407407408,6.896551724137913,54.0,1063536.0,100.0,0.0
56.0,1.707251091,4.583983273573345E-7,56.0,73.21428571428571,5.405405405405392,56.0,1063536.0,100.0,0.0
58.0,1.743007521,4.6823626296782255E-7,58.0,72.41379310344827,10.424710424710423,58.0,1063536.0,100.0,0.0
60.0,1.773529199,4.766339218752708E-7,60.0,70.0,6.4124783362218345,60.0,1063536.0,100.0,0.0
62.0,1.804230281,4.850809415550407E-7,62.0,67.74193548387096,2.8213166144200525,62.0,1063536.0,100.0,0.0
64.0,1.835198417,4.936014378110941E-7,64.0,67.1875,1.466275659824047,64.0,1063536.0,100.0,0.0
