learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
6.0,0.017050693,4.500623242985457E-9,6.0,33.33333333333333,7.692307692307689,6.0,1020312.0,100.0,4.070000000000001,0.2279708469754566,14056.32,184.1963614508092
12.0,0.141317476,3.987437832002838E-8,12.0,50.0,18.18181818181818,12.0,1100344.0,100.0,11.009999999999998,0.3772561758569662,14855.999999999996,16.88463529635476
18.0,0.207434125,5.87361796796384E-8,18.0,44.44444444444444,-5.882352941176487,18.0,1102744.0,100.0,17.630000000000006,0.4734688239712591,14880.0,0.0
24.0,0.274494266,7.786714106108166E-8,24.0,54.166666666666664,8.333333333333325,24.0,1102744.0,100.0,23.35000000000001,0.5435340770635205,14880.0,0.0
30.0,0.336046395,9.542677313588768E-8,30.0,53.333333333333336,6.666666666666665,30.0,1102744.0,100.0,30.610000000000007,0.6234305547257502,14880.0,0.0
36.0,0.39786626,1.130627851138678E-7,36.0,52.77777777777778,2.547770700636954,36.0,1102744.0,100.0,35.970000000000006,0.7274495365885032,14880.0,0.0
42.0,0.460108491,1.3081928994370214E-7,42.0,52.38095238095239,-1.4492753623188424,42.0,1102744.0,100.0,40.38000000000002,0.7815783047556056,14880.0,0.0
48.0,0.522633071,1.4865634348301633E-7,48.0,58.333333333333336,4.761904761904771,48.0,1102744.0,100.0,43.33000000000002,0.8076721757212784,14880.0,0.0
54.0,0.587058809,1.6703576063409243E-7,54.0,57.407407407407405,2.8169014084506916,54.0,1102744.0,100.0,54.97000000000001,0.9251213406626697,14880.0,0.0
60.0,0.651413113,1.8539479904639847E-7,60.0,56.666666666666664,1.5151515151515,60.0,1102744.0,100.0,62.019999999999996,0.9960507877197691,14880.0,0.0
66.0,0.715242447,2.0360407366986285E-7,66.0,56.060606060606055,3.039513677811532,66.0,1102744.0,100.0,67.98,0.9977732784312849,14880.0,0.0
72.0,0.808298837,2.301512621612578E-7,72.0,55.55555555555556,4.95049504950495,72.0,1102744.0,100.0,74.21999999999997,1.0155935717748037,14880.0,0.0
78.0,0.866820575,2.4684638228713016E-7,78.0,52.56410256410257,-0.6978367062107425,78.0,1102744.0,100.0,79.01000000000003,1.0450938771809983,14880.0,0.0
84.0,0.920738772,2.622282011915081E-7,84.0,51.19047619047619,-1.7730496453900846,84.0,1102744.0,100.0,85.76000000000003,1.0984028809543829,14880.0,0.0
90.0,0.970525074,2.76431270357242E-7,90.0,50.0,-2.739726027397255,90.0,1102744.0,100.0,91.36000000000004,1.1291831319385461,14880.0,0.0
96.0,1.019529602,2.9041131451915117E-7,96.0,47.91666666666667,-6.241699867197871,96.0,1102744.0,100.0,98.74,1.1334777091640211,14880.0,0.0
102.0,1.068179654,3.04290233533312E-7,102.0,47.05882352941176,-6.993006993006988,102.0,1102744.0,100.0,104.57000000000001,1.144618943252524,14880.0,0.0
108.0,1.116664868,3.1812212745380063E-7,108.0,46.2962962962963,-7.814113597246126,108.0,1102744.0,100.0,109.35000000000002,1.1653564070942228,14880.0,0.0
114.0,1.165215038,3.3197255206493447E-7,114.0,45.614035087719294,-8.771929824561408,114.0,1102744.0,100.0,115.94999999999997,1.1582270498438116,14880.0,0.0
120.0,1.213372864,3.4571104852023216E-7,120.0,45.0,-9.72568578553614,120.0,1102744.0,100.0,121.54000000000002,1.1680442083788065,14880.0,0.0
126.0,1.260791222,3.5923858905536837E-7,126.0,45.23809523809524,-8.539325842696623,126.0,1102744.0,100.0,128.1,1.2390530760433656,14880.0,0.0
132.0,1.309037466,3.730023094561902E-7,132.0,44.696969696969695,-8.856755535472209,132.0,1102744.0,100.0,133.24,1.2949880074324778,14880.0,0.0
138.0,1.357223238,3.8674877836485283E-7,138.0,43.47826086956522,-11.244315832988852,138.0,1102744.0,100.0,139.51999999999998,1.3342784529096583,14880.0,0.0
144.0,1.406496534,4.008054968395787E-7,144.0,43.75,-11.212814645308926,144.0,1102744.0,100.0,145.21,1.3740227013548159,14880.0,0.0
