learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
6.0,0.545100892,2.9801952432811265E-7,6.0,33.33333333333333,-33.333333333333336,6.0,2113344.0,100.0,49.0
12.0,0.844212643,4.647458618360572E-7,12.0,33.33333333333333,-33.333333333333336,12.0,2154632.0,100.0,31.0
18.0,0.98683995,5.442912903220869E-7,18.0,55.55555555555556,11.111111111111116,18.0,2155832.0,100.0,40.0
24.0,1.094983783,6.046047584443353E-7,24.0,66.66666666666666,33.33333333333333,24.0,2155832.0,100.0,40.0
30.0,1.198584265,6.623843302906242E-7,30.0,66.66666666666666,33.33333333333333,30.0,2155832.0,100.0,44.0
36.0,1.298744427,7.182451831041752E-7,36.0,72.22222222222221,43.92523364485981,36.0,2155832.0,100.0,45.0
42.0,1.395784342,7.72365826487864E-7,42.0,76.19047619047619,50.704225352112665,42.0,2155832.0,100.0,45.0
48.0,1.522211335,8.428760923122428E-7,48.0,77.08333333333334,50.56179775280899,48.0,2155832.0,100.0,45.0
54.0,1.602921213,8.878892245349889E-7,54.0,77.77777777777779,53.246753246753244,54.0,2155832.0,100.0,43.0
60.0,1.680479368,9.311445926817134E-7,60.0,80.0,58.333333333333336,60.0,2155832.0,100.0,41.0
66.0,1.75784609,9.742931957192056E-7,66.0,81.81818181818183,62.393162393162406,66.0,2155832.0,100.0,41.0
72.0,1.832907952,1.0161563431160027E-6,72.0,83.33333333333334,65.71428571428571,72.0,2155832.0,100.0,38.0
78.0,1.908603207,1.0583727434672643E-6,78.0,84.61538461538461,67.87920384351406,78.0,2155832.0,100.0,38.0
84.0,1.982606567,1.0996455481245514E-6,84.0,84.52380952380952,67.7304964539007,84.0,2155832.0,100.0,63.0
90.0,2.056686631,1.14096113177469E-6,90.0,83.33333333333334,65.11627906976744,90.0,2155832.0,100.0,43.0
96.0,2.129137064,1.18136784531506E-6,96.0,82.29166666666666,63.14363143631435,96.0,2155832.0,100.0,42.0
102.0,2.20215009,1.222088325568057E-6,102.0,83.33333333333334,65.47192353643968,102.0,2155832.0,100.0,41.0
108.0,2.283798728,1.2676250185872325E-6,108.0,84.25925925925925,67.02586206896551,108.0,2155832.0,100.0,41.0
114.0,2.360757064,1.3105458585123098E-6,114.0,85.08771929824562,69.13029627269832,114.0,2155832.0,100.0,41.0
120.0,2.439141988,1.3542623283635205E-6,120.0,85.83333333333333,70.94017094017093,120.0,2155832.0,100.0,41.0
126.0,2.510861002,1.3942611183513701E-6,126.0,86.5079365079365,72.38979118329468,126.0,2155832.0,100.0,41.0
132.0,2.583347611,1.434688007799716E-6,132.0,85.60606060606061,70.46632124352332,132.0,2155832.0,100.0,39.0
138.0,2.657359874,1.4759657777961426E-6,138.0,86.23188405797102,71.67854828256644,138.0,2155832.0,100.0,39.0
144.0,2.72787031,1.5152905253660927E-6,144.0,86.11111111111111,71.42857142857143,144.0,2155832.0,100.0,43.0
150.0,2.799475036,1.5552255751900002E-6,150.0,86.66666666666667,72.63273125342093,150.0,2155832.0,100.0,45.0
156.0,2.869200837,1.5941127198310795E-6,156.0,85.8974358974359,70.98901098901096,156.0,2155832.0,100.0,45.0
162.0,2.93623468,1.6314985183619335E-6,162.0,85.18518518518519,69.7054698457223,162.0,2155832.0,100.0,45.0
168.0,3.006353146,1.670604658273508E-6,168.0,85.71428571428571,70.83333333333333,168.0,2155832.0,100.0,41.0
174.0,3.090858402,1.7177345308009452E-6,174.0,86.20689655172413,71.56862745098039,174.0,2155832.0,100.0,41.0
180.0,3.172550009,1.7632951882879953E-6,180.0,86.66666666666667,72.46302906680265,180.0,2155832.0,100.0,41.0
186.0,3.255591548,1.8096087234786606E-6,186.0,86.02150537634408,71.07655502392345,186.0,2155832.0,100.0,44.0
192.0,3.333187116,1.852884957427163E-6,192.0,86.45833333333334,71.81253529079616,192.0,2155832.0,100.0,44.0
198.0,3.405948853,1.8934652899651167E-6,198.0,86.86868686868688,72.50000000000001,198.0,2155832.0,100.0,44.0
204.0,3.478390612,1.9338671658831462E-6,204.0,87.25490196078431,73.26612903225806,204.0,2155832.0,100.0,44.0
210.0,3.552292287,1.975083259262167E-6,210.0,87.61904761904762,74.20634920634922,210.0,2155832.0,100.0,37.0
216.0,3.621368774,2.0136082715638064E-6,216.0,87.96296296296296,74.88372093023257,216.0,2155832.0,100.0,37.0
222.0,3.69502513,2.054687546788007E-6,222.0,88.28828828828829,75.42784163473819,222.0,2155832.0,100.0,37.0
228.0,3.764840035,2.093624386091412E-6,228.0,88.59649122807018,76.04074044135479,228.0,2155832.0,100.0,37.0
