learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.126086346,1.7541515228673812E-8,7.0,14.285714285714285,-74.99999999999997,7.0,537776.0,50.0,27.0
14.0,0.233044454,3.243181316730049E-8,14.0,35.714285714285715,-34.04255319148937,14.0,538136.0,50.0,14.0
21.0,0.269187622,3.746352651778195E-8,21.0,52.38095238095239,-7.142857142857142,21.0,538136.0,50.0,18.0
28.0,0.305754004,4.255415809961243E-8,28.0,53.57142857142857,2.1505376344086042,28.0,538136.0,50.0,15.0
35.0,0.33703939,4.6909589654786716E-8,35.0,60.0,15.517241379310342,35.0,538136.0,50.0,29.0
42.0,0.365351222,5.085105441656377E-8,42.0,59.523809523809526,13.559322033898304,42.0,538136.0,50.0,20.0
49.0,0.393568157,5.477930798164051E-8,49.0,61.224489795918366,17.82877316857901,49.0,538136.0,50.0,18.0
56.0,0.421530597,5.867213172802701E-8,56.0,62.5,21.390374331550802,56.0,538136.0,50.0,16.0
63.0,0.449956218,6.262943775835136E-8,63.0,66.66666666666666,30.331753554502367,63.0,538136.0,50.0,16.0
70.0,0.478244009,6.65675556242321E-8,70.0,70.0,38.18334735071488,70.0,538136.0,50.0,16.0
77.0,0.506541809,7.050706690473896E-8,77.0,72.72727272727273,43.83466481417159,77.0,538136.0,50.0,16.0
84.0,0.535273355,7.450696264127683E-8,84.0,72.61904761904762,44.8,84.0,538136.0,50.0,20.0
91.0,0.565238921,7.867865391352317E-8,91.0,72.52747252747253,44.06196213425128,91.0,538136.0,50.0,20.0
98.0,0.593812167,8.265651173065726E-8,98.0,73.46938775510205,45.462328767123296,98.0,538136.0,50.0,28.0
105.0,0.623172837,8.674399169970924E-8,105.0,74.28571428571429,47.039043526994206,105.0,538136.0,50.0,19.0
112.0,0.657239692,9.148664871063911E-8,112.0,74.10714285714286,47.20416124837452,112.0,538136.0,50.0,19.0
119.0,0.697736194,9.712441653888258E-8,119.0,75.63025210084034,50.28093934591558,119.0,538136.0,50.0,19.0
126.0,0.738236936,1.0276277464367862E-7,126.0,76.98412698412699,53.475935828877006,126.0,538136.0,50.0,20.0
133.0,0.768471686,1.0697194068090782E-7,133.0,78.19548872180451,55.69213095921883,133.0,538136.0,50.0,20.0
140.0,0.794713479,1.1062522254537169E-7,140.0,79.28571428571428,58.213256484149845,140.0,538136.0,50.0,20.0
147.0,0.822112049,1.1443954647107463E-7,147.0,80.27210884353741,60.028129395218,147.0,538136.0,50.0,20.0
154.0,0.858786614,1.1954523887561427E-7,154.0,81.16883116883116,61.95263247571988,154.0,538136.0,50.0,19.0
161.0,0.881505103,1.2270801985829034E-7,161.0,81.98757763975155,63.46349479614993,161.0,538136.0,50.0,16.0
168.0,0.912814094,1.2706673761111167E-7,168.0,82.73809523809523,65.18010291595196,168.0,538136.0,50.0,16.0
175.0,0.947703822,1.3192106352867352E-7,175.0,83.42857142857143,66.55242865616556,175.0,537816.0,50.0,16.0
182.0,0.976617741,1.3600726607503785E-7,182.0,83.51648351648352,66.55231560891939,182.0,546280.0,50.0,22.0
189.0,1.001593046,1.395368517699838E-7,189.0,84.12698412698413,67.78042959427208,189.0,546280.0,50.0,20.0
196.0,1.027225406,1.4316168166577817E-7,196.0,84.6938775510204,68.83282094773668,196.0,546640.0,50.0,20.0
203.0,1.050093939,1.4636967822639687E-7,203.0,85.22167487684729,69.7165589259075,203.0,542248.0,50.0,20.0
210.0,1.078263029,1.5036023860424138E-7,210.0,85.71428571428571,70.81712062256808,210.0,547600.0,50.0,20.0
217.0,1.101381061,1.5366227586169417E-7,217.0,86.17511520737328,71.4898835070509,217.0,552120.0,50.0,20.0
224.0,1.129864146,1.5782234849866067E-7,224.0,86.60714285714286,72.19693835333058,224.0,564568.0,50.0,20.0
231.0,1.153084647,1.6123965374467483E-7,231.0,87.01298701298701,73.23290845886442,231.0,568872.0,50.0,18.0
238.0,1.176071388,1.64622557094093E-7,238.0,87.39495798319328,73.94540942928039,238.0,568872.0,50.0,19.0
245.0,1.198373738,1.6790764816268866E-7,245.0,86.53061224489797,72.04453511289375,245.0,569376.0,50.0,17.0
252.0,1.219479059,1.7101641927949672E-7,252.0,86.90476190476191,72.83418267346138,252.0,569376.0,50.0,17.0
259.0,1.242254179,1.7437326951168066E-7,259.0,86.48648648648648,72.00000000000001,259.0,569736.0,50.0,21.0
266.0,1.263785188,1.7755236348991803E-7,266.0,86.46616541353383,71.73720559589162,266.0,570744.0,50.0,18.0
273.0,1.293383031,1.8192805370967424E-7,273.0,86.08058608058609,71.04175971415812,273.0,571464.0,50.0,20.0
280.0,1.333902898,1.8791843570263645E-7,280.0,86.42857142857143,71.86227323213626,280.0,571464.0,50.0,19.0
287.0,1.355696475,1.9114035771000718E-7,287.0,86.7595818815331,72.48183286233346,287.0,571464.0,50.0,16.0
294.0,1.375297701,1.940418176241178E-7,294.0,87.07482993197279,72.99361825565654,294.0,572184.0,50.0,16.0
301.0,1.394371172,1.9686764381330048E-7,301.0,86.71096345514951,72.26701064172848,301.0,572688.0,50.0,19.0
308.0,1.413936104,1.9976628230627214E-7,308.0,87.01298701298701,72.91236093399586,308.0,572688.0,50.0,19.0
315.0,1.433886319,2.027220023231912E-7,315.0,87.3015873015873,73.52829950838272,315.0,572688.0,50.0,19.0
322.0,1.45337527,2.0560938386667107E-7,322.0,87.5776397515528,74.04690900298219,322.0,572688.0,50.0,19.0
329.0,1.47167658,2.0832081070106064E-7,329.0,86.62613981762918,71.99891678594916,329.0,572688.0,50.0,18.0
336.0,1.488842112,2.108639665785018E-7,336.0,86.90476190476191,72.67080745341616,336.0,572688.0,50.0,18.0
343.0,1.506474144,2.134762366678897E-7,343.0,86.88046647230321,72.5926452048227,343.0,572688.0,50.0,21.0
350.0,1.523996653,2.160722803996462E-7,350.0,87.14285714285714,73.15493437872847,350.0,572688.0,50.0,18.0
357.0,1.541318313,2.1863856738894765E-7,357.0,87.39495798319328,73.69455224247187,357.0,572688.0,50.0,18.0
364.0,1.558616877,2.2120143259509986E-7,364.0,87.63736263736264,74.1509910364853,364.0,572688.0,50.0,18.0
371.0,1.576102088,2.237919504493061E-7,371.0,87.87061994609164,74.65192900414496,371.0,572688.0,50.0,18.0
378.0,1.594351756,2.2649572627376351E-7,378.0,87.56613756613757,74.1555380989788,378.0,572688.0,50.0,21.0
385.0,1.613305098,2.2930375477555724E-7,385.0,87.27272727272727,73.55509763516828,385.0,572688.0,50.0,21.0
392.0,1.631223317,2.3195842484131041E-7,392.0,87.5,73.98136107498917,392.0,572688.0,50.0,21.0
399.0,1.649662072,2.346902148115221E-7,399.0,87.71929824561403,74.39326269466018,399.0,572688.0,50.0,21.0
406.0,1.676842739,2.3871716096348646E-7,406.0,87.93103448275862,74.73649455210423,406.0,572688.0,50.0,18.0
413.0,1.706852157,2.431632001404423E-7,413.0,88.13559322033898,75.00957038244482,413.0,572688.0,50.0,15.0
420.0,1.734599187,2.472740556866634E-7,420.0,88.33333333333333,75.38513060951104,420.0,572688.0,50.0,15.0
427.0,1.752373594,2.499074193150136E-7,427.0,88.52459016393442,75.85872688043014,427.0,572688.0,50.0,15.0
434.0,1.769481847,2.5244208903394226E-7,434.0,88.70967741935483,76.20986687548942,434.0,572688.0,50.0,15.0
441.0,1.78718695,2.55065184942368E-7,441.0,88.88888888888889,76.65179198495963,441.0,572688.0,50.0,13.0
448.0,1.805205528,2.577347236752096E-7,448.0,89.0625,76.93148381672972,448.0,572688.0,50.0,13.0
455.0,1.826466516,2.6088464099745783E-7,455.0,89.23076923076924,77.34777440232466,455.0,572688.0,50.0,13.0
462.0,1.843934805,2.6347265177622025E-7,462.0,89.39393939393939,77.56259044145341,462.0,572688.0,50.0,13.0
469.0,1.861800443,2.661195317146886E-7,469.0,89.55223880597015,77.81649693518028,469.0,572688.0,50.0,13.0
476.0,1.878624993,2.6861216947376316E-7,476.0,89.70588235294117,78.15859459864404,476.0,572688.0,50.0,13.0
483.0,1.896020308,2.7118936880450286E-7,483.0,89.85507246376811,78.39754648265287,483.0,572688.0,50.0,13.0
490.0,1.913506352,2.737800100716535E-7,490.0,90.0,78.62928348909658,490.0,572688.0,50.0,13.0
497.0,1.930719418,2.763302083391283E-7,497.0,90.14084507042254,78.9014511587611,497.0,572688.0,50.0,13.0
