learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.242169184,6.64338624899255E-8,7.0,42.857142857142854,-27.272727272727266,7.0,1060408.0,100.0,0.0
14.0,0.408747437,1.1225027673220676E-7,14.0,57.14285714285714,-2.439024390243932,14.0,1063176.0,100.0,0.0
21.0,0.482247465,1.3247289243609748E-7,21.0,66.66666666666666,15.999999999999998,21.0,1063536.0,100.0,0.0
28.0,0.568770281,1.5627856578341167E-7,28.0,67.85714285714286,24.096385542168676,28.0,1063536.0,100.0,0.0
35.0,0.664877594,1.827212939022709E-7,35.0,71.42857142857143,33.71212121212121,35.0,1063536.0,100.0,0.0
42.0,0.757210574,2.081255613854755E-7,42.0,71.42857142857143,35.714285714285715,42.0,1063536.0,100.0,0.0
49.0,0.843300995,2.3181226664318184E-7,49.0,71.42857142857143,36.94852941176472,49.0,1063536.0,100.0,0.0
56.0,0.896876725,2.4655296033169867E-7,56.0,71.42857142857143,36.273115220483646,56.0,1063536.0,100.0,0.0
63.0,0.950094812,2.6119525301078746E-7,63.0,73.01587301587301,40.0,63.0,1063536.0,100.0,0.0
70.0,0.999760534,2.748601567801067E-7,70.0,75.71428571428571,47.577092511013205,70.0,1063536.0,100.0,0.0
77.0,1.049181337,2.8845767414223193E-7,77.0,77.92207792207793,52.65822784810127,77.0,1063536.0,100.0,0.0
84.0,1.098717171,3.0208684084885857E-7,84.0,78.57142857142857,55.918367346938766,84.0,1063536.0,100.0,0.0
91.0,1.14819685,3.1570055720783564E-7,91.0,79.12087912087912,56.12788632326821,91.0,1063536.0,100.0,0.0
98.0,1.194723277,3.2850172312434556E-7,98.0,78.57142857142857,54.16481069042316,98.0,1063536.0,100.0,0.0
105.0,1.241923139,3.414881762792025E-7,105.0,79.04761904761905,54.63472113118618,105.0,1063536.0,100.0,0.0
112.0,1.302136971,3.58055260914798E-7,112.0,80.35714285714286,57.67777396083821,112.0,1063536.0,100.0,0.0
119.0,1.382228087,3.80091332250223E-7,119.0,81.5126050420168,60.333333333333336,119.0,1063536.0,100.0,0.0
126.0,1.44776019,3.9812167279970937E-7,126.0,82.53968253968253,63.26530612244896,126.0,1063536.0,100.0,0.0
133.0,1.512585461,4.15957537342966E-7,133.0,83.45864661654136,65.01673840267814,133.0,1063536.0,100.0,0.0
