learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.570371123,2.817836295633887E-7,2.0,100.0,?,2.0,1909680.0,100.0,0.0
4.0,0.991816772,5.239180189080847E-7,4.0,75.0,0.0,4.0,2220840.0,100.0,99.0
6.0,1.168403162,6.268952328684119E-7,6.0,66.66666666666666,-20.000000000000057,6.0,2254168.0,100.0,0.0
8.0,1.319494206,7.165588250306518E-7,8.0,62.5,-20.0,8.0,2293928.0,100.0,99.0
10.0,1.462244789,8.016840961199005E-7,10.0,70.0,34.782608695652165,10.0,2305064.0,100.0,99.0
12.0,1.564549801,8.627257309592928E-7,12.0,66.66666666666666,24.999999999999986,12.0,2306384.0,100.0,27.0
14.0,1.667798187,9.243302423391325E-7,14.0,71.42857142857143,30.000000000000004,14.0,2306384.0,100.0,33.0
16.0,1.830165665,1.0212869002623523E-6,16.0,68.75,23.076923076923077,16.0,2308240.0,100.0,49.0
18.0,1.914890591,1.0718798254524088E-6,18.0,66.66666666666666,16.923076923076916,18.0,2308240.0,100.0,48.0
20.0,1.99246066,1.1182002754449472E-6,20.0,70.0,19.999999999999986,20.0,2308240.0,100.0,31.0
22.0,2.079690074,1.1702887389612736E-6,22.0,72.72727272727273,22.352941176470605,22.0,2308240.0,100.0,29.0
24.0,2.18035283,1.2303988331705374E-6,24.0,75.0,24.210526315789487,24.0,2308240.0,100.0,29.0
26.0,2.282033463,1.2911167458500548E-6,26.0,69.23076923076923,13.33333333333331,26.0,2308240.0,100.0,29.0
28.0,2.38682259,1.3536908750153293E-6,28.0,71.42857142857143,15.151515151515166,28.0,2308240.0,100.0,27.0
30.0,2.486142171,1.4130465893710737E-6,30.0,70.0,20.118343195266277,30.0,2310096.0,100.0,59.0
32.0,2.563329267,1.4591754108582024E-6,32.0,68.75,16.666666666666664,32.0,2310096.0,100.0,30.0
34.0,2.643531407,1.507106093455015E-6,34.0,67.64705882352942,19.74248927038627,34.0,2310096.0,100.0,62.0
36.0,2.724343507,1.5554013024741494E-6,36.0,66.66666666666666,16.923076923076916,36.0,2310096.0,100.0,33.0
38.0,2.80262325,1.6021831154718208E-6,38.0,68.42105263157895,18.57142857142859,38.0,2310096.0,100.0,33.0
40.0,2.877479993,1.6469192632724178E-6,40.0,70.0,19.999999999999986,40.0,2310096.0,100.0,33.0
42.0,2.951882568,1.6913839896090286E-6,42.0,69.04761904761905,22.222222222222218,42.0,2310096.0,100.0,55.0
44.0,3.02626032,1.735833881137814E-6,44.0,68.18181818181817,19.791666666666657,44.0,2310096.0,100.0,34.0
46.0,3.100194136,1.7800184660861352E-6,46.0,69.56521739130434,21.07843137254904,46.0,2310096.0,100.0,29.0
48.0,3.176001221,1.8253225605869127E-6,48.0,70.83333333333334,22.222222222222232,48.0,2310096.0,100.0,28.0
50.0,3.262855933,1.8772289764619702E-6,50.0,72.0,23.245614035087712,50.0,2310096.0,100.0,28.0
