learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.441850528,1.779495538661215E-7,2.0,100.0,?,2.0,1556768.0,100.0,0.0
4.0,0.815136118,3.8189067453903043E-7,4.0,75.0,0.0,4.0,2111864.0,100.0,99.0
6.0,1.004507508,4.903795799632619E-7,6.0,66.66666666666666,-20.000000000000057,6.0,2214488.0,100.0,0.0
8.0,1.1418197,5.717446090385401E-7,8.0,62.5,-20.0,8.0,2290504.0,100.0,99.0
10.0,1.247890629,6.34852119803141E-7,10.0,70.0,34.782608695652165,10.0,2299784.0,100.0,99.0
12.0,1.35380657,6.980482630594716E-7,12.0,75.0,40.0,12.0,2306384.0,100.0,95.0
14.0,1.457352338,7.598302113321569E-7,14.0,71.42857142857143,30.000000000000004,14.0,2306384.0,100.0,67.0
16.0,1.577098421,8.313932830467593E-7,16.0,68.75,23.076923076923077,16.0,2310096.0,100.0,89.0
18.0,1.665030594,8.839436149220811E-7,18.0,66.66666666666666,16.923076923076916,18.0,2310096.0,100.0,73.0
20.0,1.741600425,9.297035443473132E-7,20.0,70.0,19.999999999999986,20.0,2310096.0,100.0,71.0
22.0,1.820152083,9.766478601355374E-7,22.0,72.72727272727273,22.352941176470605,22.0,2310096.0,100.0,48.0
24.0,1.896678962,1.0223821204367424E-6,24.0,75.0,24.210526315789487,24.0,2310096.0,100.0,48.0
26.0,1.975446761,1.0694556071631382E-6,26.0,69.23076923076923,13.33333333333331,26.0,2310096.0,100.0,68.0
28.0,2.050503041,1.1143110029615234E-6,28.0,71.42857142857143,15.151515151515166,28.0,2310096.0,100.0,51.0
30.0,2.126541885,1.1597536020840974E-6,30.0,66.66666666666666,7.407407407407393,30.0,2310096.0,100.0,86.0
32.0,2.202362056,1.20506551708583E-6,32.0,62.5,0.0,32.0,2310096.0,100.0,50.0
34.0,2.282004126,1.2526614886961028E-6,34.0,58.82352941176471,-5.309734513274333,34.0,2310096.0,100.0,66.0
36.0,2.356372485,1.2971057667474716E-6,36.0,58.333333333333336,-7.142857142857116,36.0,2310096.0,100.0,59.0
38.0,2.431995667,1.3422999564960618E-6,38.0,60.526315789473685,-5.166051660516584,38.0,2310096.0,100.0,56.0
40.0,2.50487081,1.3858518535941981E-6,40.0,62.5,-3.4482758620689844,40.0,2310096.0,100.0,48.0
42.0,2.579283144,1.4303224121384216E-6,42.0,59.523809523809526,-7.207207207207183,42.0,2310096.0,100.0,62.0
44.0,2.652500526,1.4740788393012327E-6,44.0,59.09090909090909,-8.791208791208792,44.0,2310096.0,100.0,59.0
46.0,2.725498474,1.5177041275517286E-6,46.0,60.86956521739131,-7.253886010362671,46.0,2310096.0,100.0,59.0
48.0,2.799807734,1.5621130866526208E-6,48.0,62.5,-5.882352941176482,48.0,2310096.0,100.0,59.0
50.0,2.872826667,1.6057509160319981E-6,50.0,64.0,-4.651162790697713,50.0,2310096.0,100.0,59.0
52.0,2.946441282,1.6497447389655453E-6,52.0,65.38461538461539,-3.5398230088495763,52.0,2310096.0,100.0,51.0
54.0,3.01970816,1.6935307461004845E-6,54.0,64.81481481481481,-4.480651731160921,54.0,2310096.0,100.0,72.0
56.0,3.094105648,1.7379924323264154E-6,56.0,62.5,-7.692307692307697,56.0,2310096.0,100.0,68.0
58.0,3.169478203,1.7830368414932506E-6,58.0,63.793103448275865,-6.65499124343254,58.0,2310096.0,100.0,66.0
60.0,3.249223664,1.8306946019935003E-6,60.0,65.0,-5.7046979865772025,60.0,2310096.0,100.0,59.0
62.0,3.324501441,1.875682369601455E-6,62.0,66.12903225806451,-4.830917874396177,62.0,2310096.0,100.0,59.0
64.0,3.400173062,1.920905507634147E-6,64.0,65.625,-5.547226386806597,64.0,2310096.0,100.0,67.0
66.0,3.475999761,1.966221323922005E-6,66.0,66.66666666666666,-4.7619047619047565,66.0,2310096.0,100.0,64.0
68.0,3.551766847,2.0115015140809136E-6,68.0,67.64705882352942,-4.033379694019453,68.0,2310096.0,100.0,64.0
70.0,3.628462634,2.0573367177701138E-6,70.0,68.57142857142857,-3.355704697986543,70.0,2310096.0,100.0,60.0
72.0,3.70513344,2.103156992226977E-6,72.0,68.05555555555556,-4.020100502512582,72.0,2310096.0,100.0,74.0
74.0,3.774994301,2.144907483604527E-6,74.0,67.56756756756756,-5.213270142180092,74.0,2310096.0,100.0,60.0
76.0,3.844783275,2.1866150136224444E-6,76.0,67.10526315789474,-0.6355932203390282,76.0,2310096.0,100.0,78.0
78.0,3.914426072,2.2282351848318565E-6,78.0,66.66666666666666,-1.80722891566266,78.0,2310096.0,100.0,75.0
80.0,3.985326151,2.2706067372946456E-6,80.0,66.25,-2.466793168880436,80.0,2310096.0,100.0,74.0
82.0,4.050059558,2.3092929417316753E-6,82.0,65.85365853658537,-3.5166816952209023,82.0,2310096.0,100.0,71.0
84.0,4.11432722,2.347700806017606E-6,84.0,66.66666666666666,-2.887139107611578,84.0,2310096.0,100.0,71.0
86.0,4.178733943,2.3861917764233063E-6,86.0,66.27906976744185,-3.4854771784232392,86.0,2310096.0,100.0,75.0
88.0,4.24299089,2.4245932371735706E-6,88.0,65.9090909090909,0.0,88.0,2310096.0,100.0,78.0
90.0,4.306636855,2.4626295607303093E-6,90.0,64.44444444444444,-2.2001419446416115,90.0,2310096.0,100.0,77.0
92.0,4.37048902,2.5007891142501317E-6,92.0,64.13043478260869,-2.7063599458727947,92.0,2310096.0,100.0,79.0
94.0,4.434218267,2.538875209086141E-6,94.0,62.76595744680851,-4.710375556970055,94.0,2310096.0,100.0,75.0
96.0,4.497892989,2.576928718501504E-6,96.0,62.5,-5.558949297495436,96.0,2310096.0,100.0,74.0
98.0,4.570497752,2.6203190301611407E-6,98.0,63.26530612244898,-4.93753718024986,98.0,2310096.0,100.0,74.0
100.0,4.634630318,2.6586461579044295E-6,100.0,63.0,-5.714285714285753,100.0,2310096.0,100.0,71.0
102.0,4.709696558,2.7035075060327484E-6,102.0,63.725490196078425,-5.125348189415026,102.0,2310096.0,100.0,69.0
104.0,4.786486942,2.749399243110978E-6,104.0,64.42307692307693,-4.565217391304313,104.0,2310096.0,100.0,69.0
106.0,4.860762633,2.7937881405890246E-6,106.0,65.09433962264151,-4.031830238726837,106.0,2310096.0,100.0,62.0
