learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.013086862,2.370637676521308E-9,2.0,100.0,?,2.0,700216.0,100.0,0.0
4.0,0.088202199,2.346535356883995E-8,4.0,75.0,0.0,4.0,1085544.0,100.0,99.0
6.0,0.139958633,3.8696201105724197E-8,6.0,66.66666666666666,-20.000000000000057,6.0,1137528.0,100.0,44.0
8.0,0.183753642,5.2156638151804615E-8,8.0,62.5,-20.0,8.0,1188056.0,100.0,99.0
10.0,0.229029668,6.609400637755378E-8,10.0,60.0,9.090909090909074,10.0,1189912.0,100.0,66.0
12.0,0.272798403,7.95972763068167E-8,12.0,50.0,-12.500000000000005,12.0,1192552.0,100.0,60.0
14.0,0.314259262,9.238853405223954E-8,14.0,57.14285714285714,-5.000000000000005,14.0,1192552.0,100.0,53.0
16.0,0.356238427,1.0535985271785202E-7,16.0,56.25,-7.6923076923076925,16.0,1194408.0,100.0,61.0
18.0,0.399074597,1.1861060886821193E-7,18.0,61.111111111111114,-3.2786885245901796,18.0,1195728.0,100.0,61.0
20.0,0.441684522,1.317913793656706E-7,20.0,65.0,-3.172065784643306E-14,20.0,1195728.0,100.0,60.0
22.0,0.485518119,1.453506752840533E-7,22.0,68.18181818181817,2.5316455696202445,22.0,1195728.0,100.0,56.0
24.0,0.529441406,1.5893771552036E-7,24.0,70.83333333333334,4.545454545454565,24.0,1195728.0,100.0,54.0
26.0,0.57165653,1.719963599785645E-7,26.0,69.23076923076923,1.886792452830198,26.0,1195728.0,100.0,65.0
28.0,0.615733419,1.8563091479533454E-7,28.0,71.42857142857143,3.4482758620689697,28.0,1195728.0,100.0,67.0
30.0,0.659110379,1.9904895659281353E-7,30.0,66.66666666666666,-1.3513513513513602,30.0,1195728.0,100.0,80.0
32.0,0.700846528,2.1195943698949904E-7,32.0,65.625,-4.761904761904762,32.0,1195728.0,100.0,71.0
34.0,0.745051092,2.2563348624033026E-7,34.0,64.70588235294117,3.773584905660375,34.0,1195728.0,100.0,83.0
36.0,0.814293185,2.4705253676897327E-7,36.0,63.888888888888886,0.8474576271186175,36.0,1195728.0,100.0,69.0
38.0,0.856264384,2.6003572651929943E-7,38.0,65.78947368421053,2.3715415019763246,38.0,1195728.0,100.0,73.0
40.0,0.894575324,2.718866675308574E-7,40.0,67.5,3.703703703703755,40.0,1195728.0,100.0,73.0
42.0,0.928188498,2.8228442186121933E-7,42.0,64.28571428571429,3.1086244689504377E-14,42.0,1195728.0,100.0,85.0
44.0,0.961366831,2.925476643513495E-7,44.0,63.63636363636363,-2.3255813953488293,44.0,1195728.0,100.0,75.0
46.0,0.9944148,3.0277058060375147E-7,46.0,65.21739130434783,-1.098901098901077,46.0,1195728.0,100.0,76.0
48.0,1.02739171,3.1297151577144655E-7,48.0,66.66666666666666,0.0,48.0,1195728.0,100.0,74.0
50.0,1.060877845,3.233299724052453E-7,50.0,68.0,0.9900990099010184,50.0,1195728.0,100.0,74.0
52.0,1.094497001,3.337295771816973E-7,52.0,69.23076923076923,1.886792452830198,52.0,1195728.0,100.0,72.0
54.0,1.128060828,3.4411206672382645E-7,54.0,68.51851851851852,0.8639308855291655,54.0,1195728.0,100.0,76.0
56.0,1.162411869,3.547380696508392E-7,56.0,66.07142857142857,-2.702702702702693,56.0,1195728.0,100.0,76.0
58.0,1.195524212,3.649808990788688E-7,58.0,67.24137931034483,-1.8484288354897924,58.0,1195728.0,100.0,74.0
60.0,1.228940576,3.7531777305232776E-7,60.0,68.33333333333333,-1.0638297872340674,60.0,1195728.0,100.0,74.0
62.0,1.26224051,3.856186310715456E-7,62.0,69.35483870967742,-0.3407155025553813,62.0,1195728.0,100.0,73.0
64.0,1.296034019,3.960721694533382E-7,64.0,67.1875,-3.3846153846153846,64.0,1195728.0,100.0,74.0
66.0,1.330281768,4.0666622047838857E-7,66.0,68.18181818181817,-2.666666666666657,66.0,1195728.0,100.0,76.0
68.0,1.364456226,4.172375999814748E-7,68.0,69.11764705882352,-1.9999999999999751,68.0,1195728.0,100.0,75.0
70.0,1.398473533,4.2776036707173826E-7,70.0,70.0,-1.3793103448276027,70.0,1195728.0,100.0,75.0
72.0,1.435189474,4.391179179690758E-7,72.0,69.44444444444444,-2.06185567010314,72.0,1195728.0,100.0,76.0
74.0,1.471189411,4.5025398327592553E-7,74.0,70.27027027027027,-1.4962593516209333,74.0,1195728.0,100.0,76.0
76.0,1.507433362,4.6146553082152995E-7,76.0,69.73684210526315,3.318584070796412,76.0,1195728.0,100.0,87.0
78.0,1.540413533,4.7166747473290604E-7,78.0,69.23076923076923,1.886792452830198,78.0,1195728.0,100.0,75.0
80.0,1.573394782,4.818697521081546E-7,80.0,68.75,1.1857707509881519,80.0,1195728.0,100.0,88.0
82.0,1.607024933,4.922727580305044E-7,82.0,68.29268292682927,-0.09389671361501672,82.0,1195728.0,100.0,77.0
84.0,1.639442042,5.023005267703015E-7,84.0,69.04761904761905,0.4557885141294118,84.0,1195728.0,100.0,77.0
86.0,1.672811318,5.126228347448487E-7,86.0,67.44186046511628,-1.8612521150592265,86.0,1195728.0,100.0,76.0
88.0,1.707739739,5.234274419118319E-7,88.0,67.04545454545455,1.69491525423727,88.0,1195728.0,100.0,88.0
90.0,1.74026704,5.334892969698438E-7,90.0,65.55555555555556,-0.5767844268204615,90.0,1195728.0,100.0,88.0
92.0,1.773058978,5.436330136965194E-7,92.0,64.13043478260869,-2.7063599458727947,92.0,1195728.0,100.0,88.0
94.0,1.806277137,5.539085757897897E-7,94.0,62.76595744680851,-4.710375556970055,94.0,1195728.0,100.0,89.0
96.0,1.840200862,5.644023946276286E-7,96.0,62.5,-5.558949297495436,96.0,1195728.0,100.0,77.0
98.0,1.873211519,5.746137689468119E-7,98.0,63.26530612244898,-4.93753718024986,98.0,1195728.0,100.0,77.0
100.0,1.907609681,5.852543480808142E-7,100.0,64.0,-4.347826086956526,100.0,1195728.0,100.0,78.0
102.0,1.942801147,5.961403244540445E-7,102.0,64.70588235294117,-3.7874505370265688,102.0,1195728.0,100.0,78.0
104.0,1.978204989,6.070919963035089E-7,104.0,65.38461538461539,-3.254274682846084,104.0,1195728.0,100.0,77.0
106.0,2.013678791,6.180653092777582E-7,106.0,66.0377358490566,-2.7463651050081235,106.0,1195728.0,100.0,76.0
108.0,2.046906272,6.28343754998319E-7,108.0,65.74074074074075,-3.202479338842975,108.0,1195728.0,100.0,79.0
110.0,2.082339377,6.393044789380434E-7,110.0,66.36363636363637,-2.725896012115093,110.0,1195728.0,100.0,79.0
112.0,2.11837058,6.504502159345376E-7,112.0,66.96428571428571,-2.2704837117473193,112.0,1195728.0,100.0,79.0
114.0,2.152653873,6.610552619873089E-7,114.0,67.54385964912281,-1.834862385321083,114.0,1195728.0,100.0,79.0
116.0,2.185331087,6.711634904864284E-7,116.0,67.24137931034483,-2.273781902552231,116.0,1195728.0,100.0,81.0
118.0,2.218335349,6.813728866038821E-7,118.0,66.94915254237289,-2.6773761713520328,118.0,1195728.0,100.0,89.0
120.0,2.251547807,6.916466851743909E-7,120.0,66.66666666666666,-0.37641154328731935,120.0,1195728.0,100.0,91.0
122.0,2.287000703,7.026135311767312E-7,122.0,66.39344262295081,-0.8061265618702292,122.0,1195728.0,100.0,89.0
124.0,2.321300089,7.132235553687416E-7,124.0,66.12903225806451,-1.5600624024961354,124.0,1195728.0,100.0,80.0
126.0,2.356513555,7.241163371271246E-7,126.0,66.66666666666666,-1.1467889908256854,126.0,1195728.0,100.0,77.0
128.0,2.389615676,7.343560045257437E-7,128.0,67.1875,-0.7496251874062968,128.0,1195728.0,100.0,77.0
130.0,2.422976839,7.44675802859848E-7,130.0,66.92307692307692,-1.1581614187477685,130.0,1195728.0,100.0,91.0
132.0,2.455882804,7.548547922071047E-7,132.0,66.66666666666666,-1.8589968432129425,132.0,1195728.0,100.0,80.0
134.0,2.490205192,7.654719317386277E-7,134.0,66.4179104477612,0.3964321110010295,134.0,1195728.0,100.0,89.0
136.0,2.522921054,7.75592115443446E-7,136.0,66.17647058823529,2.127659574468046,136.0,1195728.0,100.0,81.0
138.0,2.5557135,7.857359893126516E-7,138.0,66.66666666666666,2.5184275184275027,138.0,1195728.0,100.0,80.0
140.0,2.588450772,7.95862795894566E-7,140.0,67.14285714285714,2.895054282267794,140.0,1195728.0,100.0,80.0
142.0,2.62133131,8.060339197632649E-7,142.0,66.90140845070422,4.684375892602081,142.0,1195728.0,100.0,89.0
144.0,2.655070083,8.164705263467981E-7,144.0,66.66666666666666,3.999999999999955,144.0,1195728.0,100.0,81.0
146.0,2.688502654,8.268124137237647E-7,146.0,67.12328767123287,4.366812227074266,146.0,1195728.0,100.0,79.0
148.0,2.721516245,8.370246956338588E-7,148.0,67.56756756756756,4.7210300429184215,148.0,1195728.0,100.0,77.0
150.0,2.754357395,8.471836353884491E-7,150.0,66.66666666666666,3.275728656177461,150.0,1195728.0,100.0,81.0
152.0,2.788801535,8.578384371587489E-7,152.0,65.78947368421053,1.8867924528302105,152.0,1195728.0,100.0,91.0
154.0,2.821727744,8.680236886976886E-7,154.0,66.23376623376623,2.2460937499999813,154.0,1195728.0,100.0,81.0
156.0,2.854027086,8.780150279014288E-7,156.0,66.66666666666666,2.593659942363125,156.0,1195728.0,100.0,77.0
158.0,2.886775353,8.88145235629241E-7,158.0,67.08860759493672,2.930056710775051,158.0,1195728.0,100.0,77.0
160.0,2.91913797,8.981561480486868E-7,160.0,66.875,2.5287356321839267,160.0,1195728.0,100.0,91.0
162.0,2.952490954,9.084734163261928E-7,162.0,66.66666666666666,4.099978074983541,162.0,1195728.0,100.0,88.0
164.0,2.987722064,9.19371656003468E-7,164.0,66.46341463414635,3.508771929824534,164.0,1195728.0,100.0,82.0
166.0,3.019958894,9.29343658014633E-7,166.0,66.86746987951807,3.8340004213187333,166.0,1195728.0,100.0,78.0
168.0,3.052106125,9.392879438574217E-7,168.0,66.66666666666666,3.4482758620689227,168.0,1195728.0,100.0,92.0
170.0,3.084884579,9.494274895016702E-7,170.0,67.05882352941175,3.7606146380913983,170.0,1195728.0,100.0,82.0
172.0,3.117559562,9.59535027872868E-7,172.0,67.44186046511628,4.063745019920286,172.0,1195728.0,100.0,79.0
174.0,3.150173951,9.696238223573418E-7,174.0,67.81609195402298,4.358068315665462,174.0,1195728.0,100.0,79.0
176.0,3.182219807,9.795367492946835E-7,176.0,68.18181818181817,4.643962848297174,176.0,1195728.0,100.0,79.0
178.0,3.21494855,9.896609175525086E-7,178.0,67.97752808988764,4.264955652009829,178.0,1195728.0,100.0,82.0
180.0,3.247455621,9.99716514749537E-7,180.0,68.33333333333333,4.5403796055080266,180.0,1195728.0,100.0,82.0
182.0,3.279980529,1.0097776295672458E-6,182.0,68.68131868131869,4.808221692053608,182.0,1195728.0,100.0,80.0
184.0,3.313764076,1.020228086346907E-6,184.0,69.02173913043478,5.068790731354087,184.0,1195728.0,100.0,79.0
