learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
2.0,0.00584504,2.8790689176983304E-11,2.0,100.0,?,2.0,19040.0
4.0,0.017586841,9.226463613410791E-11,4.0,75.0,0.0,4.0,20896.0
6.0,0.020933305,1.1035498517254989E-10,6.0,83.33333333333334,0.0,6.0,20896.0
8.0,0.024821312,1.3137281285391915E-10,8.0,75.0,0.0,8.0,20896.0
10.0,0.028402527,1.5073218122952516E-10,10.0,60.0,0.0,10.0,20896.0
12.0,0.030697215,1.6313682889772787E-10,12.0,66.66666666666666,0.0,12.0,20896.0
14.0,0.033563902,1.7863359456261E-10,14.0,71.42857142857143,0.0,14.0,20896.0
16.0,0.035896867,1.9124516042570275E-10,16.0,68.75,0.0,16.0,20896.0
18.0,0.038124169,2.0328553217152757E-10,18.0,72.22222222222221,0.0,18.0,20896.0
20.0,0.040882869,2.1819854061636662E-10,20.0,75.0,0.0,20.0,20896.0
22.0,0.043006833,2.296802867535088E-10,22.0,77.27272727272727,0.0,22.0,20896.0
24.0,0.045564846,2.435084193779363E-10,24.0,79.16666666666666,0.0,24.0,20896.0
26.0,0.047615507,2.545939034140773E-10,26.0,76.92307692307693,0.0,26.0,20896.0
28.0,0.050152922,2.683106871611543E-10,28.0,78.57142857142857,0.0,28.0,20896.0
30.0,0.052149653,2.791046358562179E-10,30.0,73.33333333333333,0.0,30.0,20896.0
32.0,0.054590281,2.9229820745686697E-10,32.0,75.0,0.0,32.0,20896.0
34.0,0.057664517,3.089169436113703E-10,34.0,70.58823529411765,0.0,34.0,20896.0
36.0,0.059750605,3.2019393928349024E-10,36.0,72.22222222222221,0.0,36.0,20896.0
38.0,0.062844295,3.3691784006853905E-10,38.0,73.68421052631578,0.0,38.0,20896.0
40.0,0.064885337,3.4795132561690285E-10,40.0,75.0,0.0,40.0,20896.0
42.0,0.066133545,3.5469890108539004E-10,42.0,71.42857142857143,0.0,42.0,20896.0
44.0,0.067370554,3.613859368860722E-10,44.0,72.72727272727273,0.0,44.0,20896.0
46.0,0.069506106,3.729303255511655E-10,46.0,73.91304347826086,0.0,46.0,20896.0
48.0,0.070666284,3.792020275526577E-10,48.0,75.0,0.0,48.0,20896.0
50.0,0.072278323,3.879164043317239E-10,50.0,76.0,0.0,50.0,20896.0
52.0,0.074656975,4.0077494544287525E-10,52.0,76.92307692307693,0.0,52.0,20896.0
54.0,0.076364768,4.1000695016649034E-10,54.0,75.92592592592592,0.0,54.0,20896.0
56.0,0.077565419,4.1649744152194923E-10,56.0,75.0,0.0,56.0,20896.0
58.0,0.079653461,4.27785000147091E-10,58.0,75.86206896551724,0.0,58.0,20896.0
60.0,0.081275037,4.3655093213750255E-10,60.0,76.66666666666667,0.0,60.0,20896.0
62.0,0.082615507,4.437972584615151E-10,62.0,77.41935483870968,0.0,62.0,20896.0
64.0,0.08369825,4.4965036155449017E-10,64.0,76.5625,0.0,64.0,20896.0
66.0,0.085322086,4.584285106758276E-10,66.0,77.27272727272727,0.0,66.0,20896.0
68.0,0.086364467,4.64063424459762E-10,68.0,77.94117647058823,0.0,68.0,20896.0
70.0,0.087473355,4.700578624589575E-10,70.0,78.57142857142857,0.0,70.0,20896.0
72.0,0.089221932,4.795103377434942E-10,72.0,77.77777777777779,0.0,72.0,20896.0
74.0,0.090216887,4.848888755755291E-10,74.0,78.37837837837837,0.0,74.0,20896.0
76.0,0.091214293,4.902806630482276E-10,76.0,76.31578947368422,0.0,76.0,20896.0
78.0,0.093024603,5.00066855210397E-10,78.0,76.92307692307693,0.0,78.0,20896.0
80.0,0.094021158,5.054540423386627E-10,80.0,76.25,0.0,80.0,20896.0
82.0,0.095006919,5.107828791522318E-10,82.0,76.82926829268293,0.0,82.0,20896.0
84.0,0.096007572,5.161922192904685E-10,84.0,77.38095238095238,0.0,84.0,20896.0
86.0,0.097571217,5.246449872934157E-10,86.0,76.74418604651163,0.0,86.0,20896.0
88.0,0.098808774,5.313349854780569E-10,88.0,75.0,0.0,88.0,20896.0
90.0,0.100302327,5.394088494363759E-10,90.0,74.44444444444444,0.0,90.0,20896.0
92.0,0.102172284,5.495174819562171E-10,92.0,73.91304347826086,0.0,92.0,20896.0
94.0,0.103272342,5.554641866518392E-10,94.0,73.40425531914893,0.0,94.0,20896.0
96.0,0.104273033,5.608737322108614E-10,96.0,73.95833333333334,0.0,96.0,20896.0
98.0,0.106178526,5.711744655999873E-10,98.0,74.48979591836735,0.0,98.0,20896.0
100.0,0.107193151,5.766593357175589E-10,100.0,75.0,0.0,100.0,20896.0
102.0,0.108271238,5.824872693585026E-10,102.0,75.49019607843137,0.0,102.0,20896.0
104.0,0.109824672,5.908848386340672E-10,104.0,75.96153846153845,0.0,104.0,20896.0
106.0,0.1116658,6.008376270532609E-10,106.0,76.41509433962264,0.0,106.0,20896.0
108.0,0.113183614,6.090426413714887E-10,108.0,75.92592592592592,0.0,108.0,20896.0
110.0,0.114755807,6.175416182395486E-10,110.0,76.36363636363637,0.0,110.0,20896.0
112.0,0.116510537,6.270273554739027E-10,112.0,76.78571428571429,0.0,112.0,20896.0
114.0,0.11748265,6.322824137906235E-10,114.0,77.19298245614034,0.0,114.0,20896.0
116.0,0.118660913,6.386518798685738E-10,116.0,76.72413793103449,0.0,116.0,20896.0
118.0,0.120394148,6.48021419213878E-10,118.0,76.27118644067797,0.0,118.0,20896.0
120.0,0.121712211,6.551466175499891E-10,120.0,75.83333333333333,0.0,120.0,20896.0
122.0,0.123342206,6.639580610560048E-10,122.0,75.40983606557377,0.0,122.0,20896.0
124.0,0.124925582,6.725174910989074E-10,124.0,75.80645161290323,0.0,124.0,20896.0
126.0,0.12711737,6.843658809032707E-10,126.0,76.19047619047619,0.0,126.0,20896.0
128.0,0.128442236,6.915278549657929E-10,128.0,76.5625,0.0,128.0,20896.0
130.0,0.130120962,7.006027290059462E-10,130.0,76.15384615384615,0.0,130.0,20896.0
132.0,0.13148119,7.079558633267881E-10,132.0,76.51515151515152,0.0,132.0,20896.0
134.0,0.13248384,7.133759988678828E-10,134.0,75.3731343283582,0.0,134.0,20896.0
136.0,0.13372491,7.200849876635606E-10,136.0,75.0,0.0,136.0,20896.0
138.0,0.135001178,7.269842501646944E-10,138.0,75.36231884057972,0.0,138.0,20896.0
140.0,0.136858732,7.370258344213169E-10,140.0,75.71428571428571,0.0,140.0,20896.0
142.0,0.137990411,7.431434762395092E-10,142.0,74.64788732394366,0.0,142.0,20896.0
144.0,0.138734523,7.471660044375395E-10,144.0,75.0,0.0,144.0,20896.0
146.0,0.140021981,7.54125757954187E-10,146.0,75.34246575342466,0.0,146.0,20896.0
148.0,0.14089132,7.588252395391466E-10,148.0,75.67567567567568,0.0,148.0,20896.0
150.0,0.141625126,7.627920554578306E-10,150.0,75.33333333333333,0.0,150.0,20896.0
152.0,0.142902803,7.696989347454576E-10,152.0,75.0,0.0,152.0,20896.0
154.0,0.143642978,7.7370018026895E-10,154.0,75.32467532467533,0.0,154.0,20896.0
156.0,0.144402731,7.778072607434459E-10,156.0,75.64102564102564,0.0,156.0,20896.0
158.0,0.145429837,7.833596007774274E-10,158.0,75.9493670886076,0.0,158.0,20896.0
160.0,0.146750731,7.905001029620569E-10,160.0,75.625,0.0,160.0,20896.0
162.0,0.147681286,7.955305066208046E-10,162.0,74.69135802469135,0.0,162.0,20896.0
164.0,0.148485292,7.998768104116123E-10,164.0,75.0,0.0,164.0,20896.0
166.0,0.149809486,8.070351517697176E-10,166.0,75.30120481927712,0.0,166.0,20896.0
168.0,0.150571907,8.111566549456782E-10,168.0,75.0,0.0,168.0,20896.0
170.0,0.151335382,8.152838558455309E-10,170.0,75.29411764705883,0.0,170.0,20896.0
172.0,0.152649413,8.223872579551406E-10,172.0,75.5813953488372,0.0,172.0,20896.0
174.0,0.153422571,8.265668033146197E-10,174.0,75.86206896551724,0.0,174.0,20896.0
176.0,0.15461405,8.330077125794359E-10,176.0,76.13636363636364,0.0,176.0,20896.0
178.0,0.155416123,8.373435669392349E-10,178.0,75.84269662921348,0.0,178.0,20896.0
180.0,0.156682493,8.441893227315612E-10,180.0,76.11111111111111,0.0,180.0,20896.0
182.0,0.15742396,8.4819755256176E-10,182.0,76.37362637362637,0.0,182.0,20896.0
184.0,0.158339228,8.531453176008331E-10,184.0,76.63043478260869,0.0,184.0,20896.0
186.0,0.159617035,8.600528996437788E-10,186.0,76.88172043010752,0.0,186.0,20896.0
188.0,0.160357286,8.640545560088422E-10,188.0,77.12765957446808,0.0,188.0,20896.0
190.0,0.161078753,8.679546696361569E-10,190.0,76.84210526315789,0.0,190.0,20896.0
192.0,0.162358581,8.74873176821404E-10,192.0,76.5625,0.0,192.0,20896.0
194.0,0.163077943,8.78761911218365E-10,194.0,76.28865979381443,0.0,194.0,20896.0
196.0,0.163781909,8.825674177623457E-10,196.0,76.0204081632653,0.0,196.0,20896.0
197.0,0.164559129,8.867689215226305E-10,197.0,76.14213197969542,0.0,197.0,20896.0
