learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
32.0,0.401652826,1.2133114553772742E-7,32.0,93.75,0.0,32.0,1167680.0,50.0,31.9,0.8286945721298958,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64.0,0.667722748,2.0170545474125282E-7,64.0,96.875,0.0,64.0,1167680.0,50.0,64.34,1.3060643481975354,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96.0,0.794620481,2.4003867765011064E-7,96.0,97.91666666666666,0.0,96.0,1167680.0,50.0,97.39999999999999,1.705214092728774,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128.0,0.923994374,2.791198981078135E-7,128.0,98.4375,0.0,128.0,1167680.0,50.0,129.74000000000004,1.7421099100732738,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,1.042478046,3.149114044055343E-7,160.0,98.75,0.0,160.0,1167680.0,50.0,161.8,1.875731149962269,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
192.0,1.136702131,3.4337458312668737E-7,192.0,98.95833333333334,0.0,192.0,1167680.0,50.0,193.56000000000003,1.9590001614734651,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224.0,1.209940944,3.6549853820403417E-7,224.0,99.10714285714286,0.0,224.0,1167680.0,50.0,224.99999999999994,1.9811355226696818,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
256.0,1.280973993,3.869561768618723E-7,256.0,99.21875,0.0,256.0,1167680.0,50.0,256.38,2.092530935084524,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
288.0,1.350590591,4.0798593449584314E-7,288.0,99.30555555555556,0.0,288.0,1167680.0,50.0,287.86000000000007,2.3306318666746106,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
320.0,1.418711259,4.285638021173577E-7,320.0,99.375,0.0,320.0,1167680.0,50.0,319.29999999999995,2.4252498293359133,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
352.0,1.486495308,4.4903998398880164E-7,352.0,99.43181818181817,0.0,352.0,1167680.0,50.0,350.99999999999994,2.6449798425218565,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
384.0,1.573852808,4.7542890710896917E-7,384.0,99.47916666666666,0.0,384.0,1167680.0,50.0,383.14000000000004,3.062479987439817,17440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
