learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
32.0,0.746376001,4.758259989735919E-7,32.0,50.0,-10.822510822510822,32.0,2464296.0,100.0,52.0
64.0,1.107850582,7.062715162161614E-7,64.0,62.5,24.334975369458128,64.0,2464296.0,100.0,56.0
96.0,1.25883584,8.025269037445386E-7,96.0,59.375,18.537859007832893,96.0,2464296.0,100.0,58.0
128.0,1.395371001,8.895701356957294E-7,128.0,64.84375,29.480901077375123,128.0,2464296.0,100.0,54.0
160.0,1.526105661,9.72915460453797E-7,160.0,68.125,36.25000000000001,160.0,2464296.0,100.0,56.0
192.0,1.725753618,1.1001618262115866E-6,192.0,71.875,43.731683490719625,192.0,2463672.0,100.0,52.0
224.0,1.924657129,1.2279434985248413E-6,224.0,73.66071428571429,47.195141441585434,224.0,2483296.0,100.0,51.0
256.0,2.051731975,1.3118861878291435E-6,256.0,75.78125,51.55954342916438,256.0,2553440.0,100.0,52.0
288.0,2.175005054,1.394413032147781E-6,288.0,75.0,50.0,288.0,2587792.0,100.0,57.0
320.0,2.293684252,1.4738644401653154E-6,320.0,75.9375,51.87500000000001,320.0,2587792.0,100.0,55.0
352.0,2.410433267,1.552023660843654E-6,352.0,76.42045454545455,52.83177268324183,352.0,2587792.0,100.0,53.0
384.0,2.553735202,1.6489941550083046E-6,384.0,77.08333333333334,54.13556285458346,384.0,2615712.0,100.0,53.0
416.0,2.69285592,1.7414837378087227E-6,416.0,76.92307692307693,53.807717220320185,416.0,2569824.0,100.0,47.0
448.0,2.845086886,1.8455174905217232E-6,448.0,78.125,56.1941251596424,448.0,2641640.0,100.0,48.0
480.0,2.980877937,1.9395725230726496E-6,480.0,78.125,56.23480375130254,480.0,2677400.0,100.0,46.0
512.0,3.119974801,2.0365549560427233E-6,512.0,78.515625,56.97807654113514,512.0,2695120.0,100.0,48.0
544.0,3.250166371,2.127915746159436E-6,544.0,78.86029411764706,57.657633267455374,544.0,2712560.0,100.0,49.0
576.0,3.397698311,2.232754866878604E-6,576.0,79.16666666666666,58.261373654907544,576.0,2746880.0,100.0,49.0
608.0,3.544771914,2.3385308706088266E-6,608.0,79.93421052631578,59.770912877473094,608.0,2780064.0,100.0,49.0
640.0,3.692967888,2.445145372801488E-6,640.0,80.78125,61.513640363743036,640.0,2780880.0,100.0,47.0
672.0,3.824709653,2.5405171169232544E-6,672.0,81.54761904761905,63.05596935518195,672.0,2798328.0,100.0,46.0
704.0,3.955226386,2.6350295763511366E-6,704.0,81.96022727272727,63.90005975741718,704.0,2799144.0,100.0,49.0
736.0,4.062832238,2.7129662587168058E-6,736.0,82.47282608695652,64.91196948866911,736.0,2799680.0,100.0,52.0
768.0,4.177554575,2.7980875272479207E-6,768.0,83.07291666666666,66.08027396701794,768.0,2868088.0,100.0,51.0
800.0,4.304199998,2.892710971742352E-6,800.0,83.25,66.42613750250551,800.0,2888096.0,100.0,55.0
832.0,4.445141486,2.9991603614996674E-6,832.0,83.41346153846155,66.76546869210819,832.0,2919488.0,100.0,53.0
864.0,4.574019919,3.0982733822145304E-6,864.0,83.68055555555556,67.31557596960786,864.0,2972712.0,100.0,49.0
896.0,4.711905798,3.2038329516286042E-6,896.0,83.92857142857143,67.8225130681138,896.0,2959240.0,100.0,49.0
928.0,4.864327983,3.3214363461901445E-6,928.0,84.05172413793103,68.07141528733496,928.0,2982456.0,100.0,48.0
960.0,4.997217989,3.4246094189728083E-6,960.0,84.47916666666667,68.92758458891612,960.0,3001072.0,100.0,46.0
992.0,5.144933353,3.5398700864123004E-6,992.0,84.57661290322581,69.11279884734671,992.0,3016184.0,100.0,47.0
