learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
32.0,0.844547568,5.384118590173125E-7,32.0,62.5,16.883116883116884,32.0,2464296.0,100.0,0.0
64.0,1.103366196,7.034126522583515E-7,64.0,70.3125,39.562624254473164,64.0,2464296.0,100.0,0.0
96.0,1.255272877,8.002554608973551E-7,96.0,64.58333333333334,27.947019867549685,96.0,2464296.0,100.0,0.0
128.0,1.409523793,8.985927548349339E-7,128.0,62.5,23.809523809523807,128.0,2464296.0,100.0,0.0
160.0,1.56690933,9.989284171106294E-7,160.0,63.74999999999999,27.306908976970067,160.0,2464296.0,100.0,0.0
192.0,1.901531201,1.2237177701692388E-6,192.0,63.020833333333336,26.201818969250773,192.0,2596712.0,100.0,0.0
224.0,2.356156731,1.654883177938E-6,224.0,66.51785714285714,33.40732519422862,224.0,3666000.0,100.0,0.0
256.0,2.596044063,1.9020190929497636E-6,256.0,67.96875,36.003902201085296,256.0,3982272.0,100.0,0.0
288.0,2.796341052,2.108368378832922E-6,288.0,69.79166666666666,39.682233991333646,288.0,3982272.0,100.0,0.0
320.0,2.968697131,2.285932475012477E-6,320.0,70.625,41.28898778155132,320.0,3982272.0,100.0,0.0
352.0,3.137366714,2.459698681763893E-6,352.0,71.875,43.69546952756414,352.0,3982272.0,100.0,0.0
384.0,3.293791347,2.6214744268641913E-6,384.0,72.65625,45.19356241844281,384.0,3997704.0,100.0,0.0
416.0,3.529850511,2.8747159606834794E-6,416.0,73.3173076923077,46.493626882966396,416.0,4146832.0,100.0,0.0
448.0,3.833605094,3.226387786069438E-6,448.0,74.55357142857143,48.9443378119002,448.0,4475248.0,100.0,0.0
480.0,4.132464085,3.616020923857035E-6,480.0,75.0,49.944382647385986,480.0,5039552.0,100.0,0.0
512.0,4.347166583,3.901247546574916E-6,512.0,75.5859375,51.023906455661326,512.0,5135176.0,100.0,0.0
544.0,4.532116904,4.147824971986477E-6,544.0,76.65441176470588,53.163218266127956,544.0,5153480.0,100.0,0.0
576.0,4.727547477,4.408374763284466E-6,576.0,76.73611111111111,53.30502014592182,576.0,5153480.0,100.0,0.0
608.0,4.926296673,4.673348972506291E-6,608.0,77.63157894736842,55.045233124565065,608.0,5153480.0,100.0,0.0
640.0,5.161506902,4.9910701197918726E-6,640.0,78.4375,56.756756756756765,640.0,5221464.0,100.0,0.0
672.0,5.40631126,5.327665090613065E-6,672.0,79.01785714285714,57.92016769402946,672.0,5314848.0,100.0,0.0
704.0,5.702277817,5.746401350439505E-6,704.0,79.6875,59.30602939512022,704.0,5468904.0,100.0,0.0
736.0,6.072253299,6.295873920363373E-6,736.0,80.43478260869566,60.77107577507328,736.0,5740840.0,100.0,0.0
768.0,6.440136484,6.855021028050852E-6,768.0,80.859375,61.570197295862094,768.0,5875144.0,100.0,0.0
800.0,6.727192895,7.298033648064152E-6,800.0,80.75,61.34538152610441,800.0,5965560.0,100.0,0.0
832.0,6.96029222,7.661512405351993E-6,832.0,80.88942307692307,61.64764820484274,832.0,6027544.0,100.0,0.0
864.0,7.207364758,8.053565018871655E-6,864.0,80.90277777777779,61.714881137811396,864.0,6133696.0,100.0,0.0
896.0,7.437441722,8.418649199319378E-6,896.0,81.13839285714286,62.206736816883975,896.0,6133696.0,100.0,0.0
928.0,7.66124229,8.77465686673303E-6,928.0,81.03448275862068,62.00119118522929,928.0,6148944.0,100.0,0.0
960.0,7.891593084,9.144953399697563E-6,960.0,81.45833333333333,62.854757929883135,960.0,6213872.0,100.0,0.0
992.0,8.107087689,9.491437690916715E-6,992.0,81.75403225806451,63.43940640347947,992.0,6215120.0,100.0,0.0
1024.0,8.322249033,9.839281339617429E-6,1024.0,82.89999999999999,65.73668138720355,1024.0,6249168.0,100.0,0.0
1056.0,8.628958501,1.0337783433718258E-5,1056.0,83.5,66.91901775546538,1056.0,6282640.0,100.0,0.0
1088.0,8.963507923,1.0890419840023579E-5,1088.0,84.6,69.11599550778116,1088.0,6385304.0,100.0,0.0
1120.0,9.244893002,1.1359601493823313E-5,1120.0,86.0,71.90650484813459,1120.0,6445288.0,100.0,0.0
1152.0,9.519246747,1.182231809837862E-5,1152.0,86.2,72.28748719802398,1152.0,6519384.0,100.0,0.0
1184.0,9.794412679,1.2293364758110112E-5,1184.0,87.1,74.10990246056276,1184.0,6617160.0,100.0,0.0
1216.0,10.06734287,1.2760787482094365E-5,1216.0,87.2,74.28117904719805,1216.0,6620040.0,100.0,0.0
1248.0,10.356134404,1.3255374486160438E-5,1248.0,87.7,75.32657187790865,1248.0,6620040.0,100.0,0.0
1280.0,10.643080406,1.3747698739373582E-5,1280.0,88.1,76.13317288407542,1280.0,6632136.0,100.0,0.0
1312.0,10.975915923,1.4321638113977913E-5,1312.0,88.5,76.94965805318816,1312.0,6665592.0,100.0,0.0
1344.0,11.286956014,1.48622982243208E-5,1344.0,88.9,77.75354941117052,1344.0,6719088.0,100.0,0.0
1376.0,11.583601528,1.5378511854900435E-5,1376.0,89.3,78.55212835047827,1376.0,6726576.0,100.0,0.0
1408.0,11.952301308,1.6018055703865462E-5,1408.0,89.4,78.76389862766703,1408.0,6705016.0,100.0,0.0
1440.0,12.310243734,1.6650948290987372E-5,1440.0,89.4,78.75581208914542,1440.0,6834696.0,100.0,0.0
1472.0,12.63633406,1.72303678445748E-5,1472.0,90.10000000000001,80.1571394211497,1472.0,6868432.0,100.0,0.0
1504.0,12.968953972,1.782426984477823E-5,1504.0,90.5,80.96238166617236,1504.0,6901904.0,100.0,0.0
1536.0,13.268643365,1.8359485140689013E-5,1536.0,90.4,80.7704634318313,1536.0,6903344.0,100.0,0.0
1568.0,13.548600987,1.8859753484737183E-5,1568.0,91.0,81.98443455145245,1568.0,6907376.0,100.0,0.0
1600.0,13.845434305,1.9391472740781733E-5,1600.0,91.10000000000001,82.19259211832123,1600.0,6924240.0,100.0,0.0
