learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
4.0,0.287528931,9.099417143812403E-8,4.0,100.0,?,4.0,1223304.0,100.0,2.059999999999999,0.14758664635331406,6522.399999999998,269.29625907449065,0.8499999999999998,0.03588702812826368,0.8499999999999998,0.03588702812826368,0.8499999999999998,0.03588702812826368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.536273231,1.8265117545695563E-7,8.0,62.5,0.0,8.0,1424344.0,100.0,8.29,0.3229582329063933,8532.800000000003,10.972582911856964,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.670142765,2.32023591379128E-7,12.0,41.66666666666667,-31.250000000000007,12.0,1425624.0,100.0,11.779999999999996,0.39404147861448147,8545.599999999999,6.400000000000034,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.826218632,2.89585923828404E-7,16.0,43.75,-12.5,16.0,1425624.0,100.0,14.939999999999998,0.424697158888162,8545.599999999999,6.400000000000034,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.938318236,3.3094793314991313E-7,20.0,45.0,-12.244897959183673,20.0,1426264.0,100.0,20.450000000000006,0.5240431395612504,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.013047425,3.585211742829221E-7,24.0,45.83333333333333,-13.043478260869579,24.0,1426264.0,100.0,25.10999999999999,0.5550311666560679,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.085148485,3.8512470015987964E-7,28.0,50.0,-8.287292817679548,28.0,1426264.0,100.0,26.77,0.5702834666402596,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,1.153318726,4.10277850064776E-7,32.0,50.0,-10.344827586206897,32.0,1426264.0,100.0,32.83999999999998,0.6081467127613405,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,1.2198008,4.348081076783646E-7,36.0,52.77777777777778,-7.746478873239419,36.0,1426264.0,100.0,37.24,0.6498049435380318,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,1.290988677,4.610746913859435E-7,40.0,57.49999999999999,-3.0303030303030742,40.0,1426264.0,100.0,38.68999999999999,0.6816046130161155,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44.0,1.366785301,4.89041789899752E-7,44.0,59.09090909090909,-2.061855670103086,44.0,1426264.0,100.0,44.85999999999999,0.7606509705442429,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,1.436681429,5.148317498524509E-7,48.0,60.416666666666664,-1.333333333333314,48.0,1426264.0,100.0,48.730000000000004,0.813504080437762,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,1.493020375,5.356194415700416E-7,52.0,61.53846153846154,-0.7751937984495871,52.0,1426264.0,100.0,53.85,0.8412802893522023,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,1.542475364,5.538671216957728E-7,56.0,64.28571428571429,1.4084507042253689,56.0,1426264.0,100.0,55.49,0.8417748205338814,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,1.593505909,5.726961434108869E-7,60.0,65.0,1.5625000000000253,60.0,1426264.0,100.0,60.99000000000001,0.8270056734015696,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
64.0,1.647003403,5.92435408908251E-7,64.0,64.0625,0.27100271002710025,64.0,1426264.0,100.0,65.56000000000002,0.8505874381267278,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68.0,1.705410082,6.139860434781679E-7,68.0,64.70588235294117,0.48780487804878797,68.0,1426264.0,100.0,70.08999999999999,0.8625888916277533,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,1.756720777,6.329184336843199E-7,72.0,63.888888888888886,-1.6286644951140534,72.0,1426264.0,100.0,74.64999999999998,0.9157846996765212,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
76.0,1.806167474,6.511630542650655E-7,76.0,64.47368421052632,-1.3833992094861687,76.0,1426264.0,100.0,77.96000000000001,0.9494198122000508,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,1.85435859,6.689443961974235E-7,80.0,65.0,5.405405405405438,80.0,1426264.0,100.0,82.69999999999997,0.9949874371066205,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,1.9014653,6.863256188654861E-7,84.0,64.28571428571429,4.255319148936156,84.0,1426264.0,100.0,85.57000000000001,1.0087751348676637,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88.0,1.948952995,7.038474156708252E-7,88.0,61.36363636363637,1.3192612137203055,88.0,1426264.0,100.0,90.74,1.050215947009726,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92.0,1.997203243,7.21650575863444E-7,92.0,60.86956521739131,-0.302846759539683,92.0,1426264.0,100.0,94.79999999999997,1.0898058394396528,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96.0,2.047029901,7.40035392750537E-7,96.0,59.375,-1.6286644951139972,96.0,1426264.0,100.0,99.56999999999996,1.1067520047418031,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,2.09750984,7.586612543322355E-7,100.0,59.0,-1.990049751243811,100.0,1426264.0,100.0,103.13999999999996,1.1270789993195112,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104.0,2.145414164,7.76336777038173E-7,104.0,59.61538461538461,-0.2294630564479493,104.0,1426264.0,100.0,106.68,1.1301094967955427,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108.0,2.19318573,7.939633152924481E-7,108.0,58.333333333333336,-1.3344453711426312,108.0,1426264.0,100.0,110.95999999999995,1.209718224140722,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,2.250589063,8.151437397534631E-7,112.0,58.92857142857143,-0.980007840062716,112.0,1426264.0,100.0,115.71999999999997,1.1908811778670372,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116.0,2.301903796,8.34077619882752E-7,116.0,59.48275862068966,-0.6646971935007338,116.0,1426264.0,100.0,119.05999999999999,1.1825174310543909,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,2.353176996,8.529961753519007E-7,120.0,58.333333333333336,-3.341370995521873,120.0,1426264.0,100.0,122.61000000000004,1.2133012816279394,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
124.0,2.402074958,8.710383261524227E-7,124.0,58.06451612903226,-4.4041450777201785,124.0,1426264.0,100.0,125.3,1.2441783626071454,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128.0,2.449960886,8.887070611847527E-7,128.0,57.03125,-4.824300178677785,128.0,1426264.0,100.0,130.06000000000006,1.2592141207992393,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132.0,2.500278895,9.07273174561012E-7,132.0,56.81818181818182,-3.2948929159802103,132.0,1426264.0,100.0,134.01000000000005,1.2752100242942752,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
136.0,2.548061606,9.249038250474221E-7,136.0,57.35294117647059,0.20242914979756096,136.0,1426264.0,100.0,136.38,1.274043907715852,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,2.595950698,9.425737275182874E-7,140.0,57.85714285714286,1.946818613485278,140.0,1426264.0,100.0,140.04000000000008,1.3143281880331816,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144.0,2.647684751,9.616623264612903E-7,144.0,56.94444444444444,-0.24702447788009652,144.0,1426264.0,100.0,145.75999999999996,1.3271158064149349,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
148.0,2.695978809,9.794816514713011E-7,148.0,57.432432432432435,0.08572653236176299,148.0,1426264.0,100.0,149.47000000000003,1.3162124264400303,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
152.0,2.745090228,9.976025626787175E-7,152.0,57.23684210526315,1.081297557068475,152.0,1426264.0,100.0,153.79000000000005,1.3255298159337243,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156.0,2.803172818,1.019033616342363E-6,156.0,57.05128205128205,0.7972665148063693,156.0,1426264.0,100.0,158.51999999999995,1.3629646830614233,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,2.853931671,1.0377623903613605E-6,160.0,56.25,-1.1560693641618767,160.0,1426264.0,100.0,163.11000000000004,1.3748017304250815,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164.0,2.902616596,1.0557259357247052E-6,164.0,56.70731707317073,-1.3579387186629588,164.0,1426264.0,100.0,164.68,1.3975360713438028,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,2.953543788,1.0745168227132291E-6,168.0,57.14285714285714,-1.5446608462055242,168.0,1426264.0,100.0,166.77999999999994,1.4098914636928395,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
172.0,3.008276566,1.0947118777629159E-6,172.0,56.395348837209305,-2.805227924768895,172.0,1426264.0,100.0,173.72000000000008,1.460599019221051,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,3.063328,1.1150245090748913E-6,176.0,56.81818181818182,-1.7805509054938253,176.0,1426264.0,100.0,176.60000000000005,1.476413891765443,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,3.116114045,1.1345012673097874E-6,180.0,56.666666666666664,-1.3425725422260653,180.0,1426264.0,100.0,181.52000000000007,1.5328378646131886,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
184.0,3.16764279,1.1535141126273825E-6,184.0,57.065217391304344,0.6289308176100529,184.0,1426264.0,100.0,186.52999999999994,1.5594906575901994,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
188.0,3.220614995,1.1730595593444904E-6,188.0,56.38297872340425,0.012971851083149922,188.0,1426264.0,100.0,192.21,1.6070736941988248,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
192.0,3.271064525,1.1916742007496978E-6,192.0,56.770833333333336,1.7751479289940828,192.0,1426264.0,100.0,194.47999999999993,1.6094092020980806,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
