learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
4.0,0.2898542,9.173004843418797E-8,4.0,100.0,?,4.0,1223304.0,100.0,2.059999999999999,0.14758664635331406,6522.399999999998,269.29625907449065,0.8499999999999998,0.03588702812826368,0.8499999999999998,0.03588702812826368,0.8499999999999998,0.03588702812826368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.549908898,1.8755469446508005E-7,8.0,62.5,0.0,8.0,1424344.0,100.0,8.29,0.3229582329063933,8532.800000000003,10.972582911856964,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.645653186,2.2286614037859356E-7,12.0,41.66666666666667,-31.250000000000007,12.0,1425624.0,100.0,11.779999999999996,0.39404147861448147,8545.599999999999,6.400000000000034,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.734442727,2.556126064101462E-7,16.0,43.75,-12.5,16.0,1425624.0,100.0,14.939999999999998,0.424697158888162,8545.599999999999,6.400000000000034,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.850892373,2.9857967472680535E-7,20.0,45.0,-12.244897959183673,20.0,1426264.0,100.0,20.450000000000006,0.5240431395612504,8552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,0.96429557,3.401689673515513E-7,24.0,45.83333333333333,-13.043478260869579,24.0,1417616.0,100.0,25.159999999999993,0.5542708377825426,8465.520000000002,80.34508964649321,1.0399999999999998,0.028141058827257943,1.02,0.014070529413628971,1.02,0.014070529413628971,0.02,0.014070529413628971,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.065472943,3.774749755834954E-7,28.0,50.0,-8.287292817679548,28.0,1425272.0,100.0,26.830000000000002,0.5624719970582958,8541.919999999998,7.321197672070831,1.0399999999999998,0.028141058827257943,1.02,0.014070529413628971,1.02,0.014070529413628971,0.02,0.014070529413628971,0.0,0.0,0.0,0.0,1.0,0.0
32.0,1.16493819,4.1436954253019774E-7,32.0,50.0,-10.344827586206897,32.0,1433816.0,100.0,32.900000000000006,0.6107620674455013,8627.200000000004,72.58135665123193,1.0399999999999998,0.028141058827257943,1.02,0.014070529413628971,1.02,0.014070529413628971,0.02,0.014070529413628971,0.0,0.0,0.0,0.0,1.0,0.0
36.0,1.255273994,4.4787773226366493E-7,36.0,52.77777777777778,-7.746478873239419,36.0,1433816.0,100.0,37.16000000000001,0.6398737249163962,8627.200000000004,72.58135665123193,1.0399999999999998,0.028141058827257943,1.02,0.014070529413628971,1.02,0.014070529413628971,0.02,0.014070529413628971,0.0,0.0,0.0,0.0,1.0,0.0
40.0,1.346475302,4.817220627846674E-7,40.0,57.49999999999999,-3.0303030303030742,40.0,1434456.0,100.0,38.58999999999998,0.6712110267451231,8633.600000000002,78.97746514038036,1.0399999999999998,0.028141058827257943,1.02,0.014070529413628971,1.02,0.014070529413628971,0.02,0.014070529413628971,0.0,0.0,0.0,0.0,1.0,0.0
