learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
4.0,0.170918525,2.9493983619691177E-8,4.0,50.0,0.0,4.0,667032.0,50.0,14.0
8.0,0.322408007,5.7524865542159724E-8,8.0,62.5,14.285714285714285,8.0,715248.0,50.0,49.0
12.0,0.382169187,6.865847902353232E-8,12.0,50.0,0.0,12.0,720144.0,50.0,38.0
16.0,0.439640462,7.937499458561547E-8,16.0,43.75,-12.5,16.0,720784.0,50.0,33.0
20.0,0.490851629,8.892420448408979E-8,20.0,40.0,-23.711340206185564,20.0,720784.0,50.0,29.0
24.0,0.54120716,9.831386621681559E-8,24.0,50.0,-11.627906976744196,24.0,720784.0,50.0,26.0
28.0,0.592045919,1.0779363418751913E-7,28.0,57.14285714285714,-4.347826086956533,28.0,720784.0,50.0,25.0
32.0,0.642273302,1.1715940050403484E-7,32.0,56.25,-6.161137440758294,32.0,720784.0,50.0,27.0
36.0,0.69227193,1.2648251148503895E-7,36.0,50.0,-16.12903225806451,36.0,720784.0,50.0,27.0
40.0,0.743788756,1.3608871680305444E-7,40.0,52.5,-2.1505376344086042,40.0,720784.0,50.0,32.0
44.0,0.793590693,1.4537515133721756E-7,44.0,56.81818181818182,2.7906976744186203,44.0,720784.0,50.0,31.0
48.0,0.856068791,1.5702527584735512E-7,48.0,58.333333333333336,3.2258064516129177,48.0,720784.0,50.0,25.0
52.0,0.901865548,1.6556487513558113E-7,52.0,55.769230769230774,-1.7006802721088394,52.0,720784.0,50.0,31.0
56.0,0.946518042,1.7389110675018904E-7,56.0,53.57142857142857,-5.813953488372113,56.0,720784.0,50.0,25.0
60.0,0.988855311,1.817856245261493E-7,60.0,55.00000000000001,2.877697841726637,60.0,720784.0,50.0,27.0
64.0,1.032434411,1.8991170322079422E-7,64.0,54.6875,2.7253668763102725,64.0,720784.0,50.0,28.0
68.0,1.07423726,1.9770656912289771E-7,68.0,55.88235294117647,6.934306569343056,68.0,720784.0,50.0,24.0
72.0,1.109282506,2.0424136279392784E-7,72.0,54.166666666666664,3.0995106035889086,72.0,720784.0,50.0,28.0
76.0,1.138932835,2.0977018066249586E-7,76.0,52.63157894736842,-0.29325513196480657,76.0,720784.0,50.0,28.0
80.0,1.170822023,2.1571647260510884E-7,80.0,53.75,0.8042895442359079,80.0,720784.0,50.0,29.0
84.0,1.200543538,2.2125856433747753E-7,84.0,54.761904761904766,3.096539162112942,84.0,720784.0,50.0,30.0
88.0,1.229982083,2.2674789140769802E-7,88.0,54.54545454545454,4.347826086956507,88.0,720784.0,50.0,31.0
92.0,1.258364028,2.3204019709040105E-7,92.0,53.2608695652174,1.4940239043824728,92.0,720784.0,50.0,31.0
96.0,1.287748681,2.3751947506293452E-7,96.0,54.166666666666664,2.2674687644608795,96.0,720784.0,50.0,29.0
100.0,1.319174289,2.4337932447779306E-7,100.0,55.00000000000001,3.017241379310348,100.0,720784.0,50.0,31.0
104.0,1.349328686,2.49002134563627E-7,104.0,55.769230769230774,3.5483870967741993,104.0,720784.0,50.0,26.0
108.0,1.377751413,2.5430204475723835E-7,108.0,55.55555555555556,2.7027027027027146,108.0,720784.0,50.0,34.0
112.0,1.40605123,2.5957903625054705E-7,112.0,55.35714285714286,1.7888460189407311,112.0,720784.0,50.0,35.0
116.0,1.434218648,2.648313396549991E-7,116.0,54.310344827586206,-0.4575163398692723,116.0,720784.0,50.0,35.0
120.0,1.483060182,2.7393869039999325E-7,120.0,52.5,-3.762135922330078,120.0,720784.0,50.0,36.0
124.0,1.510855696,2.7912164585621204E-7,124.0,53.2258064516129,-0.11135857461026177,124.0,720784.0,50.0,34.0
128.0,1.534824295,2.8359100666619635E-7,128.0,53.125,0.8264462809917356,128.0,720784.0,50.0,33.0
132.0,1.557636436,2.8784472583339657E-7,132.0,54.54545454545454,2.6548672566371594,132.0,720784.0,50.0,35.0
136.0,1.581475112,2.922898602476489E-7,136.0,55.14705882352941,5.426356589147291,136.0,720784.0,50.0,37.0
140.0,1.604726681,2.9662551838349763E-7,140.0,55.00000000000001,5.364806866952807,140.0,720784.0,50.0,36.0
144.0,1.626365623,3.0066047425823707E-7,144.0,54.861111111111114,5.910735826296749,144.0,720784.0,50.0,37.0
148.0,1.647956262,3.0468642320123195E-7,148.0,54.729729729729726,5.3093964858670635,148.0,720784.0,50.0,37.0
152.0,1.670498979,3.0888990359282123E-7,152.0,53.94736842105263,3.640644810722699,152.0,720784.0,50.0,35.0
156.0,1.691923554,3.128848870240835E-7,156.0,53.205128205128204,2.0639834881320827,156.0,720784.0,50.0,34.0
160.0,1.713272402,3.16865749843371E-7,160.0,53.75,3.6615134255492268,160.0,720784.0,50.0,32.0
164.0,1.743151114,3.224371536816015E-7,164.0,53.65853658536586,3.1696706028589228,164.0,720784.0,50.0,33.0
168.0,1.766014796,3.2670048356178114E-7,168.0,53.57142857142857,3.1914893617021196,168.0,720784.0,50.0,34.0
172.0,1.791008258,3.313609478454313E-7,172.0,53.48837209302325,2.7286865545030325,172.0,720784.0,50.0,33.0
176.0,1.816017679,3.360243879613012E-7,176.0,53.97727272727273,3.204780010863669,176.0,720784.0,50.0,33.0
180.0,1.838348995,3.401884489715328E-7,180.0,53.888888888888886,2.734374999999998,180.0,720784.0,50.0,32.0
184.0,1.859438088,3.441208759678839E-7,184.0,54.891304347826086,4.04624277456648,184.0,720784.0,50.0,30.0
188.0,1.881723631,3.482764018087317E-7,188.0,55.85106382978723,5.269548324429336,188.0,720784.0,50.0,30.0
192.0,1.908296276,3.532313321398965E-7,192.0,54.6875,3.0865630076583996,192.0,720784.0,50.0,34.0
196.0,1.931060868,3.574761849717238E-7,196.0,55.10204081632652,3.9643652561247125,196.0,720784.0,50.0,33.0
200.0,1.953739712,3.617050486023994E-7,200.0,54.50000000000001,2.6737967914438645,200.0,720784.0,50.0,33.0
204.0,1.975654573,3.6579145435809893E-7,204.0,55.392156862745104,3.793532338308464,204.0,720784.0,50.0,32.0
208.0,1.99851871,3.7005486908091657E-7,208.0,54.807692307692314,3.0927835051546517,208.0,720784.0,50.0,36.0
212.0,2.020309416,3.7411812398447975E-7,212.0,54.24528301886793,1.889312977099257,212.0,720784.0,50.0,33.0
216.0,2.041472573,3.780643614976254E-7,216.0,53.70370370370371,0.7352941176470595,216.0,720784.0,50.0,32.0
220.0,2.063590663,3.821886628236105E-7,220.0,53.63636363636364,0.3463895550226524,220.0,720784.0,50.0,32.0
224.0,2.085218438,3.8622153641760565E-7,224.0,54.01785714285714,0.6716032374720077,224.0,720784.0,50.0,33.0
228.0,2.106554445,3.902000048098279E-7,228.0,53.50877192982456,-0.39880358923229925,228.0,720784.0,50.0,34.0
232.0,2.128318391,3.942582698474722E-7,232.0,53.44827586206896,0.2547770700636792,232.0,720784.0,50.0,35.0
236.0,2.150071329,3.9831448225267864E-7,236.0,52.54237288135594,-1.443045747620501,236.0,720784.0,50.0,36.0
240.0,2.171201757,4.02254616876375E-7,240.0,52.5,-1.7629993305065734,240.0,720784.0,50.0,36.0
244.0,2.192235077,4.0617664402997957E-7,244.0,52.04918032786885,-2.278589853826324,244.0,720784.0,50.0,37.0
248.0,2.213272012,4.100993452630048E-7,248.0,52.41935483870967,-1.922541097798846,248.0,720784.0,50.0,34.0
252.0,2.234534673,4.1406413702198E-7,252.0,52.38095238095239,-1.3472752865473487,252.0,720784.0,50.0,33.0
256.0,2.256281404,4.181191920244301E-7,256.0,51.953125,-2.2736130960114327,256.0,720784.0,50.0,35.0
