learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
4.0,0.013573053,1.9947044561244547E-9,4.0,100.0,?,4.0,568072.0,100.0,0.0
8.0,0.076010858,1.2635201831642125E-8,8.0,50.0,-23.076923076923077,8.0,658744.0,100.0,0.0
12.0,0.107702115,1.8100487005443626E-8,12.0,41.66666666666667,-23.52941176470588,12.0,666616.0,100.0,0.0
16.0,0.135494716,2.289343321728624E-8,16.0,50.0,0.0,16.0,666616.0,100.0,0.0
20.0,0.16076205,2.7250886943141624E-8,20.0,55.00000000000001,8.163265306122456,20.0,666616.0,100.0,0.0
24.0,0.187309941,3.182917789190387E-8,24.0,54.166666666666664,4.347826086956506,24.0,666616.0,100.0,0.0
28.0,0.211820564,3.6056133751765724E-8,28.0,53.57142857142857,1.0869565217391197,28.0,666616.0,100.0,0.0
32.0,0.236722366,4.0350550008954274E-8,32.0,56.25,3.4482758620689653,32.0,666616.0,100.0,0.0
36.0,0.260701201,4.448579688194932E-8,36.0,52.77777777777778,-4.081632653061218,36.0,666616.0,100.0,0.0
40.0,0.28468235,4.862144281358354E-8,40.0,57.49999999999999,1.1627906976744196,40.0,666616.0,100.0,0.0
44.0,0.308089498,5.265809995613164E-8,44.0,59.09090909090909,1.980198019802,44.0,666616.0,100.0,0.0
48.0,0.331132226,5.663191139890088E-8,48.0,58.333333333333336,-0.6289308176100269,48.0,666616.0,100.0,0.0
52.0,0.3547039,6.069694171416677E-8,52.0,59.61538461538461,2.7491236800241962E-14,52.0,666616.0,100.0,0.0
56.0,0.377459609,6.462125557199327E-8,56.0,62.5,2.6490066225165307,56.0,666616.0,100.0,0.0
60.0,0.40017064,6.853786452840185E-8,60.0,63.33333333333333,2.7982326951398786,60.0,666616.0,100.0,0.0
64.0,0.422793652,7.243929425302064E-8,64.0,62.5,1.1583011583011582,64.0,666616.0,100.0,0.0
68.0,0.445294021,7.63195736973091E-8,68.0,63.23529411764706,1.3921113689094748,68.0,666616.0,100.0,0.0
72.0,0.468211851,8.027184597589695E-8,72.0,63.888888888888886,1.5772870662460112,72.0,666616.0,100.0,0.0
76.0,0.489834305,8.400072543521927E-8,76.0,64.47368421052632,1.7241379310344818,76.0,666616.0,100.0,0.0
80.0,0.512360323,8.788542815307568E-8,80.0,63.74999999999999,0.6849315068493307,80.0,666616.0,100.0,0.0
84.0,0.534954336,9.178185688310611E-8,84.0,63.095238095238095,-0.153846153846149,84.0,666616.0,100.0,0.0
88.0,0.55707322,9.559634769949232E-8,88.0,60.22727272727273,-2.5299600532622977,88.0,666616.0,100.0,0.0
92.0,0.580168106,9.957915399986835E-8,92.0,60.86956521739131,-2.1591610117211437,92.0,666616.0,100.0,0.0
96.0,0.601918791,1.0333014741267386E-7,96.0,59.375,-3.1973539140022114,96.0,666616.0,100.0,0.0
100.0,0.625453726,1.0738884193911319E-7,100.0,59.0,-3.4308779011099753,100.0,666616.0,100.0,0.0
104.0,0.648282786,1.1132580547293025E-7,104.0,59.61538461538461,-3.067484662576705,104.0,666616.0,100.0,0.0
108.0,0.67147418,1.153252549674072E-7,108.0,58.333333333333336,-3.757472245943659,108.0,666616.0,100.0,0.0
112.0,0.694269881,1.192564656070392E-7,112.0,58.92857142857143,-3.412284223203511,112.0,666616.0,100.0,0.0
116.0,0.715701998,1.2295252068252198E-7,116.0,59.48275862068966,-3.101361573373698,116.0,666616.0,100.0,0.0
120.0,0.738449332,1.2687539023779745E-7,120.0,60.0,-2.820421278114972,120.0,666616.0,100.0,0.0
124.0,0.7933141,1.363370409105511E-7,124.0,60.483870967741936,-2.5658338960162173,124.0,666616.0,100.0,0.0
128.0,0.815574952,1.4017601468151228E-7,128.0,60.15625,-2.7061044682190056,128.0,666616.0,100.0,0.0
132.0,0.840481416,1.444712349194164E-7,132.0,59.09090909090909,-3.1548480463096653,132.0,666616.0,100.0,0.0
136.0,0.862519244,1.4827174730146512E-7,136.0,58.08823529411765,-3.5256410256410464,136.0,666616.0,100.0,0.0
140.0,0.882877881,1.517826764184423E-7,140.0,57.85714285714286,-3.5606820461384316,140.0,666616.0,100.0,0.0
144.0,0.901028959,1.5491290307628405E-7,144.0,58.333333333333336,-3.324563501554655,144.0,666616.0,100.0,0.0
148.0,0.919256058,1.5805623986239234E-7,148.0,58.78378378378378,-3.1064412973960454,148.0,666616.0,100.0,0.0
152.0,0.938431014,1.613630384136488E-7,152.0,57.89473684210527,-3.3793836344314174,152.0,666616.0,100.0,0.0
156.0,0.9563688,1.6445648200525592E-7,156.0,57.692307692307686,-3.3942558746736164,156.0,666616.0,100.0,0.0
160.0,0.974289065,1.6754690402969926E-7,160.0,58.12500000000001,-3.195995379283782,160.0,666616.0,100.0,0.0
164.0,0.992035061,1.7060727266175258E-7,164.0,59.14634146341463,-2.8068862275449034,164.0,666616.0,100.0,0.0
168.0,1.010397627,1.7377397127874817E-7,168.0,60.11904761904761,-2.4390243902438895,168.0,666616.0,100.0,0.0
172.0,1.028497326,1.7689533742067714E-7,172.0,59.883720930232556,-2.487046632124367,172.0,666616.0,100.0,0.0
176.0,1.046026926,1.7991838768916825E-7,176.0,60.22727272727273,-2.3425818242232976,176.0,666616.0,100.0,0.0
180.0,1.063696683,1.8296560859797522E-7,180.0,60.0,-2.3858429451730423,180.0,666616.0,100.0,0.0
184.0,1.081402221,1.8601900008464233E-7,184.0,59.78260869565217,-2.422145328719756,184.0,666616.0,100.0,0.0
188.0,1.099537537,1.8914650852196953E-7,188.0,59.57446808510638,-2.4523160762942893,188.0,666616.0,100.0,0.0
192.0,1.117617923,1.9226454405910233E-7,192.0,59.375,-2.4770767756945076,192.0,666616.0,100.0,0.0
196.0,1.135974673,1.9543023968342484E-7,196.0,59.693877551020414,-2.3532522474880677,196.0,666616.0,100.0,0.0
200.0,1.153856572,1.9851404533632513E-7,200.0,60.0,-2.2364217252396545,200.0,666616.0,100.0,0.0
204.0,1.172120713,2.016637701648329E-7,204.0,60.29411764705882,-2.1260815822002477,204.0,666616.0,100.0,0.0
208.0,1.190302618,2.0479931306324073E-7,208.0,60.57692307692307,-2.0217729393468407,208.0,666616.0,100.0,0.0
212.0,1.208136918,2.078749100764841E-7,212.0,60.37735849056604,-2.0515759312320725,212.0,666616.0,100.0,0.0
216.0,1.226093798,2.1097164650545355E-7,216.0,60.64814814814815,-1.9546868058640272,216.0,666616.0,100.0,0.0
220.0,1.244431749,2.1413410016635435E-7,220.0,59.54545454545455,-2.2134057214449903,220.0,666616.0,100.0,0.0
224.0,1.26209488,2.1718017839471915E-7,224.0,59.82142857142857,-2.1173133421132593,224.0,666616.0,100.0,0.0
228.0,1.279927115,2.202554192903783E-7,228.0,60.08771929824561,-2.0259638080252005,228.0,666616.0,100.0,0.0
232.0,1.297645304,2.2331099249305412E-7,232.0,60.3448275862069,-1.9390581717451654,232.0,666616.0,100.0,0.0
236.0,1.316626785,2.2658442549970623E-7,236.0,60.59322033898306,-1.856320772229432,236.0,666616.0,100.0,0.0
240.0,1.334364586,2.2964338087093502E-7,240.0,60.416666666666664,-1.8766756032171366,240.0,666616.0,100.0,0.0
244.0,1.353267807,2.3290331762473412E-7,244.0,61.065573770491795,-1.7023517023517218,244.0,666616.0,100.0,0.0
248.0,1.37128526,2.360105001120228E-7,248.0,61.29032258064516,-1.6306667805003223,248.0,666616.0,100.0,0.0
