learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
4.0,0.186912722,3.230464420016441E-8,4.0,100.0,?,4.0,668080.0,50.0,0.0
8.0,0.330318495,5.901159904405681E-8,8.0,62.5,0.0,8.0,719880.0,50.0,0.0
12.0,0.432544928,7.80734897033601E-8,12.0,58.333333333333336,11.764705882352947,12.0,720784.0,50.0,0.0
16.0,0.483404157,8.755707466043738E-8,16.0,56.25,12.5,16.0,720784.0,50.0,0.0
20.0,0.532469824,9.670621888891482E-8,20.0,50.0,0.9900990099009802,20.0,720784.0,50.0,0.0
24.0,0.582308834,1.0599956632663598E-7,24.0,50.0,0.0,24.0,720784.0,50.0,0.0
28.0,0.631626561,1.1519571151189711E-7,28.0,50.0,-1.5544041450777277,28.0,720784.0,50.0,0.0
32.0,0.681724488,1.2453733851292687E-7,32.0,53.125,1.639344262295082,32.0,720784.0,50.0,0.0
36.0,0.731070781,1.3373881032411629E-7,36.0,52.77777777777778,-0.6578947368421083,36.0,720784.0,50.0,0.0
40.0,0.776205289,1.421549218053557E-7,40.0,57.49999999999999,5.027932960893847,40.0,720784.0,50.0,0.0
44.0,0.810969107,1.4863723834687016E-7,44.0,59.09090909090909,5.714285714285721,44.0,720784.0,50.0,0.0
48.0,0.855882797,1.5701217448384605E-7,48.0,60.416666666666664,6.1728395061728305,48.0,720784.0,50.0,0.0
52.0,0.885527505,1.625399442195168E-7,52.0,59.61538461538461,3.5335689045936314,52.0,720784.0,50.0,0.0
56.0,0.915195179,1.6807199636403264E-7,56.0,62.5,6.36942675159235,56.0,720784.0,50.0,0.0
60.0,0.94564392,1.7374969199149767E-7,60.0,63.33333333333333,6.3829787234042605,60.0,720784.0,50.0,0.0
64.0,0.973893987,1.7901740673482627E-7,64.0,62.5,4.35865504358655,64.0,720784.0,50.0,0.0
68.0,1.001284953,1.8412492720308612E-7,68.0,63.23529411764706,4.49438202247192,68.0,720784.0,50.0,0.0
72.0,1.028753667,1.8924694513380737E-7,72.0,62.5,2.409638554216878,72.0,720784.0,50.0,0.0
76.0,1.054882166,1.9411905674343103E-7,76.0,63.1578947368421,2.5641025641025683,76.0,720784.0,50.0,0.0
80.0,1.081143854,1.99016003751107E-7,80.0,63.74999999999999,8.227848101265815,80.0,720784.0,50.0,0.0
84.0,1.10805714,2.040344525021708E-7,84.0,61.904761904761905,4.815864022662904,84.0,720784.0,50.0,0.0
88.0,1.133311611,2.0874358643879701E-7,88.0,61.36363636363637,8.108108108108127,88.0,720784.0,50.0,0.0
92.0,1.159994969,2.1371916112816377E-7,92.0,61.95652173913043,9.85442329227325,92.0,720784.0,50.0,0.0
96.0,1.186080057,2.1858317800425203E-7,96.0,61.458333333333336,11.64179104477612,96.0,720784.0,50.0,0.0
100.0,1.212666984,2.235407714619136E-7,100.0,61.0,11.604714415231191,100.0,720784.0,50.0,0.0
104.0,1.242629211,2.2912774811973385E-7,104.0,60.57692307692307,10.193765796124664,104.0,720784.0,50.0,0.0
108.0,1.272522614,2.3470189134960169E-7,108.0,61.111111111111114,13.036809815950932,108.0,720784.0,50.0,0.0
112.0,1.29793446,2.3944037058327557E-7,112.0,59.82142857142857,10.192444761225936,112.0,720784.0,50.0,0.0
116.0,1.321667804,2.4386586402006246E-7,116.0,59.48275862068966,9.012016021361823,116.0,720784.0,50.0,0.0
120.0,1.367926099,2.524915250697422E-7,120.0,60.0,9.291338582677158,120.0,720784.0,50.0,0.0
124.0,1.391891527,2.5696029459180313E-7,124.0,60.483870967741936,10.489098408956979,124.0,720784.0,50.0,0.0
128.0,1.416578065,2.6156352757473166E-7,128.0,60.15625,10.47723532638508,128.0,720784.0,50.0,0.0
132.0,1.438900607,2.657259525205547E-7,132.0,59.09090909090909,8.545034642032347,132.0,720784.0,50.0,0.0
136.0,1.461412472,2.69923680021885E-7,136.0,60.29411764705882,12.73764258555132,136.0,720784.0,50.0,0.0
140.0,1.483984052,2.7413254242020144E-7,140.0,60.0,12.578055307760911,140.0,720784.0,50.0,0.0
144.0,1.504793874,2.7801289449708123E-7,144.0,59.72222222222222,11.61904761904761,144.0,720784.0,50.0,0.0
148.0,1.525490996,2.818722317051619E-7,148.0,60.13513513513513,11.869196608800971,148.0,720784.0,50.0,0.0
152.0,1.549193782,2.862920270730866E-7,152.0,59.86842105263158,11.963539688568185,152.0,720784.0,50.0,0.0
156.0,1.57369796,2.9086125587257046E-7,156.0,58.97435897435898,10.71364693257021,156.0,720784.0,50.0,0.0
160.0,1.598326563,2.954536858703714E-7,160.0,57.49999999999999,7.734056987788311,160.0,720784.0,50.0,0.0
164.0,1.622862005,3.000287443846568E-7,164.0,58.536585365853654,8.948399738732844,164.0,720784.0,50.0,0.0
168.0,1.647319247,3.045892211532448E-7,168.0,59.523809523809526,10.075566750629726,168.0,720784.0,50.0,0.0
172.0,1.678920431,3.104818097571387E-7,172.0,58.720930232558146,8.455772113943045,172.0,720784.0,50.0,0.0
176.0,1.705635896,3.1546337135327155E-7,176.0,59.65909090909091,10.255673656995109,176.0,720784.0,50.0,0.0
180.0,1.731759251,3.2033452377491736E-7,180.0,58.333333333333336,7.7616835200874545,180.0,720784.0,50.0,0.0
184.0,1.758283941,3.252805120649706E-7,184.0,58.152173913043484,7.78443113772455,184.0,720784.0,50.0,0.0
188.0,1.783586329,3.2999858095694956E-7,188.0,57.446808510638306,6.362843979579136,188.0,720784.0,50.0,0.0
192.0,1.813712101,3.356160534152823E-7,192.0,57.291666666666664,5.893604303646127,192.0,720784.0,50.0,0.0
196.0,1.840014027,3.4052050349563567E-7,196.0,56.63265306122449,4.428636989444702,196.0,720784.0,50.0,0.0
200.0,1.866032052,3.453720153127507E-7,200.0,56.49999999999999,3.867403314917118,200.0,720784.0,50.0,0.0
204.0,1.892332294,3.5027615138210974E-7,204.0,56.372549019607845,3.3226837060702974,204.0,720784.0,50.0,0.0
208.0,1.91966036,3.553719430549173E-7,208.0,56.730769230769226,3.59460294572047,208.0,720784.0,50.0,0.0
212.0,1.94491994,3.600820296531646E-7,212.0,56.60377358490566,3.7219863757527936,212.0,720784.0,50.0,0.0
216.0,1.976341531,3.659411300287333E-7,216.0,56.481481481481474,3.2036613272311185,216.0,720784.0,50.0,0.0
220.0,2.002668633,3.7079567891637684E-7,220.0,56.81818181818182,5.292731557005621,220.0,712768.0,50.0,0.0
224.0,2.03224963,3.763136501456072E-7,224.0,57.14285714285714,5.989332867010582,224.0,721056.0,50.0,0.0
228.0,2.056769581,3.8088754547983607E-7,228.0,57.01754385964912,5.482233502538068,228.0,721056.0,50.0,0.0
232.0,2.081406162,3.8548319670635166E-7,232.0,57.327586206896555,5.7142857142857135,232.0,721056.0,50.0,0.0
236.0,2.105848547,3.900426230571191E-7,236.0,57.6271186440678,5.931122448979604,236.0,721056.0,50.0,0.0
240.0,2.130399211,3.9462224752381647E-7,240.0,57.08333333333333,4.849884526558887,240.0,721056.0,50.0,0.0
244.0,2.154637869,3.991436711079896E-7,244.0,57.377049180327866,4.944560982918792,244.0,721056.0,50.0,0.0
248.0,2.179038802,4.036953650978973E-7,248.0,57.66129032258065,5.14352324056536,248.0,721056.0,50.0,0.0
252.0,2.218196301,4.1099971501181726E-7,252.0,57.53968253968254,5.349620893007586,252.0,721056.0,50.0,0.0
256.0,2.252296221,4.1736063575695163E-7,256.0,57.8125,5.541510078578749,256.0,721056.0,50.0,0.0
260.0,2.287055583,4.2384456729794745E-7,260.0,58.07692307692308,5.59626915389742,260.0,721056.0,50.0,0.0
264.0,2.324925926,4.309088140883814E-7,264.0,58.333333333333336,5.76323987538941,264.0,721056.0,50.0,0.0
268.0,2.354900743,4.365002475957593E-7,268.0,58.2089552238806,5.419712629190831,268.0,721056.0,50.0,0.0
272.0,2.375004254,4.402503103574883E-7,272.0,58.08823529411765,5.093046033300689,272.0,721056.0,50.0,0.0
276.0,2.394527297,4.438920939519029E-7,276.0,57.971014492753625,4.782298358315493,276.0,721056.0,50.0,0.0
280.0,2.414131551,4.475490264597059E-7,280.0,58.57142857142858,5.405405405405419,280.0,721056.0,50.0,0.0
284.0,2.434421134,4.513337986648849E-7,284.0,58.098591549295776,4.649588082609171,284.0,721056.0,50.0,0.0
288.0,2.45491699,4.5515704856164965E-7,288.0,58.333333333333336,4.803878360511256,288.0,721056.0,50.0,0.0
