learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.908565467,7.393999913784778E-7,2.0,50.0,0.0,2.0,3145760.0,100.0,0.0
4.0,1.266584562,1.0689101050152546E-6,4.0,25.0,0.0,4.0,3557664.0,100.0,0.0
6.0,1.466779002,1.2594691105876532E-6,6.0,33.33333333333333,-20.0,6.0,3679424.0,100.0,0.0
8.0,1.654761583,1.4393377381519478E-6,8.0,50.0,0.0,8.0,3698624.0,100.0,0.0
10.0,1.79955362,1.5780961258599765E-6,10.0,40.0,-19.999999999999996,10.0,3704392.0,100.0,0.0
12.0,1.929616952,1.7028203244457003E-6,12.0,41.66666666666667,-16.666666666666664,12.0,3706792.0,100.0,0.0
14.0,2.068052538,1.8355730938395756E-6,14.0,35.714285714285715,-28.57142857142857,14.0,3706792.0,100.0,0.0
16.0,2.198952085,1.961099180583296E-6,16.0,43.75,-12.5,16.0,3706792.0,100.0,0.0
18.0,2.336420414,2.0929243991271634E-6,18.0,44.44444444444444,-11.111111111111116,18.0,3706792.0,100.0,0.0
20.0,2.469873999,2.220899679950484E-6,20.0,50.0,0.0,20.0,3706792.0,100.0,0.0
22.0,2.601304849,2.346935259568654E-6,22.0,50.0,0.0,22.0,3706792.0,100.0,0.0
24.0,2.727285794,2.4677446541964736E-6,24.0,50.0,0.0,24.0,3706792.0,100.0,0.0
26.0,2.857738849,2.592842577552261E-6,26.0,50.0,1.1695906432748597,26.0,3706792.0,100.0,0.0
28.0,2.98330397,2.713253217862817E-6,28.0,53.57142857142857,8.08080808080808,28.0,3706792.0,100.0,0.0
30.0,3.10924743,2.8340266662595807E-6,30.0,50.0,0.8810572687224726,30.0,3706792.0,100.0,0.0
32.0,3.234013461,2.9536710194212894E-6,32.0,46.875,-6.25,32.0,3706792.0,100.0,0.0
34.0,3.366293223,3.0805206629823225E-6,34.0,47.05882352941176,-5.517241379310341,34.0,3706792.0,100.0,0.0
36.0,3.475581693,3.185322813025733E-6,36.0,47.22222222222222,-5.555555555555558,36.0,3706792.0,100.0,0.0
38.0,3.587299518,3.292454592418138E-6,38.0,44.73684210526316,-10.526315789473683,38.0,3706792.0,100.0,0.0
40.0,3.69716934,3.397814229811605E-6,40.0,47.5,-5.000000000000004,40.0,3706792.0,100.0,0.0
42.0,3.805713544,3.50190266616679E-6,42.0,50.0,-0.45558086560365263,42.0,3706792.0,100.0,0.0
44.0,3.90809289,3.600079313537169E-6,44.0,52.27272727272727,3.3472803347280227,44.0,3706792.0,100.0,0.0
46.0,4.035154347,3.721924864867958E-6,46.0,52.17391304347826,2.8790786948176628,46.0,3706792.0,100.0,0.0
48.0,4.164605442,3.846061958940862E-6,48.0,50.0,-1.4084507042253471,48.0,3706792.0,100.0,0.0
50.0,4.291956125,3.968184863469554E-6,50.0,48.0,-5.3484602917341935,50.0,3706792.0,100.0,0.0
52.0,4.421999076,4.092889517700598E-6,52.0,50.0,-2.2692889561270864,52.0,3706792.0,100.0,0.0
54.0,4.55326479,4.218766740194274E-6,54.0,51.85185185185185,0.42553191489360365,54.0,3706792.0,100.0,0.0
56.0,4.68814121,4.348106448272885E-6,56.0,53.57142857142857,5.331599479843941,56.0,3706792.0,100.0,0.0
58.0,4.81024662,4.465199399614707E-6,58.0,55.172413793103445,7.711138310893503,58.0,3706792.0,100.0,0.0
60.0,4.948253069,4.597540648193412E-6,60.0,55.00000000000001,6.89655172413793,60.0,3706792.0,100.0,0.0
62.0,5.085355158,4.729014660983993E-6,62.0,56.451612903225815,8.922742110990226,62.0,3706792.0,100.0,0.0
64.0,5.224558439,4.862503611299585E-6,64.0,56.25,8.19672131147541,64.0,3706792.0,100.0,0.0
66.0,5.374617462,5.006402672598673E-6,66.0,57.57575757575758,9.941520467836265,66.0,3706792.0,100.0,0.0
68.0,5.516358124,5.142324843768023E-6,68.0,58.82352941176471,14.079422382671487,68.0,3706792.0,100.0,0.0
70.0,5.641970162,5.262780475123596E-6,70.0,57.14285714285714,10.79014443500424,70.0,3706792.0,100.0,0.0
72.0,5.756238753,5.372358310912047E-6,72.0,58.333333333333336,12.408759124087593,72.0,3706792.0,100.0,0.0
74.0,5.855237294,5.467292936201986E-6,74.0,58.108108108108105,11.70130869899922,74.0,3706792.0,100.0,0.0
76.0,5.953618725,5.561635784017016E-6,76.0,57.89473684210527,11.046086320409671,76.0,3706792.0,100.0,0.0
78.0,6.050545055,5.654583263104399E-6,78.0,56.41025641025641,7.980569049271348,78.0,3706792.0,100.0,0.0
80.0,6.147385956,5.747448820074325E-6,80.0,57.49999999999999,10.52631578947367,80.0,3706792.0,100.0,0.0
82.0,6.243735682,5.839843364905024E-6,82.0,57.3170731707317,9.8051539912005,82.0,3706792.0,100.0,0.0
84.0,6.345083995,5.9370313034466886E-6,84.0,57.14285714285714,9.189189189189193,84.0,3706792.0,100.0,0.0
86.0,6.469129306,6.055984522350783E-6,86.0,56.97674418604651,9.653605905735368,86.0,3706792.0,100.0,0.0
88.0,6.59959374,6.181093357595678E-6,88.0,56.81818181818182,9.1304347826087,88.0,3706792.0,100.0,0.0
90.0,6.726787896,6.303066160598199E-6,90.0,55.55555555555556,6.687402799377927,90.0,3706792.0,100.0,0.0
92.0,6.851215602,6.422386077088652E-6,92.0,55.434782608695656,7.185039370078751,92.0,3706792.0,100.0,0.0
94.0,6.984135429,6.549849510815908E-6,94.0,55.319148936170215,6.578324656885962,94.0,3706792.0,100.0,0.0
96.0,7.099043131,6.660040221932529E-6,96.0,54.166666666666664,4.347826086956506,96.0,3706792.0,100.0,0.0
98.0,7.21505385,6.771288670916049E-6,98.0,54.08163265306123,4.833836858006045,98.0,3706792.0,100.0,0.0
100.0,7.323732264,6.875505807916026E-6,100.0,54.0,5.271828665568382,100.0,3706792.0,100.0,0.0
102.0,7.42434989,6.971993054348003E-6,102.0,54.90196078431373,7.236061684460273,102.0,3706792.0,100.0,0.0
104.0,7.525515487,7.06900577742872E-6,104.0,54.807692307692314,6.930693069306951,104.0,3706792.0,100.0,0.0
106.0,7.626307146,7.1656599127610414E-6,106.0,55.660377358490564,8.787989747345293,106.0,3706792.0,100.0,0.0
108.0,7.728885808,7.264027694158075E-6,108.0,54.629629629629626,6.765327695560246,108.0,3706792.0,100.0,0.0
110.0,7.828747239,7.359789787590362E-6,110.0,55.45454545454545,8.55106888361045,110.0,3706792.0,100.0,0.0
112.0,7.928721125,7.455659719715817E-6,112.0,54.46428571428571,6.605624591236081,112.0,3706792.0,100.0,0.0
114.0,8.029232654,7.552045224457082E-6,114.0,55.26315789473685,8.325449385052046,114.0,3706792.0,100.0,0.0
