learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.419143324,1.4874100754722124E-7,2.0,0.0,0.0,2.0,1371736.0,50.0,0.0
4.0,0.662342327,2.4768987533135133E-7,4.0,25.0,0.0,4.0,1572720.0,50.0,0.0
6.0,0.796200793,3.0513486570459276E-7,6.0,50.0,0.0,6.0,1658856.0,50.0,0.0
8.0,0.899845412,3.519232263689157E-7,8.0,62.5,0.0,8.0,1744992.0,50.0,0.0
10.0,0.984473178,3.9012679618303147E-7,10.0,70.0,0.0,10.0,1744992.0,50.0,0.0
12.0,1.066117803,4.26983684631851E-7,12.0,75.0,0.0,12.0,1744992.0,50.0,0.0
14.0,1.14461434,4.6241942957926955E-7,14.0,78.57142857142857,0.0,14.0,1744992.0,50.0,0.0
16.0,1.228333856,5.00212987479758E-7,16.0,81.25,0.0,16.0,1744992.0,50.0,0.0
18.0,1.300832966,5.329413098881063E-7,18.0,83.33333333333334,0.0,18.0,1744992.0,50.0,0.0
20.0,1.406047896,5.804385571124074E-7,20.0,85.0,0.0,20.0,1744992.0,50.0,0.0
22.0,1.462774631,6.060467455750373E-7,22.0,86.36363636363636,0.0,22.0,1744992.0,50.0,0.0
24.0,1.518755446,6.313182028660592E-7,24.0,87.5,0.0,24.0,1744992.0,50.0,0.0
26.0,1.566230222,6.527497732010897E-7,26.0,88.46153846153845,0.0,26.0,1744992.0,50.0,0.0
28.0,1.613585561,6.74127426010188E-7,28.0,89.28571428571429,0.0,28.0,1744992.0,50.0,0.0
30.0,1.661131928,6.955913147189136E-7,30.0,90.0,0.0,30.0,1744992.0,50.0,0.0
32.0,1.710418104,7.178406065847393E-7,32.0,90.625,0.0,32.0,1744992.0,50.0,0.0
34.0,1.760401202,7.404045104217942E-7,34.0,91.17647058823529,0.0,34.0,1744992.0,50.0,0.0
36.0,1.812378574,7.638686907235201E-7,36.0,91.66666666666666,0.0,36.0,1744992.0,50.0,0.0
38.0,1.864347072,7.873288650294062E-7,38.0,92.10526315789474,0.0,38.0,1744992.0,50.0,0.0
40.0,1.935069878,8.192553093180474E-7,40.0,92.5,0.0,40.0,1744992.0,50.0,0.0
42.0,2.017370884,8.564085082869646E-7,42.0,92.85714285714286,0.0,42.0,1744992.0,50.0,0.0
44.0,2.089636481,8.890314157633153E-7,44.0,93.18181818181817,0.0,44.0,1744992.0,50.0,0.0
46.0,2.143663098,9.134206881255326E-7,46.0,93.47826086956522,0.0,46.0,1744992.0,50.0,0.0
48.0,2.205488811,9.413307116856841E-7,48.0,93.75,0.0,48.0,1744992.0,50.0,0.0
50.0,2.257856988,9.649713133536694E-7,50.0,94.0,0.0,50.0,1744992.0,50.0,0.0
52.0,2.306841389,9.870843747265306E-7,52.0,94.23076923076923,0.0,52.0,1744992.0,50.0,0.0
54.0,2.357613908,1.0100046474211332E-6,54.0,94.44444444444444,0.0,54.0,1744992.0,50.0,0.0
56.0,2.408429927,1.0329445573502448E-6,56.0,94.64285714285714,0.0,56.0,1744992.0,50.0,0.0
58.0,2.46071841,1.0565491827017482E-6,58.0,94.82758620689656,0.0,58.0,1744992.0,50.0,0.0
60.0,2.513326661,1.080298161138412E-6,60.0,95.0,0.0,60.0,1744992.0,50.0,0.0
62.0,2.566737439,1.1044094248830942E-6,62.0,95.16129032258065,0.0,62.0,1744992.0,50.0,0.0
64.0,2.616293895,1.126780729432669E-6,64.0,95.3125,0.0,64.0,1744992.0,50.0,0.0
66.0,2.663974284,1.1483051197837707E-6,66.0,95.45454545454545,0.0,66.0,1744992.0,50.0,0.0
68.0,2.711773222,1.1698830267903623E-6,68.0,95.58823529411765,0.0,68.0,1744992.0,50.0,0.0
70.0,2.759176093,1.191282137002465E-6,70.0,95.71428571428572,0.0,70.0,1744992.0,50.0,0.0
72.0,2.814333096,1.2161817002834795E-6,72.0,95.83333333333334,0.0,72.0,1744992.0,50.0,0.0
74.0,2.867839197,1.2403359957547155E-6,74.0,95.94594594594594,0.0,74.0,1744992.0,50.0,0.0
76.0,2.918824268,1.2633522209428664E-6,76.0,96.05263157894737,0.0,76.0,1744992.0,50.0,0.0
78.0,2.969783551,1.2863568046366836E-6,78.0,96.15384615384616,0.0,78.0,1744992.0,50.0,0.0
80.0,3.018191195,1.3082095002057815E-6,80.0,96.25,0.0,80.0,1744992.0,50.0,0.0
82.0,3.066578804,1.3300531513612383E-6,82.0,96.34146341463415,0.0,82.0,1744992.0,50.0,0.0
84.0,3.115011484,1.3519171489488E-6,84.0,96.42857142857143,0.0,84.0,1744992.0,50.0,0.0
86.0,3.16368049,1.3738878313428574E-6,86.0,96.51162790697676,0.0,86.0,1744992.0,50.0,0.0
88.0,3.212062762,1.395729073212784E-6,88.0,96.5909090909091,0.0,88.0,1744992.0,50.0,0.0
90.0,3.259978794,1.4173598400432283E-6,90.0,96.66666666666667,0.0,90.0,1744992.0,50.0,0.0
92.0,3.310597014,1.4402104574355896E-6,92.0,96.73913043478261,0.0,92.0,1744992.0,50.0,0.0
94.0,3.356762233,1.461050853565749E-6,94.0,96.80851063829788,0.0,94.0,1744992.0,50.0,0.0
96.0,3.4029277,1.4818913616507166E-6,96.0,96.875,0.0,96.0,1744992.0,50.0,0.0
98.0,3.450578662,1.504852162693929E-6,98.0,95.91836734693877,-1.5544041450777717,98.0,1862592.0,50.0,0.0
100.0,3.500046519,1.5287191553348963E-6,100.0,95.0,26.035502958579933,100.0,1864992.0,50.0,0.0
102.0,3.555029878,1.5552472385026927E-6,102.0,95.09803921568627,51.977401129943516,102.0,1864992.0,50.0,0.0
104.0,3.605352276,1.579526525611124E-6,104.0,95.1923076923077,64.0883977900552,104.0,1864992.0,50.0,0.0
106.0,3.656885312,1.6043899150031224E-6,106.0,95.28301886792453,71.10141766630315,106.0,1864992.0,50.0,0.0
108.0,3.708796749,1.6294358733283644E-6,108.0,95.37037037037037,75.6756756756757,108.0,1864992.0,50.0,0.0
110.0,3.756596293,1.6524979470480646E-6,110.0,95.45454545454545,78.89485801995397,110.0,1864992.0,50.0,0.0
112.0,3.801701008,1.6742598337814625E-6,112.0,95.53571428571429,81.28342245989307,112.0,1864992.0,50.0,0.0
114.0,3.846519202,1.6958834813629505E-6,114.0,95.6140350877193,83.12611012433392,114.0,1864992.0,50.0,0.0
116.0,3.894265099,1.7189196717589763E-6,116.0,95.6896551724138,84.59086078639744,116.0,1864992.0,50.0,0.0
118.0,3.942829062,1.7423505583554424E-6,118.0,95.76271186440678,85.78313253012048,118.0,1864992.0,50.0,0.0
120.0,3.98591354,1.7631377317186612E-6,120.0,95.83333333333334,86.77248677248677,120.0,1864992.0,50.0,0.0
122.0,4.029631937,1.7842307550019192E-6,122.0,95.90163934426229,87.60666395774075,122.0,1864992.0,50.0,0.0
124.0,4.073106402,1.8052060872509994E-6,124.0,95.96774193548387,88.31951770911832,124.0,1864992.0,50.0,0.0
126.0,4.118163227,1.8269448682679402E-6,126.0,96.03174603174604,88.93572181243415,126.0,1864992.0,50.0,0.0
128.0,4.171430808,1.8526451318497873E-6,128.0,96.09375,89.47368421052632,128.0,1864992.0,50.0,0.0
130.0,4.224705192,1.8783486777074552E-6,130.0,96.15384615384616,89.9474172595113,130.0,1864992.0,50.0,0.0
132.0,4.278678084,1.9043892360477066E-6,132.0,96.21212121212122,90.36777583187391,132.0,1864992.0,50.0,0.0
134.0,4.332779402,1.9304917566920235E-6,134.0,96.26865671641791,90.74329925393755,134.0,1864992.0,50.0,0.0
136.0,4.414317069,1.9698316233502987E-6,136.0,96.32352941176471,91.08079748163695,136.0,1864992.0,50.0,0.0
138.0,4.500345003,2.011337930520541E-6,138.0,96.37681159420289,91.38576779026216,138.0,1864992.0,50.0,0.0
