learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
676.0,3.063813426,2.2959269515473768E-6,676.0,60.20710059171598,-1.9968140719301617,676.0,2896664.0,100.0,0.0
1352.0,4.993160359,3.885587164643297E-6,1352.0,62.6,1.0534893195972403,1352.0,3184904.0,100.0,0.0
2028.0,6.896544776,5.6655317841230225E-6,2028.0,66.3,5.573674949284354,2028.0,3614784.0,100.0,0.0
2704.0,8.799077166,7.660458127611033E-6,2704.0,64.8,3.782548559744999,2704.0,4053192.0,100.0,0.0
3380.0,11.406312589,1.1360492971500487E-5,3380.0,66.4,5.711736082659404,3380.0,5485648.0,100.0,0.0
4056.0,14.254476967,1.70901871475903E-5,4056.0,66.7,11.095685604442556,4056.0,7776224.0,100.0,0.0
4732.0,16.591499902,2.239146976021115E-5,4732.0,70.1,15.712916502226959,4732.0,8768400.0,100.0,0.0
5408.0,18.812759425,2.780349328984193E-5,5408.0,68.2,15.87079023254586,5408.0,9418088.0,100.0,0.0
6084.0,21.130075146,3.3742935907910887E-5,6084.0,66.3,10.728476821192077,6084.0,9907472.0,100.0,0.0
6760.0,23.3092709,3.973810326402858E-5,6760.0,71.0,20.953787948996087,6760.0,1.0634264E7,100.0,0.0
7436.0,25.969501627,4.7843649547627324E-5,7436.0,69.1,16.595588473456313,7436.0,1.1777832E7,100.0,0.0
8112.0,28.832585455,5.7411469354279146E-5,8112.0,69.5,21.4314418489629,8112.0,1.2917584E7,100.0,0.0
8788.0,31.482783605,6.7093057317913E-5,8788.0,72.8,26.501980663535775,8788.0,1.4121168E7,100.0,0.0
9464.0,34.247023895,7.800456901346394E-5,9464.0,72.0,22.13570634037817,9464.0,1.5258488E7,100.0,0.0
10140.0,37.290216549,9.071030488171154E-5,10140.0,72.5,22.002632056634567,10140.0,1.6138856E7,100.0,0.0
10816.0,40.237168478,1.0413265662702012E-4,10816.0,71.39999999999999,21.170860781125114,10816.0,1.7605888E7,100.0,0.0
11492.0,43.321092347,1.1886973644739564E-4,11492.0,71.6,22.15595123234804,11492.0,1.847184E7,100.0,0.0
12168.0,46.629171672,1.3580286354496307E-4,12168.0,68.60000000000001,22.461477676807597,12168.0,1.9786256E7,100.0,0.0
12844.0,49.288256918,1.500494943350698E-4,12844.0,72.1,26.091148951500966,12844.0,2.0710104E7,100.0,0.0
13520.0,52.259128943,1.6664538296285196E-4,13520.0,73.1,25.51530120615369,13520.0,2.1593296E7,100.0,0.0
14196.0,55.391401013,1.8472935616468432E-4,14196.0,74.5,30.976613252490253,14196.0,2.2317048E7,100.0,0.0
14872.0,58.525545543,2.0363451722110238E-4,14872.0,75.4,31.378456182633713,14872.0,2.331652E7,100.0,0.0
15548.0,61.818213448,2.2464218292074018E-4,15548.0,74.6,30.79019073569482,15548.0,2.4662224E7,100.0,0.0
16224.0,65.381713593,2.4856889337697923E-4,16224.0,72.5,27.161579454797796,16224.0,2.5954256E7,100.0,0.0
16900.0,68.550401462,2.7070263071623423E-4,16900.0,72.5,24.072581090483403,16900.0,2.7000864E7,100.0,0.0
17576.0,71.928989256,2.954900798763079E-4,17576.0,73.2,26.326264686639217,17576.0,2.8359528E7,100.0,0.0
18252.0,75.327568242,3.213241753701496E-4,18252.0,75.9,31.016716281199912,18252.0,2.9383144E7,100.0,0.0
18928.0,78.614757134,3.475661346478061E-4,18928.0,72.6,21.687435692237326,18928.0,3.085844E7,100.0,0.0
19604.0,82.11211292,3.7656076398620027E-4,19604.0,74.1,29.504627109417537,19604.0,3.2046464E7,100.0,0.0
20280.0,85.610790169,4.064388100059718E-4,20280.0,73.8,32.25072403806371,20280.0,3.3010392E7,100.0,0.0
20956.0,89.216574308,4.385161398072497E-4,20956.0,70.39999999999999,27.675045936119474,20956.0,3.438752E7,100.0,0.0
21632.0,92.703615825,4.7037242764029865E-4,21632.0,71.89999999999999,28.465964054783367,21632.0,3.5313472E7,100.0,0.0
22308.0,96.294739496,5.039724164054869E-4,22308.0,73.1,27.590847913862724,22308.0,3.6166888E7,100.0,0.0
22984.0,99.911662801,5.388293389712636E-4,22984.0,75.5,33.499087987492395,22984.0,3.7252216E7,100.0,0.0
23660.0,103.433308147,5.73608092299333E-4,23660.0,76.6,33.93712169120968,23660.0,3.8174272E7,100.0,0.0
24336.0,106.900538262,6.089166557276186E-4,24336.0,75.0,31.88010899182561,24336.0,3.9364048E7,100.0,0.0
25012.0,110.403210434,6.456670716649689E-4,25012.0,77.4,39.893297304772915,25012.0,4.0556936E7,100.0,0.0
25688.0,113.871367488,6.832150479126993E-4,25688.0,76.7,33.73151308304893,25688.0,4.1849488E7,100.0,0.0
26364.0,117.993951127,7.285480501502805E-4,26364.0,76.7,36.052958030980015,26364.0,4.250572E7,100.0,0.0
27040.0,121.833916666,7.718662270865399E-4,27040.0,78.3,32.85226260025746,27040.0,4.3605896E7,100.0,0.0
27716.0,125.904072043,8.188602040479497E-4,27716.0,77.2,35.05568690004843,27716.0,4.4630688E7,100.0,0.0
28392.0,130.004004358,8.67887626322463E-4,28392.0,75.5,34.92834149606382,28392.0,4.6223704E7,100.0,0.0
29068.0,133.931111397,9.159881464483403E-4,29068.0,75.2,33.8754832688975,29068.0,4.7345576E7,100.0,0.0
29744.0,137.822737514,9.647729804586121E-4,29744.0,78.4,41.453260186048524,29744.0,4.8456952E7,100.0,0.0
30420.0,141.918790224,0.001017693456183477,30420.0,76.8,40.876957813670664,30420.0,4.9941384E7,100.0,0.0
31096.0,146.515444905,0.001078690090574381,31096.0,75.6,37.0744790592119,31096.0,5.1293976E7,100.0,0.0
31772.0,151.037719424,0.001140045184479054,31772.0,78.10000000000001,37.70409730676892,31772.0,5.2444032E7,100.0,0.0
32448.0,155.167635789,0.0011973108795130473,32448.0,78.0,40.69857083555715,32448.0,5.3598872E7,100.0,0.0
33124.0,159.210128474,0.0012544391957562445,33124.0,78.4,41.77520917795221,33124.0,5.4626648E7,100.0,0.0
33800.0,163.440933016,0.0013159453328986678,33800.0,75.8,35.638297872340445,33800.0,5.6195024E7,100.0,0.0
34476.0,168.028158342,0.0013838345631415605,34476.0,78.4,44.144768485237165,34476.0,5.7207528E7,100.0,0.0
35152.0,172.63040785,0.001453650892375901,35152.0,77.9,43.8750114281651,35152.0,5.863936E7,100.0,0.0
35828.0,177.06172675,0.0015225872908000589,35828.0,75.8,35.97714225244055,35828.0,6.0133704E7,100.0,0.0
36504.0,181.272834304,0.0015890111609645062,36504.0,76.7,39.06712553741228,36504.0,6.0971968E7,100.0,0.0
37180.0,185.783244757,0.0016616916434708563,37180.0,77.4,38.40350609423717,37180.0,6.228796E7,100.0,0.0
37856.0,190.853879982,0.00174467055066384,37856.0,77.5,36.57398010960018,37856.0,6.3256872E7,100.0,0.0
38532.0,195.791882867,0.0018268164988743368,38532.0,78.8,40.86306452062819,38532.0,6.430388E7,100.0,0.0
39208.0,200.754833347,0.0019109340952683618,39208.0,79.0,40.54629461859033,39208.0,6.5516288E7,100.0,0.0
39884.0,205.853431877,0.001999023047714147,39884.0,79.2,41.65170556552962,39884.0,6.6784088E7,100.0,0.0
40560.0,210.747835681,0.0020851813671188347,40560.0,79.5,41.13593292367771,40560.0,6.804556E7,100.0,0.0
41236.0,215.664458959,0.002173032329469526,41236.0,79.2,43.315601290660155,41236.0,6.9068808E7,100.0,0.0
41912.0,220.56709607,0.0022622480116893996,41912.0,78.9,46.41133743079192,41912.0,7.0341856E7,100.0,0.0
42588.0,225.256251877,0.0023489771919847466,42588.0,78.4,42.704658429577144,42588.0,7.1494552E7,100.0,0.0
43264.0,230.426152483,0.002446267975176862,43264.0,78.2,43.06310071040537,43264.0,7.2743112E7,100.0,0.0
43940.0,235.342609178,0.0025403951335617563,43940.0,76.7,40.68530115574565,43940.0,7.4005688E7,100.0,0.0
44616.0,240.501553806,0.0026410180057374307,44616.0,75.4,33.692722371967655,44616.0,7.5394248E7,100.0,0.0
45292.0,245.660078599,0.0027431208432091773,45292.0,77.3,38.386876133192935,45292.0,7.6509376E7,100.0,0.0
45968.0,250.837081301,0.002847517794714782,45968.0,77.2,32.22878136648177,45968.0,7.7949224E7,100.0,0.0
46644.0,256.237631773,0.0029581664844857357,46644.0,78.4,42.24568045818429,46644.0,7.9197344E7,100.0,0.0
47320.0,261.559793889,0.003068728819307109,47320.0,80.30000000000001,44.67535385306675,47320.0,8.0301096E7,100.0,0.0
47996.0,267.020807526,0.0031841281508881956,47996.0,80.4,46.42554517474566,47996.0,8.1683136E7,100.0,0.0
48672.0,272.203271833,0.0032952695404905082,48672.0,78.8,41.90634864959663,48672.0,8.2897584E7,100.0,0.0
49348.0,278.157666616,0.0034249864678683063,49348.0,78.7,40.685706647656396,49348.0,8.420956E7,100.0,0.0
50024.0,283.21240035,0.003536767811964333,50024.0,79.0,46.35056076437677,50024.0,8.5481752E7,100.0,0.0
50700.0,288.64861763,0.0036589091571273664,50700.0,79.10000000000001,47.763059235191214,50700.0,8.6849688E7,100.0,0.0
51376.0,294.366577662,0.0037884064725610136,51376.0,77.4,39.09931661888031,51376.0,8.754312E7,100.0,0.0
52052.0,300.373329405,0.0039264954663974375,52052.0,76.6,37.929717341482046,52052.0,8.886316E7,100.0,0.0
52728.0,306.03593898,0.0040579292581497135,52728.0,75.9,32.06291932119298,52728.0,8.9720728E7,100.0,0.0
53404.0,312.078778708,0.004200077978373834,53404.0,75.6,35.448027725601214,53404.0,9.0929384E7,100.0,0.0
54080.0,318.661226797,0.004357210525853289,54080.0,77.60000000000001,41.824528233283665,54080.0,9.2274368E7,100.0,0.0
54756.0,325.082622213,0.004512541839979087,54756.0,78.2,38.26985700127425,54756.0,9.3504384E7,100.0,0.0
55432.0,331.003398688,0.004658023289265186,55432.0,77.3,35.62110039705047,55432.0,9.4979816E7,100.0,0.0
56108.0,337.010063395,0.004807479208188867,56108.0,80.10000000000001,42.667158365409,56108.0,9.6179408E7,100.0,0.0
56784.0,343.155507747,0.0049627650333318165,56784.0,79.2,43.152002798670644,56784.0,9.7674432E7,100.0,0.0
57460.0,348.98069786,0.005112115599993008,57460.0,79.0,45.31791124836607,57460.0,9.9105816E7,100.0,0.0
58136.0,355.072585761,0.005270254756582863,58136.0,79.3,41.11757142694597,58136.0,1.00343648E8,100.0,0.0
58812.0,361.298669434,0.005433822582567653,58812.0,77.8,40.81136421807015,58812.0,1.01551256E8,100.0,0.0
59488.0,367.244798403,0.005592107473583011,59488.0,77.2,37.152685895739616,59488.0,1.02898136E8,100.0,0.0
60164.0,373.608747866,0.005763841081127493,60164.0,77.5,41.00991033506371,60164.0,1.043112E8,100.0,0.0
60840.0,380.116892939,0.00594177137445944,60840.0,77.9,41.30083719348946,60840.0,1.05680544E8,100.0,0.0
61516.0,386.628544633,0.006121634458886223,61516.0,78.9,43.96048018697548,61516.0,1.06770984E8,100.0,0.0
62192.0,392.743689238,0.006292136942384926,62192.0,77.60000000000001,41.933711109843806,62192.0,1.07777064E8,100.0,0.0
62868.0,399.488911886,0.006482450795813261,62868.0,77.5,42.18019221873875,62868.0,1.0906276E8,100.0,0.0
63544.0,406.080696895,0.006671088011100293,63544.0,77.5,40.5510521142688,63544.0,1.10618232E8,100.0,0.0
64220.0,412.175082905,0.006847476623050544,64220.0,78.8,40.52461775845139,64220.0,1.11877552E8,100.0,0.0
64896.0,418.504559677,0.0070330700388261174,64896.0,77.5,38.43442856204714,64896.0,1.13343632E8,100.0,0.0
65572.0,424.683196315,0.00721647871511381,65572.0,79.9,42.46293009675387,65572.0,1.14743896E8,100.0,0.0
66248.0,431.321273598,0.0074161955291926745,66248.0,77.10000000000001,39.6529915250664,66248.0,1.16298656E8,100.0,0.0
66924.0,438.230864391,0.007626692779230924,66924.0,78.4,43.301133977320454,66924.0,1.1775964E8,100.0,0.0
67556.0,444.713547283,0.007826069550998033,67556.0,78.4,41.48371296677574,67556.0,1.18883656E8,100.0,0.0
