learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
676.0,1.390170537,5.020893297943473E-7,676.0,71.89349112426035,-0.7657063955312948,676.0,1396096.0,50.0,0.0
1352.0,1.889953573,6.878427281354202E-7,1352.0,74.0,-1.3811228349281102,1352.0,1436672.0,50.0,0.0
2028.0,2.317930908,8.581935085435771E-7,2028.0,75.8,-1.2255824653867489,2028.0,1538600.0,50.0,0.0
2704.0,2.72134876,1.0332277814354313E-6,2704.0,75.2,0.7229610177497636,2704.0,1677144.0,50.0,0.0
3380.0,3.125577212,1.2126176926919713E-6,3380.0,76.2,0.36588326900375984,3380.0,1715432.0,50.0,0.0
4056.0,3.917527877,1.9287637161415834E-6,4056.0,73.7,3.0007081317125097,4056.0,3495472.0,50.0,0.0
4732.0,4.39174351,2.391893185697498E-6,4732.0,75.6,-0.2572172869739642,4732.0,3775104.0,50.0,0.0
5408.0,4.840415676,2.8432760270103375E-6,5408.0,74.0,0.9350209941551496,5408.0,3888824.0,50.0,0.0
6084.0,5.222122533,3.2393599206439527E-6,6084.0,73.9,1.068910620877888,6084.0,4011064.0,50.0,0.0
6760.0,5.728960281,3.7857885388771813E-6,6760.0,75.1,0.9388924252068421,6760.0,4167416.0,50.0,0.0
7436.0,6.603686722,5.0155770623373486E-6,7436.0,72.1,-1.7876687340386364,7436.0,5434512.0,50.0,0.0
8112.0,7.149497647,5.853193315493097E-6,8112.0,70.0,-2.5423670880018787,8112.0,5932056.0,50.0,0.0
8788.0,7.611931582,6.579041750430656E-6,8788.0,72.89999999999999,-0.815451921073767,8788.0,6067344.0,50.0,0.0
9464.0,8.12156147,7.4100236382241975E-6,9464.0,75.1,1.581027667984191,9464.0,6302880.0,50.0,0.0
10140.0,8.584500859,8.173044580267569E-6,10140.0,76.4,1.3781978955110459,10140.0,6371104.0,50.0,0.0
10816.0,9.223692239,9.345022433168268E-6,10816.0,74.8,2.6162229006453392,10816.0,7087464.0,50.0,0.0
11492.0,9.890324049,1.0704120774915413E-5,11492.0,74.5,4.508687837028178,11492.0,7880744.0,50.0,0.0
