learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.215463371,3.83882787891498E-8,7.0,42.857142857142854,-27.272727272727266,7.0,688696.0,50.0,0.0
14.0,0.34452685,6.159297052034901E-8,14.0,42.857142857142854,-14.28571428571429,14.0,694984.0,50.0,0.0
21.0,0.385054966,6.887963631855117E-8,21.0,47.61904761904761,0.0,21.0,694984.0,50.0,0.0
28.0,0.420266484,7.521041576838741E-8,28.0,50.0,2.0000000000000124,28.0,694984.0,50.0,0.0
35.0,0.453342,8.115715731430799E-8,35.0,48.57142857142857,-1.6129032258064377,35.0,694984.0,50.0,0.0
42.0,0.483605568,8.659833069323251E-8,42.0,54.761904761904766,9.932279909706555,42.0,694984.0,50.0,0.0
49.0,0.515319984,9.230035618035744E-8,49.0,61.224489795918366,22.610141313383217,49.0,694984.0,50.0,0.0
56.0,0.548189113,9.820999081772855E-8,56.0,64.28571428571429,28.297055057618447,56.0,694984.0,50.0,0.0
63.0,0.580983683,1.0410622027941255E-7,63.0,63.49206349206349,27.07599396074485,63.0,694984.0,50.0,0.0
70.0,0.612023419,1.0968694312121513E-7,70.0,62.857142857142854,25.895765472312704,70.0,694984.0,50.0,0.0
77.0,0.643855066,1.154100459048566E-7,77.0,64.93506493506493,29.549305320230435,77.0,694984.0,50.0,0.0
84.0,0.675975426,1.2118505722386142E-7,84.0,61.904761904761905,23.592950540079592,84.0,694984.0,50.0,0.0
91.0,0.707245695,1.2680722825255866E-7,91.0,61.53846153846154,22.562606370046197,91.0,694984.0,50.0,0.0
98.0,0.73878749,1.324782177167717E-7,98.0,61.224489795918366,22.287145242070114,98.0,694984.0,50.0,0.0
105.0,0.769860552,1.3806493233535438E-7,105.0,60.952380952380956,21.713038734315337,105.0,694984.0,50.0,0.0
112.0,0.801083029,1.436785107037901E-7,112.0,58.92857142857143,17.72596614500161,112.0,694984.0,50.0,0.0
119.0,0.83750401,1.5022674296283887E-7,119.0,59.66386554621849,19.27642736009045,119.0,694984.0,50.0,0.0
126.0,0.8686598,1.5582833148496431E-7,126.0,60.317460317460316,20.63492063492063,126.0,694984.0,50.0,0.0
133.0,0.898631344,1.612170010343732E-7,133.0,60.902255639097746,21.747001584068798,133.0,694984.0,50.0,0.0
140.0,0.933935134,1.6756437033078735E-7,140.0,59.285714285714285,18.571428571428573,140.0,694984.0,50.0,0.0
147.0,0.964044384,1.729777984354769E-7,147.0,58.50340136054422,16.949152542372875,147.0,694984.0,50.0,0.0
154.0,0.990555137,1.7774424248063522E-7,154.0,59.74025974025974,19.385342789598113,154.0,694984.0,50.0,0.0
161.0,1.016779585,1.8245921093163185E-7,161.0,61.49068322981367,23.014036711399065,161.0,694984.0,50.0,0.0
168.0,1.043573517,1.8727656853847826E-7,168.0,63.095238095238095,26.27406568516421,168.0,694984.0,50.0,0.0
175.0,1.071790748,1.9234982514008464E-7,175.0,64.57142857142857,29.168298733516114,175.0,694984.0,50.0,0.0
182.0,1.101568316,1.9770361919010262E-7,182.0,65.38461538461539,30.7190332326284,182.0,694984.0,50.0,0.0
189.0,1.129250522,2.0268068211794724E-7,189.0,66.66666666666666,33.193065140548725,189.0,694984.0,50.0,0.0
196.0,1.157565377,2.0777149081750667E-7,196.0,67.3469387755102,34.50976297379136,196.0,694984.0,50.0,0.0
203.0,1.185044685,2.127120741340828E-7,203.0,67.98029556650246,35.49254461011976,203.0,694984.0,50.0,0.0
210.0,1.214673415,2.1798159021252763E-7,210.0,69.04761904761905,37.5057229191466,210.0,687480.0,50.0,0.0
217.0,1.278358008,2.2954049363826708E-7,217.0,69.5852534562212,38.64278982092365,217.0,701592.0,50.0,0.0
224.0,1.302740434,2.3397125981946783E-7,224.0,70.08928571428571,39.48387096774192,224.0,702432.0,50.0,0.0
231.0,1.329058035,2.387536853451778E-7,231.0,70.56277056277057,40.70662841612562,231.0,702432.0,50.0,0.0
238.0,1.355479062,2.4355490540852144E-7,238.0,70.58823529411765,40.63992018812799,238.0,702432.0,50.0,0.0
245.0,1.379998659,2.4801059825730813E-7,245.0,71.42857142857143,42.41101410342512,245.0,702432.0,50.0,0.0
252.0,1.403046711,2.5219888244790326E-7,252.0,71.82539682539682,43.040876098306384,252.0,702432.0,50.0,0.0
259.0,1.424673588,2.5612891119961927E-7,259.0,72.2007722007722,43.75,259.0,702432.0,50.0,0.0
266.0,1.446057365,2.600180831008466E-7,266.0,72.18045112781954,43.69565217391304,266.0,703032.0,50.0,0.0
273.0,1.467296256,2.6388090387803806E-7,273.0,72.52747252747253,44.25082364473003,273.0,703032.0,50.0,0.0
280.0,1.488158298,2.6767518528812866E-7,280.0,72.5,44.18556487522005,280.0,703032.0,50.0,0.0
287.0,1.509391495,2.7153697046974666E-7,287.0,72.12543554006969,43.548387096774185,287.0,703032.0,50.0,0.0
294.0,1.530519245,2.75379577490768E-7,294.0,72.78911564625851,44.88188976377954,294.0,703032.0,50.0,0.0
301.0,1.55136757,2.791713641231134E-7,301.0,73.08970099667775,45.51366572060698,301.0,703032.0,50.0,0.0
308.0,1.572864547,2.8308112426089114E-7,308.0,72.72727272727273,44.819349059420716,308.0,703032.0,50.0,0.0
315.0,1.593447945,2.86824727326588E-7,315.0,73.01587301587301,45.262189512419496,315.0,703032.0,50.0,0.0
322.0,1.613928636,2.905496505688627E-7,322.0,73.29192546583852,45.78063202412188,322.0,703032.0,50.0,0.0
329.0,1.634916227,2.943667661884116E-7,329.0,73.55623100303951,46.34361233480176,329.0,703032.0,50.0,0.0
336.0,1.655562477,2.981218004541409E-7,336.0,73.51190476190477,46.32395175186675,336.0,703032.0,50.0,0.0
343.0,1.676378929,3.0190779018839814E-7,343.0,73.46938775510205,46.30206272472346,343.0,703032.0,50.0,0.0
350.0,1.697313892,3.057153340966999E-7,350.0,74.0,47.297878677565606,350.0,703032.0,50.0,0.0
357.0,1.719163804,3.096892842456698E-7,357.0,73.38935574229691,45.978878960194955,357.0,703032.0,50.0,0.0
364.0,1.73959144,3.1340455811612303E-7,364.0,73.62637362637363,46.555732289245086,364.0,703032.0,50.0,0.0
371.0,1.759976176,3.171120295541733E-7,371.0,74.12398921832884,47.55720470006185,371.0,703032.0,50.0,0.0
378.0,1.781056095,3.209459373177525E-7,378.0,74.60317460317461,48.52181807864722,378.0,703032.0,50.0,0.0
385.0,1.802276403,3.2480537831402685E-7,385.0,74.8051948051948,48.831951770911836,385.0,703032.0,50.0,0.0
392.0,1.825549691,3.290382048038827E-7,392.0,75.25510204081633,49.74093264248704,392.0,703032.0,50.0,0.0
399.0,1.847019346,3.3294299575615666E-7,399.0,75.43859649122807,50.072780203784575,399.0,703032.0,50.0,0.0
406.0,1.869472954,3.3702674304340026E-7,406.0,75.36945812807882,49.93711312239512,406.0,703032.0,50.0,0.0
413.0,1.890684411,3.4084339667220695E-7,413.0,75.78692493946731,50.84269662921349,413.0,695528.0,50.0,0.0
420.0,1.916137002,3.4552004545825006E-7,420.0,75.71428571428571,50.748430709802015,420.0,710240.0,50.0,0.0
427.0,1.939762954,3.498610683324994E-7,427.0,75.40983606557377,50.14954580326666,427.0,710240.0,50.0,0.0
434.0,1.961186957,3.537975059872016E-7,434.0,75.57603686635944,50.6617189678471,434.0,710240.0,50.0,0.0
441.0,1.981664352,3.575600142704674E-7,441.0,75.51020408163265,50.566695727986044,441.0,710240.0,50.0,0.0
448.0,2.002600004,3.6140672250975123E-7,448.0,75.66964285714286,50.90682430530422,448.0,710240.0,50.0,0.0
455.0,2.023340019,3.6521748448570353E-7,455.0,75.82417582417582,51.23638418519456,455.0,710240.0,50.0,0.0
462.0,2.044610225,3.691256635417685E-7,462.0,75.75757575757575,51.05284068335321,462.0,710240.0,50.0,0.0
469.0,2.065437605,3.729570038963253E-7,469.0,75.69296375266525,51.00615790631184,469.0,711080.0,50.0,0.0
476.0,2.089329153,3.773520191111642E-7,476.0,75.84033613445378,51.23124621360608,476.0,711080.0,50.0,0.0
483.0,2.110301152,3.812099631292993E-7,483.0,75.56935817805382,50.651981921138756,483.0,711080.0,50.0,0.0
