learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
7.0,0.00605713,1.8214620422157977E-11,7.0,42.857142857142854,-27.272727272727266,7.0,11624.0
14.0,0.01636721,4.921844462967581E-11,14.0,35.714285714285715,-28.57142857142857,14.0,11624.0
21.0,0.019827647,5.962445316008396E-11,21.0,38.095238095238095,-15.189873417721515,21.0,11624.0
28.0,0.022189561,6.672705240754618E-11,28.0,42.857142857142854,-11.99999999999999,28.0,11624.0
35.0,0.024342972,7.320265454550585E-11,35.0,42.857142857142854,-15.13157894736841,35.0,11624.0
42.0,0.026905362,8.090811261286339E-11,42.0,42.857142857142854,-15.596330275229372,42.0,11624.0
49.0,0.028851754,8.676118023279641E-11,49.0,46.93877551020408,-10.01727115716751,49.0,11624.0
56.0,0.031318093,9.417779977329904E-11,56.0,48.214285714285715,-8.55614973262032,56.0,11624.0
63.0,0.033098766,9.953252763797841E-11,63.0,47.61904761904761,-9.019402202412158,63.0,11624.0
70.0,0.034537883,1.0386014977883963E-10,70.0,48.57142857142857,-7.876712328767112,70.0,11624.0
77.0,0.035995036,1.0824200864467358E-10,77.0,50.649350649350644,-5.937726285300513,77.0,11624.0
84.0,0.038053842,1.1443312057604394E-10,84.0,51.19047619047619,-5.385556915544698,84.0,11624.0
91.0,0.039734907,1.1948831352715693E-10,91.0,51.64835164835166,-4.926624737945481,91.0,11624.0
98.0,0.041226502,1.239737442094419E-10,98.0,51.02040816326531,-5.187835420393543,98.0,11624.0
105.0,0.042621283,1.281680419192546E-10,105.0,50.476190476190474,-5.324074074074083,105.0,11624.0
112.0,0.043989343,1.3228198591826693E-10,112.0,50.89285714285714,-4.904632152588555,112.0,11624.0
119.0,0.045526587,1.3690468940262996E-10,119.0,50.42016806722689,-4.9633727014501385,119.0,11624.0
126.0,0.047375034,1.4246322297801576E-10,126.0,51.587301587301596,-4.231082180634648,126.0,11624.0
133.0,0.048742507,1.4657540178754266E-10,133.0,51.8796992481203,-3.9570102589154783,133.0,11624.0
140.0,0.050054996,1.5052223617004027E-10,140.0,52.142857142857146,-3.715170278637767,140.0,11624.0
147.0,0.05130371,1.5427729038314691E-10,147.0,52.38095238095239,-3.500301750150848,147.0,11624.0
154.0,0.052617185,1.5822708980283808E-10,154.0,51.94805194805194,-3.562340966921132,154.0,11624.0
161.0,0.053908053,1.6210890687381232E-10,161.0,50.931677018633536,-3.8200963186678623,161.0,11624.0
168.0,0.055649173,1.6734469344425537E-10,168.0,50.0,-4.009433962264163,168.0,11624.0
175.0,0.057552219,1.730674136988819E-10,175.0,50.857142857142854,-3.607324796915877,175.0,11624.0
182.0,0.05877097,1.7673236506266731E-10,182.0,51.098901098901095,-3.42229600306476,182.0,11624.0
189.0,0.05998516,1.8038360087407965E-10,189.0,51.85185185185185,-3.09296889048732,189.0,11624.0
196.0,0.061487261,1.8490062453887534E-10,196.0,52.55102040816326,-2.7972027972028197,196.0,11624.0
203.0,0.062718668,1.8860363422996473E-10,203.0,53.69458128078818,-2.382229852988513,203.0,11624.0
210.0,0.064551114,1.9411405060440308E-10,210.0,54.285714285714285,-2.1483583299554403,210.0,11624.0
217.0,0.06542032,1.967278722259734E-10,217.0,54.377880184331794,-2.0715541407326663,217.0,11624.0
224.0,0.066166336,1.989712446265751E-10,224.0,55.35714285714286,-1.7441860465116366,224.0,11624.0
231.0,0.067805144,2.0389936498469783E-10,231.0,54.54545454545454,-1.9331792393360314,231.0,11624.0
238.0,0.068619017,2.0634679268838637E-10,238.0,55.04201680672269,-1.7581715016382848,238.0,11624.0
245.0,0.069363189,2.0858461992815142E-10,245.0,54.69387755102041,-1.8119875706637434,245.0,11624.0
252.0,0.070034989,2.1060481464076378E-10,252.0,55.158730158730165,-1.6564329573040109,252.0,11624.0
259.0,0.070839979,2.1302552994547624E-10,259.0,55.5984555984556,-1.5132408575031606,259.0,11624.0
266.0,0.07161026,2.1534187052812846E-10,266.0,55.639097744360896,-1.4742014742014962,266.0,11624.0
273.0,0.072981233,2.1946457431755138E-10,273.0,56.41025641025641,-1.2592338621699837,273.0,11624.0
280.0,0.073775038,2.2185165479365328E-10,280.0,56.42857142857143,-1.2328117591275374,280.0,11624.0
287.0,0.074736103,2.247417090233002E-10,287.0,55.749128919860624,-1.368301026225769,287.0,11624.0
294.0,0.075331171,2.2653116009094653E-10,294.0,55.78231292517006,-1.3363028953229596,294.0,11624.0
301.0,0.076398399,2.297404610179365E-10,301.0,55.48172757475083,-1.3773689237420168,301.0,11624.0
308.0,0.077457646,2.3292576198362644E-10,308.0,55.519480519480524,-1.344989912575633,308.0,11624.0
315.0,0.079145269,2.3800067573992744E-10,315.0,55.87301587301587,-1.2486992715920724,315.0,11624.0
322.0,0.080060961,2.407542871373395E-10,322.0,56.2111801242236,-1.1585936455594565,322.0,11624.0
329.0,0.080809645,2.430056825797591E-10,329.0,55.92705167173252,-1.1964107676968947,329.0,11624.0
336.0,0.081493036,2.4506073301864993E-10,336.0,55.654761904761905,-1.2293756065997796,336.0,11624.0
343.0,0.082337741,2.4760087677381104E-10,343.0,55.39358600583091,-1.258031527968021,343.0,11624.0
350.0,0.083775661,2.5192489937154783E-10,350.0,55.714285714285715,-1.178708642620032,350.0,11624.0
357.0,0.084873482,2.552261976442403E-10,357.0,56.022408963585434,-1.103955841766329,357.0,11624.0
364.0,0.086228415,2.5930066695436835E-10,364.0,55.494505494505496,-1.1805078929306816,364.0,11624.0
371.0,0.086860404,2.612011445313692E-10,371.0,55.525606469002696,-1.1567379988432733,371.0,11624.0
378.0,0.087405541,2.62840446235819E-10,378.0,55.55555555555556,-1.1339024079500468,378.0,11624.0
385.0,0.088026583,2.6470800468284227E-10,385.0,56.1038961038961,-1.0247651579846362,385.0,11624.0
392.0,0.088604901,2.664470862038434E-10,392.0,56.12244897959183,-1.0067114093959817,392.0,11624.0
399.0,0.089140431,2.680574983420472E-10,399.0,56.14035087719298,-0.9892827699917706,399.0,11624.0
406.0,0.090597915,2.724403525702656E-10,406.0,56.40394088669951,-0.9326104665861543,406.0,11624.0
413.0,0.091167431,2.741529652703968E-10,413.0,56.17433414043583,-0.9561752988047946,413.0,11624.0
420.0,0.091710982,2.7578749765538516E-10,420.0,55.952380952380956,-0.9772833601913069,420.0,11624.0
427.0,0.092246776,2.773987036777868E-10,427.0,55.73770491803278,-0.9961580337141981,427.0,11624.0
434.0,0.092791241,2.7903598458609656E-10,434.0,55.06912442396313,-1.0797123951938477,434.0,11624.0
441.0,0.093333216,2.806657777229946E-10,441.0,54.87528344671202,-1.0920275080347053,441.0,11624.0
448.0,0.094434965,2.8397888803026754E-10,448.0,54.91071428571429,-1.0721944245889723,448.0,11624.0
455.0,0.094997515,2.8567055301326856E-10,455.0,54.94505494505495,-1.0530535302211164,455.0,11624.0
462.0,0.095814733,2.881280395906006E-10,462.0,55.1948051948052,-1.0054709448469585,462.0,11624.0
469.0,0.096358377,2.897628516393404E-10,469.0,55.010660980810236,-1.016710390657693,469.0,11624.0
476.0,0.096891558,2.9136620001246543E-10,476.0,55.25210084033614,-0.9719953790383383,476.0,11624.0
483.0,0.097420323,2.929562688680988E-10,483.0,55.27950310559007,-0.9560673504934922,483.0,11624.0
490.0,0.098460175,2.9608324640947927E-10,490.0,55.306122448979586,-0.9406452826639142,490.0,11624.0
497.0,0.098981832,2.9765194053451233E-10,497.0,55.33199195171026,-0.9257057133971371,497.0,11624.0
504.0,0.09951009,2.992404847716293E-10,504.0,55.55555555555556,-0.8864741206748614,504.0,11624.0
511.0,0.100038649,3.0082993415701735E-10,511.0,55.57729941291585,-0.8730966232727235,511.0,11624.0
518.0,0.100674874,3.027431499668295E-10,518.0,55.21235521235521,-0.9068314636931458,518.0,11624.0
525.0,0.101239703,3.044416682153114E-10,525.0,54.666666666666664,-0.9599069181170256,525.0,11624.0
532.0,0.102297606,3.0762292758872125E-10,532.0,54.88721804511278,-0.9232325787276909,532.0,11624.0
539.0,0.102822416,3.092011032170721E-10,539.0,54.916512059369204,-0.9091119209226698,539.0,11624.0
546.0,0.103344158,3.107700529487598E-10,546.0,54.94505494505495,-0.8954057870857007,546.0,11624.0
553.0,0.103994504,3.127257325417467E-10,553.0,54.61121157323689,-0.9219471407278058,553.0,11624.0
560.0,0.104540693,3.143681977544395E-10,560.0,54.64285714285714,-0.9080590238365602,560.0,11624.0
567.0,0.105073157,3.1596939001025437E-10,567.0,54.85008818342152,-0.8756567425569399,567.0,11624.0
574.0,0.106258062,3.1953256181130816E-10,574.0,54.87804878048781,-0.8629930662035037,574.0,11624.0
581.0,0.107083974,3.2201619243870187E-10,581.0,54.90533562822719,-0.8506804118247348,581.0,11624.0
588.0,0.10766576,3.237657027112114E-10,588.0,55.10204081632652,-0.8209498077522545,588.0,11624.0
595.0,0.108297762,3.2566621938099473E-10,595.0,54.957983193277315,-0.8270524558652496,595.0,11624.0
