learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5.0,0.660616376,3.897493685979976E-7,5.0,60.0,0.0,5.0,2280544.0,100.0,3.6700000000000004,0.20002777584903333,17055.679999999986,396.2666327337968,0.9499999999999998,0.021904291355759033,0.9499999999999998,0.021904291355759033,0.9499999999999998,0.021904291355759033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.960722522,5.755810432101497E-7,10.0,70.0,39.99999999999999,10.0,2393576.0,100.0,8.049999999999999,0.3382590603652649,18186.0,47.31967365854836,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,1.116034668,6.724846671795721E-7,15.0,66.66666666666666,28.571428571428566,15.0,2411776.0,100.0,13.749999999999998,0.44435289461136074,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,1.2821746,7.761440519184413E-7,20.0,65.0,28.571428571428577,20.0,2411776.0,100.0,18.030000000000005,0.5255982642223388,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,1.418733007,8.613466897198104E-7,25.0,64.0,24.749163879598655,25.0,2411776.0,100.0,23.640000000000008,0.6376281808151967,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,1.576762129,9.59945511569236E-7,30.0,63.33333333333333,23.255813953488378,30.0,2411776.0,100.0,30.129999999999995,0.7647083024780025,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,1.686622026,1.0284901967235283E-6,35.0,68.57142857142857,29.357798165137616,35.0,2411776.0,100.0,33.309999999999995,0.8368646391397023,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,1.791754032,1.0940850174697117E-6,40.0,70.0,29.41176470588233,40.0,2411776.0,100.0,39.25,0.9351038401798979,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,1.904761854,1.1645937817275401E-6,45.0,71.11111111111111,29.0909090909091,45.0,2411776.0,100.0,42.97,0.9988331576232726,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,2.029927119,1.2426879172215735E-6,50.0,74.0,34.8697394789579,50.0,2411776.0,100.0,46.15,1.0552777412184489,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,2.15177204,1.3187103965398876E-6,55.0,74.54545454545455,36.78160919540231,55.0,2411776.0,100.0,52.6,1.1588046784632355,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,2.264091251,1.3887895169924903E-6,60.0,75.0,37.8453038674033,60.0,2411776.0,100.0,58.19999999999998,1.2242499249695213,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65.0,2.375258926,1.4581501616889777E-6,65.0,76.92307692307693,41.7910447761194,65.0,2411776.0,100.0,59.97,1.2536375356166833,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,2.490076885,1.5297883214235845E-6,70.0,75.71428571428571,42.06426484907497,70.0,2411776.0,100.0,67.54999999999997,1.3691680729995173,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75.0,2.599710943,1.5981920992625299E-6,75.0,74.66666666666667,41.717791411042946,75.0,2411776.0,100.0,74.82000000000001,1.539538170289317,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,2.710167727,1.6671091990340295E-6,80.0,73.75,39.13043478260871,80.0,2411776.0,100.0,81.60000000000001,1.6611423597614803,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85.0,2.829630947,1.7416456679915596E-6,85.0,74.11764705882354,39.677419354838705,85.0,2411776.0,100.0,88.22000000000003,1.6400652857170477,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,2.959565468,1.8227154766827036E-6,90.0,74.44444444444444,41.62436548223351,90.0,2411776.0,100.0,97.49,1.7445728254889055,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95.0,3.067147082,1.889838676880321E-6,95.0,73.68421052631578,40.01010356150542,95.0,2411776.0,100.0,106.59000000000002,1.8032571540510698,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,3.180747912,1.960717435537962E-6,100.0,72.0,37.38819320214669,100.0,2411776.0,100.0,119.52000000000004,1.8122746463876258,18368.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
