learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5.0,0.129780201,6.166914715866247E-10,5.0,20.0,0.0,5.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.143432124,6.815628804763158E-10,10.0,50.0,0.0,10.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.148263288,7.045196767648061E-10,15.0,46.666666666666664,-9.09090909090908,15.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.151501795,7.199084620508883E-10,20.0,55.00000000000001,6.250000000000005,20.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25.0,0.155018912,7.366211504406399E-10,25.0,52.0,-3.448275862068969,25.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.158025123,7.509061081707478E-10,30.0,46.666666666666664,-14.832535885167463,30.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35.0,0.160805689,7.641188426646922E-10,35.0,48.57142857142857,-14.130434782608706,35.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.165289157,7.854234519766437E-10,40.0,52.5,-10.46511627906975,40.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.167866278,7.976694535215696E-10,45.0,57.77777777777777,-5.1660516605166,45.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.170510694,8.102352284391722E-10,50.0,62.0,-1.2793176972281521,50.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55.0,0.172807913,8.211511875357893E-10,55.0,61.81818181818181,-2.666666666666676,55.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60.0,0.175121412,8.321445061763128E-10,60.0,61.66666666666667,-3.6036036036035966,60.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65.0,0.177918088,8.454337924056583E-10,65.0,60.0,-5.625000000000024,65.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70.0,0.180159407,8.560841250585186E-10,70.0,60.0,-5.831533477321826,70.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75.0,0.183188549,8.704780466523436E-10,75.0,61.33333333333333,-5.942523136872895,75.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80.0,0.185407392,8.810215775171916E-10,80.0,62.5,-5.170902716915019,80.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
85.0,0.187537412,8.911430379417208E-10,85.0,64.70588235294117,-3.5743298131600425,85.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.189702232,9.014298615190719E-10,90.0,64.44444444444444,-1.0526315789473542,90.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
95.0,0.19194823,9.12102427913083E-10,95.0,64.21052631578948,0.9809932556713616,95.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
100.0,0.1942667,9.231193678246605E-10,100.0,66.0,2.3549684089603633,100.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
105.0,0.195539782,9.291688176327282E-10,105.0,67.61904761904762,6.593406593406609,105.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
110.0,0.196717554,9.34765371978283E-10,110.0,68.18181818181817,16.26794258373207,110.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
115.0,0.198230322,9.41953765253226E-10,115.0,67.82608695652173,18.094321462945135,115.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
120.0,0.200189529,9.512635539472103E-10,120.0,67.5,18.29608938547485,120.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
125.0,0.203059988,9.649034433232414E-10,125.0,68.0,22.576649117373815,125.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
130.0,0.205012904,9.7418333835072E-10,130.0,69.23076923076923,23.731299501320034,130.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
135.0,0.206833512,9.828345302740734E-10,135.0,69.62962962962963,23.454570598810694,135.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
140.0,0.208809708,9.92225047548612E-10,140.0,68.57142857142857,22.12389380530976,140.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
145.0,0.211323733,1.004171228590939E-9,145.0,68.27586206896552,20.765027322404364,145.0,18368.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
