learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
5.0,0.39116959,1.1719208351193617E-7,5.0,40.0,11.764705882352937,5.0,1158072.0,50.0,0.0
10.0,0.576990013,1.7542135501505187E-7,10.0,50.0,0.0,10.0,1211296.0,50.0,0.0
15.0,0.651927448,1.9898540780710056E-7,15.0,53.333333333333336,8.695652173913047,15.0,1215496.0,50.0,0.0
20.0,0.727382523,2.2271223233382734E-7,20.0,60.0,19.999999999999996,20.0,1215496.0,50.0,0.0
25.0,0.788677918,2.4198654995211087E-7,25.0,64.0,24.749163879598655,25.0,1215496.0,50.0,0.0
30.0,0.862195265,2.6510405652061515E-7,30.0,63.33333333333333,25.33936651583711,30.0,1215496.0,50.0,0.0
35.0,0.934544549,2.87854266047308E-7,35.0,62.857142857142854,22.22222222222223,35.0,1215496.0,50.0,0.0
40.0,0.997038276,3.075053987849028E-7,40.0,60.0,15.567282321899734,40.0,1215496.0,50.0,0.0
45.0,1.056027966,3.260546881934152E-7,45.0,64.44444444444444,20.704845814977983,45.0,1215496.0,50.0,0.0
50.0,1.112618085,3.4384943325807236E-7,50.0,68.0,24.385633270321378,50.0,1215496.0,50.0,0.0
55.0,1.166584851,3.6081926579958037E-7,55.0,67.27272727272727,23.846153846153847,55.0,1215496.0,50.0,0.0
60.0,1.222049346,3.7826005875258607E-7,60.0,66.66666666666666,20.739762219286654,60.0,1215496.0,50.0,0.0
65.0,1.274879989,3.948726377752051E-7,65.0,66.15384615384615,22.7027027027027,65.0,1215496.0,50.0,0.0
70.0,1.325660267,4.1084048017049004E-7,70.0,67.14285714285714,26.484018264840177,70.0,1215496.0,50.0,0.0
75.0,1.378044382,4.273126486043943E-7,75.0,69.33333333333334,28.865979381443303,75.0,1215496.0,50.0,0.0
80.0,1.44913354,4.4966661190797264E-7,80.0,68.75,26.578560939794404,80.0,1215496.0,50.0,0.0
85.0,1.487943177,4.618702900176951E-7,85.0,70.58823529411765,28.427079824856875,85.0,1215496.0,50.0,0.0
90.0,1.525892306,4.7380338165831856E-7,90.0,67.77777777777779,22.551928783382802,90.0,1215496.0,50.0,0.0
95.0,1.56335019,4.85582001463686E-7,95.0,67.36842105263158,22.397891963109352,95.0,1215496.0,50.0,0.0
100.0,1.597323178,4.962647968213819E-7,100.0,69.0,24.019607843137248,100.0,1215496.0,50.0,0.0
105.0,1.630588158,5.067249592868632E-7,105.0,69.52380952380952,23.809523809523807,105.0,1215496.0,50.0,0.0
110.0,1.66426272,5.173139146830162E-7,110.0,70.9090909090909,31.914893617021296,110.0,1215496.0,50.0,0.0
115.0,1.69891705,5.282109578176402E-7,115.0,71.30434782608695,33.827375762859624,115.0,1215496.0,50.0,0.0
120.0,1.73298339,5.389231076822823E-7,120.0,70.83333333333334,32.12669683257919,120.0,1215496.0,50.0,0.0
125.0,1.766940853,5.496010212086265E-7,125.0,71.2,35.47462001720675,125.0,1215496.0,50.0,0.0
130.0,1.800480091,5.60147424015676E-7,130.0,72.3076923076923,36.705436840681635,130.0,1215496.0,50.0,0.0
135.0,1.837557522,5.718064104952311E-7,135.0,73.33333333333333,37.803941643204496,135.0,1215496.0,50.0,0.0
140.0,1.871471601,5.824706819364635E-7,140.0,71.42857142857143,33.72781065088758,140.0,1215496.0,50.0,0.0
145.0,1.912093868,5.952443409777785E-7,145.0,72.41379310344827,34.75815523059618,145.0,1215496.0,50.0,0.0
150.0,1.945402101,6.057181043354629E-7,150.0,72.0,33.34743969530257,150.0,1215496.0,50.0,0.0
155.0,1.983195208,6.176021349074132E-7,155.0,71.61290322580646,32.83435099468191,155.0,1215496.0,50.0,0.0
160.0,2.01837377,6.286640226290353E-7,160.0,72.5,33.734939759036145,160.0,1215496.0,50.0,0.0
165.0,2.05529753,6.402746873111256E-7,165.0,72.72727272727273,35.06777437691299,165.0,1215496.0,50.0,0.0
170.0,2.094820676,6.52702728100777E-7,170.0,73.52941176470588,39.23749007148532,170.0,1215496.0,50.0,0.0
175.0,2.133695976,6.649270539201319E-7,175.0,73.71428571428571,41.19795471146821,175.0,1215496.0,50.0,0.0
180.0,2.169962292,6.76330985543854E-7,180.0,74.44444444444444,43.84156266956051,180.0,1215496.0,50.0,0.0
185.0,2.215875609,6.907684135882761E-7,185.0,74.5945945945946,43.666990605766124,185.0,1215496.0,50.0,0.0
190.0,2.251243617,7.018898725448257E-7,190.0,74.73684210526315,44.28833231521075,190.0,1215496.0,50.0,0.0
195.0,2.290876827,7.143525229245505E-7,195.0,74.87179487179488,44.880299971156624,195.0,1215496.0,50.0,0.0
200.0,2.331050579,7.269851465656275E-7,200.0,74.5,43.783068783068785,200.0,1215496.0,50.0,0.0
205.0,2.36850191,7.387617057822125E-7,205.0,74.14634146341463,42.72233644367125,205.0,1215496.0,50.0,0.0
210.0,2.405891436,7.505188304360478E-7,210.0,74.28571428571429,42.940525309449534,210.0,1215496.0,50.0,0.0
215.0,2.440867637,7.615170858050673E-7,215.0,73.95348837209302,42.32611611419812,215.0,1215496.0,50.0,0.0
220.0,2.47425477,7.720156592428578E-7,220.0,74.54545454545455,43.00518134715026,220.0,1215496.0,50.0,0.0
225.0,2.508569939,7.828060533080413E-7,225.0,74.66666666666667,42.819563957376616,225.0,1215496.0,50.0,0.0
230.0,2.541759188,7.932424021844667E-7,230.0,74.34782608695653,41.84451872803635,230.0,1215496.0,50.0,0.0
235.0,2.574179954,8.034371018240081E-7,235.0,74.04255319148936,42.031622791055035,235.0,1215496.0,50.0,0.0
240.0,2.607937365,8.140521090620712E-7,240.0,73.75,41.48606811145512,240.0,1215496.0,50.0,0.0
245.0,2.641811822,8.247039213779049E-7,245.0,73.87755102040816,42.04612655233589,245.0,1215496.0,50.0,0.0
250.0,2.674431751,8.349612477599578E-7,250.0,73.6,41.19324256896428,250.0,1215496.0,50.0,0.0
255.0,2.708048093,8.4553189589548E-7,255.0,73.33333333333333,40.3631861328931,255.0,1215496.0,50.0,0.0
260.0,2.741655448,8.560997180716877E-7,260.0,73.84615384615385,40.94067343666489,260.0,1215496.0,50.0,0.0
265.0,2.775757469,8.668230878155221E-7,265.0,74.33962264150942,41.485907260683206,265.0,1215496.0,50.0,0.0
270.0,2.815941524,8.794589512316983E-7,270.0,74.07407407407408,40.65934065934065,270.0,1215496.0,50.0,0.0
275.0,2.852300252,8.908919417796632E-7,275.0,74.54545454545455,41.16748166259169,275.0,1215496.0,50.0,0.0
280.0,2.891688361,9.032775202272705E-7,280.0,74.28571428571429,40.716344174557435,280.0,1215496.0,50.0,0.0
285.0,2.929038134,9.150221445627983E-7,285.0,74.73684210526315,41.19669876203576,285.0,1215496.0,50.0,0.0
290.0,2.965899385,9.26613153309561E-7,290.0,75.17241379310344,41.65316045380874,290.0,1215496.0,50.0,0.0
295.0,3.001733663,9.378812307204965E-7,295.0,75.59322033898304,42.08746864434507,295.0,1215496.0,50.0,0.0
300.0,3.037828693,9.492313015155615E-7,300.0,75.66666666666667,41.88515019636982,300.0,1215496.0,50.0,0.0
305.0,3.073575797,9.604719670897016E-7,305.0,75.73770491803279,41.69163997106541,305.0,1215496.0,50.0,0.0
310.0,3.109410038,9.717400328659988E-7,310.0,75.80645161290323,41.860465116279066,310.0,1215496.0,50.0,0.0
315.0,3.144952966,9.829164953613588E-7,315.0,75.87301587301587,42.390990470690156,315.0,1215496.0,50.0,0.0
320.0,3.180140997,9.939813606070434E-7,320.0,76.25,42.77108433734939,320.0,1215496.0,50.0,0.0
325.0,3.216761461,1.0054966539576273E-6,325.0,76.61538461538461,44.168173598553345,325.0,1215496.0,50.0,0.0
330.0,3.253339228,1.0169985212500327E-6,330.0,76.66666666666667,44.618804760036625,330.0,1215496.0,50.0,0.0
335.0,3.289580897,1.0283947026323813E-6,335.0,77.01492537313432,44.97301448471531,335.0,1215496.0,50.0,0.0
340.0,3.326265827,1.0399302672963254E-6,340.0,76.47058823529412,44.296539012901896,340.0,1215496.0,50.0,0.0
345.0,3.361884161,1.0511304411845939E-6,345.0,75.94202898550725,43.34975369458128,345.0,1215496.0,50.0,0.0
350.0,3.396889408,1.0621378300591491E-6,350.0,76.28571428571429,43.703732413472366,350.0,1215496.0,50.0,0.0
355.0,3.433074708,1.0735162862272329E-6,355.0,76.05633802816901,43.60129338541764,355.0,1215496.0,50.0,0.0
360.0,3.469761296,1.085052372248754E-6,360.0,76.11111111111111,44.27645788336932,360.0,1215496.0,50.0,0.0
365.0,3.507082975,1.0967881624348458E-6,365.0,76.16438356164383,45.16775162744116,365.0,1215496.0,50.0,0.0
370.0,3.541928973,1.1077454755115961E-6,370.0,75.94594594594595,44.765003857895266,370.0,1215496.0,50.0,0.0
375.0,3.576142596,1.1185039384691187E-6,375.0,76.0,44.61402126821583,375.0,1215496.0,50.0,0.0
380.0,3.613361492,1.1302074085732899E-6,380.0,76.05263157894737,45.4298699659134,380.0,1215496.0,50.0,0.0
385.0,3.651195761,1.1421043825231532E-6,385.0,76.1038961038961,45.2854671280277,385.0,1215496.0,50.0,0.0
390.0,3.690784498,1.1545530483820598E-6,390.0,75.8974358974359,45.127974854063766,390.0,1215496.0,50.0,0.0
395.0,3.728473216,1.1664042538658962E-6,395.0,76.20253164556962,45.461222091656865,395.0,1215496.0,50.0,0.0
400.0,3.764119292,1.1776131512173117E-6,400.0,75.75,44.842488343000106,400.0,1215496.0,50.0,0.0
405.0,3.798109444,1.1883013437893922E-6,405.0,75.80246913580247,44.718368711348816,405.0,1215496.0,50.0,0.0
410.0,3.833463349,1.1994183680620414E-6,410.0,75.85365853658537,45.43914831841277,410.0,1215496.0,50.0,0.0
415.0,3.867245604,1.210041187488066E-6,415.0,75.90361445783132,45.72325398901387,415.0,1215496.0,50.0,0.0
420.0,3.900343301,1.220448747866977E-6,420.0,75.95238095238095,45.99205540843348,420.0,1215496.0,50.0,0.0
425.0,3.929502025,1.2296176994288337E-6,425.0,76.0,45.87744706352376,425.0,1215496.0,50.0,0.0
430.0,3.95750184,1.2384222324212907E-6,430.0,76.04651162790698,45.75627679118187,430.0,1215496.0,50.0,0.0
435.0,3.986663812,1.2475922053157226E-6,435.0,76.0919540229885,46.02462536985779,435.0,1215496.0,50.0,0.0
440.0,4.015259284,1.2565840424638923E-6,440.0,76.36363636363637,46.326358262175106,440.0,1215496.0,50.0,0.0
445.0,4.04329958,1.2654013046940269E-6,445.0,76.62921348314606,46.61806773092184,445.0,1215496.0,50.0,0.0
450.0,4.071406855,1.2742396284495788E-6,450.0,76.88888888888889,46.90024507579194,450.0,1215496.0,50.0,0.0
455.0,4.100070221,1.2832528148446272E-6,455.0,76.92307692307693,46.76227727075186,455.0,1215496.0,50.0,0.0
460.0,4.131075517,1.2930024203892672E-6,460.0,77.17391304347827,47.977252164921794,460.0,1215496.0,50.0,0.0
