learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.06399111,7.203214021399618E-9,1.0,100.0,?,1.0,435120.0,50.0,0.9599999999999999,0.15375570339512812,2895.519999999999,334.4916511450088,0.5800000000000001,0.07050835816716038,0.5800000000000001,0.07050835816716038,0.5800000000000001,0.07050835816716038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.166218114,2.0341474137157202E-8,2.0,100.0,?,2.0,496792.0,50.0,2.0200000000000005,0.20501866515325987,4128.959999999998,248.45416110709147,0.8399999999999999,0.05237229365663817,0.8399999999999999,0.05237229365663817,0.8399999999999999,0.05237229365663817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.206295518,2.5639798092775874E-8,3.0,100.0,?,3.0,511024.0,50.0,3.0999999999999996,0.25753937681885636,4413.6,203.31428571428572,0.8999999999999998,0.04285714285714286,0.8999999999999998,0.04285714285714286,0.8999999999999998,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.256462001,3.272594726383893E-8,4.0,75.0,0.0,4.0,546008.0,50.0,4.1000000000000005,0.2788460185134733,5113.28,108.40537316301368,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.299886576,3.8873264758156405E-8,5.0,80.0,0.0,5.0,547208.0,50.0,4.779999999999999,0.2986910218446685,5137.279999999999,108.99439056901141,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.339593085,4.45470809940911E-8,6.0,83.33333333333334,0.0,6.0,552352.0,50.0,5.780000000000001,0.32235105720570034,5240.16,39.3856428829862,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.368413413,4.866532883429693E-8,7.0,85.71428571428571,0.0,7.0,552352.0,50.0,6.6800000000000015,0.3816612452456353,5240.16,39.3856428829862,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.398922601,5.3096633695239827E-8,8.0,75.0,0.0,8.0,561440.0,50.0,8.04,0.38751958475853665,5421.92,19.270360872678687,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.428278818,5.736047536454267E-8,9.0,77.77777777777779,0.0,9.0,561440.0,50.0,8.94,0.40849150067345213,5421.92,19.270360872678687,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.456408064,6.145437245310181E-8,10.0,80.0,41.176470588235304,10.0,562576.0,50.0,9.880000000000004,0.41170625549817247,5444.6399999999985,11.360000000000007,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,0.484636566,6.556271514213748E-8,11.0,81.81818181818183,42.10526315789475,11.0,562576.0,50.0,10.86,0.41601609074061296,5444.6399999999985,11.360000000000007,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.513025117,6.969435117274108E-8,12.0,83.33333333333334,42.85714285714286,12.0,562576.0,50.0,11.7,0.4182080333801271,5444.6399999999985,11.360000000000007,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,0.540762923,7.37353543969906E-8,13.0,76.92307692307693,31.578947368421055,13.0,563144.0,50.0,12.660000000000004,0.4559000964676183,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.570204178,7.802452587583619E-8,14.0,71.42857142857143,24.324324324324323,14.0,563144.0,50.0,13.840000000000002,0.4885296556912343,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.600285982,8.240701621970989E-8,15.0,73.33333333333333,37.499999999999986,15.0,563144.0,50.0,14.94,0.5098299036073158,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.629949796,8.672861137462365E-8,16.0,75.0,45.76271186440678,16.0,563144.0,50.0,16.1,0.5490251100164465,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,0.660255771,9.114376024000347E-8,17.0,76.47058823529412,46.874999999999986,17.0,563144.0,50.0,16.959999999999994,0.5613104201376471,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.689442963,9.539591835873822E-8,18.0,77.77777777777779,52.63157894736842,18.0,563144.0,50.0,18.04,0.5938184976600723,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,0.718517483,9.96316617720243E-8,19.0,78.94736842105263,53.65853658536586,19.0,563144.0,50.0,19.0,0.6200724118345917,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.748216648,1.0395840706408231E-7,20.0,80.0,57.89473684210527,20.0,563144.0,50.0,20.000000000000007,0.6375975315548971,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
