learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.098051225,1.9392551783679263E-8,1.0,100.0,?,1.0,764512.0,100.0,0.52,0.07847022210734309,1946.7199999999996,231.42737328818885,0.38000000000000006,0.048783173121456344,0.38000000000000006,0.048783173121456344,0.38000000000000006,0.048783173121456344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.26976224,5.883268004620655E-8,2.0,100.0,?,2.0,887856.0,100.0,1.0500000000000007,0.10859525446781408,3180.1599999999994,228.8591709883057,0.6399999999999999,0.048241815132442176,0.6399999999999999,0.048241815132442176,0.6399999999999999,0.048241815132442176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.373656119,8.435354366281588E-8,3.0,100.0,?,3.0,949528.0,100.0,1.48,0.12430006054103533,3796.8799999999997,200.6487061729751,0.7699999999999997,0.04229525846816508,0.7699999999999997,0.04229525846816508,0.7699999999999997,0.04229525846816508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.483437346,1.145955128488731E-7,4.0,75.0,0.0,4.0,1064840.0,100.0,2.7600000000000002,0.1676456098591625,4950.0,124.39573866487467,0.9399999999999998,0.023868325657594204,0.9399999999999998,0.023868325657594204,0.9399999999999998,0.023868325657594204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.574306939,1.3976753384851333E-7,5.0,80.0,0.0,5.0,1070784.0,100.0,2.9400000000000004,0.16986031099855334,5009.44,114.80456148330401,0.9499999999999998,0.021904291355759036,0.9499999999999998,0.021904291355759036,0.9499999999999998,0.021904291355759036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.666008981,1.654426879324971E-7,6.0,83.33333333333334,0.0,6.0,1082272.0,100.0,3.3600000000000003,0.18063859784194242,5124.320000000001,91.47160831248526,0.97,0.01714466079977653,0.97,0.01714466079977653,0.97,0.01714466079977653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.760335067,1.921328665410603E-7,7.0,85.71428571428571,0.0,7.0,1093760.0,100.0,3.939999999999998,0.192180470738661,5239.200000000001,57.33592665029913,0.99,0.009999999999999998,0.99,0.009999999999999998,0.99,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.85578576,2.1943580004653376E-7,8.0,75.0,0.0,8.0,1105688.0,100.0,6.050000000000001,0.29588934595639815,5358.480000000001,54.60551731475605,0.99,0.009999999999999998,0.99,0.009999999999999998,0.99,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.952100836,2.469859836329706E-7,9.0,77.77777777777779,0.0,9.0,1105688.0,100.0,6.84,0.34836414246815894,5358.480000000001,54.60551731475605,0.99,0.009999999999999998,0.99,0.009999999999999998,0.99,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,1.045748122,2.7382810937529434E-7,10.0,70.0,0.0,10.0,1107960.0,100.0,8.699999999999994,0.3911908779998622,5381.2,53.767610692646166,0.99,0.009999999999999998,0.99,0.009999999999999998,0.99,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,1.139306721,3.007789999412311E-7,11.0,72.72727272727273,0.0,11.0,1113504.0,100.0,10.969999999999999,0.44071910933533776,5436.640000000003,9.680591016267675,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,1.21868709,3.2365386317759136E-7,12.0,75.0,0.0,12.0,1113904.0,100.0,12.48,0.4635131545538318,5440.6399999999985,8.885665678240121,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,1.278709465,3.409503766171614E-7,13.0,69.23076923076923,0.0,13.0,1113904.0,100.0,14.159999999999995,0.4668224848089822,5440.6399999999985,8.885665678240121,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,1.337314044,3.5784693843165625E-7,14.0,71.42857142857143,24.324324324324323,14.0,1114472.0,100.0,15.379999999999997,0.48508668391236115,5446.32,6.914001019743215,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,1.394832523,3.7443881352744587E-7,15.0,73.33333333333333,37.499999999999986,15.0,1115040.0,100.0,15.719999999999999,0.4950420857529859,5452.0,4.000000000000002,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,1.453876714,3.9147079801722953E-7,16.0,75.0,45.76271186440678,16.0,1115040.0,100.0,15.759999999999998,0.49870944558040103,5452.0,4.000000000000002,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,1.523846544,4.116616508085074E-7,17.0,70.58823529411765,35.1145038167939,17.0,1115440.0,100.0,18.300000000000004,0.5103969538555754,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,1.569781613,4.2491690976992254E-7,18.0,72.22222222222221,41.55844155844156,18.0,1115440.0,100.0,18.35,0.5077928075047295,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,1.614608919,4.378525069619633E-7,19.0,73.68421052631578,43.113772455089816,19.0,1115440.0,100.0,18.819999999999993,0.525199336856344,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,1.656307943,4.4988539106535423E-7,20.0,75.0,47.916666666666664,20.0,1115440.0,100.0,19.2,0.5304848173266993,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,1.700244943,4.6256407699456655E-7,21.0,76.19047619047619,49.275362318840564,21.0,1115440.0,100.0,19.650000000000006,0.5488969655480695,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,1.739949892,4.740215405948668E-7,22.0,77.27272727272727,52.991452991452995,22.0,1115440.0,100.0,21.40000000000001,0.5916933412681018,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,1.783083348,4.864683517486893E-7,23.0,78.26086956521739,55.93869731800767,23.0,1115440.0,100.0,21.440000000000012,0.5891819358528855,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.82311835,4.980210571344323E-7,24.0,75.0,48.93617021276596,24.0,1115440.0,100.0,23.59,0.6190731096982934,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,1.862760661,5.09460445592387E-7,25.0,76.0,51.61290322580645,25.0,1115440.0,100.0,24.280000000000005,0.6394568402207067,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,1.902851392,5.210292324240217E-7,26.0,73.07692307692307,45.50898203592813,26.0,1115440.0,100.0,26.400000000000006,0.6773388212614708,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,1.942265456,5.324027567577239E-7,27.0,70.37037037037037,40.0,27.0,1115440.0,100.0,28.190000000000005,0.7147359475690828,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.981816692,5.438158641468528E-7,28.0,67.85714285714286,35.051546391752595,28.0,1115440.0,100.0,29.55,0.7756880295530667,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29.0,2.020856421,5.550813684542147E-7,29.0,68.96551724137932,36.8038740920097,29.0,1115440.0,100.0,29.580000000000013,0.773967869246691,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,2.059740284,5.663018952696895E-7,30.0,70.0,38.356164383561634,30.0,1115440.0,100.0,29.6,0.7756391955130695,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.0,2.098207843,5.774022912690624E-7,31.0,70.96774193548387,39.74082073434125,31.0,1115440.0,100.0,29.630000000000003,0.7755942654806474,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.0,2.136937576,5.885783415417084E-7,32.0,71.875,40.98360655737705,32.0,1115440.0,100.0,29.670000000000005,0.7801909893083742,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,2.176124421,5.998862983961074E-7,33.0,69.6969696969697,36.53846153846155,33.0,1115440.0,100.0,37.85999999999999,0.8018942220981164,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34.0,2.215892231,6.113619014887762E-7,34.0,70.58823529411765,37.72893772893774,34.0,1115440.0,100.0,38.599999999999994,0.8008833506910614,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,2.258235252,6.23580620667442E-7,35.0,71.42857142857143,38.81118881118882,35.0,1115440.0,100.0,39.319999999999986,0.8225213760999859,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,2.3005173,6.357817451646967E-7,36.0,72.22222222222221,41.558441558441544,36.0,1115440.0,100.0,39.58999999999997,0.8281773830392725,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37.0,2.342252849,6.478251691093049E-7,37.0,72.97297297297297,42.54658385093168,37.0,1115440.0,100.0,40.09000000000002,0.845199755242881,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.0,2.38143191,6.591308797727652E-7,38.0,71.05263157894737,38.70967741935484,38.0,1115440.0,100.0,41.41000000000001,0.8879774999424482,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,2.421094754,6.705761933384465E-7,39.0,71.7948717948718,39.66244725738396,39.0,1115440.0,100.0,41.419999999999995,0.8892375578794647,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,2.459867221,6.817645751531755E-7,40.0,72.5,42.105263157894726,40.0,1115440.0,100.0,42.21,0.8841242885340034,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41.0,2.500064765,6.933641844915849E-7,41.0,73.17073170731707,44.25216316440049,41.0,1115440.0,100.0,42.46,0.8933446403626355,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,2.539356379,7.047023740256414E-7,42.0,73.80952380952381,45.130641330166284,42.0,1115440.0,100.0,42.69000000000001,0.8894096328180258,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.0,2.578860562,7.161019035599094E-7,43.0,74.4186046511628,47.03247480403135,43.0,1115440.0,100.0,43.21000000000001,0.8929912280270917,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44.0,2.617865329,7.273573190533455E-7,44.0,75.0,48.72881355932203,44.0,1115440.0,100.0,43.730000000000004,0.9108609535860435,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,2.656700636,7.385638343005754E-7,45.0,73.33333333333333,45.454545454545446,45.0,1115440.0,100.0,46.35000000000002,0.9255492499815524,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46.0,2.698114403,7.505144031818958E-7,46.0,73.91304347826086,46.30350194552528,46.0,1115440.0,100.0,46.47999999999999,0.9378117663427501,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47.0,2.73969456,7.625129864144865E-7,47.0,74.46808510638297,47.09193245778611,47.0,1115440.0,100.0,47.27,0.944506177423906,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,2.781620982,7.746114896503382E-7,48.0,75.0,47.826086956521735,48.0,1115440.0,100.0,47.43999999999999,0.9399462696872571,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,2.821050416,7.859894492300228E-7,49.0,75.51020408163265,48.511383537653224,49.0,1115440.0,100.0,47.580000000000005,0.9405757961391675,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,2.861912466,7.977808118258707E-7,50.0,76.0,49.15254237288135,50.0,1115440.0,100.0,47.65999999999999,0.9392905123904252,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,2.904159317,8.099717796963951E-7,51.0,74.50980392156863,46.053702196908056,51.0,1115440.0,100.0,53.49000000000001,1.0504924290228577,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,2.946395991,8.221598108396349E-7,52.0,75.0,46.68769716088328,52.0,1115440.0,100.0,56.06000000000001,1.0401845213152512,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53.0,2.986887157,8.338441492473915E-7,53.0,75.47169811320755,47.28385615914309,53.0,1115440.0,100.0,57.000000000000014,1.0465913889161975,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,3.025515808,8.449910307799985E-7,54.0,75.92592592592592,48.90829694323145,54.0,1115440.0,100.0,57.18,1.0473998590063227,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,3.064758208,8.563150188699573E-7,55.0,76.36363636363637,49.46996466431096,55.0,1115440.0,100.0,58.269999999999996,1.0546534688673526,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,3.105233973,8.679949130862125E-7,56.0,76.78571428571429,50.000000000000014,56.0,1115440.0,100.0,58.820000000000014,1.0776311469556221,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57.0,3.144766651,8.794026652837381E-7,57.0,77.19298245614034,50.50100200400801,57.0,1115440.0,100.0,58.90000000000001,1.0739806066379152,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58.0,3.184061997,8.907419317428438E-7,58.0,77.58620689655173,51.97452229299363,58.0,1115440.0,100.0,60.27999999999998,1.0434093301782528,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59.0,3.222964364,9.019677981674052E-7,59.0,77.96610169491525,52.44885306881588,59.0,1115440.0,100.0,61.99,1.0631091242675936,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
