learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1.0,0.1133046,1.4327696338295938E-10,1.0,100.0,?,1.0,4888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.120476328,1.5234582210580509E-10,2.0,100.0,?,2.0,4888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3.0,0.124039405,1.5685143664272296E-10,3.0,100.0,?,3.0,4888.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.126000268,1.5961913810215065E-10,4.0,75.0,0.0,4.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5.0,0.127475785,1.6170178770812024E-10,5.0,80.0,0.0,5.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.128717776,1.6345482211353053E-10,6.0,83.33333333333334,0.0,6.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7.0,0.129885349,1.6510281766247421E-10,7.0,85.71428571428571,0.0,7.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.130981776,1.6665039268839693E-10,8.0,75.0,0.0,8.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.132456726,1.6873224199025169E-10,9.0,77.77777777777779,0.0,9.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.134289892,1.7131970282437074E-10,10.0,70.0,0.0,10.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11.0,0.135901674,1.7359468654005066E-10,11.0,72.72727272727273,0.0,11.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.136903044,1.7500809135743316E-10,12.0,75.0,0.0,12.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13.0,0.138080671,1.7667027783683608E-10,13.0,69.23076923076923,0.0,13.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.139710915,1.7897132013200062E-10,14.0,64.28571428571429,0.0,14.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.141404349,1.813615532860988E-10,15.0,66.66666666666666,19.354838709677434,15.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.142853778,1.8340738043396012E-10,16.0,68.75,31.03448275862069,16.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17.0,0.144930995,1.8633931220198674E-10,17.0,70.58823529411765,32.00000000000002,17.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.145921316,1.8773712167516353E-10,18.0,72.22222222222221,39.99999999999999,18.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19.0,0.146869206,1.890750410180125E-10,19.0,73.68421052631578,40.99378881987576,19.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.148151248,1.908846062525279E-10,20.0,75.0,46.80851063829787,20.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.149266084,1.9245816504996685E-10,21.0,76.19047619047619,47.76119402985074,21.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.150088336,1.936187499865062E-10,22.0,77.27272727272727,52.17391304347826,22.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23.0,0.150846858,1.946893818697168E-10,23.0,78.26086956521739,55.59845559845561,23.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.151611501,1.957686533675426E-10,24.0,75.0,48.201438848920866,24.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25.0,0.158029615,2.048276358077096E-10,25.0,76.0,51.298701298701296,25.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26.0,0.158935634,2.0610645544404787E-10,26.0,76.92307692307693,52.439024390243915,26.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.159665064,2.0713602480995988E-10,27.0,74.07407407407408,46.15384615384615,27.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.160325468,2.0806816597158712E-10,28.0,71.42857142857143,40.42553191489362,28.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29.0,0.160968091,2.0897520976555018E-10,29.0,72.41379310344827,41.70854271356784,29.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.161667706,2.0996269612055687E-10,30.0,73.33333333333333,42.85714285714285,30.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31.0,0.16285851,2.1164348155467048E-10,31.0,74.19354838709677,43.89140271493213,31.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32.0,0.163508985,2.1256160821972622E-10,32.0,75.0,44.827586206896555,32.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33.0,0.164152101,2.1346934786894256E-10,33.0,72.72727272727273,40.4809619238477,33.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34.0,0.164769138,2.1434027776329056E-10,34.0,73.52941176470588,41.37931034482759,34.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35.0,0.165363916,2.1517978972237973E-10,35.0,74.28571428571429,42.201834862385326,35.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.165921186,2.1596636022337612E-10,36.0,75.0,45.270270270270274,36.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37.0,0.166479212,2.1675399779652558E-10,37.0,75.67567567567568,46.02917341977311,37.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38.0,0.16705739,2.1757007933532202E-10,38.0,73.68421052631578,41.71779141104294,38.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.167645813,2.1840062139555816E-10,39.0,74.35897435897436,42.47787610619469,39.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.168194773,2.1917546257169713E-10,40.0,75.0,45.205479452054796,40.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41.0,0.169060185,2.2039696660099762E-10,41.0,75.60975609756098,47.57033248081841,41.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.169655813,2.2123767831052347E-10,42.0,76.19047619047619,48.275862068965516,42.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43.0,0.170224054,2.2203973406097958E-10,43.0,76.74418604651163,50.34642032332564,43.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.170829323,2.2289405376339956E-10,44.0,77.27272727272727,52.17391304347825,44.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.171420341,2.2372825859114532E-10,45.0,75.55555555555556,48.59813084112148,45.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46.0,0.171975883,2.245123900700775E-10,46.0,76.08695652173914,49.29859719438878,46.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47.0,0.172563369,2.253416095818911E-10,47.0,76.59574468085107,49.95159728944821,47.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.173115332,2.261206894057493E-10,48.0,77.08333333333334,50.56179775280899,48.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49.0,0.174236382,2.277030190846159E-10,49.0,77.55102040816327,51.133272892112416,49.0,5456.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.176263244,2.2798826583764624E-10,50.0,78.0,51.66959578207382,50.0,544.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
51.0,0.187103906,2.4290813674322437E-10,51.0,76.47058823529412,48.57142857142856,51.0,5320.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
52.0,0.187747842,2.4386101268852753E-10,52.0,76.92307692307693,49.10277324632954,52.0,5720.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
53.0,0.188972055,2.4567256402224304E-10,53.0,77.35849056603774,49.603803486529344,53.0,5720.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
54.0,0.197166623,2.6792346058206425E-10,54.0,77.77777777777779,51.35135135135136,54.0,10496.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
