learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.157539642,3.6037421662397684E-8,1.0,100.0,?,1.0,884232.0,100.0,0.0
2.0,0.355407502,8.68852675190775E-8,2.0,100.0,?,2.0,993344.0,100.0,0.0
3.0,0.446038652,1.1095415814872418E-7,3.0,100.0,?,3.0,1026552.0,100.0,0.0
4.0,0.510264575,1.2905100273735408E-7,4.0,75.0,0.0,4.0,1089168.0,100.0,0.0
5.0,0.563730681,1.4425837012731783E-7,5.0,80.0,0.0,5.0,1099456.0,100.0,0.0
6.0,0.615041995,1.5885284991344232E-7,6.0,83.33333333333334,0.0,6.0,1099456.0,100.0,0.0
7.0,0.670187497,1.7454930094217676E-7,7.0,85.71428571428571,0.0,7.0,1100256.0,100.0,0.0
8.0,0.726999033,1.9088692693553453E-7,8.0,75.0,0.0,8.0,1111616.0,100.0,0.0
9.0,0.779553205,2.0600023783997116E-7,9.0,77.77777777777779,0.0,9.0,1111616.0,100.0,0.0
10.0,0.836158877,2.2231193332170863E-7,10.0,70.0,0.0,10.0,1113888.0,100.0,0.0
11.0,0.885263863,2.3646220395654855E-7,11.0,72.72727272727273,0.0,11.0,1113888.0,100.0,0.0
12.0,0.933421495,2.5034446499675925E-7,12.0,75.0,0.0,12.0,1114288.0,100.0,0.0
13.0,0.979072252,2.635242004858309E-7,13.0,69.23076923076923,0.0,13.0,1115992.0,100.0,0.0
14.0,1.024097242,2.765298881429537E-7,14.0,64.28571428571429,0.0,14.0,1116560.0,100.0,0.0
15.0,1.068418426,2.893322780090674E-7,15.0,60.0,0.0,15.0,1116560.0,100.0,0.0
16.0,1.112798634,3.021517172450593E-7,16.0,62.5,15.789473684210526,16.0,1116560.0,100.0,0.0
17.0,1.157399832,3.1503499051888993E-7,17.0,64.70588235294117,16.39344262295081,17.0,1116560.0,100.0,0.0
18.0,1.204007611,3.284978744876861E-7,18.0,66.66666666666666,27.027027027027025,18.0,1116560.0,100.0,0.0
19.0,1.248558289,3.4136655481345745E-7,19.0,68.42105263157895,27.848101265822777,19.0,1116560.0,100.0,0.0
20.0,1.318382263,3.615355497832079E-7,20.0,70.0,35.48387096774192,20.0,1116560.0,100.0,0.0
21.0,1.354435692,3.719497583492121E-7,21.0,71.42857142857143,36.363636363636374,21.0,1116560.0,100.0,0.0
22.0,1.388781268,3.8187064525801484E-7,22.0,68.18181818181817,31.858407079646007,22.0,1116560.0,100.0,0.0
23.0,1.426296247,3.9270702966004407E-7,23.0,69.56521739130434,37.354085603112836,23.0,1116560.0,100.0,0.0
24.0,1.457292812,4.016605384300339E-7,24.0,66.66666666666666,29.927007299270063,24.0,1116560.0,100.0,0.0
25.0,1.488468934,4.1066591311401175E-7,25.0,68.0,34.64052287581701,25.0,1116560.0,100.0,0.0
26.0,1.520146881,4.1981624239339395E-7,26.0,69.23076923076923,35.80246913580247,26.0,1116560.0,100.0,0.0
27.0,1.551505873,4.2887443996754584E-7,27.0,66.66666666666666,29.565217391304333,27.0,1116560.0,100.0,0.0
28.0,1.582649702,4.378704866611896E-7,28.0,67.85714285714286,30.769230769230777,28.0,1116560.0,100.0,0.0
29.0,1.613911312,4.469005549703394E-7,29.0,68.96551724137932,31.853785900783304,29.0,1116560.0,100.0,0.0
30.0,1.64477141,4.5581464458271247E-7,30.0,70.0,32.835820895522374,30.0,1116560.0,100.0,0.0
31.0,1.67686825,4.6508597314537615E-7,31.0,70.96774193548387,33.729216152019006,31.0,1116560.0,100.0,0.0
32.0,1.709163223,4.744145333901028E-7,32.0,71.875,34.54545454545455,32.0,1116560.0,100.0,0.0
33.0,1.740444213,4.834501997066435E-7,33.0,69.6969696969697,30.962343096234324,33.0,1116560.0,100.0,0.0
34.0,1.772697311,4.927666641536667E-7,34.0,70.58823529411765,31.726907630522106,34.0,1116560.0,100.0,0.0
35.0,1.802950926,5.015055681975953E-7,35.0,71.42857142857143,32.43243243243243,35.0,1116560.0,100.0,0.0
36.0,1.833111305,5.10217540568815E-7,36.0,72.22222222222221,36.619718309859145,36.0,1116560.0,100.0,0.0
37.0,1.863162767,5.188980517341012E-7,37.0,72.97297297297297,37.28813559322033,37.0,1116560.0,100.0,0.0
38.0,1.894315198,5.278965831573412E-7,38.0,71.05263157894737,32.79742765273311,38.0,1116560.0,100.0,0.0
39.0,1.924827024,5.367100727062445E-7,39.0,71.7948717948718,33.48837209302325,39.0,1116560.0,100.0,0.0
40.0,1.955989714,5.457115674916014E-7,40.0,72.5,37.14285714285714,40.0,1116560.0,100.0,0.0
41.0,1.986614427,5.545576650002743E-7,41.0,73.17073170731707,40.26490066225165,41.0,1116560.0,100.0,0.0
42.0,2.016642126,5.63231312107272E-7,42.0,73.80952380952381,40.92071611253198,42.0,1116560.0,100.0,0.0
43.0,2.050557461,5.730279218077225E-7,43.0,74.4186046511628,43.62336114421932,43.0,1116560.0,100.0,0.0
44.0,2.082624901,5.822907580371925E-7,44.0,75.0,45.98214285714286,44.0,1116560.0,100.0,0.0
45.0,2.11388113,5.91319272018284E-7,45.0,73.33333333333333,42.3076923076923,45.0,1116560.0,100.0,0.0
46.0,2.147080552,6.009090867618078E-7,46.0,73.91304347826086,42.97520661157024,46.0,1116560.0,100.0,0.0
47.0,2.179367357,6.10235287639952E-7,47.0,74.46808510638297,43.599999999999994,47.0,1116560.0,100.0,0.0
48.0,2.211582424,6.19540766647394E-7,48.0,75.0,44.1860465116279,48.0,1116560.0,100.0,0.0
49.0,2.242532266,6.28480779251268E-7,49.0,75.51020408163265,44.73684210526314,49.0,1116560.0,100.0,0.0
50.0,2.275286436,6.379419807859781E-7,50.0,76.0,45.25547445255475,50.0,1116560.0,100.0,0.0
51.0,2.305537829,6.466802429943844E-7,51.0,74.50980392156863,42.397914856646395,51.0,1116560.0,100.0,0.0
52.0,2.33555515,6.553508923655356E-7,52.0,75.0,42.9054054054054,52.0,1116560.0,100.0,0.0
53.0,2.365452811,6.639869773628792E-7,53.0,75.47169811320755,43.385373870172565,53.0,1116560.0,100.0,0.0
54.0,2.395609362,6.726978439976545E-7,54.0,75.92592592592592,45.58139534883722,54.0,1116560.0,100.0,0.0
55.0,2.42568418,6.813851016572967E-7,55.0,76.36363636363637,46.03773584905661,55.0,1116560.0,100.0,0.0
56.0,2.455542367,6.900097843974809E-7,56.0,76.78571428571429,46.47058823529412,56.0,1116560.0,100.0,0.0
57.0,2.485361293,6.986231264065931E-7,57.0,77.19298245614034,46.881720430107514,57.0,1116560.0,100.0,0.0
58.0,2.515329601,7.07279618133975E-7,58.0,77.58620689655173,48.846675712347356,58.0,1116560.0,100.0,0.0
59.0,2.545587142,7.160196562221253E-7,59.0,77.96610169491525,49.23891462607546,59.0,1116560.0,100.0,0.0
