learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.042651023,4.091792990691546E-9,1.0,100.0,?,1.0,370840.0,50.0,0.48000000000000004,0.10396231656377286,1596.4800000000005,289.09769585200564,0.34,0.0676726816132972,0.34,0.0676726816132972,0.34,0.0676726816132972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.140533693,1.572749881824065E-8,2.0,50.0,0.0,2.0,459504.0,50.0,1.32,0.1724730088318465,3369.76,288.2509827018312,0.72,0.06414269805898185,0.72,0.06414269805898185,0.72,0.06414269805898185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.184224704,2.1215552052789266E-8,3.0,66.66666666666666,0.0,3.0,485544.0,50.0,2.0600000000000005,0.214590259778576,3890.559999999999,252.61997620043863,0.8200000000000001,0.054883922035138706,0.8200000000000001,0.054883922035138706,0.8200000000000001,0.054883922035138706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.240052218,2.8541772127482626E-8,4.0,75.0,0.0,4.0,507264.0,50.0,2.52,0.22899959896587282,4324.96,179.2619266177118,0.9199999999999999,0.03875617133214439,0.9199999999999999,0.03875617133214439,0.9199999999999999,0.03875617133214439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.28408078,3.444582457059373E-8,5.0,60.0,0.0,5.0,518344.0,50.0,3.5799999999999996,0.2650991343260256,4546.56,160.9581823243008,0.94,0.03392669167725119,0.94,0.03392669167725119,0.94,0.03392669167725119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.33173453,4.101618700479882E-8,6.0,66.66666666666666,0.0,6.0,532960.0,50.0,5.079999999999998,0.2883308756924083,4838.88,27.32744213931394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.372884403,4.668981352383478E-8,7.0,71.42857142857143,0.0,7.0,532960.0,50.0,5.140000000000001,0.2941747363561393,4838.88,27.32744213931394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.414712903,5.245700718811403E-8,8.0,75.0,0.0,8.0,532960.0,50.0,5.32,0.30962782135186434,4838.88,27.32744213931394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.455791653,5.812082747180843E-8,9.0,77.77777777777779,0.0,9.0,532960.0,50.0,5.56,0.31188694969131864,4838.88,27.32744213931394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.49779508,6.391213956935953E-8,10.0,80.0,0.0,10.0,532960.0,50.0,5.98,0.3362336408280554,4838.88,27.32744213931394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,0.540018324,6.973375940468992E-8,11.0,81.81818181818183,0.0,11.0,532960.0,50.0,6.46,0.3524954768851506,4838.88,27.32744213931394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.582695808,7.562198319941346E-8,12.0,83.33333333333334,0.0,12.0,533320.0,50.0,6.880000000000002,0.33398032448462756,4846.08,26.81461435219875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,0.626666976,8.168869691898013E-8,13.0,84.61538461538461,0.0,13.0,533320.0,50.0,7.420000000000002,0.38021476208338156,4846.08,26.81461435219875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.669196631,8.755652470733765E-8,14.0,85.71428571428571,0.0,14.0,533320.0,50.0,8.040000000000001,0.38857142857142857,4846.08,26.81461435219875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.711982714,9.3459731934915E-8,15.0,86.66666666666667,0.0,15.0,533320.0,50.0,8.540000000000004,0.4092900772642048,4846.08,26.81461435219875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,0.753609919,9.920304845724877E-8,16.0,87.5,0.0,16.0,533320.0,50.0,9.2,0.4295227536677973,4846.08,26.81461435219875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,0.79354686,1.0471315880688116E-7,17.0,88.23529411764706,0.0,17.0,533320.0,50.0,9.7,0.4249849937326718,4846.08,26.81461435219875,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.837306153,1.107970090918388E-7,18.0,83.33333333333334,0.0,18.0,537416.0,50.0,12.64,0.5164715453370662,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
