learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1.0,0.110271285,1.2597638145089149E-10,1.0,100.0,?,1.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.117378712,1.340960649649302E-10,2.0,100.0,?,2.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3.0,0.11911965,1.3608495146036148E-10,3.0,100.0,?,3.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.120417276,1.375673884153366E-10,4.0,100.0,?,4.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5.0,0.122194176,1.3959735870361327E-10,5.0,100.0,?,5.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.123935506,1.4158669302860894E-10,6.0,100.0,?,6.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7.0,0.125638689,1.4353244736790656E-10,7.0,100.0,?,7.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.126520033,1.4453931445876755E-10,8.0,100.0,?,8.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.127498655,1.4565731411178904E-10,9.0,100.0,?,9.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.128375497,1.4665903801719345E-10,10.0,100.0,?,10.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11.0,0.129252935,1.4766144280632336E-10,11.0,100.0,?,11.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.130112687,1.4864364271362623E-10,12.0,100.0,?,12.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13.0,0.130950942,1.4960128396749495E-10,13.0,100.0,?,13.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.131849736,1.5062808632850645E-10,14.0,100.0,?,14.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.132732768,1.516368818283081E-10,15.0,100.0,?,15.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.133599691,1.5262727404634156E-10,16.0,100.0,?,16.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17.0,0.13444095,1.5358834713697433E-10,17.0,100.0,?,17.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.135813466,1.5515634010235467E-10,18.0,100.0,?,18.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19.0,0.137108585,1.5663591300447781E-10,19.0,100.0,?,19.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.138563109,1.58297593742609E-10,20.0,100.0,?,20.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.139880023,1.59802065740029E-10,21.0,100.0,?,21.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.140610759,1.6063687488436696E-10,22.0,100.0,?,22.0,4416.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23.0,0.141446117,1.617018536892202E-10,23.0,95.65217391304348,0.0,23.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.142686757,1.6328351724478933E-10,24.0,91.66666666666666,0.0,24.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25.0,0.143923111,1.6485971667700342E-10,25.0,92.0,0.0,25.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26.0,0.145026398,1.6626627203490997E-10,26.0,92.3076923076923,0.0,26.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.146166881,1.6772024772233432E-10,27.0,92.5925925925926,0.0,27.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.14734245,1.6921895374854404E-10,28.0,92.85714285714286,0.0,28.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29.0,0.148385189,1.705483178463247E-10,29.0,93.10344827586206,0.0,29.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
