learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.153881813,3.4008000293109156E-8,1.0,100.0,?,1.0,854272.0,100.0,0.0
2.0,0.352242527,8.28879829341256E-8,2.0,100.0,?,2.0,952528.0,100.0,0.0
3.0,0.438268689,1.0475203620634973E-7,3.0,100.0,?,3.0,982432.0,100.0,0.0
4.0,0.492609404,1.1886332590686363E-7,4.0,100.0,?,4.0,1003792.0,100.0,0.0
5.0,0.556473328,1.3558877970502195E-7,5.0,100.0,?,5.0,1012336.0,100.0,0.0
6.0,0.627820888,1.5427413825566985E-7,6.0,100.0,?,6.0,1012336.0,100.0,0.0
7.0,0.70217542,1.7374699885925073E-7,7.0,100.0,?,7.0,1012336.0,100.0,0.0
8.0,0.789387554,1.9658716317260847E-7,8.0,100.0,?,8.0,1012336.0,100.0,0.0
9.0,0.854546215,2.136516982942737E-7,9.0,100.0,?,9.0,1012336.0,100.0,0.0
10.0,0.918545624,2.3041263453644599E-7,10.0,100.0,?,10.0,1012336.0,100.0,0.0
11.0,0.98087725,2.467367916744741E-7,11.0,100.0,?,11.0,1012336.0,100.0,0.0
12.0,1.043263548,2.630752669745063E-7,12.0,100.0,?,12.0,1012336.0,100.0,0.0
13.0,1.104848307,2.792038255849233E-7,13.0,100.0,?,13.0,1012336.0,100.0,0.0
14.0,1.164106977,2.947231999851764E-7,14.0,100.0,?,14.0,1012336.0,100.0,0.0
15.0,1.218733333,3.0902940818872723E-7,15.0,100.0,?,15.0,1012336.0,100.0,0.0
16.0,1.258827759,3.195298194949081E-7,16.0,100.0,?,16.0,1012336.0,100.0,0.0
17.0,1.297864317,3.297531835849087E-7,17.0,100.0,?,17.0,1012336.0,100.0,0.0
18.0,1.338331923,3.403513277652612E-7,18.0,100.0,?,18.0,1012336.0,100.0,0.0
19.0,1.387986507,3.5335546842155364E-7,19.0,100.0,?,19.0,1012336.0,100.0,0.0
20.0,1.444828131,3.682418376967063E-7,20.0,100.0,?,20.0,1012336.0,100.0,0.0
21.0,1.508564868,3.8493398223105824E-7,21.0,100.0,?,21.0,1012336.0,100.0,0.0
22.0,1.55951139,3.982764711750175E-7,22.0,100.0,?,22.0,1012336.0,100.0,0.0
23.0,1.592234037,4.0714967112640544E-7,23.0,95.65217391304348,0.0,23.0,1048176.0,100.0,99.0
24.0,1.625117497,4.1616665588807735E-7,24.0,95.83333333333334,64.70588235294122,24.0,1059952.0,100.0,99.0
25.0,1.662855696,4.2651486028372006E-7,25.0,92.0,45.652173913043505,25.0,1059952.0,100.0,0.0
26.0,1.696662084,4.357849214464799E-7,26.0,92.3076923076923,45.83333333333331,26.0,1059952.0,100.0,0.0
27.0,1.734186493,4.4607450241343847E-7,27.0,92.5925925925926,45.999999999999964,27.0,1059952.0,100.0,0.0
28.0,1.775616276,4.574349773145095E-7,28.0,92.85714285714286,46.15384615384619,28.0,1059952.0,100.0,0.0
29.0,1.815163375,4.682792007949866E-7,29.0,93.10344827586206,46.296296296296255,29.0,1059952.0,100.0,0.0
30.0,1.855396359,4.793115010348211E-7,30.0,93.33333333333333,46.4285714285714,30.0,1059952.0,100.0,0.0
31.0,1.890754306,4.890070157191944E-7,31.0,93.54838709677419,46.551724137931075,31.0,1059952.0,100.0,0.0
32.0,1.930923434,5.000484089458113E-7,32.0,90.625,35.13513513513514,32.0,1062512.0,100.0,99.0
33.0,1.969541658,5.106737314711138E-7,33.0,90.9090909090909,52.17391304347825,33.0,1063536.0,100.0,99.0
34.0,2.009329396,5.216208311824376E-7,34.0,88.23529411764706,43.33333333333334,34.0,1063536.0,100.0,5.0
35.0,2.049529753,5.326814578636984E-7,35.0,88.57142857142857,43.54838709677417,35.0,1063536.0,100.0,5.0
36.0,2.085696104,5.426321781230842E-7,36.0,88.88888888888889,43.74999999999997,36.0,1063536.0,100.0,5.0
37.0,2.127234282,5.54060889561586E-7,37.0,89.1891891891892,43.939393939393916,37.0,1063536.0,100.0,5.0
38.0,2.164944115,5.644362796364972E-7,38.0,89.47368421052632,44.11764705882353,38.0,1063536.0,100.0,5.0
39.0,2.201477136,5.744878845717385E-7,39.0,89.74358974358975,44.28571428571429,39.0,1063536.0,100.0,5.0
40.0,2.243814243,5.861364113570004E-7,40.0,90.0,44.444444444444436,40.0,1063536.0,100.0,5.0
41.0,2.283236618,5.969829859972124E-7,41.0,90.2439024390244,44.594594594594604,41.0,1063536.0,100.0,5.0
42.0,2.317587949,6.064343261481324E-7,42.0,90.47619047619048,44.73684210526312,42.0,1063536.0,100.0,5.0
43.0,2.355940169,6.169864609915515E-7,43.0,90.69767441860465,44.87179487179487,43.0,1063536.0,100.0,5.0
44.0,2.399187915,6.288855387363583E-7,44.0,90.9090909090909,45.000000000000014,44.0,1063536.0,100.0,5.0
45.0,2.453534716,6.438383829904969E-7,45.0,91.11111111111111,45.12195121951218,45.0,1063536.0,100.0,5.0
46.0,2.509960611,6.593632640195638E-7,46.0,91.30434782608695,45.23809523809527,46.0,1063536.0,100.0,5.0
47.0,2.564979514,6.745010287537302E-7,47.0,91.48936170212765,45.34883720930234,47.0,1063536.0,100.0,5.0
48.0,2.623106277,6.904938823926449E-7,48.0,91.66666666666666,45.454545454545475,48.0,1063536.0,100.0,5.0
49.0,2.672921364,7.041998820782081E-7,49.0,91.83673469387756,45.55555555555556,49.0,1063536.0,100.0,5.0
50.0,2.708655801,7.14031766589135E-7,50.0,92.0,45.652173913043505,50.0,1063536.0,100.0,5.0
51.0,2.749582408,7.252922118970628E-7,51.0,92.15686274509804,45.74468085106386,51.0,1063536.0,100.0,5.0
52.0,2.785830854,7.352655195714659E-7,52.0,92.3076923076923,45.83333333333331,52.0,1063536.0,100.0,5.0
53.0,2.821014588,7.44945885022618E-7,53.0,92.45283018867924,45.91836734693875,53.0,1063536.0,100.0,5.0
54.0,2.855780714,7.545113508427268E-7,54.0,92.5925925925926,45.999999999999964,54.0,1063536.0,100.0,5.0
55.0,2.89020885,7.63983822931163E-7,55.0,92.72727272727272,46.07843137254905,55.0,1063536.0,100.0,5.0
