learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.053524293,5.381520585535715E-9,1.0,100.0,?,1.0,388648.0,50.0,0.0
2.0,0.139344519,1.5827712189399947E-8,2.0,50.0,0.0,2.0,470512.0,50.0,0.0
3.0,0.179117644,2.0863313170091975E-8,3.0,66.66666666666666,0.0,3.0,489400.0,50.0,0.0
4.0,0.228466208,2.724789528673722E-8,4.0,75.0,0.0,4.0,500104.0,50.0,0.0
5.0,0.270703749,3.290225080203679E-8,5.0,60.0,0.0,5.0,517472.0,50.0,0.0
6.0,0.298913725,3.676472984602054E-8,6.0,66.66666666666666,0.0,6.0,529256.0,50.0,0.0
7.0,0.321271041,3.982586908732023E-8,7.0,71.42857142857143,0.0,7.0,529256.0,50.0,0.0
8.0,0.343245999,4.283465628967103E-8,8.0,75.0,0.0,8.0,529256.0,50.0,0.0
9.0,0.364400627,4.5731124806101954E-8,9.0,77.77777777777779,0.0,9.0,529256.0,50.0,0.0
10.0,0.385054216,4.855899161093558E-8,10.0,80.0,0.0,10.0,529256.0,50.0,0.0
11.0,0.408129433,5.174392709656308E-8,11.0,81.81818181818183,0.0,11.0,533528.0,50.0,0.0
12.0,0.429253414,5.4659545037864396E-8,12.0,83.33333333333334,0.0,12.0,533528.0,50.0,0.0
13.0,0.450221515,5.755364778632919E-8,13.0,84.61538461538461,0.0,13.0,533528.0,50.0,0.0
14.0,0.471384648,6.047466964622132E-8,14.0,85.71428571428571,0.0,14.0,533528.0,50.0,0.0
15.0,0.493324528,6.350290129242466E-8,15.0,86.66666666666667,0.0,15.0,533528.0,50.0,0.0
16.0,0.514577735,6.643635553286308E-8,16.0,87.5,0.0,16.0,533528.0,50.0,0.0
17.0,0.536351553,6.944166662509658E-8,17.0,88.23529411764706,0.0,17.0,533528.0,50.0,0.0
18.0,0.559416628,7.264964290347986E-8,18.0,83.33333333333334,0.0,18.0,537624.0,50.0,0.0
19.0,0.581851347,7.576994692868658E-8,19.0,84.21052631578947,0.0,19.0,537624.0,50.0,0.0
20.0,0.605044742,7.899884250487098E-8,20.0,80.0,0.0,20.0,538136.0,50.0,0.0
21.0,0.626934388,8.204623514116432E-8,21.0,80.95238095238095,0.0,21.0,538136.0,50.0,0.0
22.0,0.648822977,8.509348062596803E-8,22.0,81.81818181818183,0.0,22.0,538136.0,50.0,0.0
23.0,0.671709337,8.827963196599236E-8,23.0,78.26086956521739,-7.4766355140186525,23.0,538136.0,50.0,0.0
24.0,0.694903625,9.150865186221486E-8,24.0,75.0,-7.462686567164202,24.0,538136.0,50.0,0.0
25.0,0.716032683,9.445015835167635E-8,25.0,72.0,-12.903225806451676,25.0,538136.0,50.0,0.0
26.0,0.737147536,9.738968727547056E-8,26.0,69.23076923076923,-16.853932584269714,26.0,538136.0,50.0,0.0
27.0,0.758369785,1.0034416745884967E-7,27.0,70.37037037037037,2.7027027027027266,27.0,538136.0,50.0,0.0
28.0,0.779128687,1.0323414224840703E-7,28.0,71.42857142857143,15.789473684210535,28.0,538136.0,50.0,0.0
29.0,0.800339235,1.0618699346340368E-7,29.0,68.96551724137932,10.921501706484635,29.0,538136.0,50.0,0.0
30.0,0.820489784,1.0899227567947369E-7,30.0,70.0,20.118343195266277,30.0,538136.0,50.0,0.0
31.0,0.842330381,1.1203283990193989E-7,31.0,67.74193548387096,15.760869565217362,31.0,538136.0,50.0,0.0
32.0,0.862039385,1.1477665191508418E-7,32.0,65.625,12.0,32.0,538136.0,50.0,0.0
33.0,0.881723503,1.1751699939467016E-7,33.0,63.63636363636363,8.755760368663564,33.0,538136.0,50.0,0.0
34.0,0.901444532,1.2026248548223537E-7,34.0,61.76470588235294,5.957446808510622,34.0,538136.0,50.0,0.0
35.0,0.921065453,1.229940349176485E-7,35.0,62.857142857142854,6.952965235173823,35.0,538136.0,50.0,0.0
36.0,0.939866888,1.2561149865236345E-7,36.0,61.111111111111114,4.545454545454565,36.0,538136.0,50.0,0.0
37.0,0.957373179,1.2804865740231345E-7,37.0,62.16216216216216,5.474452554744529,37.0,538136.0,50.0,0.0
38.0,0.974469749,1.3042877636467007E-7,38.0,63.1578947368421,6.338028169014054,38.0,538136.0,50.0,0.0
39.0,0.992089868,1.3288178181259792E-7,39.0,61.53846153846154,2.9850746268656594,39.0,538136.0,50.0,0.0
40.0,1.008684576,1.3519203347042E-7,40.0,60.0,0.9287925696594231,40.0,538136.0,50.0,0.0
41.0,1.024818572,1.3743814656902314E-7,41.0,60.97560975609756,1.7964071856287254,41.0,538136.0,50.0,0.0
42.0,1.054716907,1.416004781990747E-7,42.0,61.904761904761905,2.608695652173916,42.0,538136.0,50.0,0.0
43.0,1.081880103,1.4538203425843686E-7,43.0,60.46511627906976,0.8141112618724328,43.0,538136.0,50.0,0.0
44.0,1.097538629,1.475619542456129E-7,44.0,61.36363636363637,1.5789473684210613,44.0,538136.0,50.0,0.0
45.0,1.112781284,1.4968397826576197E-7,45.0,62.22222222222222,2.298850574712658,45.0,538136.0,50.0,0.0
46.0,1.126978204,1.516604190664056E-7,46.0,63.04347826086957,2.9776674937965257,46.0,538136.0,50.0,0.0
47.0,1.141988517,1.5375009732363543E-7,47.0,63.829787234042556,3.618817852834751,47.0,538136.0,50.0,0.0
48.0,1.160484759,1.5632507325837185E-7,48.0,64.58333333333334,4.225352112676057,48.0,538136.0,50.0,0.0
49.0,1.175166324,1.5836898447878455E-7,49.0,65.3061224489796,4.799999999999979,49.0,538136.0,50.0,0.0
50.0,1.188764408,1.6026205762621226E-7,50.0,66.0,5.345211581291788,50.0,538136.0,50.0,0.0
51.0,1.205634938,1.6261070816594077E-7,51.0,66.66666666666666,5.863192182410448,51.0,538136.0,50.0,0.0
52.0,1.219427536,1.6453086080708235E-7,52.0,67.3076923076923,6.3559322033898775,52.0,538136.0,50.0,0.0
53.0,1.238154754,1.6713799233545244E-7,53.0,67.9245283018868,6.8252326783867705,53.0,538136.0,50.0,0.0
